Date,ABN
2024-10-25 00:00:00,103.75
2024-10-24 00:00:00,103.75
2024-10-23 00:00:00,103.93
2024-10-22 00:00:00,102.55
2024-10-21 00:00:00,102.59
2024-10-18 00:00:00,102.55
2024-10-17 00:00:00,103.8
2024-10-16 00:00:00,103.82
2024-10-15 00:00:00,103.75
2024-10-14 00:00:00,104.9
2024-10-11 00:00:00,106.24
2024-10-10 00:00:00,106.38
2024-10-09 00:00:00,106.25
2024-10-08 00:00:00,106.39
2024-10-07 00:00:00,106.48
2024-10-04 00:00:00,107.64
2024-10-03 00:00:00,107.53
2024-10-02 00:00:00,106.36
2024-10-01 00:00:00,107.52
2024-09-30 00:00:00,107.62
2024-09-27 00:00:00,107.71
2024-09-26 00:00:00,108.78
2024-09-25 00:00:00,110.04
2024-09-24 00:00:00,109.96
2024-09-23 00:00:00,111.88
2024-09-20 00:00:00,111.92
2024-09-19 00:00:00,103
2024-09-18 00:00:00,103.04
2024-09-17 00:00:00,103.51
2024-09-16 00:00:00,104.92
2024-09-13 00:00:00,106.4
2024-09-12 00:00:00,103.61
2024-09-11 00:00:00,104.79
2024-09-10 00:00:00,106.11
2024-09-09 00:00:00,106.19
2024-09-06 00:00:00,104.91
2024-09-05 00:00:00,106.23
2024-09-04 00:00:00,104.94
2024-09-03 00:00:00,103.56
2024-09-02 00:00:00,103.72
2024-08-30 00:00:00,102.38
2024-08-29 00:00:00,102.3
2024-08-28 00:00:00,102.28
2024-08-27 00:00:00,103.57
2024-08-26 00:00:00,103.62
2024-08-23 00:00:00,104.97
2024-08-22 00:00:00,104.78
2024-08-21 00:00:00,104.84
2024-08-20 00:00:00,104.84
2024-08-19 00:00:00,106.21
2024-08-16 00:00:00,107.55
2024-08-15 00:00:00,108.76
2024-08-14 00:00:00,109.99
2024-08-13 00:00:00,111.28
2024-08-12 00:00:00,110.06
2024-08-09 00:00:00,110.01
2024-08-08 00:00:00,115.09
2024-08-07 00:00:00,114.05
2024-08-06 00:00:00,107.04
2024-08-05 00:00:00,107.46
2024-08-02 00:00:00,107.62
2024-08-01 00:00:00,103.55
2024-07-31 00:00:00,103.48
2024-07-30 00:00:00,103.46
2024-07-29 00:00:00,103.57
2024-07-26 00:00:00,106.21
2024-07-25 00:00:00,103.51
2024-07-24 00:00:00,114.89
2024-07-23 00:00:00,114.93
2024-07-22 00:00:00,116.32
2024-07-19 00:00:00,114.97
2024-07-18 00:00:00,114.85
2024-07-17 00:00:00,113.45
2024-07-16 00:00:00,111.96
2024-07-15 00:00:00,114.92
2024-07-12 00:00:00,118.45
2024-07-11 00:00:00,118.47
2024-07-10 00:00:00,119.95
2024-07-09 00:00:00,118.48
2024-07-08 00:00:00,119.82
2024-07-05 00:00:00,121.41
2024-07-04 00:00:00,124.11
2024-07-03 00:00:00,125.68
2024-07-02 00:00:00,125.65
2024-07-01 00:00:00,127.16
2024-06-28 00:00:00,128.48
2024-06-27 00:00:00,128.5
2024-06-26 00:00:00,127.1
2024-06-25 00:00:00,125.58
2024-06-24 00:00:00,128.48
2024-06-21 00:00:00,126.26
2024-06-20 00:00:00,126.28
2024-06-19 00:00:00,126.24
2024-06-18 00:00:00,126.2
2024-06-17 00:00:00,123.43
2024-06-14 00:00:00,118.91
2024-06-13 00:00:00,116.19
2024-06-12 00:00:00,117.69
2024-06-11 00:00:00,114.85
2024-06-10 00:00:00,114.84
2024-06-07 00:00:00,113.46
2024-06-06 00:00:00,113.39
2024-06-05 00:00:00,113.51
2024-06-04 00:00:00,114.86
2024-06-03 00:00:00,115.02
2024-05-31 00:00:00,116.22
2024-05-30 00:00:00,116.27
2024-05-29 00:00:00,114.9
2024-05-28 00:00:00,114.82
2024-05-27 00:00:00,114.78
2024-05-24 00:00:00,115.12
2024-05-23 00:00:00,115.18
2024-05-22 00:00:00,115.2
2024-05-21 00:00:00,115.15
2024-05-20 00:00:00,116.64
2024-05-17 00:00:00,116.63
2024-05-16 00:00:00,93.02
2024-05-15 00:00:00,94.35
2024-05-14 00:00:00,93.1
2024-05-13 00:00:00,93.19
2024-05-10 00:00:00,94.25
2024-05-09 00:00:00,94.23
2024-05-08 00:00:00,94.27
2024-05-07 00:00:00,95.36
2024-05-06 00:00:00,95.43
2024-05-03 00:00:00,98.72
2024-05-02 00:00:00,98.71
2024-05-01 00:00:00,98.89
2024-04-30 00:00:00,99.92
2024-04-29 00:00:00,101.67
2024-04-26 00:00:00,101.57
2024-04-25 00:00:00,101.62
2024-04-24 00:00:00,100.56
2024-04-23 00:00:00,103.79
2024-04-22 00:00:00,107.26
2024-04-19 00:00:00,106.3
2024-04-18 00:00:00,107.24
2024-04-17 00:00:00,107.32
2024-04-16 00:00:00,101.57
2024-04-15 00:00:00,101.13
2024-04-12 00:00:00,98.32
2024-04-11 00:00:00,98.27
2024-04-10 00:00:00,100.47
2024-04-09 00:00:00,101.66
2024-04-08 00:00:00,102.31
2024-04-05 00:00:00,101.18
2024-04-04 00:00:00,102.13
2024-04-03 00:00:00,94.04
2024-04-02 00:00:00,94.1
2024-04-01 00:00:00,94.18
2024-03-29 00:00:00,94.22
2024-03-28 00:00:00,95.23
2024-03-27 00:00:00,94.09
2024-03-26 00:00:00,94.06
2024-03-25 00:00:00,94.1
2024-03-22 00:00:00,95.11
2024-03-21 00:00:00,99.01
2024-03-20 00:00:00,99.12
2024-03-19 00:00:00,91.16
2024-03-18 00:00:00,91.2
2024-03-15 00:00:00,94.46
2024-03-14 00:00:00,95.43
2024-03-13 00:00:00,95.46
2024-03-12 00:00:00,97.5
2024-03-11 00:00:00,97.61
2024-03-08 00:00:00,98.6
2024-03-07 00:00:00,100.74
2024-03-06 00:00:00,99.65
2024-03-05 00:00:00,100.74
2024-03-04 00:00:00,100.5
2024-03-01 00:00:00,101.69
2024-02-29 00:00:00,102.73
2024-02-28 00:00:00,102.83
2024-02-27 00:00:00,102.82
2024-02-26 00:00:00,102.74
2024-02-23 00:00:00,106.13
2024-02-22 00:00:00,107.66
2024-02-21 00:00:00,108.62
2024-02-20 00:00:00,107.52
2024-02-19 00:00:00,109.72
2024-02-16 00:00:00,110.79
2024-02-15 00:00:00,109.48
2024-02-14 00:00:00,110.83
2024-02-13 00:00:00,110.61
2024-02-12 00:00:00,111.83
2024-02-09 00:00:00,112.39
2024-02-08 00:00:00,112.4
2024-02-07 00:00:00,113.28
2024-02-06 00:00:00,111.86
2024-02-05 00:00:00,111.86
2024-02-02 00:00:00,113.41
2024-02-01 00:00:00,110.07
2024-01-31 00:00:00,108.66
2024-01-30 00:00:00,109.58
2024-01-29 00:00:00,109.62
2024-01-26 00:00:00,110.63
2024-01-25 00:00:00,109.61
2024-01-24 00:00:00,112.91
2024-01-23 00:00:00,111.79
2024-01-22 00:00:00,112.91
2024-01-19 00:00:00,114.48
2024-01-18 00:00:00,113.91
2024-01-17 00:00:00,115.15
2024-01-16 00:00:00,113.3
2024-01-15 00:00:00,112.31
2024-01-12 00:00:00,109.13
2024-01-11 00:00:00,112.31
2024-01-10 00:00:00,113.39
2024-01-09 00:00:00,114.19
2024-01-08 00:00:00,110.03
2024-01-05 00:00:00,107.12
2024-01-04 00:00:00,106.89
2024-01-03 00:00:00,106.18
2024-01-02 00:00:00,103.97
2024-01-01 00:00:00,104.04
2023-12-29 00:00:00,104
