Date,BNP
2024-10-25 00:00:00,104.49
2024-10-24 00:00:00,104.49
2024-10-23 00:00:00,105.05
2024-10-22 00:00:00,105.38
2024-10-21 00:00:00,103.2
2024-10-18 00:00:00,101.94
2024-10-17 00:00:00,102.18
2024-10-16 00:00:00,103.47
2024-10-15 00:00:00,102.74
2024-10-14 00:00:00,103.86
2024-10-11 00:00:00,105.73
2024-10-10 00:00:00,106.73
2024-10-09 00:00:00,107.96
2024-10-08 00:00:00,109.28
2024-10-07 00:00:00,108.73
2024-10-04 00:00:00,109.44
2024-10-03 00:00:00,111.13
2024-10-02 00:00:00,111.35
2024-10-01 00:00:00,112.38
2024-09-30 00:00:00,113.11
2024-09-27 00:00:00,111.05
2024-09-26 00:00:00,110.55
2024-09-25 00:00:00,108.84
2024-09-24 00:00:00,108.61
2024-09-23 00:00:00,107.19
2024-09-20 00:00:00,102.47
2024-09-19 00:00:00,92.17
2024-09-18 00:00:00,94.16
2024-09-17 00:00:00,93.38
2024-09-16 00:00:00,94.58
2024-09-13 00:00:00,94.21
2024-09-12 00:00:00,96.32
2024-09-11 00:00:00,99.56
2024-09-10 00:00:00,96.78
2024-09-09 00:00:00,96.16
2024-09-06 00:00:00,95.52
2024-09-05 00:00:00,96.38
2024-09-04 00:00:00,97.35
2024-09-03 00:00:00,94.44
2024-09-02 00:00:00,93.19
2024-08-30 00:00:00,92.85
2024-08-29 00:00:00,92.06
2024-08-28 00:00:00,91.39
2024-08-27 00:00:00,91.94
2024-08-26 00:00:00,92.35
2024-08-23 00:00:00,91.9
2024-08-22 00:00:00,93.58
2024-08-21 00:00:00,94.95
2024-08-20 00:00:00,95.88
2024-08-19 00:00:00,94.44
2024-08-16 00:00:00,96.34
2024-08-15 00:00:00,99.52
2024-08-14 00:00:00,106.73
2024-08-13 00:00:00,109.25
2024-08-12 00:00:00,109.05
2024-08-09 00:00:00,111.07
2024-08-08 00:00:00,111.14
2024-08-07 00:00:00,111.47
2024-08-06 00:00:00,118.39
2024-08-05 00:00:00,124.58
2024-08-02 00:00:00,111.6
2024-08-01 00:00:00,103.34
2024-07-31 00:00:00,98.74
