Date,CAIX
2024-10-25 00:00:00,195.92
2024-10-24 00:00:00,195.92
2024-10-23 00:00:00,198.91
2024-10-22 00:00:00,198.84
2024-10-21 00:00:00,180.93
2024-10-18 00:00:00,175.08
2024-10-17 00:00:00,182.71
2024-10-16 00:00:00,184.61
2024-10-15 00:00:00,184.1
2024-10-14 00:00:00,186.05
2024-10-11 00:00:00,188.23
2024-10-10 00:00:00,187.4
2024-10-09 00:00:00,187.95
2024-10-08 00:00:00,189.08
2024-10-07 00:00:00,189.09
2024-10-04 00:00:00,188.51
2024-10-03 00:00:00,179.03
2024-10-02 00:00:00,179.45
2024-10-01 00:00:00,178.95
2024-09-30 00:00:00,179.32
2024-09-27 00:00:00,176
2024-09-26 00:00:00,175.08
2024-09-25 00:00:00,176.48
2024-09-24 00:00:00,176.18
2024-09-23 00:00:00,176.75
2024-09-20 00:00:00,176.49
2024-09-19 00:00:00,166.76
2024-09-18 00:00:00,169.34
2024-09-17 00:00:00,168.81
2024-09-16 00:00:00,174.65
2024-09-13 00:00:00,174.81
2024-09-12 00:00:00,175.33
2024-09-11 00:00:00,177.58
2024-09-10 00:00:00,175.05
2024-09-09 00:00:00,175.25
2024-09-06 00:00:00,175.62
2024-09-05 00:00:00,175.17
2024-09-04 00:00:00,175.9
2024-09-03 00:00:00,192.92
2024-09-02 00:00:00,190.14
2024-08-30 00:00:00,188.69
2024-08-29 00:00:00,177.67
2024-08-28 00:00:00,178.02
2024-08-27 00:00:00,168.68
2024-08-26 00:00:00,169.88
2024-08-23 00:00:00,169.02
2024-08-22 00:00:00,170.75
2024-08-21 00:00:00,171.82
2024-08-20 00:00:00,171.63
2024-08-19 00:00:00,172.5
2024-08-16 00:00:00,174.11
2024-08-15 00:00:00,175.98
2024-08-14 00:00:00,175.64
2024-08-13 00:00:00,178.49
2024-08-12 00:00:00,178.58
2024-08-09 00:00:00,178.65
2024-08-08 00:00:00,186.25
2024-08-07 00:00:00,187.43
2024-08-06 00:00:00,193.08
2024-08-05 00:00:00,194.49
2024-08-02 00:00:00,178.07
2024-08-01 00:00:00,178.07
2024-07-31 00:00:00,178.07
2024-07-30 00:00:00,176.16
2024-07-29 00:00:00,175.43
2024-07-26 00:00:00,176.99
2024-07-25 00:00:00,177.09
2024-07-24 00:00:00,177.06
2024-07-23 00:00:00,174.66
2024-07-22 00:00:00,174.48
2024-07-19 00:00:00,174.91
2024-07-18 00:00:00,174.05
2024-07-17 00:00:00,173.94
2024-07-16 00:00:00,172.39
2024-07-15 00:00:00,175.63
2024-07-12 00:00:00,175.6
2024-07-11 00:00:00,172.58
2024-07-10 00:00:00,173.49
2024-07-09 00:00:00,173.43
2024-07-08 00:00:00,173.23
2024-07-05 00:00:00,174.77
2024-07-04 00:00:00,173.94
2024-07-03 00:00:00,174.74
2024-07-02 00:00:00,175
2024-07-01 00:00:00,174.94
2024-06-28 00:00:00,175.48
2024-06-27 00:00:00,177.25
2024-06-26 00:00:00,176.58
2024-06-25 00:00:00,175.66
2024-06-24 00:00:00,175.79
2024-06-21 00:00:00,178.54
2024-06-20 00:00:00,180.21
2024-06-19 00:00:00,178.52
2024-06-18 00:00:00,181.75
2024-06-17 00:00:00,177.36
2024-06-14 00:00:00,173.71
2024-06-13 00:00:00,168.86
2024-06-12 00:00:00,168.56
2024-06-11 00:00:00,154.37
2024-06-10 00:00:00,170.99
2024-06-07 00:00:00,150.79
2024-06-06 00:00:00,170.32
2024-06-05 00:00:00,155.51
2024-06-04 00:00:00,154.44
2024-06-03 00:00:00,164
2024-05-31 00:00:00,171.12
2024-05-30 00:00:00,165.49
2024-05-29 00:00:00,159.2
2024-05-28 00:00:00,164.24
2024-05-27 00:00:00,171.36
2024-05-24 00:00:00,168.31
2024-05-23 00:00:00,160.27
2024-05-22 00:00:00,170.02
2024-05-21 00:00:00,157.75
2024-05-20 00:00:00,167.39
2024-05-17 00:00:00,156.25
2024-05-16 00:00:00,166.4
2024-05-15 00:00:00,171.35
2024-05-14 00:00:00,167.44
2024-05-13 00:00:00,168.86
2024-05-10 00:00:00,164.96
2024-05-09 00:00:00,168.91
2024-05-08 00:00:00,164.91
2024-05-07 00:00:00,166.37
2024-05-06 00:00:00,162.37
2024-05-03 00:00:00,166.35
2024-05-02 00:00:00,162.47
2024-05-01 00:00:00,163.88
2024-04-30 00:00:00,150.49
2024-04-29 00:00:00,172.13
2024-04-26 00:00:00,179.39
2024-04-25 00:00:00,164.7
2024-04-24 00:00:00,171.2
2024-04-23 00:00:00,178.04
2024-04-22 00:00:00,170.31
2024-04-19 00:00:00,168.02
2024-04-18 00:00:00,176.74
2024-04-17 00:00:00,171.41
2024-04-16 00:00:00,179.84
2024-04-15 00:00:00,175.79
2024-04-12 00:00:00,179.11
2024-04-11 00:00:00,179.85
2024-04-10 00:00:00,163.6
2024-04-09 00:00:00,176.42
2024-04-08 00:00:00,177.57
2024-04-05 00:00:00,184.15
2024-04-04 00:00:00,181.43
2024-04-03 00:00:00,179.1
2024-04-02 00:00:00,170.41
2024-04-01 00:00:00,182.85
2024-03-29 00:00:00,182.36
2024-03-28 00:00:00,183.38
2024-03-27 00:00:00,179.99
2024-03-26 00:00:00,175.01
2024-03-25 00:00:00,180.31
2024-03-22 00:00:00,192.06
2024-03-21 00:00:00,189.68
2024-03-20 00:00:00,207.39
2024-03-19 00:00:00,196.87
2024-03-18 00:00:00,184.35
2024-03-15 00:00:00,180.99
2024-03-14 00:00:00,180.26
2024-03-13 00:00:00,180.46
2024-03-12 00:00:00,190.1
2024-03-11 00:00:00,192.2
2024-03-08 00:00:00,190.99
2024-03-07 00:00:00,195.31
2024-03-06 00:00:00,194.78
2024-03-05 00:00:00,194.86
2024-03-04 00:00:00,194.84
2024-03-01 00:00:00,194.32
2024-02-29 00:00:00,194.47
2024-02-28 00:00:00,194.65
2024-02-27 00:00:00,194.21
