Date,DANK
2024-10-25 00:00:00,118.55
2024-10-24 00:00:00,118.55
2024-10-23 00:00:00,118.89
2024-10-22 00:00:00,119.51
2024-10-21 00:00:00,117.37
2024-10-18 00:00:00,115.42
2024-10-17 00:00:00,115.74
2024-10-16 00:00:00,117.25
2024-10-15 00:00:00,117.78
2024-10-14 00:00:00,118.28
2024-10-11 00:00:00,120.52
2024-10-10 00:00:00,121.37
2024-10-09 00:00:00,122.98
2024-10-08 00:00:00,123.99
2024-10-07 00:00:00,123.44
2024-10-04 00:00:00,123.89
2024-10-03 00:00:00,126.23
2024-10-02 00:00:00,126.32
2024-10-01 00:00:00,126.51
2024-09-30 00:00:00,124.64
2024-09-27 00:00:00,123.47
2024-09-26 00:00:00,123.56
2024-09-25 00:00:00,125.55
2024-09-24 00:00:00,125.6
2024-09-23 00:00:00,125.74
2024-09-20 00:00:00,122.55
2024-09-19 00:00:00,110.52
2024-09-18 00:00:00,113.02
2024-09-17 00:00:00,112.68
2024-09-16 00:00:00,113.41
2024-09-13 00:00:00,113.19
2024-09-12 00:00:00,116.31
2024-09-11 00:00:00,119.5
2024-09-10 00:00:00,117.06
2024-09-09 00:00:00,116.29
2024-09-06 00:00:00,116.05
2024-09-05 00:00:00,115.25
2024-09-04 00:00:00,115.79
2024-09-03 00:00:00,114.63
2024-09-02 00:00:00,112.34
2024-08-30 00:00:00,112.42
2024-08-29 00:00:00,111.88
2024-08-28 00:00:00,111.27
2024-08-27 00:00:00,111.65
2024-08-26 00:00:00,113.51
2024-08-23 00:00:00,112.95
2024-08-22 00:00:00,113.78
2024-08-21 00:00:00,113.91
2024-08-20 00:00:00,113.66
2024-08-19 00:00:00,113.58
2024-08-16 00:00:00,115.45
2024-08-15 00:00:00,117.42
2024-08-14 00:00:00,124.15
2024-08-13 00:00:00,127.66
2024-08-12 00:00:00,127.25
2024-08-09 00:00:00,128.07
2024-08-08 00:00:00,128.54
2024-08-07 00:00:00,128.81
2024-08-06 00:00:00,134.17
2024-08-05 00:00:00,135.58
2024-08-02 00:00:00,126.96
2024-08-01 00:00:00,119.44
2024-07-31 00:00:00,115.07
2024-07-30 00:00:00,115.51
2024-07-29 00:00:00,115.29
2024-07-26 00:00:00,116.53
2024-07-25 00:00:00,117.39
2024-07-24 00:00:00,115.31
2024-07-23 00:00:00,113.26
2024-07-22 00:00:00,113.44
2024-07-19 00:00:00,114.78
2024-07-18 00:00:00,113.41
2024-07-17 00:00:00,113.59
2024-07-16 00:00:00,111.88
2024-07-15 00:00:00,110.69
2024-07-12 00:00:00,111.81
2024-07-11 00:00:00,112.82
2024-07-10 00:00:00,114.1
2024-07-09 00:00:00,115.12
2024-07-08 00:00:00,112.94
2024-07-05 00:00:00,116.05
