Date,DZ
2024-10-25 00:00:00,55.99
2024-10-24 00:00:00,55.99
2024-10-23 00:00:00,59.23
2024-10-22 00:00:00,62.4
2024-10-21 00:00:00,58.41
2024-10-18 00:00:00,58.4
2024-10-17 00:00:00,60
2024-10-16 00:00:00,56.8
2024-10-15 00:00:00,55.99
2024-10-14 00:00:00,59.16
2024-10-11 00:00:00,60.78
2024-10-10 00:00:00,60.01
2024-10-09 00:00:00,61.59
2024-10-08 00:00:00,60.02
2024-10-07 00:00:00,55.24
2024-10-04 00:00:00,55.22
2024-10-03 00:00:00,55.19
2024-10-02 00:00:00,55.21
2024-10-01 00:00:00,55.19
2024-09-30 00:00:00,59.21
2024-09-27 00:00:00,57.63
2024-09-26 00:00:00,59.19
2024-09-25 00:00:00,63.19
2024-09-24 00:00:00,64.77
2024-09-23 00:00:00,64.79
2024-09-20 00:00:00,64.82
2024-09-19 00:00:00,59.32
2024-09-18 00:00:00,64.88
2024-09-17 00:00:00,64.85
2024-09-16 00:00:00,59.32
2024-09-13 00:00:00,60.95
2024-09-12 00:00:00,58.53
2024-09-11 00:00:00,58.5
2024-09-10 00:00:00,60.09
2024-09-09 00:00:00,60.11
2024-09-06 00:00:00,57.74
2024-09-05 00:00:00,60.91
2024-09-04 00:00:00,56.95
2024-09-03 00:00:00,58.52
2024-09-02 00:00:00,64.9
2024-08-30 00:00:00,60.92
2024-08-29 00:00:00,62.49
2024-08-28 00:00:00,60.11
2024-08-27 00:00:00,63.29
2024-08-26 00:00:00,64.09
2024-08-23 00:00:00,59.35
2024-08-22 00:00:00,64.87
2024-08-21 00:00:00,60.91
2024-08-20 00:00:00,58.54
2024-08-19 00:00:00,61.73
2024-08-16 00:00:00,60.95
2024-08-15 00:00:00,62.51
2024-08-14 00:00:00,62.5
2024-08-13 00:00:00,64.89
2024-08-12 00:00:00,64.9
2024-08-09 00:00:00,64.89
2024-08-08 00:00:00,64.88
2024-08-07 00:00:00,64.93
2024-08-06 00:00:00,64.95
2024-08-05 00:00:00,64.9
2024-08-02 00:00:00,64.87
2024-08-01 00:00:00,64.89
2024-07-31 00:00:00,64.88
2024-07-30 00:00:00,64.88
2024-07-29 00:00:00,64.9
2024-07-26 00:00:00,64.91
2024-07-25 00:00:00,64.88
2024-07-24 00:00:00,64.89
2024-07-23 00:00:00,64.9
2024-07-22 00:00:00,64.89
2024-07-19 00:00:00,66.49
2024-07-18 00:00:00,60.92
2024-07-17 00:00:00,63.3
2024-07-16 00:00:00,60.12
2024-07-15 00:00:00,60.93
2024-07-12 00:00:00,56.17
2024-07-11 00:00:00,56.17
2024-07-10 00:00:00,60.15
2024-07-09 00:00:00,65.69
2024-07-08 00:00:00,62.5
2024-07-05 00:00:00,65.71
2024-07-04 00:00:00,65.68
2024-07-03 00:00:00,68.88
2024-07-02 00:00:00,68.88
2024-07-01 00:00:00,68.89
2024-06-28 00:00:00,63.32
