Date,ERST
2024-10-25 00:00:00,68.69
2024-10-24 00:00:00,68.69
2024-10-23 00:00:00,68.26
2024-10-22 00:00:00,70.42
2024-10-21 00:00:00,66.81
2024-10-18 00:00:00,66.6
2024-10-17 00:00:00,67.56
2024-10-16 00:00:00,67.28
2024-10-15 00:00:00,66.06
2024-10-14 00:00:00,69.59
2024-10-11 00:00:00,71.2
2024-10-10 00:00:00,73.33
2024-10-09 00:00:00,73.5
2024-10-08 00:00:00,74.25
2024-10-07 00:00:00,74.28
2024-10-04 00:00:00,69.24
2024-10-03 00:00:00,69.67
2024-10-02 00:00:00,71.23
2024-10-01 00:00:00,73.18
2024-09-30 00:00:00,73.37
2024-09-27 00:00:00,72.94
2024-09-26 00:00:00,73.14
2024-09-25 00:00:00,73.76
2024-09-24 00:00:00,71.77
2024-09-23 00:00:00,72.04
2024-09-20 00:00:00,71.98
2024-09-19 00:00:00,65.36
2024-09-18 00:00:00,66.37
2024-09-17 00:00:00,66.11
2024-09-16 00:00:00,66.27
2024-09-13 00:00:00,69
2024-09-12 00:00:00,72
2024-09-11 00:00:00,72.89
2024-09-10 00:00:00,71.94
2024-09-09 00:00:00,71.28
2024-09-06 00:00:00,71.01
2024-09-05 00:00:00,71.34
2024-09-04 00:00:00,71.43
2024-09-03 00:00:00,70.59
2024-09-02 00:00:00,69.65
2024-08-30 00:00:00,69.1
2024-08-29 00:00:00,66.69
2024-08-28 00:00:00,65.31
2024-08-27 00:00:00,63.59
2024-08-26 00:00:00,64.05
2024-08-23 00:00:00,63.75
2024-08-22 00:00:00,65.62
2024-08-21 00:00:00,66.04
2024-08-20 00:00:00,65.77
2024-08-19 00:00:00,53.88
2024-08-16 00:00:00,54.39
2024-08-15 00:00:00,54.95
2024-08-14 00:00:00,55.94
2024-08-13 00:00:00,56.85
2024-08-12 00:00:00,56.9
2024-08-09 00:00:00,56.9
2024-08-08 00:00:00,56.82
2024-08-07 00:00:00,57.27
2024-08-06 00:00:00,59.02
2024-08-05 00:00:00,59.34
2024-08-02 00:00:00,57.09
2024-08-01 00:00:00,54.9
2024-07-31 00:00:00,54.2
2024-07-30 00:00:00,54.82
2024-07-29 00:00:00,54.93
2024-07-26 00:00:00,59.08
2024-07-25 00:00:00,59.24
2024-07-24 00:00:00,58.46
2024-07-23 00:00:00,57.76
2024-07-22 00:00:00,58.13
2024-07-19 00:00:00,58.67
2024-07-18 00:00:00,58.05
2024-07-17 00:00:00,58.51
2024-07-16 00:00:00,57.55
2024-07-15 00:00:00,55.74
2024-07-12 00:00:00,51.51
2024-07-11 00:00:00,51.47
2024-07-10 00:00:00,51.77
2024-07-09 00:00:00,53.73
2024-07-08 00:00:00,39.53
2024-07-05 00:00:00,39.15
2024-07-04 00:00:00,39.48
2024-07-03 00:00:00,39
2024-07-02 00:00:00,40.1
2024-07-01 00:00:00,41.44
2024-06-28 00:00:00,42.64
2024-06-27 00:00:00,43.29
2024-06-26 00:00:00,47.17
2024-06-25 00:00:00,46.74
2024-06-24 00:00:00,46.93
2024-06-21 00:00:00,47.19
2024-06-20 00:00:00,46.62
2024-06-19 00:00:00,48.26
2024-06-18 00:00:00,51.62
2024-06-17 00:00:00,52.24
2024-06-14 00:00:00,51.57
2024-06-13 00:00:00,49.01
2024-06-12 00:00:00,48.63
2024-06-11 00:00:00,49.31
2024-06-10 00:00:00,48.17
2024-06-07 00:00:00,45.44
2024-06-06 00:00:00,45.11
2024-06-05 00:00:00,45.24
2024-06-04 00:00:00,45.43
2024-06-03 00:00:00,45.63
2024-05-31 00:00:00,48.66
2024-05-30 00:00:00,48.47
2024-05-29 00:00:00,48.49
2024-05-28 00:00:00,47.61
2024-05-27 00:00:00,47.03
2024-05-24 00:00:00,47.29
2024-05-23 00:00:00,45.38
2024-05-22 00:00:00,45.45
2024-05-21 00:00:00,45.58
2024-05-20 00:00:00,47.48
2024-05-17 00:00:00,47.54
2024-05-16 00:00:00,47.35
2024-05-15 00:00:00,47.73
2024-05-14 00:00:00,48.11
2024-05-13 00:00:00,48.09
2024-05-10 00:00:00,50.56
2024-05-09 00:00:00,50.83
2024-05-08 00:00:00,51.04
2024-05-07 00:00:00,50.88
2024-05-06 00:00:00,51.77
2024-05-03 00:00:00,51.59
