Date,HESLN
2024-10-25 00:00:00,43.04
2024-10-24 00:00:00,43.04
2024-10-23 00:00:00,44.91
2024-10-22 00:00:00,43.64
2024-10-21 00:00:00,43.65
2024-10-18 00:00:00,43.64
2024-10-17 00:00:00,44.3
2024-10-16 00:00:00,44.11
2024-10-15 00:00:00,47.27
2024-10-14 00:00:00,47.24
2024-10-11 00:00:00,47.26
2024-10-10 00:00:00,47.3
2024-10-09 00:00:00,47.26
2024-10-08 00:00:00,47.3
2024-10-07 00:00:00,47.33
2024-10-04 00:00:00,49.41
2024-10-03 00:00:00,49.39
2024-10-02 00:00:00,49.36
2024-10-01 00:00:00,49.02
2024-09-30 00:00:00,49.05
2024-09-27 00:00:00,51.03
2024-09-26 00:00:00,50.98
2024-09-25 00:00:00,50.98
2024-09-24 00:00:00,50.96
2024-09-23 00:00:00,50.99
2024-09-20 00:00:00,51.03
2024-09-19 00:00:00,48.89
2024-09-18 00:00:00,48.9
2024-09-17 00:00:00,49.85
2024-09-16 00:00:00,51.69
2024-09-13 00:00:00,51.74
2024-09-12 00:00:00,51.69
2024-09-11 00:00:00,56.78
2024-09-10 00:00:00,56.78
2024-09-09 00:00:00,56.8
2024-09-06 00:00:00,56.8
2024-09-05 00:00:00,56.81
2024-09-04 00:00:00,56.81
2024-09-03 00:00:00,56.79
2024-09-02 00:00:00,56.83
2024-08-30 00:00:00,54.52
2024-08-29 00:00:00,53.12
2024-08-28 00:00:00,53.27
2024-08-27 00:00:00,54.39
2024-08-26 00:00:00,52.28
2024-08-23 00:00:00,52.3
2024-08-22 00:00:00,52.16
2024-08-21 00:00:00,52.17
2024-08-20 00:00:00,51.37
2024-08-19 00:00:00,50.71
2024-08-16 00:00:00,50.72
2024-08-15 00:00:00,50.7
2024-08-14 00:00:00,50.69
2024-08-13 00:00:00,50.69
2024-08-12 00:00:00,50.8
2024-08-09 00:00:00,50.79
2024-08-08 00:00:00,51.45
2024-08-07 00:00:00,51.31
2024-08-06 00:00:00,51.34
2024-08-05 00:00:00,49.67
2024-08-02 00:00:00,43.71
2024-08-01 00:00:00,43.74
2024-07-31 00:00:00,45.8
2024-07-30 00:00:00,45.18
2024-07-29 00:00:00,46.02
2024-07-26 00:00:00,45.04
2024-07-25 00:00:00,44.14
2024-07-24 00:00:00,42.93
2024-07-23 00:00:00,38.97
2024-07-22 00:00:00,38.95
2024-07-19 00:00:00,38.98
2024-07-18 00:00:00,38.94
2024-07-17 00:00:00,38.94
2024-07-16 00:00:00,38.92
2024-07-15 00:00:00,38.95
2024-07-12 00:00:00,38.93
2024-07-11 00:00:00,38.94
2024-07-10 00:00:00,40.54
2024-07-09 00:00:00,40.52
2024-07-08 00:00:00,40.49
2024-07-05 00:00:00,40.55
2024-07-04 00:00:00,41.9
2024-07-03 00:00:00,41.95
2024-07-02 00:00:00,41.97
2024-07-01 00:00:00,42.21
2024-06-28 00:00:00,42.18
2024-06-27 00:00:00,43.75
2024-06-26 00:00:00,44.99
2024-06-25 00:00:00,43.63
2024-06-24 00:00:00,44.17
2024-06-21 00:00:00,42.67
2024-06-20 00:00:00,42.16
2024-06-19 00:00:00,42.15
2024-06-18 00:00:00,42.14
2024-06-17 00:00:00,43.53
2024-06-14 00:00:00,43.45
2024-06-13 00:00:00,43.49
2024-06-12 00:00:00,43.09
2024-06-11 00:00:00,43.08
2024-06-10 00:00:00,45.32
2024-06-07 00:00:00,45.34
2024-06-06 00:00:00,45.31
2024-06-05 00:00:00,45.35
2024-06-04 00:00:00,46.26
2024-06-03 00:00:00,46.31
2024-05-31 00:00:00,46.24
2024-05-30 00:00:00,48.76
2024-05-29 00:00:00,48.78
2024-05-28 00:00:00,46.85
2024-05-27 00:00:00,48.63
2024-05-24 00:00:00,48.63
2024-05-23 00:00:00,54.69
2024-05-22 00:00:00,54.69
2024-05-21 00:00:00,55.78
2024-05-20 00:00:00,55.8
2024-05-17 00:00:00,58.58
2024-05-16 00:00:00,56.43
2024-05-15 00:00:00,57.69
2024-05-14 00:00:00,57.67
2024-05-13 00:00:00,55.32
2024-05-10 00:00:00,56.5
2024-05-09 00:00:00,56.61
2024-05-08 00:00:00,57.5
2024-05-07 00:00:00,58.18
2024-05-06 00:00:00,58.19
2024-05-03 00:00:00,58.17
2024-05-02 00:00:00,58.16
2024-05-01 00:00:00,58.2
2024-04-30 00:00:00,57.42
2024-04-29 00:00:00,74.67
2024-04-26 00:00:00,75.15
2024-04-25 00:00:00,75.97
2024-04-24 00:00:00,77.81
2024-04-23 00:00:00,78.48
2024-04-22 00:00:00,79.74
2024-04-19 00:00:00,84.6
2024-04-18 00:00:00,86.8
2024-04-17 00:00:00,90.74
2024-04-16 00:00:00,95.32
2024-04-15 00:00:00,95.54
2024-04-12 00:00:00,99.91
2024-04-11 00:00:00,97.91
2024-04-10 00:00:00,98.77
2024-04-09 00:00:00,96.28
2024-04-08 00:00:00,99.81
2024-04-05 00:00:00,99.46
2024-04-04 00:00:00,100.14
2024-04-03 00:00:00,101.39
2024-04-02 00:00:00,99.57
2024-04-01 00:00:00,99.27
2024-03-29 00:00:00,97
2024-03-28 00:00:00,96.92
2024-03-27 00:00:00,98.12
2024-03-26 00:00:00,100.39
2024-03-25 00:00:00,100.45
2024-03-22 00:00:00,94.81
2024-03-21 00:00:00,96.82
2024-03-20 00:00:00,102.15
2024-03-19 00:00:00,98.42
2024-03-18 00:00:00,100.82
2024-03-15 00:00:00,99.98
2024-03-14 00:00:00,102.31
2024-03-13 00:00:00,105.71
2024-03-12 00:00:00,105.14
2024-03-11 00:00:00,103.63
2024-03-08 00:00:00,95.86
2024-03-07 00:00:00,98.55
2024-03-06 00:00:00,102.86
2024-03-05 00:00:00,98
2024-03-04 00:00:00,101.4
2024-03-01 00:00:00,100.69
2024-02-29 00:00:00,101.17
2024-02-28 00:00:00,102.25
2024-02-27 00:00:00,100.56
2024-02-26 00:00:00,98.65
2024-02-23 00:00:00,90
2024-02-22 00:00:00,80.42
2024-02-21 00:00:00,81.74
2024-02-20 00:00:00,81.6
2024-02-19 00:00:00,81.5
2024-02-16 00:00:00,82.08
2024-02-15 00:00:00,81.76
2024-02-14 00:00:00,82.67
2024-02-13 00:00:00,83.26
2024-02-12 00:00:00,83.3
2024-02-09 00:00:00,77.84
2024-02-08 00:00:00,78.63
2024-02-07 00:00:00,78.22
2024-02-06 00:00:00,73.73
2024-02-05 00:00:00,71.43
2024-02-02 00:00:00,71.7
2024-02-01 00:00:00,71.53
2024-01-31 00:00:00,67.94
2024-01-30 00:00:00,74.84
2024-01-29 00:00:00,71.58
2024-01-26 00:00:00,74.51
2024-01-25 00:00:00,79.57
2024-01-24 00:00:00,79.61
2024-01-23 00:00:00,80.78
2024-01-22 00:00:00,81.3
2024-01-19 00:00:00,80.42
2024-01-18 00:00:00,81.94
2024-01-17 00:00:00,77.05
2024-01-16 00:00:00,76.3
2024-01-15 00:00:00,75.78
2024-01-12 00:00:00,75.3
2024-01-11 00:00:00,73.36
2024-01-10 00:00:00,74.24
2024-01-09 00:00:00,75.23
2024-01-08 00:00:00,75.24
2024-01-05 00:00:00,75.26
2024-01-04 00:00:00,75.23
2024-01-03 00:00:00,75.27
2024-01-02 00:00:00,75.24
2024-01-01 00:00:00,71.96
2023-12-29 00:00:00,70.46
2023-12-28 00:00:00,64.82
2023-12-27 00:00:00,66.37
2023-12-26 00:00:00,70.26
2023-12-25 00:00:00,72.98
2023-12-22 00:00:00,79.9
2023-12-21 00:00:00,79.89
2023-12-20 00:00:00,79.9
2023-12-19 00:00:00,79.89
2023-12-18 00:00:00,79.88
2023-12-15 00:00:00,80.73
2023-12-14 00:00:00,80.73
2023-12-13 00:00:00,80.73
2023-12-12 00:00:00,82.83
2023-12-11 00:00:00,81.2
2023-12-08 00:00:00,75.05
2023-12-07 00:00:00,75.05
2023-12-06 00:00:00,75.37
2023-12-05 00:00:00,71.73
2023-12-04 00:00:00,76.4
2023-12-01 00:00:00,71.93
2023-11-30 00:00:00,71.95
2023-11-29 00:00:00,69.88
2023-11-28 00:00:00,74.17
2023-11-27 00:00:00,75.46
2023-11-24 00:00:00,81.19
2023-11-23 00:00:00,81.32
2023-11-22 00:00:00,81.52
2023-11-21 00:00:00,79.69
2023-11-20 00:00:00,82.12
2023-11-17 00:00:00,76.57
2023-11-16 00:00:00,74.15
2023-11-15 00:00:00,77.52
2023-11-14 00:00:00,76.41
2023-11-13 00:00:00,83.44
2023-11-10 00:00:00,83.43
2023-11-09 00:00:00,83.43
2023-11-08 00:00:00,81.87
2023-11-07 00:00:00,77.96
2023-11-06 00:00:00,77.54
2023-11-03 00:00:00,71.82
2023-11-02 00:00:00,73.7
2023-11-01 00:00:00,73.74
2023-10-31 00:00:00,76.2
2023-10-30 00:00:00,75.31
2023-10-27 00:00:00,72.97
2023-10-26 00:00:00,71.8
2023-10-25 00:00:00,76.14
2023-10-24 00:00:00,74.99
2023-10-23 00:00:00,79.41
2023-10-20 00:00:00,73.8
2023-10-19 00:00:00,81.41
2023-10-18 00:00:00,83.52
2023-10-17 00:00:00,83.99
2023-10-16 00:00:00,78.05
2023-10-13 00:00:00,77.13
2023-10-12 00:00:00,82.18
2023-10-11 00:00:00,80.34
2023-10-10 00:00:00,78.05
2023-10-09 00:00:00,72.35
2023-10-06 00:00:00,74.65
2023-10-05 00:00:00,68.47
2023-10-04 00:00:00,67.2
2023-10-03 00:00:00,63.9
2023-10-02 00:00:00,65.16
2023-09-29 00:00:00,65.78
2023-09-28 00:00:00,65.81
2023-09-27 00:00:00,60.37
2023-09-26 00:00:00,58.4
2023-09-25 00:00:00,58.35
2023-09-22 00:00:00,58.33
2023-09-21 00:00:00,58.33
2023-09-20 00:00:00,63.19
2023-09-19 00:00:00,60.07
2023-09-18 00:00:00,61.95
2023-09-15 00:00:00,58.99
2023-09-14 00:00:00,61.53
2023-09-13 00:00:00,65.74
2023-09-12 00:00:00,63.75
2023-09-11 00:00:00,63.72
2023-09-08 00:00:00,63.5
2023-09-07 00:00:00,65.62
2023-09-06 00:00:00,65.97
2023-09-05 00:00:00,65.96
2023-09-04 00:00:00,66.9
2023-09-01 00:00:00,66.59
2023-08-31 00:00:00,66.62
2023-08-30 00:00:00,66.6
2023-08-29 00:00:00,63.12
2023-08-28 00:00:00,67.24
2023-08-25 00:00:00,72.82
2023-08-24 00:00:00,68.98
2023-08-23 00:00:00,74.85
2023-08-22 00:00:00,74.85
2023-08-21 00:00:00,71.78
2023-08-18 00:00:00,52.43
2023-08-17 00:00:00,52.41
2023-08-16 00:00:00,52.4
2023-08-15 00:00:00,52.4
2023-08-14 00:00:00,52.43
2023-08-11 00:00:00,52.44
2023-08-10 00:00:00,52.4
2023-08-09 00:00:00,52.44
2023-08-08 00:00:00,52.39
2023-08-07 00:00:00,54.49
2023-08-04 00:00:00,54.52
2023-08-03 00:00:00,54.63
2023-08-02 00:00:00,54.94
2023-08-01 00:00:00,54.9
2023-07-31 00:00:00,58.54
2023-07-28 00:00:00,62.86
2023-07-27 00:00:00,62.85
2023-07-26 00:00:00,62.84
2023-07-25 00:00:00,57.89
2023-07-24 00:00:00,57.87
2023-07-21 00:00:00,57.88
2023-07-20 00:00:00,57.88
2023-07-19 00:00:00,57.88
2023-07-18 00:00:00,57.84
2023-07-17 00:00:00,55.34
2023-07-14 00:00:00,55.32
2023-07-13 00:00:00,55.28
2023-07-12 00:00:00,55.32
2023-07-11 00:00:00,55.31
2023-07-10 00:00:00,55.3
2023-07-07 00:00:00,55.32
2023-07-06 00:00:00,55.34
2023-07-05 00:00:00,51.02
2023-07-04 00:00:00,51.06
2023-07-03 00:00:00,50.99
2023-06-30 00:00:00,47.51
2023-06-29 00:00:00,47.47
2023-06-28 00:00:00,43.45
2023-06-27 00:00:00,43.4
2023-06-26 00:00:00,43.45
2023-06-23 00:00:00,43.44
2023-06-22 00:00:00,43.41
2023-06-21 00:00:00,43.39
2023-06-20 00:00:00,43.42
2023-06-19 00:00:00,43.41
2023-06-16 00:00:00,43.55
2023-06-15 00:00:00,43.51
2023-06-14 00:00:00,43.53
2023-06-13 00:00:00,46.79
2023-06-12 00:00:00,47.24
2023-06-09 00:00:00,47.23
2023-06-08 00:00:00,47.28
2023-06-07 00:00:00,51.58
2023-06-06 00:00:00,51.98
2023-06-05 00:00:00,51.99
2023-06-02 00:00:00,53.03
2023-06-01 00:00:00,49.92
2023-05-31 00:00:00,65.47
2023-05-30 00:00:00,65.48
2023-05-29 00:00:00,65.51
2023-05-26 00:00:00,65.52
2023-05-25 00:00:00,65.51
2023-05-24 00:00:00,65.49
2023-05-23 00:00:00,65.49
2023-05-22 00:00:00,65.46
2023-05-19 00:00:00,65.49
2023-05-18 00:00:00,65.51
2023-05-17 00:00:00,65.52
2023-05-16 00:00:00,65.48
2023-05-15 00:00:00,65.53
2023-05-12 00:00:00,65.51
2023-05-11 00:00:00,65.47
2023-05-10 00:00:00,65.5
2023-05-09 00:00:00,65.47
2023-05-08 00:00:00,71.26
2023-05-05 00:00:00,71.22
2023-05-04 00:00:00,75.7
2023-05-03 00:00:00,75.66
2023-05-02 00:00:00,75.7
2023-05-01 00:00:00,75.69
2023-04-28 00:00:00,75.71
2023-04-27 00:00:00,75.73
2023-04-26 00:00:00,75.69
2023-04-25 00:00:00,76.27
2023-04-24 00:00:00,76.26
2023-04-21 00:00:00,76.26
2023-04-20 00:00:00,76.27
2023-04-19 00:00:00,76.29
2023-04-18 00:00:00,76.26
2023-04-17 00:00:00,76.29
2023-04-14 00:00:00,76.27
2023-04-13 00:00:00,78.16
2023-04-12 00:00:00,74.02
2023-04-11 00:00:00,74.01
2023-04-10 00:00:00,74.02
2023-04-07 00:00:00,74.03
2023-04-06 00:00:00,74.01
2023-04-05 00:00:00,73.96
2023-04-04 00:00:00,73.99
2023-04-03 00:00:00,71.08
2023-03-31 00:00:00,71.11
2023-03-30 00:00:00,71.1
2023-03-29 00:00:00,71.12
2023-03-28 00:00:00,71.09
2023-03-27 00:00:00,71.12
2023-03-24 00:00:00,71.07
2023-03-23 00:00:00,71.06
2023-03-22 00:00:00,71.14
2023-03-21 00:00:00,71.1
2023-03-20 00:00:00,71.08
2023-03-17 00:00:00,67.34
2023-03-16 00:00:00,67.31
2023-03-15 00:00:00,67.28
2023-03-14 00:00:00,67.3
2023-03-13 00:00:00,67.3
2023-03-10 00:00:00,72.31
2023-03-09 00:00:00,72.33
2023-03-08 00:00:00,78.86
2023-03-07 00:00:00,78.64
2023-03-06 00:00:00,74.17
2023-03-03 00:00:00,74.18
2023-03-02 00:00:00,69.76
2023-03-01 00:00:00,65.63
2023-02-28 00:00:00,65.66
2023-02-27 00:00:00,65.63
2023-02-24 00:00:00,65.66
2023-02-23 00:00:00,65.64
2023-02-22 00:00:00,66.39
2023-02-21 00:00:00,69.09
2023-02-20 00:00:00,69.07
2023-02-17 00:00:00,66.78
2023-02-16 00:00:00,66.42
2023-02-15 00:00:00,65.05
2023-02-14 00:00:00,60.12
2023-02-13 00:00:00,60.12
2023-02-10 00:00:00,60.12
2023-02-09 00:00:00,60.09
2023-02-08 00:00:00,65.89
2023-02-07 00:00:00,66.93
2023-02-06 00:00:00,66.92
2023-02-03 00:00:00,66.56
2023-02-02 00:00:00,73.26
2023-02-01 00:00:00,73.27
2023-01-31 00:00:00,69.73
2023-01-30 00:00:00,76.99
2023-01-27 00:00:00,71.25
2023-01-26 00:00:00,74.23
2023-01-25 00:00:00,81.12
2023-01-24 00:00:00,81.14
2023-01-23 00:00:00,81.13
2023-01-20 00:00:00,86.19
2023-01-19 00:00:00,84.33
2023-01-18 00:00:00,77.38
2023-01-17 00:00:00,80.36
2023-01-16 00:00:00,80.38
2023-01-13 00:00:00,78.98
2023-01-12 00:00:00,73.93
2023-01-11 00:00:00,79.93
2023-01-10 00:00:00,85.8
2023-01-09 00:00:00,78.74
2023-01-06 00:00:00,73.08
2023-01-05 00:00:00,72.65
2023-01-04 00:00:00,72.66
2023-01-03 00:00:00,66.84
2023-01-02 00:00:00,65.84
2022-12-30 00:00:00,70.53
2022-12-29 00:00:00,67.15
2022-12-28 00:00:00,75.54
2022-12-27 00:00:00,75.53
2022-12-26 00:00:00,75.53
2022-12-23 00:00:00,75.52
2022-12-22 00:00:00,75.53
2022-12-21 00:00:00,75.53
2022-12-20 00:00:00,75.53
2022-12-19 00:00:00,75.51
2022-12-16 00:00:00,75.53
2022-12-15 00:00:00,75.53
2022-12-14 00:00:00,77.48
2022-12-13 00:00:00,77.47
2022-12-12 00:00:00,77.45
2022-12-09 00:00:00,77.45
2022-12-08 00:00:00,77.44
2022-12-07 00:00:00,77.45
2022-12-06 00:00:00,77.45
2022-12-05 00:00:00,77.46
2022-12-02 00:00:00,77.44
2022-12-01 00:00:00,77.44
2022-11-30 00:00:00,77.46
2022-11-29 00:00:00,77.45
2022-11-28 00:00:00,77.44
2022-11-25 00:00:00,84.89
2022-11-24 00:00:00,82.98
2022-11-23 00:00:00,82.98
2022-11-22 00:00:00,80.09
2022-11-21 00:00:00,77.5
2022-11-18 00:00:00,80.56
2022-11-17 00:00:00,88.12
2022-11-16 00:00:00,82.25
2022-11-15 00:00:00,81.35
2022-11-14 00:00:00,82.22
2022-11-11 00:00:00,81.31
2022-11-10 00:00:00,81.27
2022-11-09 00:00:00,81.29
2022-11-08 00:00:00,86.34
2022-11-07 00:00:00,83.95
2022-11-04 00:00:00,83.38
2022-11-03 00:00:00,85.58
2022-11-02 00:00:00,85.58
2022-11-01 00:00:00,80.69
2022-10-31 00:00:00,79.33
2022-10-28 00:00:00,79.29
2022-10-27 00:00:00,79.31
2022-10-26 00:00:00,87.38
2022-10-25 00:00:00,87.36
2022-10-24 00:00:00,87.54
2022-10-21 00:00:00,88.32
2022-10-20 00:00:00,73.71
2022-10-19 00:00:00,73.72
