Date,RABO
2024-10-25 00:00:00,92.69
2024-10-24 00:00:00,92.69
2024-10-23 00:00:00,92.88
2024-10-22 00:00:00,92.45
2024-10-21 00:00:00,90.72
2024-10-18 00:00:00,89.37
2024-10-17 00:00:00,89.5
2024-10-16 00:00:00,91.53
2024-10-15 00:00:00,91
2024-10-14 00:00:00,92.01
2024-10-11 00:00:00,93.2
2024-10-10 00:00:00,93.38
2024-10-09 00:00:00,94.71
2024-10-08 00:00:00,95.84
2024-10-07 00:00:00,95.54
2024-10-04 00:00:00,96.62
2024-10-03 00:00:00,97.8
2024-10-02 00:00:00,97.85
2024-10-01 00:00:00,97.59
2024-09-30 00:00:00,96.88
2024-09-27 00:00:00,96.31
2024-09-26 00:00:00,95.7
2024-09-25 00:00:00,97.68
2024-09-24 00:00:00,98.12
2024-09-23 00:00:00,97.68
2024-09-20 00:00:00,95.11
2024-09-19 00:00:00,86.69
2024-09-18 00:00:00,89.11
2024-09-17 00:00:00,89
2024-09-16 00:00:00,89.57
2024-09-13 00:00:00,89.33
2024-09-12 00:00:00,92.06
2024-09-11 00:00:00,94.72
2024-09-10 00:00:00,92.51
2024-09-09 00:00:00,91.99
2024-09-06 00:00:00,91.66
2024-09-05 00:00:00,91.51
2024-09-04 00:00:00,91.69
2024-09-03 00:00:00,90.41
2024-09-02 00:00:00,87.85
2024-08-30 00:00:00,87.49
2024-08-29 00:00:00,87.17
2024-08-28 00:00:00,86.92
2024-08-27 00:00:00,86.93
2024-08-26 00:00:00,88.1
2024-08-23 00:00:00,87.43
2024-08-22 00:00:00,88.64
2024-08-21 00:00:00,89.08
2024-08-20 00:00:00,88.9
2024-08-19 00:00:00,87.49
2024-08-16 00:00:00,89.89
2024-08-15 00:00:00,90.33
2024-08-14 00:00:00,95.7
2024-08-13 00:00:00,98.26
2024-08-12 00:00:00,97.35
2024-08-09 00:00:00,97.97
2024-08-08 00:00:00,100.09
2024-08-07 00:00:00,100.29
2024-08-06 00:00:00,107.04
2024-08-05 00:00:00,109.68
2024-08-02 00:00:00,101.79
2024-08-01 00:00:00,94.34
2024-07-31 00:00:00,90.23
2024-07-30 00:00:00,90.08
2024-07-29 00:00:00,89.75
2024-07-26 00:00:00,90.28
2024-07-25 00:00:00,91.65
2024-07-24 00:00:00,88.61
2024-07-23 00:00:00,86.43
2024-07-22 00:00:00,86.89
2024-07-19 00:00:00,87.43
2024-07-18 00:00:00,86.07
2024-07-17 00:00:00,85.56
2024-07-16 00:00:00,83.51
2024-07-15 00:00:00,82.18
2024-07-12 00:00:00,83.2
2024-07-11 00:00:00,83.31
2024-07-10 00:00:00,84.36
2024-07-09 00:00:00,85.65
2024-07-08 00:00:00,82.63
2024-07-05 00:00:00,85.84
2024-07-04 00:00:00,86.26
2024-07-03 00:00:00,89.33
2024-07-02 00:00:00,93.25
2024-07-01 00:00:00,93.73
2024-06-28 00:00:00,100.63
2024-06-27 00:00:00,99.98
2024-06-26 00:00:00,100.1
2024-06-25 00:00:00,97.3
2024-06-24 00:00:00,97.46
2024-06-21 00:00:00,98.62
2024-06-20 00:00:00,96.5
2024-06-19 00:00:00,95.85
2024-06-18 00:00:00,94.95
2024-06-17 00:00:00,98.27
2024-06-14 00:00:00,90.89
2024-06-13 00:00:00,87.71
2024-06-12 00:00:00,83.1
2024-06-11 00:00:00,85.56
2024-06-10 00:00:00,82.15
2024-06-07 00:00:00,79.24
2024-06-06 00:00:00,78.82
2024-06-05 00:00:00,79.22
2024-06-04 00:00:00,79.4
2024-06-03 00:00:00,78.66
2024-05-31 00:00:00,80.08
2024-05-30 00:00:00,80.2
2024-05-29 00:00:00,80.33
2024-05-28 00:00:00,78.77
2024-05-27 00:00:00,79.63
2024-05-24 00:00:00,79.97
2024-05-23 00:00:00,79.49
2024-05-22 00:00:00,79.76
2024-05-21 00:00:00,79.7
2024-05-20 00:00:00,79.88
2024-05-17 00:00:00,80.05
2024-05-16 00:00:00,79.9
2024-05-15 00:00:00,80.87
2024-05-14 00:00:00,82.05
2024-05-13 00:00:00,81.44
2024-05-10 00:00:00,81.65
2024-05-09 00:00:00,82.45
2024-05-08 00:00:00,83.41
2024-05-07 00:00:00,83.11
2024-05-06 00:00:00,85.12
2024-05-03 00:00:00,85.19
2024-05-02 00:00:00,87.05
2024-05-01 00:00:00,88.46
2024-04-30 00:00:00,87.71
2024-04-29 00:00:00,86.7
2024-04-26 00:00:00,87.48
2024-04-25 00:00:00,90.22
2024-04-24 00:00:00,88.81
2024-04-23 00:00:00,89.13
2024-04-22 00:00:00,92.22
2024-04-19 00:00:00,95.56
2024-04-18 00:00:00,94.62
2024-04-17 00:00:00,97.03
2024-04-16 00:00:00,98.65
2024-04-15 00:00:00,94.49
2024-04-12 00:00:00,93.68
2024-04-11 00:00:00,87.93
2024-04-10 00:00:00,87.67
2024-04-09 00:00:00,88
2024-04-08 00:00:00,89.27
2024-04-05 00:00:00,89.85
2024-04-04 00:00:00,87.91
2024-04-03 00:00:00,90.54
2024-04-02 00:00:00,90.74
2024-04-01 00:00:00,89.27
2024-03-29 00:00:00,89.75
2024-03-28 00:00:00,89.19
2024-03-27 00:00:00,89.5
2024-03-26 00:00:00,89.04
2024-03-25 00:00:00,90.5
2024-03-22 00:00:00,91.09
2024-03-21 00:00:00,87.92
2024-03-20 00:00:00,90.27
