Date,BBVA
2024-10-25 00:00:00,122.14
2024-10-24 00:00:00,122.14
2024-10-23 00:00:00,122.67
2024-10-22 00:00:00,123.06
2024-10-21 00:00:00,121.28
2024-10-18 00:00:00,119.04
2024-10-17 00:00:00,119.71
2024-10-16 00:00:00,122.89
2024-10-15 00:00:00,122.49
2024-10-14 00:00:00,123.33
2024-10-11 00:00:00,125.72
2024-10-10 00:00:00,127.64
2024-10-09 00:00:00,129.34
2024-10-08 00:00:00,130.23
2024-10-07 00:00:00,129.82
2024-10-04 00:00:00,130.23
2024-10-03 00:00:00,132.18
2024-10-02 00:00:00,131.61
2024-10-01 00:00:00,131.52
2024-09-30 00:00:00,130.75
2024-09-27 00:00:00,129.04
2024-09-26 00:00:00,129.48
2024-09-25 00:00:00,131.3
2024-09-24 00:00:00,131.05
2024-09-23 00:00:00,130.5
2024-09-20 00:00:00,126.53
2024-09-19 00:00:00,114.49
2024-09-18 00:00:00,117.28
2024-09-17 00:00:00,117.14
2024-09-16 00:00:00,117.98
2024-09-13 00:00:00,118.19
2024-09-12 00:00:00,120.63
2024-09-11 00:00:00,122.84
2024-09-10 00:00:00,120.87
2024-09-09 00:00:00,120.07
2024-09-06 00:00:00,119.97
2024-09-05 00:00:00,119.36
2024-09-04 00:00:00,120.94
2024-09-03 00:00:00,119.79
2024-09-02 00:00:00,115.83
2024-08-30 00:00:00,115.87
2024-08-29 00:00:00,115.29
2024-08-28 00:00:00,114.63
2024-08-27 00:00:00,114.65
2024-08-26 00:00:00,116.39
2024-08-23 00:00:00,115.82
2024-08-22 00:00:00,117.46
2024-08-21 00:00:00,117.86
2024-08-20 00:00:00,118.28
2024-08-19 00:00:00,118.06
2024-08-16 00:00:00,120.83
2024-08-15 00:00:00,120.82
2024-08-14 00:00:00,126.72
2024-08-13 00:00:00,130.59
2024-08-12 00:00:00,129.15
2024-08-09 00:00:00,130.06
2024-08-08 00:00:00,130.61
2024-08-07 00:00:00,130.46
2024-08-06 00:00:00,138.43
2024-08-05 00:00:00,139.86
2024-08-02 00:00:00,133.2
2024-08-01 00:00:00,124.96
2024-07-31 00:00:00,120.79
2024-07-30 00:00:00,121.16
2024-07-29 00:00:00,120.15
2024-07-26 00:00:00,119.82
2024-07-25 00:00:00,121.15
2024-07-24 00:00:00,119.27
2024-07-23 00:00:00,117.31
2024-07-22 00:00:00,117.06
2024-07-19 00:00:00,118.79
2024-07-18 00:00:00,116.82
2024-07-17 00:00:00,116.38
2024-07-16 00:00:00,113.1
2024-07-15 00:00:00,111.8
2024-07-12 00:00:00,113.2
2024-07-11 00:00:00,113.37
2024-07-10 00:00:00,114.29
2024-07-09 00:00:00,116.32
2024-07-08 00:00:00,112.16
2024-07-05 00:00:00,117.16
2024-07-04 00:00:00,117.7
2024-07-03 00:00:00,122.6
2024-07-02 00:00:00,129.93
2024-07-01 00:00:00,130.63
2024-06-28 00:00:00,139.72
2024-06-27 00:00:00,140.41
2024-06-26 00:00:00,139.44
2024-06-25 00:00:00,136.84
2024-06-24 00:00:00,136.65
2024-06-21 00:00:00,142
2024-06-20 00:00:00,139.44
2024-06-19 00:00:00,137.33
2024-06-18 00:00:00,138.66
2024-06-17 00:00:00,141.52
2024-06-14 00:00:00,137.11
2024-06-13 00:00:00,124.68
2024-06-12 00:00:00,119.7
2024-06-11 00:00:00,122.78
2024-06-10 00:00:00,116.82
2024-06-07 00:00:00,113.83
2024-06-06 00:00:00,113.84
2024-06-05 00:00:00,113.86
2024-06-04 00:00:00,113.64
2024-06-03 00:00:00,111.72
2024-05-31 00:00:00,113.2
2024-05-30 00:00:00,113.06
2024-05-29 00:00:00,113.79
2024-05-28 00:00:00,110.57
2024-05-27 00:00:00,110.85
2024-05-24 00:00:00,111.47
2024-05-23 00:00:00,110.84
2024-05-22 00:00:00,111.59
2024-05-21 00:00:00,111.42
2024-05-20 00:00:00,111.25
