Date,CAIX
2024-10-25 00:00:00,148
2024-10-24 00:00:00,148
2024-10-23 00:00:00,150.27
2024-10-22 00:00:00,150.21
2024-10-21 00:00:00,145.67
2024-10-18 00:00:00,138.42
2024-10-17 00:00:00,151.07
2024-10-16 00:00:00,153.7
2024-10-15 00:00:00,155.33
2024-10-14 00:00:00,156.97
2024-10-11 00:00:00,158.81
2024-10-10 00:00:00,158.12
2024-10-09 00:00:00,158.57
2024-10-08 00:00:00,159.54
2024-10-07 00:00:00,159.56
2024-10-04 00:00:00,159.06
2024-10-03 00:00:00,145.22
2024-10-02 00:00:00,145.56
2024-10-01 00:00:00,145.15
2024-09-30 00:00:00,145.46
2024-09-27 00:00:00,139.94
2024-09-26 00:00:00,138.41
2024-09-25 00:00:00,147.06
2024-09-24 00:00:00,146.79
2024-09-23 00:00:00,147.28
2024-09-20 00:00:00,147.08
2024-09-19 00:00:00,138.69
2024-09-18 00:00:00,140.83
2024-09-17 00:00:00,140.38
2024-09-16 00:00:00,145.23
2024-09-13 00:00:00,145.29
2024-09-12 00:00:00,147
2024-09-11 00:00:00,149.72
2024-09-10 00:00:00,145.9
2024-09-09 00:00:00,145.67
2024-09-06 00:00:00,146.4
2024-09-05 00:00:00,145.34
2024-09-04 00:00:00,146.48
2024-09-03 00:00:00,161.33
2024-09-02 00:00:00,159.03
2024-08-30 00:00:00,157.82
2024-08-29 00:00:00,146.88
2024-08-28 00:00:00,147.17
2024-08-27 00:00:00,139.47
2024-08-26 00:00:00,140.46
2024-08-23 00:00:00,139.75
2024-08-22 00:00:00,141.16
2024-08-21 00:00:00,142.05
2024-08-20 00:00:00,141.89
2024-08-19 00:00:00,142.62
2024-08-16 00:00:00,143.95
2024-08-15 00:00:00,145.5
2024-08-14 00:00:00,144.7
2024-08-13 00:00:00,147.05
2024-08-12 00:00:00,147.12
2024-08-09 00:00:00,147.18
2024-08-08 00:00:00,154.34
2024-08-07 00:00:00,155.33
2024-08-06 00:00:00,160.02
2024-08-05 00:00:00,161.15
2024-08-02 00:00:00,144.82
2024-08-01 00:00:00,144.8
2024-07-31 00:00:00,144.84
2024-07-30 00:00:00,142.88
2024-07-29 00:00:00,141.49
2024-07-26 00:00:00,145.99
2024-07-25 00:00:00,146
2024-07-24 00:00:00,146.04
2024-07-23 00:00:00,143.6
2024-07-22 00:00:00,143.47
2024-07-19 00:00:00,144.48
2024-07-18 00:00:00,142.79
2024-07-17 00:00:00,143.94
2024-07-16 00:00:00,142.39
2024-07-15 00:00:00,145.63
2024-07-12 00:00:00,145.58
2024-07-11 00:00:00,142.58
2024-07-10 00:00:00,143.49
2024-07-09 00:00:00,143.43
2024-07-08 00:00:00,143.23
2024-07-05 00:00:00,144.43
2024-07-04 00:00:00,142.35
2024-07-03 00:00:00,143.96
2024-07-02 00:00:00,143.04
2024-07-01 00:00:00,144.09
2024-06-28 00:00:00,145.03
2024-06-27 00:00:00,145
2024-06-26 00:00:00,144.96
2024-06-25 00:00:00,144.83
2024-06-24 00:00:00,144.82
2024-06-21 00:00:00,151.82
2024-06-20 00:00:00,150.14
2024-06-19 00:00:00,151.8
2024-06-18 00:00:00,151.65
2024-06-17 00:00:00,150.65
2024-06-14 00:00:00,143.62
2024-06-13 00:00:00,142.17
2024-06-12 00:00:00,141.55
