Date,COMZ
2024-10-25 00:00:00,134.95
2024-10-24 00:00:00,134.95
2024-10-23 00:00:00,137.58
2024-10-22 00:00:00,137.69
2024-10-21 00:00:00,135.69
2024-10-18 00:00:00,133.96
2024-10-17 00:00:00,135.17
2024-10-16 00:00:00,138.4
2024-10-15 00:00:00,138.34
2024-10-14 00:00:00,140.6
2024-10-11 00:00:00,142.95
2024-10-10 00:00:00,144.33
2024-10-09 00:00:00,145.22
2024-10-08 00:00:00,147.48
2024-10-07 00:00:00,147.83
2024-10-04 00:00:00,148.26
2024-10-03 00:00:00,151.39
2024-10-02 00:00:00,151.55
2024-10-01 00:00:00,152.08
2024-09-30 00:00:00,152.35
2024-09-27 00:00:00,150.76
2024-09-26 00:00:00,151.32
2024-09-25 00:00:00,153.62
2024-09-24 00:00:00,154.24
2024-09-23 00:00:00,154.45
2024-09-20 00:00:00,150.89
2024-09-19 00:00:00,135.81
2024-09-18 00:00:00,139.64
2024-09-17 00:00:00,139.38
2024-09-16 00:00:00,140.44
2024-09-13 00:00:00,140.92
2024-09-12 00:00:00,142
2024-09-11 00:00:00,145.66
2024-09-10 00:00:00,147.44
2024-09-09 00:00:00,146.48
2024-09-06 00:00:00,145.99
2024-09-05 00:00:00,145.58
2024-09-04 00:00:00,146.4
2024-09-03 00:00:00,145.25
2024-09-02 00:00:00,141.9
2024-08-30 00:00:00,141.1
2024-08-29 00:00:00,140.54
2024-08-28 00:00:00,139.95
2024-08-27 00:00:00,139.95
2024-08-26 00:00:00,141.37
2024-08-23 00:00:00,141.36
2024-08-22 00:00:00,142.06
2024-08-21 00:00:00,143.61
2024-08-20 00:00:00,143.19
2024-08-19 00:00:00,143.01
2024-08-16 00:00:00,144.67
2024-08-15 00:00:00,146.68
2024-08-14 00:00:00,152.51
2024-08-13 00:00:00,157.07
2024-08-12 00:00:00,155
2024-08-09 00:00:00,155.89
2024-08-08 00:00:00,156.93
2024-08-07 00:00:00,158.38
2024-08-06 00:00:00,168.99
2024-08-05 00:00:00,168.05
2024-08-02 00:00:00,159.33
2024-08-01 00:00:00,150.29
2024-07-31 00:00:00,144.09
2024-07-30 00:00:00,145.02
2024-07-29 00:00:00,143.59
2024-07-26 00:00:00,145.01
2024-07-25 00:00:00,146.09
2024-07-24 00:00:00,142.05
2024-07-23 00:00:00,139.5
2024-07-22 00:00:00,138.71
2024-07-19 00:00:00,140.76
2024-07-18 00:00:00,139.35
2024-07-17 00:00:00,139.6
2024-07-16 00:00:00,136.32
2024-07-15 00:00:00,135.79
2024-07-12 00:00:00,136.67
2024-07-11 00:00:00,136.9
2024-07-10 00:00:00,137.72
2024-07-09 00:00:00,139.77
2024-07-08 00:00:00,136.37
2024-07-05 00:00:00,140.95
2024-07-04 00:00:00,143.14
2024-07-03 00:00:00,150.1
2024-07-02 00:00:00,156.33
2024-07-01 00:00:00,157.16
2024-06-28 00:00:00,165.73
2024-06-27 00:00:00,166.86
2024-06-26 00:00:00,167.37
2024-06-25 00:00:00,163.44
2024-06-24 00:00:00,163.56
2024-06-21 00:00:00,167.3
2024-06-20 00:00:00,163.24
2024-06-19 00:00:00,163.93
2024-06-18 00:00:00,161.16
2024-06-17 00:00:00,164.42
2024-06-14 00:00:00,159.32
2024-06-13 00:00:00,149.79
2024-06-12 00:00:00,145.41
2024-06-11 00:00:00,147.12
2024-06-10 00:00:00,143.81
2024-06-07 00:00:00,139.3
2024-06-06 00:00:00,139.4
2024-06-05 00:00:00,139.32
2024-06-04 00:00:00,139.83
2024-06-03 00:00:00,138.84
2024-05-31 00:00:00,141.38
2024-05-30 00:00:00,141.97
2024-05-29 00:00:00,141.67
2024-05-28 00:00:00,139.55
2024-05-27 00:00:00,140.12
2024-05-24 00:00:00,140.12
2024-05-23 00:00:00,139.84
2024-05-22 00:00:00,142.51
2024-05-21 00:00:00,142.52
2024-05-20 00:00:00,143.62
2024-05-17 00:00:00,144.72
2024-05-16 00:00:00,144.91
2024-05-15 00:00:00,146.52
2024-05-14 00:00:00,153.39
2024-05-13 00:00:00,152.39
2024-05-10 00:00:00,153.67
2024-05-09 00:00:00,154.4
2024-05-08 00:00:00,156.65
2024-05-07 00:00:00,156.74
2024-05-06 00:00:00,160.13
2024-05-03 00:00:00,160.17
2024-05-02 00:00:00,162.42
2024-05-01 00:00:00,164.05
2024-04-30 00:00:00,162.28
2024-04-29 00:00:00,161.66
2024-04-26 00:00:00,163.8
2024-04-25 00:00:00,169.05
2024-04-24 00:00:00,166.46
2024-04-23 00:00:00,166.18
2024-04-22 00:00:00,170.49
2024-04-19 00:00:00,173.72
2024-04-18 00:00:00,173.67
2024-04-17 00:00:00,174.46
2024-04-16 00:00:00,177.94
2024-04-15 00:00:00,172.67
2024-04-12 00:00:00,169.8
2024-04-11 00:00:00,162.86
2024-04-10 00:00:00,159.04
2024-04-09 00:00:00,159.3
2024-04-08 00:00:00,160.7
2024-04-05 00:00:00,161.41
2024-04-04 00:00:00,159.31
2024-04-03 00:00:00,162.12
2024-04-02 00:00:00,161.89
2024-04-01 00:00:00,162.13
2024-03-29 00:00:00,162.12
2024-03-28 00:00:00,162.13
2024-03-27 00:00:00,163.6
2024-03-26 00:00:00,163.39
2024-03-25 00:00:00,165.5
2024-03-22 00:00:00,167.48
2024-03-21 00:00:00,163.17
2024-03-20 00:00:00,166.93
2024-03-19 00:00:00,155.05
2024-03-18 00:00:00,155.07
2024-03-15 00:00:00,156.26
2024-03-14 00:00:00,155.07
2024-03-13 00:00:00,156.53
2024-03-12 00:00:00,161.7
2024-03-11 00:00:00,166.09
2024-03-08 00:00:00,166.89
2024-03-07 00:00:00,168.73
2024-03-06 00:00:00,173.46
2024-03-05 00:00:00,176.8
2024-03-04 00:00:00,176.34
2024-03-01 00:00:00,178.55
2024-02-29 00:00:00,178.2
2024-02-28 00:00:00,177.44
2024-02-27 00:00:00,177.36
2024-02-26 00:00:00,175.26
2024-02-23 00:00:00,174.62
2024-02-22 00:00:00,176.5
2024-02-21 00:00:00,180.1
2024-02-20 00:00:00,179.73
2024-02-19 00:00:00,178.85
2024-02-16 00:00:00,179.72
2024-02-15 00:00:00,182.82
2024-02-14 00:00:00,187.21
2024-02-13 00:00:00,186.69
2024-02-12 00:00:00,186.1
2024-02-09 00:00:00,192.91
2024-02-08 00:00:00,197.6
2024-02-07 00:00:00,195.35
2024-02-06 00:00:00,191.15
2024-02-05 00:00:00,188.29
2024-02-02 00:00:00,185.13
2024-02-01 00:00:00,187.41
2024-01-31 00:00:00,183.52
2024-01-30 00:00:00,175.31
2024-01-29 00:00:00,177
2024-01-26 00:00:00,177.73
2024-01-25 00:00:00,179.6
2024-01-24 00:00:00,178.76
2024-01-23 00:00:00,181.96
2024-01-22 00:00:00,182.35
2024-01-19 00:00:00,185.73
2024-01-18 00:00:00,187.29
2024-01-17 00:00:00,195.51
2024-01-16 00:00:00,190.88
2024-01-15 00:00:00,189.39
2024-01-12 00:00:00,187.08
2024-01-11 00:00:00,187.97
2024-01-10 00:00:00,189.88
2024-01-09 00:00:00,194.3
2024-01-08 00:00:00,196.12
2024-01-05 00:00:00,198.45
2024-01-04 00:00:00,196.21
2024-01-03 00:00:00,194.39
2024-01-02 00:00:00,187.45
2024-01-01 00:00:00,180.66
2023-12-29 00:00:00,180.69
2023-12-28 00:00:00,183.6
2023-12-27 00:00:00,183.51
2023-12-26 00:00:00,183.78
2023-12-25 00:00:00,183.74
2023-12-22 00:00:00,183.76
2023-12-21 00:00:00,185.4
2023-12-20 00:00:00,184.41
2023-12-19 00:00:00,185.26
2023-12-18 00:00:00,188.43
2023-12-15 00:00:00,183.05
2023-12-14 00:00:00,179.01
2023-12-13 00:00:00,191.14
2023-12-12 00:00:00,194.69
2023-12-11 00:00:00,194.87
2023-12-08 00:00:00,198.59
2023-12-07 00:00:00,200.63
2023-12-06 00:00:00,202.87
2023-12-05 00:00:00,205.45
2023-12-04 00:00:00,205.65
2023-12-01 00:00:00,205
2023-11-30 00:00:00,208.48
2023-11-29 00:00:00,210.63
2023-11-28 00:00:00,218.67
2023-11-27 00:00:00,216.25
2023-11-24 00:00:00,212.2
2023-11-23 00:00:00,213.71
2023-11-22 00:00:00,217.07
2023-11-21 00:00:00,220.53
2023-11-20 00:00:00,215.28
2023-11-17 00:00:00,217.43
2023-11-16 00:00:00,218.77
2023-11-15 00:00:00,216.6
2023-11-14 00:00:00,225.86
2023-11-13 00:00:00,235.53
2023-11-10 00:00:00,239.72
2023-11-09 00:00:00,236.36
2023-11-08 00:00:00,238.51
2023-11-07 00:00:00,239.84
2023-11-06 00:00:00,238.88
2023-11-03 00:00:00,238.68
2023-11-02 00:00:00,241.31
2023-11-01 00:00:00,254.82
2023-10-31 00:00:00,256.67
2023-10-30 00:00:00,259.78
2023-10-27 00:00:00,262.63
2023-10-26 00:00:00,265.65
2023-10-25 00:00:00,265.96
2023-10-24 00:00:00,264.82
2023-10-23 00:00:00,272.95
2023-10-20 00:00:00,273.17
2023-10-19 00:00:00,269.39
2023-10-18 00:00:00,265.45
2023-10-17 00:00:00,263.51
2023-10-16 00:00:00,261.34
2023-10-13 00:00:00,262.78
2023-10-12 00:00:00,258.33
2023-10-11 00:00:00,263.06
2023-10-10 00:00:00,271.14
2023-10-09 00:00:00,286.44
2023-10-06 00:00:00,283.01
2023-10-05 00:00:00,278.4
2023-10-04 00:00:00,271.37
2023-10-03 00:00:00,270.81
2023-10-02 00:00:00,264.1
2023-09-29 00:00:00,253.48
2023-09-28 00:00:00,264.42
2023-09-27 00:00:00,270.1
2023-09-26 00:00:00,266.41
2023-09-25 00:00:00,261.64
2023-09-22 00:00:00,262.13
2023-09-21 00:00:00,256.52
2023-09-20 00:00:00,248.94
2023-09-19 00:00:00,235.22
2023-09-18 00:00:00,241.33
2023-09-15 00:00:00,231.78
2023-09-14 00:00:00,237.57
2023-09-13 00:00:00,240.13
2023-09-12 00:00:00,237.15
2023-09-11 00:00:00,235.62
2023-09-08 00:00:00,236.83
2023-09-07 00:00:00,236.95
2023-09-06 00:00:00,236.66
2023-09-05 00:00:00,232.49
2023-09-04 00:00:00,228.5
2023-09-01 00:00:00,231.51
2023-08-31 00:00:00,230.45
2023-08-30 00:00:00,229.37
2023-08-29 00:00:00,232.14
2023-08-28 00:00:00,237.01
2023-08-25 00:00:00,237.12
2023-08-24 00:00:00,237.54
2023-08-23 00:00:00,237.23
2023-08-22 00:00:00,239.74
2023-08-21 00:00:00,238.53
2023-08-18 00:00:00,241.4
2023-08-17 00:00:00,228.36
2023-08-16 00:00:00,224.66
2023-08-15 00:00:00,224.56
2023-08-14 00:00:00,221.18
2023-08-11 00:00:00,219.69
2023-08-10 00:00:00,219.62
2023-08-09 00:00:00,223.79
2023-08-08 00:00:00,229.58
2023-08-07 00:00:00,224.22
2023-08-04 00:00:00,224.6
2023-08-03 00:00:00,231.51
2023-08-02 00:00:00,227.19
2023-08-01 00:00:00,221.84
2023-07-31 00:00:00,217.8
2023-07-28 00:00:00,222.13
2023-07-27 00:00:00,222.74
2023-07-26 00:00:00,231.05
2023-07-25 00:00:00,229.62
2023-07-24 00:00:00,228.36
2023-07-21 00:00:00,225.63
2023-07-20 00:00:00,228.26
2023-07-19 00:00:00,225.57
2023-07-18 00:00:00,226.57
2023-07-17 00:00:00,228.63
2023-07-14 00:00:00,225.91
2023-07-13 00:00:00,220.36
2023-07-12 00:00:00,229.4
2023-07-11 00:00:00,241.41
2023-07-10 00:00:00,247.04
2023-07-07 00:00:00,247.37
2023-07-06 00:00:00,244.94
2023-07-05 00:00:00,237.25
2023-07-04 00:00:00,234.61
2023-07-03 00:00:00,235.54
2023-06-30 00:00:00,237.89
2023-06-29 00:00:00,244.35
2023-06-28 00:00:00,248.09
2023-06-27 00:00:00,235.45
2023-06-26 00:00:00,238.41
2023-06-23 00:00:00,236.49
2023-06-22 00:00:00,235.65
2023-06-21 00:00:00,233.15
2023-06-20 00:00:00,230.79
2023-06-19 00:00:00,227.81
2023-06-16 00:00:00,228.72
2023-06-15 00:00:00,232.06
2023-06-14 00:00:00,229.11
2023-06-13 00:00:00,225.51
2023-06-12 00:00:00,222.92
2023-06-09 00:00:00,223.17
2023-06-08 00:00:00,223.39
2023-06-07 00:00:00,219.76
2023-06-06 00:00:00,221.34
2023-06-05 00:00:00,220.96
2023-06-02 00:00:00,221.73
2023-06-01 00:00:00,224.42
2023-05-31 00:00:00,228.75
2023-05-30 00:00:00,223.67
2023-05-29 00:00:00,225.26
2023-05-26 00:00:00,225.23
2023-05-25 00:00:00,233.84
2023-05-24 00:00:00,236.66
2023-05-23 00:00:00,227.3
2023-05-22 00:00:00,229.22
2023-05-19 00:00:00,227.95
2023-05-18 00:00:00,244.61
2023-05-17 00:00:00,255.19
2023-05-16 00:00:00,257.36
2023-05-15 00:00:00,262.97
2023-05-12 00:00:00,267.62
2023-05-11 00:00:00,276.63
2023-05-10 00:00:00,279.79
2023-05-09 00:00:00,278.52
2023-05-08 00:00:00,269.67
2023-05-05 00:00:00,269.9
2023-05-04 00:00:00,279.5
2023-05-03 00:00:00,272.34
2023-05-02 00:00:00,266.67
2023-05-01 00:00:00,262.67
2023-04-28 00:00:00,262.52
2023-04-27 00:00:00,267.4
2023-04-26 00:00:00,271.31
2023-04-25 00:00:00,263.23
2023-04-24 00:00:00,259.95
2023-04-21 00:00:00,262.2
2023-04-20 00:00:00,257.71
2023-04-19 00:00:00,255.69
2023-04-18 00:00:00,251.36
2023-04-17 00:00:00,255.03
2023-04-14 00:00:00,258.16
2023-04-13 00:00:00,267.99
2023-04-12 00:00:00,272.2
2023-04-11 00:00:00,285
2023-04-10 00:00:00,293.74
2023-04-07 00:00:00,293.71
2023-04-06 00:00:00,293.85
2023-04-05 00:00:00,293.68
2023-04-04 00:00:00,273.8
2023-04-03 00:00:00,262.9
2023-03-31 00:00:00,268.02
