Date,ERST
2024-10-25 00:00:00,60.7
2024-10-24 00:00:00,60.7
2024-10-23 00:00:00,60.22
2024-10-22 00:00:00,62.39
2024-10-21 00:00:00,58.78
2024-10-18 00:00:00,58.59
2024-10-17 00:00:00,59.55
2024-10-16 00:00:00,59.21
2024-10-15 00:00:00,57.98
2024-10-14 00:00:00,61.44
2024-10-11 00:00:00,62.98
2024-10-10 00:00:00,65.14
2024-10-09 00:00:00,65.28
2024-10-08 00:00:00,66.01
2024-10-07 00:00:00,66.05
2024-10-04 00:00:00,61
2024-10-03 00:00:00,61.38
2024-10-02 00:00:00,62.94
2024-10-01 00:00:00,64.89
2024-09-30 00:00:00,65.06
2024-09-27 00:00:00,64.68
2024-09-26 00:00:00,64.85
2024-09-25 00:00:00,65.4
2024-09-24 00:00:00,63.41
2024-09-23 00:00:00,63.65
2024-09-20 00:00:00,63.62
2024-09-19 00:00:00,57.05
2024-09-18 00:00:00,57.94
2024-09-17 00:00:00,57.7
2024-09-16 00:00:00,57.85
2024-09-13 00:00:00,60.52
2024-09-12 00:00:00,63.41
2024-09-11 00:00:00,64.19
2024-09-10 00:00:00,63.35
2024-09-09 00:00:00,62.78
2024-09-06 00:00:00,62.54
2024-09-05 00:00:00,62.84
2024-09-04 00:00:00,62.91
2024-09-03 00:00:00,62.17
2024-09-02 00:00:00,61.35
2024-08-30 00:00:00,60.87
2024-08-29 00:00:00,58.47
2024-08-28 00:00:00,57.06
2024-08-27 00:00:00,55.31
2024-08-26 00:00:00,55.71
2024-08-23 00:00:00,55.45
2024-08-22 00:00:00,57.23
2024-08-21 00:00:00,57.61
2024-08-20 00:00:00,57.28
2024-08-19 00:00:00,45.41
2024-08-16 00:00:00,45.85
2024-08-15 00:00:00,46.31
2024-08-14 00:00:00,47.14
2024-08-13 00:00:00,47.91
2024-08-12 00:00:00,47.95
2024-08-09 00:00:00,47.95
2024-08-08 00:00:00,47.87
2024-08-07 00:00:00,48.28
2024-08-06 00:00:00,49.76
2024-08-05 00:00:00,50.01
2024-08-02 00:00:00,48.1
2024-08-01 00:00:00,46.26
2024-07-31 00:00:00,45.67
2024-07-30 00:00:00,46.27
2024-07-29 00:00:00,46.36
2024-07-26 00:00:00,50.51
2024-07-25 00:00:00,50.64
2024-07-24 00:00:00,49.98
2024-07-23 00:00:00,49.39
2024-07-22 00:00:00,49.7
2024-07-19 00:00:00,50.16
2024-07-18 00:00:00,49.62
2024-07-17 00:00:00,50.02
2024-07-16 00:00:00,49.19
2024-07-15 00:00:00,47.43
2024-07-12 00:00:00,43.21
2024-07-11 00:00:00,43.17
2024-07-10 00:00:00,43.44
2024-07-09 00:00:00,45.28
2024-07-08 00:00:00,31.09
2024-07-05 00:00:00,30.65
2024-07-04 00:00:00,30.89
2024-07-03 00:00:00,30.28
2024-07-02 00:00:00,31.13
2024-07-01 00:00:00,32.47
2024-06-28 00:00:00,33.4
2024-06-27 00:00:00,34.07
2024-06-26 00:00:00,37.94
2024-06-25 00:00:00,37.59
2024-06-24 00:00:00,37.75
2024-06-21 00:00:00,37.95
2024-06-20 00:00:00,37.49
2024-06-19 00:00:00,39.13
2024-06-18 00:00:00,42.48
2024-06-17 00:00:00,43
2024-06-14 00:00:00,42.43
2024-06-13 00:00:00,40.34
2024-06-12 00:00:00,40.03
2024-06-11 00:00:00,40.59
2024-06-10 00:00:00,39.65
2024-06-07 00:00:00,36.93
2024-06-06 00:00:00,36.65
2024-06-05 00:00:00,36.77
2024-06-04 00:00:00,36.91
2024-06-03 00:00:00,37.09
2024-05-31 00:00:00,40.11
2024-05-30 00:00:00,39.96
2024-05-29 00:00:00,39.98
2024-05-28 00:00:00,39.25
2024-05-27 00:00:00,38.71
2024-05-24 00:00:00,38.92
2024-05-23 00:00:00,37.01
2024-05-22 00:00:00,37.08
2024-05-21 00:00:00,37.17
2024-05-20 00:00:00,39.04
2024-05-17 00:00:00,39.09
2024-05-16 00:00:00,38.91
2024-05-15 00:00:00,39.24
2024-05-14 00:00:00,39.54
2024-05-13 00:00:00,39.54
2024-05-10 00:00:00,41.88
2024-05-09 00:00:00,42.1
2024-05-08 00:00:00,42.26
2024-05-07 00:00:00,42.12
2024-05-06 00:00:00,43.02
2024-05-03 00:00:00,42.86
2024-05-02 00:00:00,43.71
2024-05-01 00:00:00,44.29
2024-04-30 00:00:00,44.03
2024-04-29 00:00:00,43.64
2024-04-26 00:00:00,43.89
2024-04-25 00:00:00,44.39
2024-04-24 00:00:00,43.93
2024-04-23 00:00:00,43.51
2024-04-22 00:00:00,44.09
2024-04-19 00:00:00,44.85
2024-04-18 00:00:00,44.09
2024-04-17 00:00:00,46.7
2024-04-16 00:00:00,47.21
2024-04-15 00:00:00,46.08
2024-04-12 00:00:00,44.61
2024-04-11 00:00:00,43.72
2024-04-10 00:00:00,45.02
2024-04-09 00:00:00,45.06
2024-04-08 00:00:00,45.25
2024-04-05 00:00:00,45.18
2024-04-04 00:00:00,44.4
2024-04-03 00:00:00,45.23
2024-04-02 00:00:00,45.06
2024-04-01 00:00:00,44.94
2024-03-29 00:00:00,43.71
2024-03-28 00:00:00,42.71
2024-03-27 00:00:00,43.33
2024-03-26 00:00:00,43.65
2024-03-25 00:00:00,50.08
2024-03-22 00:00:00,48.73
2024-03-21 00:00:00,48.14
2024-03-20 00:00:00,49.35
2024-03-19 00:00:00,44.74
2024-03-18 00:00:00,44.41
2024-03-15 00:00:00,44.67
2024-03-14 00:00:00,46.79
2024-03-13 00:00:00,47.18
2024-03-12 00:00:00,50.34
2024-03-11 00:00:00,51.35
2024-03-08 00:00:00,51.14
2024-03-07 00:00:00,52.1
2024-03-06 00:00:00,52.68
2024-03-05 00:00:00,52.65
2024-03-04 00:00:00,53.36
2024-03-01 00:00:00,52.11
2024-02-29 00:00:00,50.21
2024-02-28 00:00:00,52.02
2024-02-27 00:00:00,49.4
2024-02-26 00:00:00,49.41
2024-02-23 00:00:00,52.84
2024-02-22 00:00:00,53.86
2024-02-21 00:00:00,55.52
2024-02-20 00:00:00,55.43
2024-02-19 00:00:00,55.37
2024-02-16 00:00:00,54.55
2024-02-15 00:00:00,54.3
2024-02-14 00:00:00,54.35
2024-02-13 00:00:00,54.49
2024-02-12 00:00:00,54.54
2024-02-09 00:00:00,57.01
2024-02-08 00:00:00,57.59
2024-02-07 00:00:00,57.26
2024-02-06 00:00:00,54.48
2024-02-05 00:00:00,57.16
2024-02-02 00:00:00,57.38
2024-02-01 00:00:00,57.23
2024-01-31 00:00:00,57.01
2024-01-30 00:00:00,56.96
2024-01-29 00:00:00,56.98
2024-01-26 00:00:00,57.18
2024-01-25 00:00:00,57.49
2024-01-24 00:00:00,57.53
2024-01-23 00:00:00,60.43
2024-01-22 00:00:00,59.06
2024-01-19 00:00:00,60.01
2024-01-18 00:00:00,61.59
2024-01-17 00:00:00,60.43
2024-01-16 00:00:00,59.86
2024-01-15 00:00:00,59.46
2024-01-12 00:00:00,59.05
2024-01-11 00:00:00,58.08
2024-01-10 00:00:00,60.9
