Date,HESLN
2024-10-25 00:00:00,34.5
2024-10-24 00:00:00,34.5
2024-10-23 00:00:00,36.02
2024-10-22 00:00:00,34.99
2024-10-21 00:00:00,35
2024-10-18 00:00:00,34.99
2024-10-17 00:00:00,35.51
2024-10-16 00:00:00,35.36
2024-10-15 00:00:00,38.02
2024-10-14 00:00:00,37.98
2024-10-11 00:00:00,38.01
2024-10-10 00:00:00,38.06
2024-10-09 00:00:00,38.02
2024-10-08 00:00:00,38.06
2024-10-07 00:00:00,38.09
2024-10-04 00:00:00,39.76
2024-10-03 00:00:00,39.73
2024-10-02 00:00:00,39.71
2024-10-01 00:00:00,39.43
2024-09-30 00:00:00,39.46
2024-09-27 00:00:00,41.07
2024-09-26 00:00:00,41.01
2024-09-25 00:00:00,41.01
2024-09-24 00:00:00,40.98
2024-09-23 00:00:00,41.01
2024-09-20 00:00:00,41.06
2024-09-19 00:00:00,39.21
2024-09-18 00:00:00,39.22
2024-09-17 00:00:00,39.96
2024-09-16 00:00:00,41.44
2024-09-13 00:00:00,41.51
2024-09-12 00:00:00,41.44
2024-09-11 00:00:00,44.98
2024-09-10 00:00:00,44.98
2024-09-09 00:00:00,45.01
2024-09-06 00:00:00,45.01
2024-09-05 00:00:00,45.02
2024-09-04 00:00:00,45.02
2024-09-03 00:00:00,44.99
2024-09-02 00:00:00,45.04
2024-08-30 00:00:00,43.21
2024-08-29 00:00:00,42.09
2024-08-28 00:00:00,42.2
2024-08-27 00:00:00,43.1
2024-08-26 00:00:00,41.43
2024-08-23 00:00:00,41.45
2024-08-22 00:00:00,41.32
2024-08-21 00:00:00,41.34
2024-08-20 00:00:00,40.71
2024-08-19 00:00:00,40.19
2024-08-16 00:00:00,40.21
2024-08-15 00:00:00,40.18
2024-08-14 00:00:00,40.17
2024-08-13 00:00:00,40.17
2024-08-12 00:00:00,40.27
2024-08-09 00:00:00,40.25
2024-08-08 00:00:00,40.77
2024-08-07 00:00:00,40.69
2024-08-06 00:00:00,40.72
2024-08-05 00:00:00,39.37
2024-08-02 00:00:00,34.82
2024-08-01 00:00:00,34.85
2024-07-31 00:00:00,36.49
2024-07-30 00:00:00,35.99
2024-07-29 00:00:00,36.67
2024-07-26 00:00:00,35.7
2024-07-25 00:00:00,34.97
2024-07-24 00:00:00,34.02
2024-07-23 00:00:00,30.88
2024-07-22 00:00:00,30.87
2024-07-19 00:00:00,30.9
2024-07-18 00:00:00,30.85
2024-07-17 00:00:00,30.86
2024-07-16 00:00:00,30.83
2024-07-15 00:00:00,30.87
2024-07-12 00:00:00,30.85
2024-07-11 00:00:00,30.85
2024-07-10 00:00:00,32.12
2024-07-09 00:00:00,32.11
2024-07-08 00:00:00,32.08
2024-07-05 00:00:00,32.14
2024-07-04 00:00:00,33.19
2024-07-03 00:00:00,33.25
2024-07-02 00:00:00,33.26
2024-07-01 00:00:00,33.46
2024-06-28 00:00:00,33.42
2024-06-27 00:00:00,34.67
2024-06-26 00:00:00,35.66
2024-06-25 00:00:00,34.57
2024-06-24 00:00:00,35
2024-06-21 00:00:00,33.81
2024-06-20 00:00:00,33.4
2024-06-19 00:00:00,33.39
2024-06-18 00:00:00,33.38
2024-06-17 00:00:00,34.5
2024-06-14 00:00:00,34.41
2024-06-13 00:00:00,34.45
2024-06-12 00:00:00,34.14
2024-06-11 00:00:00,34.14
2024-06-10 00:00:00,35.91
2024-06-07 00:00:00,35.93
2024-06-06 00:00:00,35.9
2024-06-05 00:00:00,35.94
2024-06-04 00:00:00,36.66
2024-06-03 00:00:00,36.72
2024-05-31 00:00:00,36.63
2024-05-30 00:00:00,38.76
2024-05-29 00:00:00,38.78
2024-05-28 00:00:00,37.24
2024-05-27 00:00:00,38.65
2024-05-24 00:00:00,38.64
2024-05-23 00:00:00,39.93
2024-05-22 00:00:00,39.93
2024-05-21 00:00:00,40.72
2024-05-20 00:00:00,40.74
2024-05-17 00:00:00,42.76
2024-05-16 00:00:00,41.18
2024-05-15 00:00:00,42.12
2024-05-14 00:00:00,42.09
2024-05-13 00:00:00,40.4
2024-05-10 00:00:00,41.76
2024-05-09 00:00:00,41.84
2024-05-08 00:00:00,42.51
2024-05-07 00:00:00,43
2024-05-06 00:00:00,43.02
2024-05-03 00:00:00,42.98
2024-05-02 00:00:00,42.98
2024-05-01 00:00:00,43.03
2024-04-30 00:00:00,42.44
2024-04-29 00:00:00,69.45
2024-04-26 00:00:00,69.89
2024-04-25 00:00:00,70.66
2024-04-24 00:00:00,72.55
2024-04-23 00:00:00,73.22
2024-04-22 00:00:00,74.42
