Date,INGB
2024-10-25 00:00:00,69.6
2024-10-24 00:00:00,69.6
2024-10-23 00:00:00,71.04
2024-10-22 00:00:00,69.85
2024-10-21 00:00:00,72.05
2024-10-18 00:00:00,71.18
2024-10-17 00:00:00,71.51
2024-10-16 00:00:00,69.53
2024-10-15 00:00:00,72.57
2024-10-14 00:00:00,71.03
2024-10-11 00:00:00,73.97
2024-10-10 00:00:00,70.04
2024-10-09 00:00:00,77.53
2024-10-08 00:00:00,76.67
2024-10-07 00:00:00,70.36
2024-10-04 00:00:00,79.54
2024-10-03 00:00:00,84.46
2024-10-02 00:00:00,83.37
2024-10-01 00:00:00,84.4
2024-09-30 00:00:00,84.12
2024-09-27 00:00:00,74.49
2024-09-26 00:00:00,77.52
2024-09-25 00:00:00,76.18
2024-09-24 00:00:00,76
2024-09-23 00:00:00,75.98
2024-09-20 00:00:00,69.81
2024-09-19 00:00:00,76.73
2024-09-18 00:00:00,70.43
2024-09-17 00:00:00,75.72
2024-09-16 00:00:00,71.94
2024-09-13 00:00:00,75.42
2024-09-12 00:00:00,74.07
2024-09-11 00:00:00,72.47
2024-09-10 00:00:00,72.58
2024-09-09 00:00:00,71.03
2024-09-06 00:00:00,72.92
2024-09-05 00:00:00,70.13
2024-09-04 00:00:00,72.33
2024-09-03 00:00:00,74.75
2024-09-02 00:00:00,70.14
2024-08-30 00:00:00,73.35
2024-08-29 00:00:00,71.75
2024-08-28 00:00:00,72.76
2024-08-27 00:00:00,70.05
2024-08-26 00:00:00,68.44
2024-08-23 00:00:00,67.92
2024-08-22 00:00:00,70.83
2024-08-21 00:00:00,69.58
2024-08-20 00:00:00,71.46
2024-08-19 00:00:00,70.97
2024-08-16 00:00:00,68.55
2024-08-15 00:00:00,70.57
2024-08-14 00:00:00,72.53
2024-08-13 00:00:00,80.38
2024-08-12 00:00:00,74.1
2024-08-09 00:00:00,75.24
2024-08-08 00:00:00,81.38
2024-08-07 00:00:00,72
2024-08-06 00:00:00,86.15
2024-08-05 00:00:00,72.43
2024-08-02 00:00:00,81.41
2024-08-01 00:00:00,73.89
2024-07-31 00:00:00,67.78
2024-07-30 00:00:00,68.99
2024-07-29 00:00:00,71.82
2024-07-26 00:00:00,70.46
2024-07-25 00:00:00,71.75
2024-07-24 00:00:00,72.55
2024-07-23 00:00:00,72
2024-07-22 00:00:00,71.22
2024-07-19 00:00:00,67.4
2024-07-18 00:00:00,69.37
2024-07-17 00:00:00,73.93
2024-07-16 00:00:00,70.01
2024-07-15 00:00:00,70.31
2024-07-12 00:00:00,69.06
2024-07-11 00:00:00,71.39
2024-07-10 00:00:00,71.76
2024-07-09 00:00:00,73.96
2024-07-08 00:00:00,72.23
2024-07-05 00:00:00,83.27
2024-07-04 00:00:00,72.88
2024-07-03 00:00:00,75.64
2024-07-02 00:00:00,75.5
2024-07-01 00:00:00,72.35
2024-06-28 00:00:00,76.52
2024-06-27 00:00:00,75.03
2024-06-26 00:00:00,83.91
2024-06-25 00:00:00,72.72
2024-06-24 00:00:00,69.74
2024-06-21 00:00:00,68.89
2024-06-20 00:00:00,69.71
2024-06-19 00:00:00,71.23
2024-06-18 00:00:00,70.79
2024-06-17 00:00:00,73.12
2024-06-14 00:00:00,86.19
2024-06-13 00:00:00,84.71
2024-06-12 00:00:00,73.52
2024-06-11 00:00:00,73.43
2024-06-10 00:00:00,74.29
2024-06-07 00:00:00,73.18
2024-06-06 00:00:00,69.15
2024-06-05 00:00:00,68.02
2024-06-04 00:00:00,69.44
2024-06-03 00:00:00,77.61
2024-05-31 00:00:00,78.72
2024-05-30 00:00:00,78.79
2024-05-29 00:00:00,79.9
2024-05-28 00:00:00,82.21
2024-05-27 00:00:00,81.63
2024-05-24 00:00:00,81.99
2024-05-23 00:00:00,82.16
2024-05-22 00:00:00,81.51
2024-05-21 00:00:00,82.48
2024-05-20 00:00:00,82.92
2024-05-17 00:00:00,82.12
2024-05-16 00:00:00,83.56
2024-05-15 00:00:00,84.48
2024-05-14 00:00:00,84.27
2024-05-13 00:00:00,81.4
2024-05-10 00:00:00,82.39
2024-05-09 00:00:00,81.27
2024-05-08 00:00:00,81.47
2024-05-07 00:00:00,83.75
2024-05-06 00:00:00,85.84
2024-05-03 00:00:00,85.91
2024-05-02 00:00:00,82.48
2024-05-01 00:00:00,85.11
2024-04-30 00:00:00,80.03
2024-04-29 00:00:00,82.14
2024-04-26 00:00:00,83.27
2024-04-25 00:00:00,88.59
2024-04-24 00:00:00,83.37
2024-04-23 00:00:00,82.03
2024-04-22 00:00:00,82.07
2024-04-19 00:00:00,83.44
2024-04-18 00:00:00,84.75
2024-04-17 00:00:00,81.78
2024-04-16 00:00:00,85.19
2024-04-15 00:00:00,87.14
2024-04-12 00:00:00,83.34
2024-04-11 00:00:00,82.86
2024-04-10 00:00:00,82.7
2024-04-09 00:00:00,82.62
2024-04-08 00:00:00,82.15
2024-04-05 00:00:00,83.07
2024-04-04 00:00:00,82.99
2024-04-03 00:00:00,83.58
2024-04-02 00:00:00,81.83
2024-04-01 00:00:00,80.74
2024-03-29 00:00:00,81.18
2024-03-28 00:00:00,80.66
2024-03-27 00:00:00,82.46
2024-03-26 00:00:00,81.21
2024-03-25 00:00:00,81.41
2024-03-22 00:00:00,83.37
2024-03-21 00:00:00,85.35
2024-03-20 00:00:00,85.37
2024-03-19 00:00:00,84.16
2024-03-18 00:00:00,84.42
2024-03-15 00:00:00,85.18
2024-03-14 00:00:00,84.33
2024-03-13 00:00:00,85.3
2024-03-12 00:00:00,84.94
2024-03-11 00:00:00,86.57
2024-03-08 00:00:00,85.62
2024-03-07 00:00:00,86.16
2024-03-06 00:00:00,87.43
2024-03-05 00:00:00,88.08
2024-03-04 00:00:00,88.25
2024-03-01 00:00:00,85.39
2024-02-29 00:00:00,85.2
2024-02-28 00:00:00,87.86
2024-02-27 00:00:00,84.57
2024-02-26 00:00:00,86.03
2024-02-23 00:00:00,85.61
2024-02-22 00:00:00,85.36
2024-02-21 00:00:00,91.45
2024-02-20 00:00:00,90.35
2024-02-19 00:00:00,98.07
2024-02-16 00:00:00,96.86
2024-02-15 00:00:00,98.18
2024-02-14 00:00:00,95.82
2024-02-13 00:00:00,95.2
2024-02-12 00:00:00,98.34
2024-02-09 00:00:00,97
2024-02-08 00:00:00,96.83
2024-02-07 00:00:00,96.65
2024-02-06 00:00:00,93.8
2024-02-05 00:00:00,98.16
2024-02-02 00:00:00,97.02
2024-02-01 00:00:00,98.98
2024-01-31 00:00:00,96.97
2024-01-30 00:00:00,96.16
2024-01-29 00:00:00,95.64
