Date,KBCB
2024-10-25 00:00:00,105.56
2024-10-24 00:00:00,105.56
2024-10-23 00:00:00,107.21
2024-10-22 00:00:00,107.14
2024-10-21 00:00:00,105.86
2024-10-18 00:00:00,106.75
2024-10-17 00:00:00,106.6
2024-10-16 00:00:00,107.47
2024-10-15 00:00:00,107.08
2024-10-14 00:00:00,108.18
2024-10-11 00:00:00,114.71
2024-10-10 00:00:00,112.53
2024-10-09 00:00:00,121.27
2024-10-08 00:00:00,121.27
2024-10-07 00:00:00,129.99
2024-10-04 00:00:00,124.94
2024-10-03 00:00:00,125.78
2024-10-02 00:00:00,126.08
2024-10-01 00:00:00,125.71
2024-09-30 00:00:00,138.88
2024-09-27 00:00:00,134.48
2024-09-26 00:00:00,136.73
2024-09-25 00:00:00,150.53
2024-09-24 00:00:00,150.26
2024-09-23 00:00:00,150.76
2024-09-20 00:00:00,150.55
2024-09-19 00:00:00,136.55
2024-09-18 00:00:00,138.65
2024-09-17 00:00:00,136.16
2024-09-16 00:00:00,126.66
2024-09-13 00:00:00,132.22
2024-09-12 00:00:00,127.03
2024-09-11 00:00:00,128.66
2024-09-10 00:00:00,126.69
2024-09-09 00:00:00,126.38
2024-09-06 00:00:00,120.79
2024-09-05 00:00:00,126.14
2024-09-04 00:00:00,116.77
2024-09-03 00:00:00,123.4
2024-09-02 00:00:00,102.09
2024-08-30 00:00:00,101.3
2024-08-29 00:00:00,101.13
2024-08-28 00:00:00,101.34
2024-08-27 00:00:00,101.77
2024-08-26 00:00:00,102.49
2024-08-23 00:00:00,101.99
2024-08-22 00:00:00,102.99
2024-08-21 00:00:00,103.64
2024-08-20 00:00:00,103.53
2024-08-19 00:00:00,104.07
2024-08-16 00:00:00,105.05
2024-08-15 00:00:00,106.17
2024-08-14 00:00:00,108.11
2024-08-13 00:00:00,109.86
2024-08-12 00:00:00,109.93
2024-08-09 00:00:00,109.96
2024-08-08 00:00:00,109.83
2024-08-07 00:00:00,110.58
2024-08-06 00:00:00,113.92
2024-08-05 00:00:00,114.68
2024-08-02 00:00:00,110.39
2024-08-01 00:00:00,113.7
2024-07-31 00:00:00,112.28
2024-07-30 00:00:00,112.28
2024-07-29 00:00:00,112.44
2024-07-26 00:00:00,112.68
2024-07-25 00:00:00,124.49
2024-07-24 00:00:00,122.81
2024-07-23 00:00:00,121.31
2024-07-22 00:00:00,122.11
2024-07-19 00:00:00,127.41
2024-07-18 00:00:00,116
2024-07-17 00:00:00,123.59
2024-07-16 00:00:00,117.58
2024-07-15 00:00:00,115.44
2024-07-12 00:00:00,112.1
2024-07-11 00:00:00,111.99
2024-07-10 00:00:00,112.63
2024-07-09 00:00:00,126.03
2024-07-08 00:00:00,116.66
2024-07-05 00:00:00,126.15
2024-07-04 00:00:00,127.42
2024-07-03 00:00:00,141.36
2024-07-02 00:00:00,145.43
2024-07-01 00:00:00,145.91
2024-06-28 00:00:00,137.66
2024-06-27 00:00:00,133.91
2024-06-26 00:00:00,139.53
2024-06-25 00:00:00,131.7
2024-06-24 00:00:00,135.43
2024-06-21 00:00:00,129.91
2024-06-20 00:00:00,139.84
2024-06-19 00:00:00,137.12
2024-06-18 00:00:00,123.33
2024-06-17 00:00:00,124.75
2024-06-14 00:00:00,123.31
2024-06-13 00:00:00,127.16
2024-06-12 00:00:00,124.21
2024-06-11 00:00:00,126
2024-06-10 00:00:00,128.17
2024-06-07 00:00:00,125.85
2024-06-06 00:00:00,125
2024-06-05 00:00:00,125.22
2024-06-04 00:00:00,123.44
2024-06-03 00:00:00,127.28
2024-05-31 00:00:00,128.24
2024-05-30 00:00:00,141.74
2024-05-29 00:00:00,141.76
2024-05-28 00:00:00,131.21
2024-05-27 00:00:00,121.56
2024-05-24 00:00:00,128.22
2024-05-23 00:00:00,141.82
2024-05-22 00:00:00,131.26
2024-05-21 00:00:00,121.79
2024-05-20 00:00:00,132.19
2024-05-17 00:00:00,139.84
2024-05-16 00:00:00,131.93
2024-05-15 00:00:00,134.35
2024-05-14 00:00:00,135.54
2024-05-13 00:00:00,123.86
2024-05-10 00:00:00,131.36
2024-05-09 00:00:00,120.58
2024-05-08 00:00:00,121.35
2024-05-07 00:00:00,120.99
2024-05-06 00:00:00,123.39
2024-05-03 00:00:00,119.82
2024-05-02 00:00:00,128.43
2024-05-01 00:00:00,139.91
2024-04-30 00:00:00,127.22
2024-04-29 00:00:00,125.9
