Date,LBBW
2024-10-25 00:00:00,30.58
2024-10-24 00:00:00,30.58
2024-10-23 00:00:00,30.16
2024-10-22 00:00:00,30.12
2024-10-21 00:00:00,30.13
2024-10-18 00:00:00,30.11
2024-10-17 00:00:00,31.14
2024-10-16 00:00:00,31.14
2024-10-15 00:00:00,30.65
2024-10-14 00:00:00,32.22
2024-10-11 00:00:00,33.26
2024-10-10 00:00:00,32.3
2024-10-09 00:00:00,33.33
2024-10-08 00:00:00,34.38
2024-10-07 00:00:00,34.41
2024-10-04 00:00:00,32.86
2024-10-03 00:00:00,32.82
2024-10-02 00:00:00,32.85
2024-10-01 00:00:00,32.81
2024-09-30 00:00:00,32.85
2024-09-27 00:00:00,36.12
2024-09-26 00:00:00,36.16
2024-09-25 00:00:00,36.47
2024-09-24 00:00:00,36.36
2024-09-23 00:00:00,38.77
2024-09-20 00:00:00,38.78
2024-09-19 00:00:00,36.81
2024-09-18 00:00:00,37.02
2024-09-17 00:00:00,36.84
2024-09-16 00:00:00,36.96
2024-09-13 00:00:00,39.44
2024-09-12 00:00:00,43.45
2024-09-11 00:00:00,43.96
2024-09-10 00:00:00,43.39
2024-09-09 00:00:00,43.01
2024-09-06 00:00:00,42.85
2024-09-05 00:00:00,43.06
2024-09-04 00:00:00,43.11
2024-09-03 00:00:00,42.59
2024-09-02 00:00:00,42.05
2024-08-30 00:00:00,38.99
2024-08-29 00:00:00,38.84
2024-08-28 00:00:00,37.5
2024-08-27 00:00:00,34.56
2024-08-26 00:00:00,34.81
2024-08-23 00:00:00,34.67
2024-08-22 00:00:00,36.12
2024-08-21 00:00:00,36.37
2024-08-20 00:00:00,33.07
2024-08-19 00:00:00,30.93
2024-08-16 00:00:00,31.24
2024-08-15 00:00:00,31.54
2024-08-14 00:00:00,32.1
2024-08-13 00:00:00,32.62
2024-08-12 00:00:00,30.95
2024-08-09 00:00:00,30.94
2024-08-08 00:00:00,30.88
2024-08-07 00:00:00,31.19
2024-08-06 00:00:00,32.17
2024-08-05 00:00:00,32.28
2024-08-02 00:00:00,31.01
2024-08-01 00:00:00,32.51
2024-07-31 00:00:00,35.5
2024-07-30 00:00:00,34.67
2024-07-29 00:00:00,36.82
2024-07-26 00:00:00,37.64
2024-07-25 00:00:00,35.5
2024-07-24 00:00:00,35.13
2024-07-23 00:00:00,34.72
2024-07-22 00:00:00,36.11
2024-07-19 00:00:00,36.46
2024-07-18 00:00:00,36.05
2024-07-17 00:00:00,39.73
2024-07-16 00:00:00,35.64
2024-07-15 00:00:00,35.68
2024-07-12 00:00:00,35.34
2024-07-11 00:00:00,35.31
2024-07-10 00:00:00,35.53
2024-07-09 00:00:00,33.94
2024-07-08 00:00:00,33.43
2024-07-05 00:00:00,33.58
2024-07-04 00:00:00,35.22
2024-07-03 00:00:00,35.69
2024-07-02 00:00:00,36.63
2024-07-01 00:00:00,36.91
2024-06-28 00:00:00,37.98
2024-06-27 00:00:00,41.71
2024-06-26 00:00:00,41.71
2024-06-25 00:00:00,41.33
2024-06-24 00:00:00,41.5
2024-06-21 00:00:00,41.73
2024-06-20 00:00:00,41.22
2024-06-19 00:00:00,41.38
2024-06-18 00:00:00,41.25
2024-06-17 00:00:00,41.76
2024-06-14 00:00:00,41.2
2024-06-13 00:00:00,42.03
2024-06-12 00:00:00,41.7
2024-06-11 00:00:00,45.94
