Date,SWEN
2024-10-25 00:00:00,108.52
2024-10-24 00:00:00,108.52
2024-10-23 00:00:00,109.23
2024-10-22 00:00:00,110.87
2024-10-21 00:00:00,108.77
2024-10-18 00:00:00,107.26
2024-10-17 00:00:00,107.31
2024-10-16 00:00:00,109.15
2024-10-15 00:00:00,110.34
2024-10-14 00:00:00,110.85
2024-10-11 00:00:00,112.47
2024-10-10 00:00:00,113.61
2024-10-09 00:00:00,114.96
2024-10-08 00:00:00,116.2
2024-10-07 00:00:00,115.64
2024-10-04 00:00:00,115.79
2024-10-03 00:00:00,117.97
2024-10-02 00:00:00,118.05
2024-10-01 00:00:00,118.77
2024-09-30 00:00:00,116.6
2024-09-27 00:00:00,115
2024-09-26 00:00:00,115.68
2024-09-25 00:00:00,116.8
2024-09-24 00:00:00,117.47
2024-09-23 00:00:00,117.27
2024-09-20 00:00:00,111.73
2024-09-19 00:00:00,103.82
2024-09-18 00:00:00,105.94
2024-09-17 00:00:00,105.75
2024-09-16 00:00:00,106.24
2024-09-13 00:00:00,105.89
2024-09-12 00:00:00,109.01
2024-09-11 00:00:00,112.31
2024-09-10 00:00:00,109.5
2024-09-09 00:00:00,109.41
2024-09-06 00:00:00,108.28
2024-09-05 00:00:00,108.13
2024-09-04 00:00:00,108.36
2024-09-03 00:00:00,107.73
2024-09-02 00:00:00,104.87
2024-08-30 00:00:00,104.69
2024-08-29 00:00:00,103.98
2024-08-28 00:00:00,103.42
2024-08-27 00:00:00,103.37
2024-08-26 00:00:00,105.15
2024-08-23 00:00:00,104.33
2024-08-22 00:00:00,105.82
2024-08-21 00:00:00,105.77
2024-08-20 00:00:00,106.45
2024-08-19 00:00:00,105.9
2024-08-16 00:00:00,108.42
2024-08-15 00:00:00,109.96
2024-08-14 00:00:00,115.6
2024-08-13 00:00:00,119.95
2024-08-12 00:00:00,118.61
2024-08-09 00:00:00,118.99
2024-08-08 00:00:00,119.86
2024-08-07 00:00:00,120.51
2024-08-06 00:00:00,124.77
2024-08-05 00:00:00,128.86
2024-08-02 00:00:00,119.25
2024-08-01 00:00:00,112.34
2024-07-31 00:00:00,107.08
2024-07-30 00:00:00,107.51
2024-07-29 00:00:00,106.68
2024-07-26 00:00:00,108.28
2024-07-25 00:00:00,109.47
2024-07-24 00:00:00,107.89
2024-07-23 00:00:00,105.29
2024-07-22 00:00:00,104.83
2024-07-19 00:00:00,107.34
2024-07-18 00:00:00,106.01
2024-07-17 00:00:00,107.57
2024-07-16 00:00:00,108.23
2024-07-15 00:00:00,107.25
2024-07-12 00:00:00,108.36
2024-07-11 00:00:00,109.9
2024-07-10 00:00:00,111.4
2024-07-09 00:00:00,112.47
2024-07-08 00:00:00,110.04
2024-07-05 00:00:00,114.03
2024-07-04 00:00:00,114.43
2024-07-03 00:00:00,116.89
2024-07-02 00:00:00,122.58
2024-07-01 00:00:00,124.09
2024-06-28 00:00:00,131.65
2024-06-27 00:00:00,132.22
2024-06-26 00:00:00,131.04
2024-06-25 00:00:00,128.44
2024-06-24 00:00:00,128.49
2024-06-21 00:00:00,129.27
2024-06-20 00:00:00,128.99
2024-06-19 00:00:00,128.11
2024-06-18 00:00:00,126.81
2024-06-17 00:00:00,128.48
2024-06-14 00:00:00,119.71
2024-06-13 00:00:00,115.6
2024-06-12 00:00:00,111.92
2024-06-11 00:00:00,114.14
2024-06-10 00:00:00,109.14
2024-06-07 00:00:00,106.64
2024-06-06 00:00:00,106.66
2024-06-05 00:00:00,106.9
2024-06-04 00:00:00,106.74
2024-06-03 00:00:00,105.9
2024-05-31 00:00:00,107.3
2024-05-30 00:00:00,107.44
2024-05-29 00:00:00,106.95
2024-05-28 00:00:00,105.04
2024-05-27 00:00:00,105.27
2024-05-24 00:00:00,105.73
2024-05-23 00:00:00,105.97
2024-05-22 00:00:00,107.96
2024-05-21 00:00:00,108.44
2024-05-20 00:00:00,108.81
2024-05-17 00:00:00,108.82
2024-05-16 00:00:00,108.98
2024-05-15 00:00:00,110.41
2024-05-14 00:00:00,114.73
2024-05-13 00:00:00,114.36
2024-05-10 00:00:00,115.13
2024-05-09 00:00:00,114.48
2024-05-08 00:00:00,116.7
2024-05-07 00:00:00,116.73
2024-05-06 00:00:00,118.48
2024-05-03 00:00:00,118.61
2024-05-02 00:00:00,121.28
2024-05-01 00:00:00,122.5
2024-04-30 00:00:00,121
2024-04-29 00:00:00,119.22
2024-04-26 00:00:00,122.58
2024-04-25 00:00:00,124.64
2024-04-24 00:00:00,121.85
2024-04-23 00:00:00,120
2024-04-22 00:00:00,123.78
2024-04-19 00:00:00,126.96
2024-04-18 00:00:00,128.19
2024-04-17 00:00:00,129.15
2024-04-16 00:00:00,130.29
2024-04-15 00:00:00,122.1
2024-04-12 00:00:00,121.14
2024-04-11 00:00:00,116.81
2024-04-10 00:00:00,112.71
2024-04-09 00:00:00,115.56
2024-04-08 00:00:00,117.87
2024-04-05 00:00:00,116.53
2024-04-04 00:00:00,114.55
2024-04-03 00:00:00,115.72
2024-04-02 00:00:00,114.37
2024-04-01 00:00:00,115.32
2024-03-29 00:00:00,115.95
2024-03-28 00:00:00,115.22
2024-03-27 00:00:00,115.59
2024-03-26 00:00:00,115.63
2024-03-25 00:00:00,115.76
2024-03-22 00:00:00,115.52
2024-03-21 00:00:00,111.87
2024-03-20 00:00:00,115.27
2024-03-19 00:00:00,104.28
2024-03-18 00:00:00,103.68
2024-03-15 00:00:00,103.06
2024-03-14 00:00:00,102.55
2024-03-13 00:00:00,103.65
2024-03-12 00:00:00,107.01
2024-03-11 00:00:00,107.76
2024-03-08 00:00:00,108.5
2024-03-07 00:00:00,108.89
2024-03-06 00:00:00,113.29
2024-03-05 00:00:00,114.98
2024-03-04 00:00:00,114.28
2024-03-01 00:00:00,116.46
2024-02-29 00:00:00,117.36
2024-02-28 00:00:00,116.67
2024-02-27 00:00:00,116.19
2024-02-26 00:00:00,116.34
2024-02-23 00:00:00,115.32
2024-02-22 00:00:00,115.8
2024-02-21 00:00:00,119.63
2024-02-20 00:00:00,119.99
2024-02-19 00:00:00,119.58
2024-02-16 00:00:00,119.51
2024-02-15 00:00:00,121.86
2024-02-14 00:00:00,123.52
2024-02-13 00:00:00,123.84
2024-02-12 00:00:00,123.2
2024-02-09 00:00:00,126.14
2024-02-08 00:00:00,127.91
2024-02-07 00:00:00,127.23
2024-02-06 00:00:00,124.84
2024-02-05 00:00:00,124.05
2024-02-02 00:00:00,124.73
2024-02-01 00:00:00,129.78
2024-01-31 00:00:00,126.51
2024-01-30 00:00:00,123.4
2024-01-29 00:00:00,124.94
2024-01-26 00:00:00,125.79
2024-01-25 00:00:00,127.06
2024-01-24 00:00:00,127.4
2024-01-23 00:00:00,131.43
2024-01-22 00:00:00,130.71
2024-01-19 00:00:00,132.47
2024-01-18 00:00:00,133.08
2024-01-17 00:00:00,135.01
2024-01-16 00:00:00,133.03
2024-01-15 00:00:00,131.23
2024-01-12 00:00:00,130.17
2024-01-11 00:00:00,131.18
2024-01-10 00:00:00,131.93
2024-01-09 00:00:00,136.36
2024-01-08 00:00:00,139.27
2024-01-05 00:00:00,139.22
2024-01-04 00:00:00,139
2024-01-03 00:00:00,139.88
2024-01-02 00:00:00,133.87
2024-01-01 00:00:00,130
2023-12-29 00:00:00,131.01
2023-12-28 00:00:00,132.17
2023-12-27 00:00:00,131.18
2023-12-26 00:00:00,131.45
2023-12-25 00:00:00,131.12
2023-12-22 00:00:00,131.33
2023-12-21 00:00:00,132.32
2023-12-20 00:00:00,132.44
2023-12-19 00:00:00,132.3
2023-12-18 00:00:00,131.97
2023-12-15 00:00:00,129.57
2023-12-14 00:00:00,130.54
2023-12-13 00:00:00,138.38
2023-12-12 00:00:00,140.65
2023-12-11 00:00:00,141.73
2023-12-08 00:00:00,142.48
2023-12-07 00:00:00,142.54
2023-12-06 00:00:00,143.33
2023-12-05 00:00:00,143.48
2023-12-04 00:00:00,141.85
2023-12-01 00:00:00,142.03
2023-11-30 00:00:00,146.41
2023-11-29 00:00:00,148.75
2023-11-28 00:00:00,153.23
2023-11-27 00:00:00,151.8
2023-11-24 00:00:00,149.18
2023-11-23 00:00:00,151.54
2023-11-22 00:00:00,153.61
2023-11-21 00:00:00,157.46
2023-11-20 00:00:00,157.56
2023-11-17 00:00:00,160.82
2023-11-16 00:00:00,161.08
2023-11-15 00:00:00,159.68
2023-11-14 00:00:00,163.57
2023-11-13 00:00:00,168.57
