Date,COMZ
2024-10-25 00:00:00,137.69
2024-10-24 00:00:00,137.69
2024-10-23 00:00:00,140.435
2024-10-22 00:00:00,140.56
2024-10-21 00:00:00,138.495
2024-10-18 00:00:00,136.505
2024-10-17 00:00:00,137.905
2024-10-16 00:00:00,141.11
2024-10-15 00:00:00,140.91
2024-10-14 00:00:00,143.305
2024-10-11 00:00:00,145.485
2024-10-10 00:00:00,147.185
2024-10-09 00:00:00,147.895
2024-10-08 00:00:00,150.31
2024-10-07 00:00:00,150.765
2024-10-04 00:00:00,151.23
2024-10-03 00:00:00,154.48
2024-10-02 00:00:00,154.715
2024-10-01 00:00:00,155.23
2024-09-30 00:00:00,155.675
2024-09-27 00:00:00,153.88
2024-09-26 00:00:00,154.395
2024-09-25 00:00:00,156.735
2024-09-24 00:00:00,157.46
2024-09-23 00:00:00,157.6
2024-09-20 00:00:00,154.06
2024-09-19 00:00:00,138.82
2024-09-18 00:00:00,142.945
2024-09-17 00:00:00,142.47
2024-09-16 00:00:00,143.635
2024-09-13 00:00:00,144
2024-09-12 00:00:00,145.22
2024-09-11 00:00:00,148.75
2024-09-10 00:00:00,150.66
2024-09-09 00:00:00,149.48
2024-09-06 00:00:00,149.18
2024-09-05 00:00:00,148.65
2024-09-04 00:00:00,149.495
2024-09-03 00:00:00,148.25
2024-09-02 00:00:00,145.255
2024-08-30 00:00:00,144.495
2024-08-29 00:00:00,143.97
2024-08-28 00:00:00,143.375
2024-08-27 00:00:00,143.565
2024-08-26 00:00:00,144.91
2024-08-23 00:00:00,144.895
2024-08-22 00:00:00,145.195
2024-08-21 00:00:00,146.79
2024-08-20 00:00:00,146.545
2024-08-19 00:00:00,146.435
2024-08-16 00:00:00,148.09
2024-08-15 00:00:00,149.825
2024-08-14 00:00:00,155.83
2024-08-13 00:00:00,160.1
2024-08-12 00:00:00,158.345
2024-08-09 00:00:00,159.555
2024-08-08 00:00:00,160.725
2024-08-07 00:00:00,162.285
2024-08-06 00:00:00,172.39
2024-08-05 00:00:00,172.36
2024-08-02 00:00:00,163.39
2024-08-01 00:00:00,153.885
2024-07-31 00:00:00,147.385
2024-07-30 00:00:00,148.21
2024-07-29 00:00:00,146.865
