Date,DZ
2024-10-25 00:00:00,48.97
2024-10-24 00:00:00,48.97
2024-10-23 00:00:00,51.815
2024-10-22 00:00:00,54.58
2024-10-21 00:00:00,51.095
2024-10-18 00:00:00,51.08
2024-10-17 00:00:00,52.48
2024-10-16 00:00:00,49.685
2024-10-15 00:00:00,48.97
2024-10-14 00:00:00,51.735
2024-10-11 00:00:00,53.16
2024-10-10 00:00:00,52.495
2024-10-09 00:00:00,53.865
2024-10-08 00:00:00,52.5
2024-10-07 00:00:00,48.33
2024-10-04 00:00:00,48.305
2024-10-03 00:00:00,48.275
2024-10-02 00:00:00,48.295
2024-10-01 00:00:00,48.27
2024-09-30 00:00:00,51.795
2024-09-27 00:00:00,50.42
2024-09-26 00:00:00,51.77
2024-09-25 00:00:00,55.265
2024-09-24 00:00:00,56.645
2024-09-23 00:00:00,56.67
2024-09-20 00:00:00,56.705
2024-09-19 00:00:00,51.74
2024-09-18 00:00:00,56.59
2024-09-17 00:00:00,56.55
2024-09-16 00:00:00,51.74
2024-09-13 00:00:00,53.175
2024-09-12 00:00:00,51.05
2024-09-11 00:00:00,51.015
2024-09-10 00:00:00,52.405
2024-09-09 00:00:00,52.43
2024-09-06 00:00:00,50.36
2024-09-05 00:00:00,53.13
2024-09-04 00:00:00,49.675
2024-09-03 00:00:00,51.035
2024-09-02 00:00:00,56.61
2024-08-30 00:00:00,53.14
2024-08-29 00:00:00,54.5
2024-08-28 00:00:00,52.425
2024-08-27 00:00:00,55.195
2024-08-26 00:00:00,55.895
2024-08-23 00:00:00,51.77
2024-08-22 00:00:00,56.57
2024-08-21 00:00:00,53.12
2024-08-20 00:00:00,51.055
2024-08-19 00:00:00,53.84
2024-08-16 00:00:00,53.165
2024-08-15 00:00:00,54.525
2024-08-14 00:00:00,54.51
2024-08-13 00:00:00,56.595
2024-08-12 00:00:00,56.61
2024-08-09 00:00:00,56.595
2024-08-08 00:00:00,56.58
2024-08-07 00:00:00,56.645
2024-08-06 00:00:00,56.67
2024-08-05 00:00:00,56.61
2024-08-02 00:00:00,56.57
2024-08-01 00:00:00,56.595
2024-07-31 00:00:00,56.58
2024-07-30 00:00:00,56.58
2024-07-29 00:00:00,56.605
2024-07-26 00:00:00,56.62
2024-07-25 00:00:00,56.585
2024-07-24 00:00:00,56.595
2024-07-23 00:00:00,56.605
2024-07-22 00:00:00,56.595
2024-07-19 00:00:00,57.995
2024-07-18 00:00:00,53.13
2024-07-17 00:00:00,55.21
2024-07-16 00:00:00,52.43
2024-07-15 00:00:00,53.145
2024-07-12 00:00:00,48.99
2024-07-11 00:00:00,48.99
2024-07-10 00:00:00,52.465
2024-07-09 00:00:00,57.29
2024-07-08 00:00:00,54.505
2024-07-05 00:00:00,57.31
2024-07-04 00:00:00,57.275
2024-07-03 00:00:00,60.075
2024-07-02 00:00:00,60.075
2024-07-01 00:00:00,60.095
2024-06-28 00:00:00,55.23
2024-06-27 00:00:00,55.24
2024-06-26 00:00:00,56.625
2024-06-25 00:00:00,54.53
2024-06-24 00:00:00,55.24
2024-06-21 00:00:00,53.84
2024-06-20 00:00:00,56.605
2024-06-19 00:00:00,56.6
2024-06-18 00:00:00,52.45
2024-06-17 00:00:00,49.71
2024-06-14 00:00:00,49.65
2024-06-13 00:00:00,48.995
2024-06-12 00:00:00,49.02
2024-06-11 00:00:00,52.465
2024-06-10 00:00:00,53.15
2024-06-07 00:00:00,53.165
2024-06-06 00:00:00,53.15
2024-06-05 00:00:00,53.175
2024-06-04 00:00:00,52.465
2024-06-03 00:00:00,50.445
2024-05-31 00:00:00,54.525
2024-05-30 00:00:00,59.38
2024-05-29 00:00:00,59.4
2024-05-28 00:00:00,56.615
2024-05-27 00:00:00,52.46
2024-05-24 00:00:00,54.535
2024-05-23 00:00:00,59.385
2024-05-22 00:00:00,56.625
2024-05-21 00:00:00,53.16
2024-05-20 00:00:00,55.945
2024-05-17 00:00:00,58.7
2024-05-16 00:00:00,56.595
2024-05-15 00:00:00,57.325
2024-05-14 00:00:00,57.3
2024-05-13 00:00:00,53.18
2024-05-10 00:00:00,56.62
2024-05-09 00:00:00,56.61
2024-05-08 00:00:00,51.79
2024-05-07 00:00:00,51.78
2024-05-06 00:00:00,53.175
2024-05-03 00:00:00,51.07
2024-05-02 00:00:00,53.145
2024-05-01 00:00:00,55.255
2024-04-30 00:00:00,51.095
2024-04-29 00:00:00,51.105
2024-04-26 00:00:00,51.08
2024-04-25 00:00:00,56.62
2024-04-24 00:00:00,59.4
2024-04-23 00:00:00,55.21
2024-04-22 00:00:00,53.84
2024-04-19 00:00:00,55.955
2024-04-18 00:00:00,55.91
2024-04-17 00:00:00,60.075
2024-04-16 00:00:00,60.07
2024-04-15 00:00:00,58.71
2024-04-12 00:00:00,58.72
2024-04-11 00:00:00,58.71
2024-04-10 00:00:00,59.375
2024-04-09 00:00:00,58.01
2024-04-08 00:00:00,58.025
2024-04-05 00:00:00,58.025
2024-04-04 00:00:00,53.155
2024-04-03 00:00:00,55.23
2024-04-02 00:00:00,55.935
2024-04-01 00:00:00,55.95
2024-03-29 00:00:00,55.27
2024-03-28 00:00:00,54.57
2024-03-27 00:00:00,51.795
2024-03-26 00:00:00,54.545
2024-03-25 00:00:00,51.105
2024-03-22 00:00:00,51.095
2024-03-21 00:00:00,53.17
2024-03-20 00:00:00,55.935
2024-03-19 00:00:00,52.535
2024-03-18 00:00:00,53.79
2024-03-15 00:00:00,53.81
2024-03-14 00:00:00,53.785
2024-03-13 00:00:00,53.79
2024-03-12 00:00:00,53.775
2024-03-11 00:00:00,53.8
2024-03-08 00:00:00,53.785
2024-03-07 00:00:00,53.79
2024-03-06 00:00:00,53.785
2024-03-05 00:00:00,53.795
2024-03-04 00:00:00,53.74
2024-03-01 00:00:00,53.775
2024-02-29 00:00:00,53.775
2024-02-28 00:00:00,53.8
2024-02-27 00:00:00,53.795
2024-02-26 00:00:00,53.775
2024-02-23 00:00:00,53.825
2024-02-22 00:00:00,53.81
2024-02-21 00:00:00,53.785
2024-02-20 00:00:00,53.775
2024-02-19 00:00:00,53.795
2024-02-16 00:00:00,53.8
2024-02-15 00:00:00,53.735
2024-02-14 00:00:00,53.81
2024-02-13 00:00:00,53.75
2024-02-12 00:00:00,53.785
2024-02-09 00:00:00,53.8
2024-02-08 00:00:00,53.8
2024-02-07 00:00:00,53.76
2024-02-06 00:00:00,53.785
