Date,ERST
2024-10-25 00:00:00,64.695
2024-10-24 00:00:00,64.695
2024-10-23 00:00:00,64.24
2024-10-22 00:00:00,66.405
2024-10-21 00:00:00,62.795
2024-10-18 00:00:00,62.595
2024-10-17 00:00:00,63.555
2024-10-16 00:00:00,63.245
2024-10-15 00:00:00,62.02
2024-10-14 00:00:00,65.515
2024-10-11 00:00:00,67.09
2024-10-10 00:00:00,69.235
2024-10-09 00:00:00,69.39
2024-10-08 00:00:00,70.13
2024-10-07 00:00:00,70.165
2024-10-04 00:00:00,65.12
2024-10-03 00:00:00,65.525
2024-10-02 00:00:00,67.085
2024-10-01 00:00:00,69.035
2024-09-30 00:00:00,69.215
2024-09-27 00:00:00,68.81
2024-09-26 00:00:00,68.995
2024-09-25 00:00:00,69.58
2024-09-24 00:00:00,67.59
2024-09-23 00:00:00,67.845
2024-09-20 00:00:00,67.8
2024-09-19 00:00:00,61.205
2024-09-18 00:00:00,62.155
2024-09-17 00:00:00,61.905
2024-09-16 00:00:00,62.06
2024-09-13 00:00:00,64.76
2024-09-12 00:00:00,67.705
2024-09-11 00:00:00,68.54
2024-09-10 00:00:00,67.645
2024-09-09 00:00:00,67.03
2024-09-06 00:00:00,66.775
2024-09-05 00:00:00,67.09
2024-09-04 00:00:00,67.17
2024-09-03 00:00:00,66.38
2024-09-02 00:00:00,65.5
2024-08-30 00:00:00,64.985
2024-08-29 00:00:00,62.58
2024-08-28 00:00:00,61.185
2024-08-27 00:00:00,59.45
2024-08-26 00:00:00,59.88
2024-08-23 00:00:00,59.6
2024-08-22 00:00:00,61.425
2024-08-21 00:00:00,61.825
2024-08-20 00:00:00,61.525
2024-08-19 00:00:00,49.645
2024-08-16 00:00:00,50.12
2024-08-15 00:00:00,50.63
2024-08-14 00:00:00,51.54
2024-08-13 00:00:00,52.38
2024-08-12 00:00:00,52.425
2024-08-09 00:00:00,52.425
2024-08-08 00:00:00,52.345
2024-08-07 00:00:00,52.775
2024-08-06 00:00:00,54.39
2024-08-05 00:00:00,54.675
2024-08-02 00:00:00,52.595
2024-08-01 00:00:00,50.58
2024-07-31 00:00:00,49.935
2024-07-30 00:00:00,50.545
2024-07-29 00:00:00,50.645
2024-07-26 00:00:00,54.795
2024-07-25 00:00:00,54.94
2024-07-24 00:00:00,54.22
2024-07-23 00:00:00,53.575
2024-07-22 00:00:00,53.915
2024-07-19 00:00:00,54.415
2024-07-18 00:00:00,53.835
2024-07-17 00:00:00,54.265
2024-07-16 00:00:00,53.37
2024-07-15 00:00:00,51.585
2024-07-12 00:00:00,47.36
2024-07-11 00:00:00,47.32
2024-07-10 00:00:00,47.605
2024-07-09 00:00:00,49.505
2024-07-08 00:00:00,35.31
2024-07-05 00:00:00,34.9
2024-07-04 00:00:00,35.185
2024-07-03 00:00:00,34.64
2024-07-02 00:00:00,35.615
2024-07-01 00:00:00,36.955
2024-06-28 00:00:00,38.02
2024-06-27 00:00:00,38.68
2024-06-26 00:00:00,42.555
2024-06-25 00:00:00,42.165
2024-06-24 00:00:00,42.34
2024-06-21 00:00:00,42.57
2024-06-20 00:00:00,42.055
2024-06-19 00:00:00,43.695
2024-06-18 00:00:00,47.05
2024-06-17 00:00:00,47.62
2024-06-14 00:00:00,47
2024-06-13 00:00:00,44.675
2024-06-12 00:00:00,44.33
2024-06-11 00:00:00,44.95
2024-06-10 00:00:00,43.91
2024-06-07 00:00:00,41.185
2024-06-06 00:00:00,40.88
2024-06-05 00:00:00,41.005
2024-06-04 00:00:00,41.17
2024-06-03 00:00:00,41.36
2024-05-31 00:00:00,44.385
2024-05-30 00:00:00,44.215
2024-05-29 00:00:00,44.235
2024-05-28 00:00:00,43.43
2024-05-27 00:00:00,42.87
2024-05-24 00:00:00,43.105
2024-05-23 00:00:00,41.195
2024-05-22 00:00:00,41.265
2024-05-21 00:00:00,41.375
2024-05-20 00:00:00,43.26
2024-05-17 00:00:00,43.315
2024-05-16 00:00:00,43.13
2024-05-15 00:00:00,43.485
2024-05-14 00:00:00,43.825
2024-05-13 00:00:00,43.815
2024-05-10 00:00:00,46.22
2024-05-09 00:00:00,46.465
2024-05-08 00:00:00,46.65
2024-05-07 00:00:00,46.5
2024-05-06 00:00:00,47.395
2024-05-03 00:00:00,47.225
2024-05-02 00:00:00,48.165
2024-05-01 00:00:00,48.79
2024-04-30 00:00:00,48.515
2024-04-29 00:00:00,48.1
2024-04-26 00:00:00,48.385
2024-04-25 00:00:00,48.925
2024-04-24 00:00:00,48.415
2024-04-23 00:00:00,47.995
2024-04-22 00:00:00,48.635
2024-04-19 00:00:00,49.465
2024-04-18 00:00:00,48.74
2024-04-17 00:00:00,51.355
2024-04-16 00:00:00,51.915
2024-04-15 00:00:00,50.65
2024-04-12 00:00:00,49.165
2024-04-11 00:00:00,48.18
2024-04-10 00:00:00,49.445
2024-04-09 00:00:00,49.485
2024-04-08 00:00:00,49.695
2024-04-05 00:00:00,49.615
2024-04-04 00:00:00,48.84
2024-04-03 00:00:00,49.755
2024-04-02 00:00:00,49.585
2024-04-01 00:00:00,49.455
2024-03-29 00:00:00,48.215
2024-03-28 00:00:00,47.215
2024-03-27 00:00:00,47.855
2024-03-26 00:00:00,48.21
2024-03-25 00:00:00,54.64
2024-03-22 00:00:00,53.32
2024-03-21 00:00:00,52.675
2024-03-20 00:00:00,53.995
2024-03-19 00:00:00,49.265
2024-03-18 00:00:00,48.9
2024-03-15 00:00:00,49.18
2024-03-14 00:00:00,51.3
2024-03-13 00:00:00,51.72
2024-03-12 00:00:00,54.955
2024-03-11 00:00:00,56
2024-03-08 00:00:00,55.785
2024-03-07 00:00:00,56.83
2024-03-06 00:00:00,57.46
2024-03-05 00:00:00,57.46
2024-03-04 00:00:00,58.24
2024-03-01 00:00:00,56.995
2024-02-29 00:00:00,55.13
2024-02-28 00:00:00,56.915
2024-02-27 00:00:00,54.295
2024-02-26 00:00:00,54.31
2024-02-23 00:00:00,57.735
2024-02-22 00:00:00,58.855
2024-02-21 00:00:00,60.615
2024-02-20 00:00:00,60.515
2024-02-19 00:00:00,60.45
2024-02-16 00:00:00,59.65
2024-02-15 00:00:00,59.385
2024-02-14 00:00:00,59.465
2024-02-13 00:00:00,59.64
2024-02-12 00:00:00,59.685
2024-02-09 00:00:00,62.195
2024-02-08 00:00:00,62.825
2024-02-07 00:00:00,62.48
2024-02-06 00:00:00,59.7
2024-02-05 00:00:00,62.375
2024-02-02 00:00:00,62.615
2024-02-01 00:00:00,62.455
