Date,HESLN
2024-10-25 00:00:00,38.77
2024-10-24 00:00:00,38.77
2024-10-23 00:00:00,40.465
2024-10-22 00:00:00,39.315
2024-10-21 00:00:00,39.325
2024-10-18 00:00:00,39.315
2024-10-17 00:00:00,39.905
2024-10-16 00:00:00,39.735
2024-10-15 00:00:00,42.645
2024-10-14 00:00:00,42.61
2024-10-11 00:00:00,42.635
2024-10-10 00:00:00,42.68
2024-10-09 00:00:00,42.64
2024-10-08 00:00:00,42.68
2024-10-07 00:00:00,42.71
2024-10-04 00:00:00,44.585
2024-10-03 00:00:00,44.56
2024-10-02 00:00:00,44.535
2024-10-01 00:00:00,44.225
2024-09-30 00:00:00,44.255
2024-09-27 00:00:00,46.05
2024-09-26 00:00:00,45.995
2024-09-25 00:00:00,45.995
2024-09-24 00:00:00,45.97
2024-09-23 00:00:00,46
2024-09-20 00:00:00,46.045
2024-09-19 00:00:00,44.05
2024-09-18 00:00:00,44.06
2024-09-17 00:00:00,44.905
2024-09-16 00:00:00,46.565
2024-09-13 00:00:00,46.625
2024-09-12 00:00:00,46.565
2024-09-11 00:00:00,50.88
2024-09-10 00:00:00,50.88
2024-09-09 00:00:00,50.905
2024-09-06 00:00:00,50.905
2024-09-05 00:00:00,50.915
2024-09-04 00:00:00,50.915
2024-09-03 00:00:00,50.89
2024-09-02 00:00:00,50.935
2024-08-30 00:00:00,48.865
2024-08-29 00:00:00,47.605
2024-08-28 00:00:00,47.735
2024-08-27 00:00:00,48.745
2024-08-26 00:00:00,46.855
2024-08-23 00:00:00,46.875
2024-08-22 00:00:00,46.74
2024-08-21 00:00:00,46.755
2024-08-20 00:00:00,46.04
2024-08-19 00:00:00,45.45
2024-08-16 00:00:00,45.465
2024-08-15 00:00:00,45.44
2024-08-14 00:00:00,45.43
2024-08-13 00:00:00,45.43
2024-08-12 00:00:00,45.535
2024-08-09 00:00:00,45.52
2024-08-08 00:00:00,46.11
2024-08-07 00:00:00,46
2024-08-06 00:00:00,46.03
2024-08-05 00:00:00,44.52
2024-08-02 00:00:00,39.265
2024-08-01 00:00:00,39.295
2024-07-31 00:00:00,41.145
2024-07-30 00:00:00,40.585
2024-07-29 00:00:00,41.345
2024-07-26 00:00:00,40.37
2024-07-25 00:00:00,39.555
2024-07-24 00:00:00,38.475
2024-07-23 00:00:00,34.925
2024-07-22 00:00:00,34.91
2024-07-19 00:00:00,34.94
2024-07-18 00:00:00,34.895
2024-07-17 00:00:00,34.9
2024-07-16 00:00:00,34.875
2024-07-15 00:00:00,34.91
2024-07-12 00:00:00,34.89
2024-07-11 00:00:00,34.895
2024-07-10 00:00:00,36.33
2024-07-09 00:00:00,36.315
2024-07-08 00:00:00,36.285
2024-07-05 00:00:00,36.345
2024-07-04 00:00:00,37.545
2024-07-03 00:00:00,37.6
2024-07-02 00:00:00,37.615
2024-07-01 00:00:00,37.835
2024-06-28 00:00:00,37.8
2024-06-27 00:00:00,39.21
2024-06-26 00:00:00,40.325
2024-06-25 00:00:00,39.1
2024-06-24 00:00:00,39.585
2024-06-21 00:00:00,38.24
2024-06-20 00:00:00,37.78
2024-06-19 00:00:00,37.77
2024-06-18 00:00:00,37.76
2024-06-17 00:00:00,39.015
2024-06-14 00:00:00,38.93
2024-06-13 00:00:00,38.97
2024-06-12 00:00:00,38.615
2024-06-11 00:00:00,38.61
2024-06-10 00:00:00,40.615
2024-06-07 00:00:00,40.635
2024-06-06 00:00:00,40.605
2024-06-05 00:00:00,40.645
2024-06-04 00:00:00,41.46
2024-06-03 00:00:00,41.515
2024-05-31 00:00:00,41.435
2024-05-30 00:00:00,43.76
2024-05-29 00:00:00,43.78
2024-05-28 00:00:00,42.045
2024-05-27 00:00:00,43.64
2024-05-24 00:00:00,43.635
2024-05-23 00:00:00,47.31
2024-05-22 00:00:00,47.31
2024-05-21 00:00:00,48.25
2024-05-20 00:00:00,48.27
2024-05-17 00:00:00,50.67
2024-05-16 00:00:00,48.805
2024-05-15 00:00:00,49.905
2024-05-14 00:00:00,49.88
2024-05-13 00:00:00,47.86
2024-05-10 00:00:00,49.13
2024-05-09 00:00:00,49.225
2024-05-08 00:00:00,50.005
2024-05-07 00:00:00,50.59
2024-05-06 00:00:00,50.605
2024-05-03 00:00:00,50.575
2024-05-02 00:00:00,50.57
2024-05-01 00:00:00,50.615
2024-04-30 00:00:00,49.93
2024-04-29 00:00:00,72.06
2024-04-26 00:00:00,72.52
2024-04-25 00:00:00,73.315
2024-04-24 00:00:00,75.18
2024-04-23 00:00:00,75.85
2024-04-22 00:00:00,77.08
