Date,INGB
2024-10-25 00:00:00,81.76
2024-10-24 00:00:00,81.76
2024-10-23 00:00:00,82.755
2024-10-22 00:00:00,81.705
2024-10-21 00:00:00,82.74
2024-10-18 00:00:00,82.005
2024-10-17 00:00:00,82.32
2024-10-16 00:00:00,81.625
2024-10-15 00:00:00,82.92
2024-10-14 00:00:00,82.12
2024-10-11 00:00:00,83.51
2024-10-10 00:00:00,82
2024-10-09 00:00:00,85.73
2024-10-08 00:00:00,86.045
2024-10-07 00:00:00,82.815
2024-10-04 00:00:00,84.73
2024-10-03 00:00:00,89.875
2024-10-02 00:00:00,88.475
2024-10-01 00:00:00,89.21
2024-09-30 00:00:00,88.145
2024-09-27 00:00:00,84.725
2024-09-26 00:00:00,86.42
2024-09-25 00:00:00,85.595
2024-09-24 00:00:00,86.225
2024-09-23 00:00:00,86.2
2024-09-20 00:00:00,82.83
2024-09-19 00:00:00,85
2024-09-18 00:00:00,81.61
2024-09-17 00:00:00,84.73
2024-09-16 00:00:00,83.595
2024-09-13 00:00:00,84.695
2024-09-12 00:00:00,83.945
2024-09-11 00:00:00,82.76
2024-09-10 00:00:00,83.065
2024-09-09 00:00:00,81.915
2024-09-06 00:00:00,82.985
2024-09-05 00:00:00,81.795
2024-09-04 00:00:00,83.295
2024-09-03 00:00:00,84.12
2024-09-02 00:00:00,81.04
2024-08-30 00:00:00,80.825
2024-08-29 00:00:00,82.02
2024-08-28 00:00:00,81.835
2024-08-27 00:00:00,81.095
2024-08-26 00:00:00,81.62
2024-08-23 00:00:00,81
2024-08-22 00:00:00,81.39
2024-08-21 00:00:00,82.29
2024-08-20 00:00:00,81.985
2024-08-19 00:00:00,82.375
2024-08-16 00:00:00,81.235
2024-08-15 00:00:00,81.6
2024-08-14 00:00:00,83.51
2024-08-13 00:00:00,85.825
2024-08-12 00:00:00,84.43
2024-08-09 00:00:00,85.36
2024-08-08 00:00:00,86.595
2024-08-07 00:00:00,82.69
2024-08-06 00:00:00,91.425
2024-08-05 00:00:00,84.285
2024-08-02 00:00:00,86.845
2024-08-01 00:00:00,83.145
2024-07-31 00:00:00,81.215
2024-07-30 00:00:00,80.89
2024-07-29 00:00:00,82.185
2024-07-26 00:00:00,81.21
2024-07-25 00:00:00,82.1
2024-07-24 00:00:00,82.325
2024-07-23 00:00:00,80.9
2024-07-22 00:00:00,82.125
2024-07-19 00:00:00,80.845
2024-07-18 00:00:00,80.905
2024-07-17 00:00:00,81.355
2024-07-16 00:00:00,81.945
2024-07-15 00:00:00,81.165
2024-07-12 00:00:00,80.72
2024-07-11 00:00:00,82.38
2024-07-10 00:00:00,82.905
2024-07-09 00:00:00,83.835
2024-07-08 00:00:00,83.375
