Date,RABO
2024-10-25 00:00:00,89.8
2024-10-24 00:00:00,89.8
2024-10-23 00:00:00,89.915
2024-10-22 00:00:00,89.535
2024-10-21 00:00:00,87.845
2024-10-18 00:00:00,86.625
2024-10-17 00:00:00,86.62
2024-10-16 00:00:00,88.63
2024-10-15 00:00:00,88.35
2024-10-14 00:00:00,89.3
2024-10-11 00:00:00,90.505
2024-10-10 00:00:00,90.61
2024-10-09 00:00:00,91.83
2024-10-08 00:00:00,92.945
2024-10-07 00:00:00,92.5
2024-10-04 00:00:00,93.565
2024-10-03 00:00:00,94.865
2024-10-02 00:00:00,94.875
2024-10-01 00:00:00,94.725
2024-09-30 00:00:00,93.84
2024-09-27 00:00:00,93.31
2024-09-26 00:00:00,92.76
2024-09-25 00:00:00,94.73
2024-09-24 00:00:00,95.13
2024-09-23 00:00:00,94.72
2024-09-20 00:00:00,92.045
2024-09-19 00:00:00,83.835
2024-09-18 00:00:00,85.95
2024-09-17 00:00:00,86.06
2024-09-16 00:00:00,86.535
2024-09-13 00:00:00,86.39
2024-09-12 00:00:00,89.035
2024-09-11 00:00:00,91.645
2024-09-10 00:00:00,89.52
2024-09-09 00:00:00,89.065
2024-09-06 00:00:00,88.66
2024-09-05 00:00:00,88.495
2024-09-04 00:00:00,88.66
2024-09-03 00:00:00,87.51
2024-09-02 00:00:00,84.78
2024-08-30 00:00:00,84.46
2024-08-29 00:00:00,84.14
2024-08-28 00:00:00,83.805
2024-08-27 00:00:00,83.605
2024-08-26 00:00:00,84.84
2024-08-23 00:00:00,84.19
2024-08-22 00:00:00,85.585
2024-08-21 00:00:00,85.92
2024-08-20 00:00:00,85.77
2024-08-19 00:00:00,84.29
2024-08-16 00:00:00,86.585
2024-08-15 00:00:00,86.965
2024-08-14 00:00:00,92.195
2024-08-13 00:00:00,95.22
2024-08-12 00:00:00,93.73
2024-08-09 00:00:00,94.25
2024-08-08 00:00:00,96.55
2024-08-07 00:00:00,96.93
2024-08-06 00:00:00,103.97
2024-08-05 00:00:00,105.935
2024-08-02 00:00:00,98.45
2024-08-01 00:00:00,91.4
2024-07-31 00:00:00,87.185
2024-07-30 00:00:00,87.205
2024-07-29 00:00:00,86.775
2024-07-26 00:00:00,87.155
2024-07-25 00:00:00,88.27
2024-07-24 00:00:00,85.585
2024-07-23 00:00:00,83.6
2024-07-22 00:00:00,83.605
2024-07-19 00:00:00,84.23
2024-07-18 00:00:00,83.07
2024-07-17 00:00:00,82.745
2024-07-16 00:00:00,80.28
2024-07-15 00:00:00,79.14
2024-07-12 00:00:00,80.065
2024-07-11 00:00:00,80.05
2024-07-10 00:00:00,80.675
2024-07-09 00:00:00,82.145
2024-07-08 00:00:00,78.84
2024-07-05 00:00:00,82.13
2024-07-04 00:00:00,82.485
2024-07-03 00:00:00,85.61
2024-07-02 00:00:00,89.51
2024-07-01 00:00:00,89.875
2024-06-28 00:00:00,96.97
2024-06-27 00:00:00,96.31
2024-06-26 00:00:00,96.515
2024-06-25 00:00:00,93.485
2024-06-24 00:00:00,93.495
2024-06-21 00:00:00,94.66
2024-06-20 00:00:00,92.53
2024-06-19 00:00:00,92.115
2024-06-18 00:00:00,90.955
2024-06-17 00:00:00,94.27
2024-06-14 00:00:00,87
2024-06-13 00:00:00,83.99
2024-06-12 00:00:00,79.66
2024-06-11 00:00:00,82.045
2024-06-10 00:00:00,78.605
2024-06-07 00:00:00,75.72
2024-06-06 00:00:00,75.355
2024-06-05 00:00:00,75.725
2024-06-04 00:00:00,75.97
2024-06-03 00:00:00,75.185
2024-05-31 00:00:00,76.7
2024-05-30 00:00:00,76.77
2024-05-29 00:00:00,76.96
2024-05-28 00:00:00,75.18
2024-05-27 00:00:00,75.705
2024-05-24 00:00:00,76.03
2024-05-23 00:00:00,75.635
2024-05-22 00:00:00,75.975
2024-05-21 00:00:00,76.06
2024-05-20 00:00:00,76.1
2024-05-17 00:00:00,76.46
2024-05-16 00:00:00,76.28
2024-05-15 00:00:00,77.29
2024-05-14 00:00:00,78.335
2024-05-13 00:00:00,77.78
2024-05-10 00:00:00,78.08
2024-05-09 00:00:00,78.82
2024-05-08 00:00:00,79.8
2024-05-07 00:00:00,79.62
2024-05-06 00:00:00,81.135
2024-05-03 00:00:00,81.2
2024-05-02 00:00:00,83.38
2024-05-01 00:00:00,84.86
2024-04-30 00:00:00,83.86
2024-04-29 00:00:00,83.035
2024-04-26 00:00:00,84.175
2024-04-25 00:00:00,86.195
2024-04-24 00:00:00,85.09
2024-04-23 00:00:00,85.675
2024-04-22 00:00:00,87.605
2024-04-19 00:00:00,91.115
2024-04-18 00:00:00,90.67
2024-04-17 00:00:00,92.8
2024-04-16 00:00:00,94.445
2024-04-15 00:00:00,90.19
2024-04-12 00:00:00,90.095
2024-04-11 00:00:00,85.03
2024-04-10 00:00:00,84.44
2024-04-09 00:00:00,84.69
2024-04-08 00:00:00,85.8
2024-04-05 00:00:00,86.305
2024-04-04 00:00:00,84.235
2024-04-03 00:00:00,86.27
2024-04-02 00:00:00,86.285
2024-04-01 00:00:00,85.985
2024-03-29 00:00:00,86.45
2024-03-28 00:00:00,85.905
2024-03-27 00:00:00,86.18
2024-03-26 00:00:00,85.96
2024-03-25 00:00:00,87.085
2024-03-22 00:00:00,87.9
2024-03-21 00:00:00,84.405
2024-03-20 00:00:00,86.59
2024-03-19 00:00:00,79.935
2024-03-18 00:00:00,79.9
2024-03-15 00:00:00,80.005
2024-03-14 00:00:00,80.295
2024-03-13 00:00:00,80.51
2024-03-12 00:00:00,82.92
2024-03-11 00:00:00,81.96
2024-03-08 00:00:00,84.195
2024-03-07 00:00:00,85.735
2024-03-06 00:00:00,87.275
2024-03-05 00:00:00,88.26
2024-03-04 00:00:00,87.59
2024-03-01 00:00:00,89.08
2024-02-29 00:00:00,89.665
2024-02-28 00:00:00,89.435
2024-02-27 00:00:00,89.16
2024-02-26 00:00:00,88.47
2024-02-23 00:00:00,87.575
2024-02-22 00:00:00,89.805
2024-02-21 00:00:00,92.545
2024-02-20 00:00:00,92.24
2024-02-19 00:00:00,93.525
2024-02-16 00:00:00,94.03
2024-02-15 00:00:00,86.7
2024-02-14 00:00:00,95.905
2024-02-13 00:00:00,96.625
2024-02-12 00:00:00,97.305
2024-02-09 00:00:00,99.33
2024-02-08 00:00:00,100.45
2024-02-07 00:00:00,100.105
2024-02-06 00:00:00,100.04
2024-02-05 00:00:00,99.165
2024-02-02 00:00:00,98.015
2024-02-01 00:00:00,100.215
2024-01-31 00:00:00,97.525
2024-01-30 00:00:00,94.915
2024-01-29 00:00:00,95.825
2024-01-26 00:00:00,96.205
2024-01-25 00:00:00,97.635
2024-01-24 00:00:00,97.95
2024-01-23 00:00:00,99.375
2024-01-22 00:00:00,97.87
2024-01-19 00:00:00,98.965
2024-01-18 00:00:00,101.425
2024-01-17 00:00:00,103.845
2024-01-16 00:00:00,101.72
2024-01-15 00:00:00,101.215
2024-01-12 00:00:00,100.715
2024-01-11 00:00:00,99.575
2024-01-10 00:00:00,99.615
2024-01-09 00:00:00,103.375
2024-01-08 00:00:00,106.18
2024-01-05 00:00:00,107.09
2024-01-04 00:00:00,106.345
2024-01-03 00:00:00,106.86
2024-01-02 00:00:00,102.455
2024-01-01 00:00:00,97.43
2023-12-29 00:00:00,98.18
2023-12-28 00:00:00,99.31
2023-12-27 00:00:00,99.51
2023-12-26 00:00:00,99.605
2023-12-25 00:00:00,99.365
2023-12-22 00:00:00,99.525
2023-12-21 00:00:00,100.765
2023-12-20 00:00:00,99.99
2023-12-19 00:00:00,101.045
2023-12-18 00:00:00,101.555
2023-12-15 00:00:00,100.175
2023-12-14 00:00:00,99.285
2023-12-13 00:00:00,104.915
2023-12-12 00:00:00,105.19
2023-12-11 00:00:00,105.485
2023-12-08 00:00:00,106.4
2023-12-07 00:00:00,106.665
2023-12-06 00:00:00,107.355
2023-12-05 00:00:00,109.16
2023-12-04 00:00:00,108.265
2023-12-01 00:00:00,108.165
2023-11-30 00:00:00,110.175
2023-11-29 00:00:00,111.54
2023-11-28 00:00:00,115.68
2023-11-27 00:00:00,114.51
2023-11-24 00:00:00,113.16
2023-11-23 00:00:00,114.115
2023-11-22 00:00:00,111.665
2023-11-21 00:00:00,113.335
2023-11-20 00:00:00,111.395
2023-11-17 00:00:00,112.83
2023-11-16 00:00:00,114.65
2023-11-15 00:00:00,111.5
2023-11-14 00:00:00,116.115
2023-11-13 00:00:00,122.125
2023-11-10 00:00:00,123.235
2023-11-09 00:00:00,123.16
2023-11-08 00:00:00,123.565
2023-11-07 00:00:00,128.15
2023-11-06 00:00:00,127.16
2023-11-03 00:00:00,127.89
2023-11-02 00:00:00,131.46
2023-11-01 00:00:00,138.645
2023-10-31 00:00:00,139.765
2023-10-30 00:00:00,142.46
2023-10-27 00:00:00,144.94
2023-10-26 00:00:00,146.35
2023-10-25 00:00:00,143.92
2023-10-24 00:00:00,142.225
2023-10-23 00:00:00,145.855
2023-10-20 00:00:00,145.75
2023-10-19 00:00:00,141.97
2023-10-18 00:00:00,138.97
2023-10-17 00:00:00,135.57
2023-10-16 00:00:00,135.485
2023-10-13 00:00:00,135.31
2023-10-12 00:00:00,131.97
2023-10-11 00:00:00,133.745
2023-10-10 00:00:00,134.34
2023-10-09 00:00:00,139.88
2023-10-06 00:00:00,140.67
2023-10-05 00:00:00,138.305
2023-10-04 00:00:00,136.765
2023-10-03 00:00:00,135.42
2023-10-02 00:00:00,130.355
2023-09-29 00:00:00,129.055
2023-09-28 00:00:00,130.83
2023-09-27 00:00:00,130.285
2023-09-26 00:00:00,129.63
2023-09-25 00:00:00,127.62
2023-09-22 00:00:00,127.1
2023-09-21 00:00:00,126.375
2023-09-20 00:00:00,122.945
2023-09-19 00:00:00,114.44
2023-09-18 00:00:00,114.285
2023-09-15 00:00:00,114.105
2023-09-14 00:00:00,116.13
2023-09-13 00:00:00,117.355
2023-09-12 00:00:00,113.99
2023-09-11 00:00:00,115.39
2023-09-08 00:00:00,117.41
2023-09-07 00:00:00,117.085
2023-09-06 00:00:00,116.13
2023-09-05 00:00:00,112.495
2023-09-04 00:00:00,108.455
2023-09-01 00:00:00,109.27
2023-08-31 00:00:00,109.07
2023-08-30 00:00:00,109.585
2023-08-29 00:00:00,110.37
2023-08-28 00:00:00,115.35
2023-08-25 00:00:00,114.215
2023-08-24 00:00:00,114.635
2023-08-23 00:00:00,115.455
2023-08-22 00:00:00,116.555
2023-08-21 00:00:00,117.5
2023-08-18 00:00:00,117.075
2023-08-17 00:00:00,112.73
2023-08-16 00:00:00,110.595
2023-08-15 00:00:00,110.09
2023-08-14 00:00:00,108.22
2023-08-11 00:00:00,107.575
2023-08-10 00:00:00,107.28
2023-08-09 00:00:00,110.455
2023-08-08 00:00:00,111.39
2023-08-07 00:00:00,108.115
2023-08-04 00:00:00,107.845
2023-08-03 00:00:00,107.27
2023-08-02 00:00:00,108.525
2023-08-01 00:00:00,106.295
2023-07-31 00:00:00,104.825
2023-07-28 00:00:00,107.79
2023-07-27 00:00:00,110.75
2023-07-26 00:00:00,117.655
2023-07-25 00:00:00,118.72
2023-07-24 00:00:00,119.28
2023-07-21 00:00:00,118.045
2023-07-20 00:00:00,119.38
2023-07-19 00:00:00,119.33
2023-07-18 00:00:00,120.45
2023-07-17 00:00:00,122.015
2023-07-14 00:00:00,120.59
2023-07-13 00:00:00,119.215
2023-07-12 00:00:00,122.425
2023-07-11 00:00:00,126.81
2023-07-10 00:00:00,130.1
2023-07-07 00:00:00,131.54
2023-07-06 00:00:00,131.375
2023-07-05 00:00:00,126.585
2023-07-04 00:00:00,126.15
2023-07-03 00:00:00,126.56
2023-06-30 00:00:00,131.565
2023-06-29 00:00:00,133.975
2023-06-28 00:00:00,135.205
2023-06-27 00:00:00,138.295
2023-06-26 00:00:00,140.4
2023-06-23 00:00:00,139.765
2023-06-22 00:00:00,138.24
2023-06-21 00:00:00,139.615
2023-06-20 00:00:00,139.845
2023-06-19 00:00:00,134.75
2023-06-16 00:00:00,135.02
2023-06-15 00:00:00,135.24
2023-06-14 00:00:00,132.945
2023-06-13 00:00:00,130.725
2023-06-12 00:00:00,127.43
2023-06-09 00:00:00,125.25
2023-06-08 00:00:00,125.545
2023-06-07 00:00:00,123.7
2023-06-06 00:00:00,126.28
2023-06-05 00:00:00,128.075
2023-06-02 00:00:00,131.6
2023-06-01 00:00:00,131.76
2023-05-31 00:00:00,135.035
2023-05-30 00:00:00,131.775
2023-05-29 00:00:00,133.4
2023-05-26 00:00:00,133.245
2023-05-25 00:00:00,137.88
2023-05-24 00:00:00,139.365
2023-05-23 00:00:00,133.12
2023-05-22 00:00:00,137.86
2023-05-19 00:00:00,136.54
2023-05-18 00:00:00,139.51
2023-05-17 00:00:00,143.035
2023-05-16 00:00:00,143.525
2023-05-15 00:00:00,144.43
2023-05-12 00:00:00,146.5
2023-05-11 00:00:00,149.24
2023-05-10 00:00:00,149.395
2023-05-09 00:00:00,149.195
2023-05-08 00:00:00,142.71
2023-05-05 00:00:00,142.855
2023-05-04 00:00:00,148.79
2023-05-03 00:00:00,142.755
2023-05-02 00:00:00,140.65
2023-05-01 00:00:00,130.79
2023-04-28 00:00:00,130.265
2023-04-27 00:00:00,139.855
2023-04-26 00:00:00,142.08
2023-04-25 00:00:00,135.545
2023-04-24 00:00:00,130.235
2023-04-21 00:00:00,130.285
2023-04-20 00:00:00,127.78
2023-04-19 00:00:00,124.92
2023-04-18 00:00:00,120.545
2023-04-17 00:00:00,121.83
2023-04-14 00:00:00,124.435
2023-04-13 00:00:00,126.925
2023-04-12 00:00:00,127.86
2023-04-11 00:00:00,130.825
2023-04-10 00:00:00,136.135
2023-04-07 00:00:00,135.44
2023-04-06 00:00:00,135.685
2023-04-05 00:00:00,137.01
2023-04-04 00:00:00,128.33
2023-04-03 00:00:00,126.415
2023-03-31 00:00:00,128.475
2023-03-30 00:00:00,132.035
2023-03-29 00:00:00,143.515
2023-03-28 00:00:00,148.525
2023-03-27 00:00:00,146.505
2023-03-24 00:00:00,149.42
2023-03-23 00:00:00,142.915
2023-03-22 00:00:00,132.865
2023-03-21 00:00:00,136.99
2023-03-20 00:00:00,153.995
2023-03-17 00:00:00,157.275
2023-03-16 00:00:00,150.635
2023-03-15 00:00:00,152.97
2023-03-14 00:00:00,128.2
2023-03-13 00:00:00,133.98
2023-03-10 00:00:00,119.06
2023-03-09 00:00:00,109.335
2023-03-08 00:00:00,108.71
2023-03-07 00:00:00,108.12
2023-03-06 00:00:00,108.935
2023-03-03 00:00:00,110.7
2023-03-02 00:00:00,114.195
2023-03-01 00:00:00,113.01
2023-02-28 00:00:00,114.58
2023-02-27 00:00:00,114.81
2023-02-24 00:00:00,118.015
2023-02-23 00:00:00,115.415
2023-02-22 00:00:00,118.465
2023-02-21 00:00:00,117.645
2023-02-20 00:00:00,113.305
2023-02-17 00:00:00,113.05
2023-02-16 00:00:00,110.625
2023-02-15 00:00:00,111.22
2023-02-14 00:00:00,111.855
2023-02-13 00:00:00,115.555
2023-02-10 00:00:00,113.96
2023-02-09 00:00:00,107.07
2023-02-08 00:00:00,108.715
2023-02-07 00:00:00,107.925
2023-02-06 00:00:00,108.63
2023-02-03 00:00:00,107.065
2023-02-02 00:00:00,108.25
2023-02-01 00:00:00,116.055
2023-01-31 00:00:00,119.585
2023-01-30 00:00:00,121.65
2023-01-27 00:00:00,117.385
2023-01-26 00:00:00,116.965
2023-01-25 00:00:00,119.405
2023-01-24 00:00:00,118.34
2023-01-23 00:00:00,121.495
2023-01-20 00:00:00,123.605
2023-01-19 00:00:00,121.52
2023-01-18 00:00:00,112.265
2023-01-17 00:00:00,114.52
2023-01-16 00:00:00,115.195
2023-01-13 00:00:00,112.185
2023-01-12 00:00:00,111.7
2023-01-11 00:00:00,113.19
2023-01-10 00:00:00,115.8
2023-01-09 00:00:00,112.465
2023-01-06 00:00:00,117.965
2023-01-05 00:00:00,123.025
2023-01-04 00:00:00,122.535
2023-01-03 00:00:00,129.695
2023-01-02 00:00:00,131.59
2022-12-30 00:00:00,132.295
2022-12-29 00:00:00,133.855
2022-12-28 00:00:00,134.285
2022-12-27 00:00:00,135.19
2022-12-26 00:00:00,134.135
2022-12-23 00:00:00,134.66
2022-12-22 00:00:00,132.875
2022-12-21 00:00:00,134.89
2022-12-20 00:00:00,136.23
2022-12-19 00:00:00,132.75
2022-12-16 00:00:00,135.23
2022-12-15 00:00:00,131.995
2022-12-14 00:00:00,122.62
2022-12-13 00:00:00,122.02
2022-12-12 00:00:00,128.625
2022-12-09 00:00:00,128.715
2022-12-08 00:00:00,128.6
2022-12-07 00:00:00,130.785
2022-12-06 00:00:00,130.915
2022-12-05 00:00:00,131.73
2022-12-02 00:00:00,129.77
2022-12-01 00:00:00,130.76
2022-11-30 00:00:00,137.285
2022-11-29 00:00:00,135.72
2022-11-28 00:00:00,138.23
2022-11-25 00:00:00,134.17
2022-11-24 00:00:00,135.41
2022-11-23 00:00:00,136.865
2022-11-22 00:00:00,140.095
2022-11-21 00:00:00,147.155
2022-11-18 00:00:00,150.255
2022-11-17 00:00:00,154.925
2022-11-16 00:00:00,147.73
2022-11-15 00:00:00,144.325
2022-11-14 00:00:00,147.32
2022-11-11 00:00:00,148.14
2022-11-10 00:00:00,153.18
2022-11-09 00:00:00,164.52
2022-11-08 00:00:00,165.42
2022-11-07 00:00:00,166.245
2022-11-04 00:00:00,165.88
2022-11-03 00:00:00,173.55
2022-11-02 00:00:00,169.36
2022-11-01 00:00:00,167.205
2022-10-31 00:00:00,172.2
2022-10-28 00:00:00,169.5
2022-10-27 00:00:00,170.73
2022-10-26 00:00:00,172.625
2022-10-25 00:00:00,178.52
2022-10-24 00:00:00,187.54
2022-10-21 00:00:00,191.715
2022-10-20 00:00:00,187.825
2022-10-19 00:00:00,187.065
2022-10-18 00:00:00,185.38
2022-10-17 00:00:00,193.045
2022-10-14 00:00:00,197.91
2022-10-13 00:00:00,204.115
2022-10-12 00:00:00,205.845
2022-10-11 00:00:00,203.79
2022-10-10 00:00:00,199.21
2022-10-07 00:00:00,194.5
2022-10-06 00:00:00,187.78
2022-10-05 00:00:00,194.77
2022-10-04 00:00:00,187.34
2022-10-03 00:00:00,198.825
2022-09-30 00:00:00,198.955
2022-09-29 00:00:00,207.005
2022-09-28 00:00:00,194.475
2022-09-27 00:00:00,191.275
2022-09-26 00:00:00,192.285
2022-09-23 00:00:00,187.41
2022-09-22 00:00:00,179.855
2022-09-21 00:00:00,176.605
2022-09-20 00:00:00,173.295
2022-09-19 00:00:00,162.33
2022-09-16 00:00:00,161.69
2022-09-15 00:00:00,154.72
2022-09-14 00:00:00,157.68
2022-09-13 00:00:00,159.015
2022-09-12 00:00:00,153.25
2022-09-09 00:00:00,153.4
2022-09-08 00:00:00,165.22
2022-09-07 00:00:00,165.245
2022-09-06 00:00:00,167.53
2022-09-05 00:00:00,171.095
2022-09-02 00:00:00,166.25
2022-09-01 00:00:00,170.355
2022-08-31 00:00:00,167.27
2022-08-30 00:00:00,159.405
2022-08-29 00:00:00,157.35
2022-08-26 00:00:00,157.51
2022-08-25 00:00:00,155.795
2022-08-24 00:00:00,157.405
2022-08-23 00:00:00,156.405
2022-08-22 00:00:00,153.005
2022-08-19 00:00:00,143.09
2022-08-18 00:00:00,137.71
2022-08-17 00:00:00,138.09
2022-08-16 00:00:00,133.61
2022-08-15 00:00:00,129.765
2022-08-12 00:00:00,128.92
2022-08-11 00:00:00,130.035
2022-08-10 00:00:00,134.27
2022-08-09 00:00:00,137.125
2022-08-08 00:00:00,132.75
2022-08-05 00:00:00,138.075
2022-08-04 00:00:00,137.865
2022-08-03 00:00:00,141.375
2022-08-02 00:00:00,144.82
2022-08-01 00:00:00,140.525
2022-07-29 00:00:00,139.605
2022-07-28 00:00:00,144.875
2022-07-27 00:00:00,149.385
2022-07-26 00:00:00,152.585
2022-07-25 00:00:00,143.34
2022-07-22 00:00:00,147.58
2022-07-21 00:00:00,152.13
2022-07-20 00:00:00,152.45
2022-07-19 00:00:00,163.705
2022-07-18 00:00:00,172.835
2022-07-15 00:00:00,177.835
2022-07-14 00:00:00,182.09
2022-07-13 00:00:00,178.93
2022-07-12 00:00:00,178.445
2022-07-11 00:00:00,176.045
2022-07-08 00:00:00,172.655
2022-07-07 00:00:00,176.15
2022-07-06 00:00:00,180.325
2022-07-05 00:00:00,179.945
2022-07-04 00:00:00,174.73
2022-07-01 00:00:00,176.25
2022-06-30 00:00:00,177.73
2022-06-29 00:00:00,167.175
2022-06-28 00:00:00,165.665
2022-06-27 00:00:00,161.68
2022-06-24 00:00:00,166.395
2022-06-23 00:00:00,168.375
2022-06-22 00:00:00,160.55
2022-06-21 00:00:00,157.05
2022-06-20 00:00:00,161.685
2022-06-17 00:00:00,166.54
2022-06-16 00:00:00,169.16
2022-06-15 00:00:00,155.835
2022-06-14 00:00:00,162.375
2022-06-13 00:00:00,155.675
2022-06-10 00:00:00,144.03
2022-06-09 00:00:00,136.76
2022-06-08 00:00:00,133.3
2022-06-07 00:00:00,131.14
2022-06-06 00:00:00,130.74
2022-06-03 00:00:00,132.69
2022-06-02 00:00:00,132.46
2022-06-01 00:00:00,132.635
2022-05-31 00:00:00,131.285
2022-05-30 00:00:00,130.745
2022-05-27 00:00:00,133.905
2022-05-26 00:00:00,138.98
2022-05-25 00:00:00,145.09
2022-05-24 00:00:00,147.485
2022-05-23 00:00:00,144.77
2022-05-20 00:00:00,148.145
2022-05-19 00:00:00,147.06
2022-05-18 00:00:00,142.23
2022-05-17 00:00:00,138.88
2022-05-16 00:00:00,141.615
2022-05-13 00:00:00,139.665
2022-05-12 00:00:00,143.155
2022-05-11 00:00:00,140.665
2022-05-10 00:00:00,144.445
2022-05-09 00:00:00,146.995
2022-05-06 00:00:00,143.685
2022-05-05 00:00:00,138.33
2022-05-04 00:00:00,137.09
2022-05-03 00:00:00,134.69
2022-05-02 00:00:00,136.3
2022-04-29 00:00:00,136.905
2022-04-28 00:00:00,132.845
2022-04-27 00:00:00,131.75
2022-04-26 00:00:00,127.405
2022-04-25 00:00:00,124.83
2022-04-22 00:00:00,120
2022-04-21 00:00:00,118.935
2022-04-20 00:00:00,120.365
2022-04-19 00:00:00,122.745
2022-04-18 00:00:00,120.065
2022-04-15 00:00:00,120.165
2022-04-14 00:00:00,120.33
2022-04-13 00:00:00,120.345
2022-04-12 00:00:00,119.49
2022-04-11 00:00:00,119.535
2022-04-08 00:00:00,118.94
2022-04-07 00:00:00,120
2022-04-06 00:00:00,119.325
2022-04-05 00:00:00,116.925
2022-04-04 00:00:00,112.16
2022-04-01 00:00:00,116.27
2022-03-31 00:00:00,114.62
2022-03-30 00:00:00,113.905
2022-03-29 00:00:00,111.91
2022-03-28 00:00:00,121.36
2022-03-25 00:00:00,122.83
2022-03-24 00:00:00,124.61
2022-03-23 00:00:00,121.91
2022-03-22 00:00:00,119.35
2022-03-21 00:00:00,118.875
2022-03-18 00:00:00,112.295
2022-03-17 00:00:00,109.985
2022-03-16 00:00:00,114.175
2022-03-15 00:00:00,121.51
2022-03-14 00:00:00,120.04
2022-03-11 00:00:00,117.885
2022-03-10 00:00:00,120.725
2022-03-09 00:00:00,119.785
2022-03-08 00:00:00,131.53
2022-03-07 00:00:00,142.095
2022-03-04 00:00:00,127.52
2022-03-03 00:00:00,117.315
2022-03-02 00:00:00,118.64
2022-03-01 00:00:00,117.67
2022-02-28 00:00:00,113.18
2022-02-25 00:00:00,107.49
2022-02-24 00:00:00,117.21
