ERST,KBCB,DANK,NORD,BNP,CRAG,CRMU,SOCG,BAY,COMZ,DB,DZ,HESLN,LBBW,INTE,UNIC,ABN,INGB,RABO,BBVA,CAIX,SAB,SANT,SEB,SWED,SWEN,VB
33.68,51.9,22.414331,9.898964,54.4,11.418,,21.22,,10.31,10.462,,,,2.491,23.915,12.71,12.006,,7.59,3.795,1.178,3.5005,10.374127,15.2737255,7.956034,
33.75,51.9,22.140059,9.932689,54.29,11.378,,21.145,,10.15,10.356,,,,2.4565,23.625,12.685,12.028,,7.422,3.835,1.171,3.466,10.525433,15.474841,8.044377,
33.8,51.98,22.05324,9.916122,53.72,11.234,,20.805,,10.135,10.408,,,,2.4015,23.49,12.775,12.008,,7.504,3.862,1.186,3.5695,10.438468,15.0829525,7.931545,
32.67,51.68,21.684198,9.957488,54.67,11.17,,20.725,,10.04,10.406,,,,2.3775,23.08,12.645,11.878,,7.442,3.803,1.1425,3.481,10.429025,15.127396,7.9710884,
32.74,51.52,20.368238,10.002579,54.72,11.208,,20.74,,9.994,10.38,,,,2.37,22.825,12.6,11.946,,7.462,3.7189999,1.103,3.511,10.438802,15.132019,8.009871,
32.45,51.44,20.841627,9.994049,56.18,11.262,,20.905,,10.065,10.278,,,,2.356,22.495,12.695,12.042,,7.43,3.632,1.0405,3.461,10.491625,16.29668,8.168754,
32.36,51.24,21.109705,10.05228,55.91,11.202,,20.865,,10.05,9.501,,,,2.3615,22.995,12.66,12.046,,7.392,3.628,1.03,3.3815,11.039316,16.637613,8.227839,
32.3,51.96,21.262867,10.175738,56.13,11.316,,21.045,,10.215,9.614,,,,2.3734999,22.69,12.71,12.124,,7.522,3.744,1.087,3.4215,11.124381,16.916908,8.344993,
32.5,52.72,21.714752,10.280744,55.56,11.22,,20.98,,10.115,9.528,,,,2.344,22.125,12.615,12.054,,7.54,3.8,1.115,3.4565,11.376233,17.550182,8.550662,
32.98,53.86,22.05095,10.40813,56.71,11.378,,21.395,,10.255,9.749,,,,2.375,22.505,13.045,12.376,,7.624,3.854,1.1340001,3.5085,11.588051,17.815174,8.66626,
33.26,54.12,22.159576,10.59002,57.31,11.444,,21.63,,10.36,9.808,,,,2.4,22.79,13.11,12.448,,7.688,3.78,1.1159999,3.511,11.795857,18.014395,8.934038,
33.07,54.66,21.982428,10.534975,57.68,11.54,,21.795,,10.47,10.072,,,,2.428,23.02,13.345,12.59,,7.744,3.788,1.1265,3.572,11.708897,17.96837,8.5614,
32.53,56.92,22.118668,10.574444,57.83,11.538,,21.95,,10.545,10.132,,,,2.4165,23.005,13.32,12.566,,7.7,3.792,1.1245,3.576,11.849174,18.16208,8.670592,
