ERST,KBCB,DANK,NORD,BNP,CRAG,CRMU,SOCG,BAY,COMZ,DB,DZ,HESLN,LBBW,INTE,UNIC,ABN,INGB,RABO,BBVA,CAIX,SAB,SANT,SEB,SWED,SWEN,VB
14475.66372,21651.09266,144243.4915,415504.0065,63155.34708,34856.16358,#N/A,17416.47633,#N/A,12786.70366,21345.02249,#N/A,#N/A,#N/A,45542.45073,42680.21933,5555.738912,43455.85905,#N/A,45277.94208,28470.58904,6628.56386,56652.60418,262675.002,204496.8295,187022.1849,#N/A
14505.74959,21651.09266,142476.0103,416284.7666,63230.90532,34734.05418,,17354.92045,,12588.26692,21128.75683,,,,44911.6963,42162.66541,5544.81119,43535.48945,,44275.74127,28770.674,6589.175282,56094.25301,266094.158,206874.0485,188807.7387,
14527.23926,21684.46538,141915.5956,416355.7325,62567.03359,34294.45974,,17075.86273,,12569.66433,21234.84957,,,,43906.14114,41921.73548,5584.151241,43463.101,,44764.91159,28973.23118,6673.579667,57769.31038,264377.3342,202006.4204,186488.3375,
14041.56481,21559.31488,139544.5878,415929.856,63673.48351,34099.08411,,17010.20218,,12451.84277,21230.76938,,,,43467.35526,41190.02389,5527.326584,42992.56403,,44395.05062,28530.60531,6428.807018,56337.01305,262804.9525,201553.625,186456.4989,
14071.65232,21492.56784,131052.064,418272.1361,63731.72146,34215.08848,,17022.51305,,12394.79309,21177.72301,,,,43330.23113,40734.9363,5507.65635,43238.69027,,44514.35997,27900.42545,6206.541936,56822.53698,263329.0797,201836.6264,187552.6196,
13947.00993,21459.19352,134112.822,416994.5337,65572.10719,34379.93603,,17157.93881,,12482.84789,20969.61774,,,,43074.27306,40145.99762,5549.182029,43586.16239,,44323.46444,27247.74083,5854.856664,56013.33043,264098.6004,216892.3062,190872.6103,
13908.32787,21375.76091,135837.1913,419620.7045,65256.96838,34196.77047,,17125.10775,,12464.24529,19384.34997,,,,43174.82989,41038.32916,5533.88305,43600.63939,,44096.77867,27217.73269,5795.773125,54726.69143,277996.4335,221533.5193,192339.9425,
13882.53928,21676.1218,136828.6984,423311.5529,65513.74914,34544.78358,,17272.84437,,12668.8821,19614.89726,,,,43394.22065,40494.00637,5555.738912,43882.96157,,44872.28801,28087.97945,6116.510324,55374.05667,279131.1318,224476.7412,194411.8645,
13968.4996,21993.17144,139717.0221,424305.2377,64848.45756,34251.72159,,17219.49469,,12544.85929,19439.43546,,,,42854.8823,39485.67078,5514.212816,43629.59684,,44979.66728,28508.09876,6274.06531,55940.50319,283189.874,231042.3779,197618.811,
14174.8034,22468.7443,141915.5956,428563.9215,66190.71055,34734.05418,,17560.10986,,12718.49099,19890.32859,,,,43421.64722,40163.84125,5702.172645,44795.08152,,45480.76769,28913.2149,6380.977933,56782.07955,287796.8641,233985.5824,199883.2689,
14295.14687,22577.20765,142562.2341,437709.7867,66891.02052,34935.53484,,17752.98683,,12848.71388,20010.70296,,,,43878.71893,40672.47336,5730.584974,45055.68475,,45862.55874,28358.05628,6279.691867,56822.53698,293346.3427,236928.8043,206316.599,
14213.48547,22802.47951,141398.2795,432587.0368,67322.87544,35228.59683,,17888.4126,,12985.13921,20549.327,,,,44390.63507,41082.94506,5833.307399,45569.65617,,46196.62378,28418.07435,6338.775405,57809.77167,289297.2611,234777.983,196490.5966,
13981.39308,23745.28166,142260.4642,433511.9838,67497.95405,35222.4918,,18015.63059,,13078.15573,20671.74244,,,,44180.38504,41056.17279,5822.37926,45482.78727,,45934.14208,28448.08249,6327.521622,57874.50743,292273.9356,236928.8043,198608.6978,
14217.78438,23645.16189,141527.602,435433.015,67635.74768,34801.21246,,17896.62036,,12476.64781,20320.82078,,,,43988.41213,40021.06834,5824.564888,45272.85698,,45826.76565,28410.57097,6259.997577,56854.90678,292427.5334,235457.1934,196865.6855,
14252.16753,23761.96882,142993.3264,439773.1196,69747.89715,35643.76823,,18442.42337,,12761.89862,20626.85645,,,,44747.14996,40913.39988,5861.719728,46156.01603,,46518.75874,28718.15931,6330.3349,58052.53171,293600.9078,237155.202,197424.3214,
13985.692,24154.10907,141872.4837,439559.6536,70686.63423,35649.87326,,18549.12274,,12892.12269,20737.02938,,,,44664.87897,40958.01918,5916.359174,46554.1611,,46423.3124,28853.19683,6245.930515,58432.8586,288474.6212,235004.398,197148.4161,
13878.242,24279.25958,139673.9103,433938.8886,70205.53349,35497.23869,,18553.22584,,12929.32906,20851.28443,,,,44335.78629,40717.08926,5938.215036,46271.84237,,45635.87012,28755.66904,6229.049504,58376.21433,285262.2304,232853.5767,195037.605,
14187.69688,23837.05944,137561.5606,423977.9919,69266.79641,34984.37802,,18352.14109,,12693.68596,20275.93479,,,,43449.07379,39512.43963,5769.925442,45316.29143,,44275.74127,28328.04814,6122.137551,56846.8153,278741.3125,225155.9342,190532.9979,
13835.26102,24087.36203,139070.3837,427322.0123,70381.54333,35649.87326,,18627.09415,,12854.91514,20549.327,,,,43906.14114,40083.53128,5870.462239,46127.06203,,45790.97256,28650.63966,6307.827332,58416.67562,279924.3478,227193.548,190402.2154,
13912.62515,23720.25251,137820.2186,420278.2311,69466.27961,34862.26862,,18397.28301,,12650.27833,20298.37876,,,,43220.53793,38968.11685,5765.554186,45338.00693,,45588.14695,28012.95821,6172.779914,57461.81073,274557.4822,222382.5236,187548.9819,
13891.13547,23678.53462,136742.4878,420349.3955,68809.16455,34660.78795,,18409.59388,,12588.26692,20237.17006,,,,43193.11136,38450.56632,5772.111069,45012.2503,,45492.69777,27772.89131,6127.764108,57008.65661,272951.287,222325.9199,186283.1749,
14020.07514,23945.52437,136440.7179,420064.7922,68996.91107,34776.79232,,18409.59388,,12693.68596,20261.65315,,,,43622.7565,38682.57103,5673.759899,44715.45112,,46125.0376,27922.93379,6122.137551,57534.64183,272850.3194,221250.5179,187124.7811,
14106.03547,24279.25958,138984.1599,427322.0123,70041.25137,35216.38676,,18758.41524,,13040.94936,20639.09897,,,,44079.82822,39360.7449,5850.792005,45164.26914,,45886.4189,28298.04,6200.914709,57817.86316,278087.2347,226740.7526,191873.4401,
13989.98927,24671.39824,141700.0494,427322.0123,70909.58182,35692.61432,,18914.35963,,13382.01032,21320.5394,,,,44610.03019,40565.39113,5828.300443,45424.87582,,45993.79817,28403.06938,6192.474203,58562.33396,279573.1404,227872.7584,193800.4642,
13714.91754,24938.38641,142260.4642,426895.1074,74640.03729,35570.50491,,18815.86803,,12047.52969,21181.8032,,,,44783.71726,40154.91943,5804.449792,45410.39537,,45862.55874,28253.0269,6198.101431,59072.13621,277976.6062,227646.3607,195373.7902,
13719.21564,24788.20517,140967.1872,424191.4308,74195.67714,35100.38239,,18787.14164,,11945.83164,21100.19356,,,,44299.22334,40324.4612,5726.392062,44954.33886,,44418.91363,27892.92386,6136.204614,56555.49862,276370.4109,227306.7555,194942.2991,
