Date,BNP,CRAG,SANT,SOCG,DB,CRMU,INTE,INGB,UNIC,BBVA,RABO,DZ,NORD,CAIX,DANK,COMZ,ABN,KBCB,LBBW,ERST,SEB,SWEN,BAY,SWED,SAB,HESLN,VB,
6/30/2023,26.122%,24.580%,35.258%,24.259%,27.501%,,31.036%,31.376%,34.319%,45.589%,38.446%,23.015%,23.235%,34.923%,22.118%,34.676%,31.067%,31.167%,25.411%,42.701%,21.206%,22.326%,23.494%,26.881%,32.220%,29.402%,21.258%,
3/30/2023,25.780%,,35.498%,23.076%,27.530%,,30.899%,32.110%,32.744%,47.125%,,,23.489%,34.876%,21.650%,34.549%,32.572%,31.461%,,42.405%,22.761%,22.979%,22.818%,26.583%,31.616%,,,
12/31/2022,27.814%,23.725%,34.736%,23.937%,26.850%,30.088%,29.722%,34.235%,34.502%,46.984%,38.237%,21.673%,24.470%,36.269%,22.275%,35.334%,33.810%,33.588%,28.293%,43.835%,24.277%,23.422%,25.167%,28.358%,31.326%,29.984%,20.923%,
9/30/2022,25.352%,23.172%,33.589%,23.045%,24.694%,,31.219%,31.959%,32.615%,46.250%,,,23.916%,31.830%,19.563%,32.116%,30.887%,32.544%,,41.388%,20.656%,22.239%,21.931%,25.207%,31.685%,,,
6/30/2022,,23.774%,34.572%,,26.590%,,,32.920%,32.134%,45.829%,,,24.681%,30.695%,21.166%,32.714%,30.043%,,,41.334%,20.725%,22.532%,23.160%,25.509%,31.310%,29.264%,19.932%,
3/30/2022,,,35.371%,,27.157%,,,33.220%,33.230%,46.380%,,,24.687%,31.083%,21.125%,33.324%,29.467%,29.101%,,41.017%,21.950%,23.024%,22.302%,25.113%,31.953%,,,
12/31/2021,26.912%,24.665%,35.167%,24.516%,26.610%,28.950%,29.505%,32.904%,33.295%,45.526%,33.107%,23.757%,26.691%,31.809%,21.810%,37.440%,29.523%,28.425%,29.320%,41.328%,23.784%,23.058%,23.780%,25.756%,31.308%,29.443%,19.413%,
9/30/2021,25.929%,24.971%,35.384%,23.001%,26.471%,,,31.384%,33.234%,45.682%,,,24.790%,32.197%,20.806%,32.388%,26.501%,28.386%,,40.709%,20.970%,21.951%,21.878%,23.167%,31.928%,,,
6/30/2021,,24.736%,36.065%,23.836%,26.092%,,,31.515%,33.227%,46.495%,32.368%,23.128%,25.978%,32.652%,20.546%,32.546%,26.076%,27.478%,26.602%,41.163%,21.933%,21.699%,23.031%,23.456%,32.394%,28.109%,16.015%,
3/30/2021,26.082%,,35.097%,22.800%,25.101%,,32.576%,31.649%,32.202%,47.939%,,,26.067%,31.459%,19.607%,33.259%,27.363%,28.389%,,38.975%,22.147%,21.430%,22.989%,24.488%,31.892%,,,
12/31/2020,27.629%,24.867%,37.288%,23.888%,24.904%,29.162%,33.206%,32.687%,33.179%,46.249%,32.567%,24.709%,28.122%,32.006%,19.113%,35.307%,27.916%,30.916%,29.083%,42.407%,23.825%,22.964%,25.285%,26.536%,32.012%,27.114%,15.312%,
9/30/2020,,,36.674%,23.905%,23.343%,,32.888%,32.654%,35.413%,45.488%,,,26.053%,32.391%,19.024%,33.732%,27.242%,31.151%,,42.507%,23.339%,20.919%,24.475%,25.707%,32.943%,,,
6/30/2020,26.426%,25.580%,36.080%,24.898%,23.435%,,,32.607%,37.420%,46.363%,33.211%,24.680%,26.279%,32.995%,19.280%,33.969%,26.340%,31.576%,28.568%,43.323%,23.130%,19.966%,26.170%,25.008%,33.412%,27.785%,14.698%,
3/30/2020,25.786%,26.855%,38.354%,23.477%,22.896%,,33.398%,35.498%,0.000%,49.371%,,,24.991%,35.517%,19.344%,35.459%,27.506%,33.983%,,45.903%,23.793%,20.606%,27.852%,25.872%,35.103%,,,
12/31/2019,31.002%,27.851%,39.740%,25.366%,25.015%,30.924%,34.318%,36.599%,43.849%,51.200%,34.899%,25.704%,27.002%,37.869%,20.389%,39.235%,29.334%,34.189%,31.467%,47.933%,26.088%,23.372%,28.111%,26.885%,34.206%,28.876%,15.406%,
9/30/2019,,27.766%,40.421%,24.997%,22.893%,,32.998%,34.650%,44.942%,50.949%,,,26.946%,36.013%,19.776%,36.892%,26.336%,33.019%,,47.831%,25.439%,23.152%,27.959%,26.239%,35.546%,27.360%,,
6/30/2019,28.240%,28.250%,40.035%,25.906%,24.176%,,,34.857%,46.431%,50.436%,34.054%,24.700%,27.419%,36.130%,20.214%,35.949%,26.889%,33.298%,31.020%,47.637%,26.222%,23.498%,28.331%,26.540%,36.913%,27.325%,14.126%,
3/30/2019,29.137%,28.819%,40.339%,26.820%,24.232%,,,34.455%,43.890%,51.114%,,,27.652%,36.807%,20.368%,36.907%,,33.011%,,47.987%,25.550%,23.399%,28.236%,26.712%,35.296%,30.625%,,
12/31/2018,31.613%,29.114%,39.972%,28.834%,25.900%,31.957%,31.097%,35.380%,44.283%,50.409%,34.002%,25.476%,28.237%,37.793%,20.848%,38.905%,27.575%,33.363%,33.234%,48.541%,27.852%,23.747%,29.793%,28.355%,33.433%,33.301%,15.312%,
9/30/2018,28.772%,29.416%,40.058%,27.851%,24.724%,,31.805%,35.039%,43.249%,50.160%,,,,37.653%,20.075%,36.152%,,30.839%,,49.916%,22.791%,17.730%,28.419%,17.354%,36.766%,30.468%,,
6/30/2018,29.297%,29.191%,40.809%,27.652%,24.597%,,32.317%,35.131%,43.547%,50.616%,32.721%,25.188%,,37.435%,20.400%,36.002%,26.480%,30.787%,30.593%,50.686%,23.017%,17.652%,28.378%,16.394%,37.110%,31.023%,15.133%,
3/30/2018,29.685%,29.444%,41.029%,27.667%,23.905%,,32.561%,35.179%,42.703%,51.126%,,,,37.759%,21.366%,36.061%,,30.641%,,49.668%,21.230%,18.386%,28.745%,16.644%,35.740%,30.721%,,
12/31/2017,32.604%,29.737%,37.026%,27.196%,22.130%,31.393%,35.903%,36.593%,42.545%,49.743%,32.814%,26.026%,21.615%,38.644%,21.308%,35.655%,27.005%,31.312%,31.830%,48.863%,23.805%,18.429%,28.640%,18.465%,33.315%,31.488%,16.148%,
9/30/2017,29.312%,29.400%,37.588%,26.368%,22.117%,,37.123%,36.042%,42.099%,49.861%,,,,36.139%,21.725%,33.856%,,30.537%,,49.102%,20.948%,16.988%,28.790%,17.025%,38.555%,0.000%,,
6/30/2017,29.718%,29.806%,46.817%,25.530%,21.445%,,38.281%,35.988%,42.653%,50.149%,33.248%,25.964%,,39.996%,21.790%,34.173%,0.000%,30.535%,29.840%,48.110%,22.257%,17.008%,28.925%,16.791%,38.373%,30.513%,16.607%,
