Date,Return,Bank,Percentile
31-12-2008,-18.12214831,575,0.001
31-3-2013,-8.19050949,578,0.002
30-9-2011,-7.220311834,480,0.004
31-3-2015,-5.220235991,578,0.005
31-12-2008,-4.319588422,150,0.006
31-12-2008,-4.121045931,480,0.007
31-12-2008,-4.073157203,895,0.008
31-12-2012,-2.944768601,578,0.009
31-12-2008,-2.572419131,685,0.011
30-6-2015,-2.268841203,578,0.012
31-3-2009,-2.262422892,480,0.013
30-9-2008,-2.023197703,480,0.014
31-12-2014,-2.012332496,578,0.015
30-6-2011,-1.878132653,480,0.016
31-12-2009,-1.756190162,895,0.018
30-6-2011,-1.754718315,148,0.019
30-9-2009,-1.666684879,480,0.02
31-3-2010,-1.617276166,480,0.021
31-12-2012,-1.483643964,120,0.022
31-12-2011,-1.280825944,480,0.023
31-12-2014,-1.268482456,685,0.025
30-9-2014,-1.18462617,578,0.026
30-9-2014,-1.147215487,579,0.027
31-12-2010,-1.134632014,578,0.028
30-6-2010,-1.089423123,895,0.029
30-6-2009,-1.056590105,150,0.03
30-9-2014,-0.948228216,148,0.032
31-3-2012,-0.912896902,148,0.033
31-12-2020,-0.90128627,480,0.034
31-12-2016,-0.886639393,148,0.035
30-6-2020,-0.880323441,148,0.036
30-6-2010,-0.761309046,575,0.037
31-12-2014,-0.757342779,680,0.039
30-6-2012,-0.698472682,148,0.04
31-3-2012,-0.693940122,480,0.041
30-9-2009,-0.6653336,150,0.042
31-12-2011,-0.604015326,410,0.043
30-6-2016,-0.587856844,148,0.044
30-6-2012,-0.574844189,480,0.046
31-3-2014,-0.550447787,579,0.047
31-3-2020,-0.537748185,512,0.048
31-3-2009,-0.500554493,150,0.049
30-6-2014,-0.495260285,148,0.05
31-3-2013,-0.491953159,480,0.052
31-12-2009,-0.482804972,150,0.053
31-12-2013,-0.480874989,148,0.054
31-3-2011,-0.475788916,148,0.055
30-9-2017,-0.473225944,148,0.056
31-3-2020,-0.471213665,480,0.057
31-12-2011,-0.470129558,399,0.059
30-6-2012,-0.463989154,895,0.06
31-3-2019,-0.41890051,148,0.061
30-9-2011,-0.415394968,399,0.062
30-9-2011,-0.404718286,410,0.063
30-6-2017,-0.398603421,148,0.064
30-6-2015,-0.396132855,148,0.066
30-6-2010,-0.383652752,578,0.067
30-9-2013,-0.38305457,480,0.068
31-12-2011,-0.360643735,148,0.069
31-3-2020,-0.359486712,149,0.07
30-9-2014,-0.356952101,163,0.071
30-6-2013,-0.343954518,480,0.073
30-9-2012,-0.324276417,148,0.074
31-12-2008,-0.315267645,120,0.075
31-3-2016,-0.312495463,154,0.076
31-12-2021,-0.305134483,680,0.077
31-12-2019,-0.288026238,680,0.078
31-3-2017,-0.285343997,148,0.08
31-3-2015,-0.284695655,480,0.081
31-12-2012,-0.28192822,399,0.082
31-12-2013,-0.278083692,600,0.083
30-9-2012,-0.274165907,578,0.084
30-6-2017,-0.266849337,480,0.085
30-6-2009,-0.262203432,685,0.087
31-12-2012,-0.253543628,480,0.088
31-3-2020,-0.249052567,120,0.089
31-3-2022,-0.24765823,512,0.09
31-12-2008,-0.245485177,163,0.091
30-9-2018,-0.241692875,480,0.093
31-3-2021,-0.240310786,512,0.094
30-6-2009,-0.240031652,578,0.095
31-12-2012,-0.237534039,410,0.096
30-9-2015,-0.209313644,120,0.097
30-6-2013,-0.20804253,148,0.098
30-6-2014,-0.205959408,579,0.1
31-12-2010,-0.202821669,895,0.101
31-12-2013,-0.202426872,895,0.102
30-6-2015,-0.19823167,480,0.103
30-6-2011,-0.187098642,410,0.104
30-6-2009,-0.184927246,120,0.105
30-9-2010,-0.180783777,578,0.107
31-12-2009,-0.179912862,578,0.108
31-3-2014,-0.179375052,399,0.109
31-3-2014,-0.17312302,262,0.11
30-9-2013,-0.169715201,148,0.111
31-12-2018,-0.166263578,512,0.112
31-12-2019,-0.15292561,120,0.114
31-3-2009,-0.141138807,120,0.115
30-6-2012,-0.135757313,578,0.116
31-12-2015,-0.129979486,895,0.117
30-9-2017,-0.129813336,480,0.118
31-3-2018,-0.127089307,512,0.119
31-3-2018,-0.125379152,148,0.121
30-6-2018,-0.119740021,480,0.122
31-3-2012,-0.116681682,578,0.123
30-9-2020,-0.112970054,512,0.124
30-9-2010,-0.106701714,410,0.125
30-9-2009,-0.101136884,578,0.126
30-6-2012,-0.10036788,120,0.128
30-6-2020,-0.095232679,685,0.129
31-12-2011,-0.089724612,149,0.13
30-9-2021,-0.087211265,512,0.131
31-3-2014,-0.082045579,410,0.132
31-3-2017,-0.082044575,480,0.133
31-3-2019,-0.079055989,512,0.135
31-12-2009,-0.077726234,399,0.136
30-9-2011,-0.077520465,895,0.137
30-9-2017,-0.076566297,512,0.138
30-9-2011,-0.073244782,578,0.139
31-12-2009,-0.071233832,685,0.141
31-3-2009,-0.070130894,575,0.142
31-12-2013,-0.069890549,685,0.143
31-12-2012,-0.068821958,685,0.144
31-12-2012,-0.068627942,149,0.145
30-9-2010,-0.067241761,399,0.146
30-6-2015,-0.0645587,410,0.148
31-12-2008,-0.063623046,578,0.149
31-3-2016,-0.060006023,512,0.15
31-3-2011,-0.057711894,399,0.151
31-12-2015,-0.055616643,148,0.152
31-12-2015,-0.054061434,163,0.153
31-3-2017,-0.053817065,512,0.155
30-6-2022,-0.053278882,410,0.156
30-9-2009,-0.051798849,575,0.157
31-3-2010,-0.04850222,578,0.158
31-3-2021,-0.048464657,149,0.159
30-6-2016,-0.045980526,512,0.16
31-3-2009,-0.04545282,685,0.162
30-9-2018,-0.045231902,512,0.163
30-9-2011,-0.042384391,149,0.164
30-6-2019,-0.042317073,410,0.165
30-6-2009,-0.040654752,163,0.166
30-6-2020,-0.033708388,480,0.167
31-12-2013,-0.033307622,149,0.169
30-6-2016,-0.027706934,410,0.17
31-12-2019,-0.02311248,512,0.171
31-3-2015,-0.020791323,410,0.172
31-3-2016,-0.020169573,410,0.173
31-12-2015,-0.020042073,512,0.174
31-12-2012,-0.017486645,600,0.176
31-12-2010,-0.014028327,195,0.177
31-12-2020,-0.012409084,410,0.178
31-3-2015,-0.011531065,680,0.179
30-9-2008,-0.011519815,163,0.18
31-12-2013,-0.006231818,120,0.181
31-12-2011,-0.005844893,120,0.183
30-6-2020,-0.004220641,149,0.184
30-9-2010,-0.002764989,149,0.185
31-12-2019,0.001720624,600,0.186
31-12-2020,0.002894871,512,0.187
30-6-2014,0.005821801,480,0.189
31-3-2014,0.006645866,685,0.19
30-9-2015,0.008620552,410,0.191
30-9-2019,0.009793047,512,0.192
30-6-2021,0.012490179,512,0.193
30-9-2013,0.013696517,685,0.194
30-6-2011,0.014063988,578,0.196
30-6-2017,0.014908321,512,0.197
31-12-2021,0.016653157,512,0.198
31-12-2020,0.016943817,578,0.199
31-3-2011,0.019131557,578,0.2
31-12-2017,0.02051442,512,0.201
30-9-2012,0.028297554,120,0.203
30-6-2014,0.02876484,149,0.204
30-6-2008,0.028768237,195,0.205
30-9-2017,0.030204989,410,0.206
31-12-2009,0.030678056,163,0.207
30-9-2011,0.033093446,120,0.208
31-3-2020,0.040621141,600,0.21
31-3-2020,0.041105175,195,0.211
30-9-2013,0.041136503,120,0.212
30-9-2014,0.041425392,120,0.213
30-6-2010,0.041454118,120,0.214
31-12-2013,0.041778329,399,0.215
31-3-2013,0.043956732,600,0.217
31-12-2013,0.044159998,195,0.218
31-12-2016,0.04661928,195,0.219
31-12-2020,0.047116358,149,0.22
30-9-2013,0.049205177,399,0.221
30-9-2016,0.049487195,512,0.222
31-12-2009,0.054897034,195,0.224
30-6-2013,0.055276471,120,0.225
30-9-2011,0.056779576,600,0.226
31-12-2013,0.057436225,410,0.227
30-6-2008,0.059920333,399,0.228
30-9-2009,0.060528235,163,0.23
30-6-2020,0.066928105,195,0.231
30-9-2015,0.067749235,512,0.232
30-6-2020,0.069964441,600,0.233
30-9-2009,0.07344513,120,0.234
30-9-2013,0.073503909,410,0.235
31-12-2014,0.0741525,512,0.237
30-6-2015,0.077384858,579,0.238
31-3-2015,0.081339866,512,0.239
31-12-2016,0.08167019,512,0.24
31-3-2009,0.08237468,163,0.241
30-6-2018,0.08405912,262,0.242
30-6-2011,0.084708293,399,0.244
31-3-2011,0.08744122,410,0.245
30-6-2015,0.087909478,512,0.246
30-9-2008,0.08890032,120,0.247
30-9-2019,0.089037541,410,0.248
31-12-2013,0.089430372,512,0.249
30-6-2015,0.091032031,120,0.251
31-12-2011,0.092348029,512,0.252
31-3-2020,0.092883563,154,0.253
31-3-2017,0.093031748,410,0.254
30-6-2020,0.094715391,163,0.255
31-3-2013,0.094994703,685,0.256
31-3-2014,0.095664549,163,0.258
31-12-2021,0.100709614,262,0.259
30-6-2022,0.102005023,480,0.26
31-12-2021,0.102057546,578,0.261
31-3-2013,0.10337548,399,0.262
31-3-2019,0.103876774,480,0.263
31-12-2017,0.103968559,600,0.265
31-3-2010,0.104590111,120,0.266
31-12-2018,0.104603042,195,0.267
31-3-2018,0.104617176,480,0.268
31-12-2016,0.106191542,600,0.269
31-3-2020,0.107073621,680,0.27
30-6-2013,0.107241327,512,0.272
30-6-2014,0.107341829,512,0.273
30-6-2018,0.10742209,410,0.274
30-6-2014,0.108589486,195,0.275
30-9-2014,0.109799162,512,0.276
31-12-2020,0.109873971,600,0.278
31-12-2011,0.11297795,685,0.279
31-12-2021,0.113608347,195,0.28
31-12-2021,0.115927763,410,0.281
31-12-2021,0.118060053,600,0.282
30-6-2011,0.118257261,195,0.283
30-9-2014,0.118288254,685,0.285
31-3-2015,0.118313186,148,0.286
31-12-2015,0.118408634,680,0.287
30-9-2012,0.122746012,195,0.288
30-9-2010,0.122835232,148,0.289
30-9-2011,0.122962496,685,0.29
30-6-2010,0.123059736,512,0.292
31-3-2009,0.123870853,578,0.293
30-9-2016,0.124197149,685,0.294
30-6-2012,0.124268647,399,0.295
30-6-2019,0.124957213,512,0.296
30-6-2010,0.125075602,195,0.297
31-3-2014,0.126739524,600,0.299
31-12-2020,0.127682763,195,0.3
31-3-2019,0.13106416,195,0.301
31-12-2018,0.133650342,120,0.302
31-12-2017,0.133910585,195,0.303
31-12-2014,0.134047092,600,0.304
31-12-2019,0.135216925,195,0.306
31-3-2010,0.136127199,575,0.307
31-3-2022,0.136697385,195,0.308
31-3-2013,0.139362148,410,0.309
30-9-2008,0.140261311,600,0.31
31-3-2014,0.141043308,512,0.311
31-3-2013,0.142048702,512,0.313
30-6-2013,0.142231945,685,0.314
31-12-2010,0.142926269,685,0.315
30-6-2017,0.143194755,410,0.316
30-9-2008,0.143358041,575,0.317
31-12-2013,0.14360064,578,0.319
31-12-2012,0.144703511,895,0.32
31-3-2016,0.145077002,600,0.321
31-3-2011,0.145688211,120,0.322
31-12-2008,0.146992053,399,0.323
30-6-2009,0.14883941,195,0.324
31-3-2016,0.149161491,685,0.326
31-3-2010,0.14988407,150,0.327
30-9-2015,0.150995909,148,0.328
30-6-2012,0.151162886,195,0.329
31-3-2022,0.151496274,163,0.33
31-3-2012,0.152693338,120,0.331
31-12-2011,0.153493001,195,0.333
