Date,ABN,BAY,BBVA,BNP,CAIX,COMZ,CRAG,CRMU,DANK,DB,DZ,ERST,SWEN,HESLN,INGB,INTE,KBCB,LBBW,NORD,RABO,SAB,SANT,SEB,SOCG,SWED,UNIC,VB
8/31/2022,16.3,17.3,12.75,12.89,13.1,13.6,11.6,18.8,17.4,13.2,15.3,14.5,19.4,14.3,15.89,14,15.5,14.6,17,17.4,12.22,12.12,19.7,13.71,18.3,15.03,22.7
12/31/2021,16.3,17.3,12.75,12.89,13.1,13.6,11.6,18.8,17.4,13.2,15.3,14.5,19.4,14.3,15.89,14,15.5,14.6,17,17.4,12.22,12.12,19.7,13.71,18.3,15.03,22.7
12/31/2020,17.7,15.9,11.73,12.8,13.6,13.2,12.9,17.8,18,13.6,15.2,14.2,20.3,14.7,15.45,14,17.6,14.8,17.1,16.8,12.02,11.89,21,13.4,17.5,15.14,31.2
12/31/2019,18.1,15.9,11.74,12.1,12,13.4,12.1,17.3,17.1,13.6,14.4,13.7,18.5,14.2,14.57,13,17.1,14.6,16.3,16.3,11.71,11.65,17.6,12.7,17,13.09,32.6
12/31/2018,18.4,15.2,11.3,11.8,11.5,12.9,11.5,16.6,16.8,13.6,13.7,13.5,16.8,14.9,14.47,12,16,15.1,15.5,16,11.1,11.3,17.6,10.9,16.3,12.07,35.5
12/31/2017,17.7,15.3,11.1,11.8,11.7,14.1,11.7,16.5,17.5,14,13.8,12.9,22.7,15.2,14.7,14,16.3,15.7,19.5,15.5,12.8,10.84,19.4,11.4,24.6,13.6,34.3
12/31/2016,17,13.2,10.9,11.5,12.4,12.3,12.1,15,16.3,11.8,14.5,12.8,25.1,13.8,14.18,12.9,15.8,15.2,18.4,13.5,12,10.55,18.8,11.5,25,7.54,29.6
12/31/2015,15.5,12,10.3,10.9,11.55,12,10.7,15.1,16.1,11.1,13.9,12,21.2,13.1,12.7,13.1,14.9,16.4,16.5,13.5,11.4,10.05,18.8,10.9,24.1,10.94,25.8
12/31/2014,14.1,10.2,10.4,10.5,12.3,9.3,10.38,14.4,15.1,11.7,12.2,10.6,20.4,13.4,10.48,13.3,14.3,14.6,15.7,13.6,11.46,8.3,16.3,10.13,21.2,10.02,15.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
