Date,BNP,CRAG,SANT,SOCG,DB,CRMU,INTE,INGB,UNIC,BBVA,RABO,DZ,NORD,CAIX,DANK,COMZ,ABN,KBCB,LBBW,ERST,SEB,SWEN,BAY,SWED,SAB,HESLN,VB
6/30/2023,95036,103665,77216,49701,49348,,40615,48114,49038,45153,40414,23519,22393,27310,20059,25116,20051,17965,13324,22048,14464,14062,11291,12919,10009,8691,3167
3/30/2023,94098,101920,76136,48006,48926,,40434,48577,47962,45761,,,22279,27188,19836,24400,19727,17310,,20489,14728,14235,11343,13094,9922,,
12/31/2022,91444,99060,73390,48011,48097,62679,40019,47944,49364,42486,38356,18564,23872,27494,20063,23854,19507,16818,13391,20443,14652,14256,11357,12957,9985,8593,3101
9/30/2022,92392,99564,74653,47043,49202,,40241,49913,49322,42876,,,23611,26673,19171,24065,19924,16504,,19428,14670,14455,10702,12810,10124,,
6/30/2022,,99498,72964,46906,47932,,,49397,49811,41173,37844,19181,25031,26815,19821,24015,19628,,13528,19604,14775,14486,10506,12669,10019,8703,3102
3/30/2022,92057,98943,72658,47728,46687,,45629,49890,46146,40154,,,25130,28707,20260,23715,19500,16362,,18564,14955,14769,10736,12828,10002,,
12/31/2021,91389,100521,70208,49223,46506,60996,45735,49737,48313,39172,36824,22845,25880,28337,20446,23800,19206,16224,12252,18804,15124,14625,10966,12665,9860,8959,3182
9/30/2021,91806,101586,68467,47044,45633,,45476,49122,50881,43802,,,25745,28702,19877,23666,19672,16968,,18254,14933,14518,10509,12772,9711,,
6/30/2021,,98409,68510,47568,45476,,47474,48494,50855,43306,36201,22719,27440,28393,19769,23709,19635,18241,12217,17986,15767,15119,10148,12615,9885,8515,3194
3/30/2021,88812,,67468,46262,45294,,48568,48118,50181,42092,,,26964,29434,19435,23968,19519,18108,,16997,15117,14763,10136,12182,9668,,
12/31/2020,87732,95123,69399,46374,44885,55711,48941,47333,49324,41368,34592,22476,26553,19654,19336,23611,19548,17948,12140,17057,15160,14566,10301,12008,9487,8724,3223
9/30/2020,86577,,66528,46107,43086,,48193,47787,48466,39651,,,24558,18192,18730,24788,19677,16579,,16417,13710,12814,10141,11013,9901,,
6/30/2020,85951,90613,67192,44508,43863,,41128,48040,48572,40646,34187,21145,24385,18083,18493,25064,19354,16636,11918,16398,12624,12570,10129,10805,9878,8433,3248
3/30/2020,82720,88600,68414,44600,43702,,40212,46848,,39984,,,24007,17747,18272,24211,19315,16729,,15809,11874,11792,9900,10075,9437,,
12/31/2019,81204,89052,70497,45764,44148,52682,38952,47552,49600,42856,33596,20705,24421,17787,17689,24366,19913,16989,11790,16252,12555,12705,10100,10536,9529,8483,3156
9/30/2019,,87100,69330,44093,46044,,39208,46663,48900,42626,,,24311,17409,17214,24241,19180,14992,,15917,11882,12008,9900,10023,9409,8367,
6/30/2019,79733,85012,68406,43168,46523,,34351,46165,46700,41519,32651,19835,23653,17016,16987,24023,19176,15031,12007,16084,12001,11813,9600,10032,9794,8468,3351
3/30/2019,77879,83500,68230,42059,47712,,33534,45928,45600,40983,,,23826,17255,16927,23588,,15112,,15437,12128,11700,9700,10058,9163,8075,
12/31/2018,76131,80999,66904,41154,47486,47679,33072,45443,44700,39569,32122,18158,24134,16800,16990,23206,19346,15150,12104,15517,12273,11586,9973,10123,8912,8108,3313
9/30/2018,75855,80200,65337,40672,47767,,34219,44227,43900,38925,,,,16936,16218,23537,,15018,,14652,12096,11522,9500,10070,9503,8004,
6/30/2018,75284,78817,64248,40200,47884,,32833,44782,45100,38746,31425,18573,,17201,16132,22818,19159,14715,11864,14681,11789,11327,9247,9794,9552,8024,3246
3/30/2018,74051,76700,66043,39765,47336,,34330,44560,46200,38899,,,,17128,16744,22543,,14793,,14395,11387,11444,9300,9910,9972,8021,
12/31/2017,75741,77599,65563,40227,48300,44420,38051,45550,48880,40058,31263,18251,24515,17323,17830,24039,18793,15104,11955,14448,12008,11759,9400,10210,9911,7673,3353
