Date,VB,NIBC
9/20/2022,132.515,189.72
9/19/2022,115.58,181.475
9/16/2022,114.17,181.205
9/15/2022,106.545,178.74
9/14/2022,103.21,178.28
9/13/2022,100.54,179.61
9/12/2022,99.135,177.72
9/9/2022,106.58,171.645
9/8/2022,105.095,173.535
9/7/2022,105.805,175.06
9/6/2022,112.15,179.67
9/5/2022,109.335,180.055
9/2/2022,109.41,178.72
9/1/2022,119.945,187.155
8/31/2022,114.205,183.74
8/30/2022,105.21,180.69
8/29/2022,95.285,172.43
8/26/2022,95.275,172.365
8/25/2022,94.945,171.465
8/24/2022,106.715,179.275
8/23/2022,104.875,177.44
8/22/2022,113.015,172.815
8/19/2022,100.695,171.435
8/18/2022,98.775,168.455
8/17/2022,91.96,168.705
8/16/2022,90.435,167.205
8/15/2022,98.9,165.28
8/12/2022,100.105,180.065
8/11/2022,101.46,179.215
8/10/2022,103.235,173.465
8/9/2022,105.325,180.5
8/8/2022,104.375,173.94
8/5/2022,105.275,176.31
8/4/2022,96.425,175.81
8/3/2022,98.675,179.085
8/2/2022,95.265,179.435
8/1/2022,90.28,176.53
7/29/2022,99.8,162.215
7/28/2022,96.07,165.07
7/27/2022,97.04,177.7
7/26/2022,97.775,178.66
7/25/2022,99.21,181.335
7/22/2022,108.32,176.61
7/21/2022,109.84,177.995
7/20/2022,109.03,177.865
7/19/2022,116.325,170.69
7/18/2022,119.28,173.21
7/15/2022,121.175,174.2
7/14/2022,115.945,175.81
7/13/2022,113.255,172.695
7/12/2022,111.015,169.54
7/11/2022,111.46,173.05
7/8/2022,123.73,173.555
7/7/2022,135.335,174.485
7/6/2022,137.735,176.06
7/5/2022,131.325,174.975
7/4/2022,134.73,173.235
7/1/2022,134.04,173.06
6/30/2022,138.095,169.72
6/29/2022,130.73,131.14
6/28/2022,138.805,129.415
6/27/2022,139.31,129.19
6/24/2022,140.095,129.63
6/23/2022,127.1,128.605
6/22/2022,123.96,126.19
6/21/2022,132.91,125.51
6/20/2022,110.475,126.015
6/17/2022,111.04,127.41
6/16/2022,110.21,125.035
6/15/2022,106.73,121.79
6/14/2022,107.55,123.13
6/13/2022,105.28,121.39
6/10/2022,101.58,117.905
6/9/2022,98.6,114.12
6/8/2022,97.635,87.925
6/7/2022,90.765,87.175
6/6/2022,90.53,87.685
6/3/2022,91.115,87.34
6/2/2022,90.975,87.44
6/1/2022,91.05,87.62
5/31/2022,90.86,87.755
5/30/2022,89.64,86.63
5/27/2022,90.99,87.29
5/26/2022,93.13,88.64
5/25/2022,95.2,90.285
5/24/2022,95.305,90.61
5/23/2022,94.845,90.32
5/20/2022,95.31,90.625
5/19/2022,95.24,89.89
5/18/2022,93.12,88.405
5/17/2022,91.965,87.855
5/16/2022,92.925,88.74
5/13/2022,92.835,88.76
5/12/2022,94.175,89.52
5/11/2022,93.655,95.105
5/10/2022,94.715,93.705
5/9/2022,96.005,92.085
5/6/2022,94.02,90.39
5/5/2022,91.53,88.445
5/4/2022,90.775,87.805
5/3/2022,89.705,86.38
5/2/2022,88.905,85.52
4/29/2022,89.31,86.06
4/28/2022,88.01,85.005
4/27/2022,65.105,83.9
4/26/2022,64.09,82.85
4/25/2022,63.465,82.465
4/22/2022,62.105,84.255
4/21/2022,61.515,83.955
4/20/2022,61.86,84.39
4/19/2022,62.36,83.06
4/18/2022,61.575,82.005
4/15/2022,61.635,82.025
4/14/2022,61.72,82.12
4/13/2022,61.49,82.6
4/12/2022,61.065,77.85
4/11/2022,60.93,85.255
4/8/2022,60.855,84.995
4/7/2022,60.495,84.65
4/6/2022,60.64,84.74
4/5/2022,59.465,84.81
4/4/2022,58.735,83.81
4/1/2022,58.435,77.635
3/31/2022,58.66,77.575
3/30/2022,63.69,78.61
3/29/2022,63.915,78.53
3/28/2022,66.18,80.705
3/25/2022,66.955,81.475
3/24/2022,67.45,82.69
3/23/2022,66.685,82.175
3/22/2022,66.37,81.755
3/21/2022,67.11,82.315
3/18/2022,61.49,78.025
3/17/2022,61.475,77.515
3/16/2022,63.355,79.34
3/15/2022,65.795,82.24
3/14/2022,65.075,80.08
3/11/2022,65.97,80.835
3/10/2022,66.435,81.31
3/9/2022,66.305,80.965
3/8/2022,69.825,84.285
3/7/2022,70.225,84.61
3/4/2022,66.635,80.76
3/3/2022,63.48,77.77
3/2/2022,63.51,83.53
3/1/2022,62.615,82.375
2/28/2022,61.52,81.37
2/25/2022,56.375,80.025
2/24/2022,58.475,75.8
2/23/2022,56.2,75.13
2/22/2022,56.41,68.965
2/21/2022,55.94,68.405
2/18/2022,54.935,64.025
2/17/2022,54.12,61.89
2/16/2022,53.495,61.145
