Date,BAY,DZ,ERST,HESLN,LBBW,NDLB
8/31/2022,64.075,49.84,79.71,69.255,51.78,86.285
8/30/2022,64.075,49.84,79.71,69.255,51.78,86.285
8/29/2022,64.235,49.95,79.8,69.33,51.955,84.87
8/26/2022,64.265,49.825,77.88,66.385,52.435,79.84
8/25/2022,64.195,49.82,78.48,69.8,51.37,74.79
8/24/2022,65.19,49.795,79.135,69.79,50.855,75.87
8/23/2022,65.195,49.875,79.145,69.835,49.885,81.775
8/22/2022,65.135,49.84,76.255,69.815,49.32,80.855
8/19/2022,65.24,49.885,74.52,69.135,49.935,74.21
8/18/2022,65.135,49.84,74.81,65.35,49.82,72.88
8/17/2022,62.08,49.83,73.805,65.345,50.37,76.525
8/16/2022,62.375,49.82,72.57,64.42,50.925,75.85
8/15/2022,62.34,49.855,72.215,64.435,51.385,73.28
8/12/2022,62.58,49.845,72.905,64.435,51.87,73.93
8/11/2022,62.9,49.865,74.535,64.45,52.96,75.925
8/10/2022,63.065,49.815,76.28,64.415,53.355,72.625
8/9/2022,65.395,49.845,75.185,64.435,53.43,73.95
8/8/2022,65.355,49.855,76.115,64.445,53.85,75.9
8/5/2022,65.38,49.82,76.005,64.415,54.42,76.32
8/4/2022,65.355,49.83,76.26,65.69,54.365,76.11
8/3/2022,65.385,49.855,77.135,65.705,54.41,78.01
8/2/2022,65.375,49.82,76.09,72.19,54.92,75
8/1/2022,65.35,49.795,75.76,72.18,54.875,73.385
7/29/2022,65.415,49.835,77.91,72.2,54.99,74
7/28/2022,65.4,49.88,79.695,86.94,54.44,72.025
7/27/2022,65.38,49.81,81.04,86.92,54.945,72.99
7/26/2022,65.33,49.76,77.9,86.91,54.35,71.14
7/25/2022,65.435,49.84,77.995,86.925,54.53,69.92
7/22/2022,65.355,49.815,79.69,86.925,53.375,69.38
7/21/2022,65.35,49.795,79.87,86.915,53.375,69.895
7/20/2022,65.145,49.81,80.785,86.92,53.345,74.94
7/19/2022,65.115,49.75,83.685,86.905,53.31,77.875
7/18/2022,65.175,49.76,91.985,82.5,53.89,77.875
7/15/2022,65.095,49.725,93.79,84.51,53.28,75.125
7/14/2022,65.13,49.785,91.59,84.53,53.325,75.885
7/13/2022,65.215,49.795,91.075,82.475,53.935,74.895
7/12/2022,65.19,49.78,90.035,77.985,53.905,72.62
7/11/2022,65.15,49.785,89.265,77.985,53.345,71.885
7/8/2022,65.145,49.84,89.83,78.01,53.34,83.615
7/7/2022,65.46,49.785,91.395,86.42,53.93,83.995
7/6/2022,65.445,49.74,93.145,86.41,53.91,84.695
7/5/2022,65.375,49.78,89.365,79.425,52.765,84.23
7/4/2022,68.56,49.83,87.985,81.27,54.03,82.62
7/1/2022,68.48,49.7,87.425,81.215,53.905,82.385
