Date,MONTE,BARC,BBVA,BNP,CAIX,COMZ,CRAG,CRMU,DANK,DB,SWEN,HSBC,INGB,INTE,KBCB,LLOYDHLCO,NWIDE,NORD,RABO,NWGHOLDCO,SAB,SANT,SEB,SOCG,STANLNHCO,SWED,UNIC,ABN
8/31/2022,1675.98,158.8,243.04,170.83,239.855,332.65,164.765,206.225,271.18,342.91,135.645,91.745,71.675,327.425,213.815,198.535,141.56,133.855,159.405,214.12,367.635,222.545,141.285,201.88,192.055,162.43,372.67,104.04
8/30/2022,1675.98,158.8,243.04,170.83,239.855,332.65,164.765,206.225,271.18,342.91,135.645,91.745,71.675,327.425,213.815,198.535,141.56,133.855,159.405,214.12,367.635,222.545,141.285,201.88,192.055,162.43,372.67,104.04
8/29/2022,1671.2,173.31,230.76,163.095,225.64,317.905,156.92,206.825,266.43,328.055,133.975,98.245,70.71,323.835,214.025,181.48,138.32,131.16,157.35,192.765,365.335,214.6,139.54,192.755,185.875,164.63,362.495,104.46
8/26/2022,1671.135,173.505,231.125,163.27,225.985,318.515,157.075,207.205,266.895,328.7,135.66,98.24,71.095,323.975,214.91,181.705,138.42,133.97,157.51,193.015,367.61,214.91,141.325,193.005,186.105,162.35,363.245,100.75
8/25/2022,1671.17,163.82,227.08,160.105,226,316.62,153.275,206.12,261.185,326.71,135.735,94.34,71.44,316.34,214.59,173.32,137.95,134.385,155.795,185.385,366.32,211.015,141.465,190.28,181.1,162.075,353.295,98.305
8/24/2022,1670.135,163.155,235.75,162.245,226.06,325.29,157.36,208.74,263.645,333.095,135.54,95.19,71.04,325.94,212.26,170.285,134.13,133.235,157.405,182.3,366.88,217.99,141.08,194.245,182.04,162.84,363.105,98.225
8/23/2022,1625.155,160.08,239.465,161.935,225.865,323.295,157.45,195.685,259.34,334.91,134.605,94.24,72.44,327.365,206.95,167.96,132.61,133.435,156.405,178.4,364.58,219.95,140.365,194.255,183.15,160.765,364.27,96.105
8/22/2022,1616.295,154.615,237.1,156.795,225.955,314.3,153.765,181.865,254.365,331.99,133.6,86.545,70.05,319.635,206.86,163.915,131.06,131.595,153.005,172.345,342.34,214.18,139.2,189.795,179.865,160.6,356.13,93.56
8/19/2022,1610.275,148.705,219.765,149.12,225.845,298.585,144.53,179.365,239.025,315.065,131.585,88.11,66.795,306.965,207.135,155.25,128.605,127.91,143.09,165.1,322.03,196.955,136.85,180.19,171.275,160.265,340.68,92.94
8/18/2022,1608.04,144.33,214.555,144.055,225.96,287.66,139.47,176.275,233.4,304.595,133.635,88.165,68.66,295.3,206.855,152.94,126.185,131.665,137.71,159.825,316.105,191.645,139.24,175.315,164.72,160.61,329.57,91.945
