Date,CISS
1/8/1999,0.0942
1/15/1999,0.1964
1/22/1999,0.188
1/29/1999,0.1492
2/5/1999,0.1748
2/12/1999,0.2131
2/19/1999,0.2177
2/26/1999,0.2004
3/5/1999,0.1669
3/12/1999,0.1554
3/19/1999,0.0763
3/26/1999,0.1237
4/2/1999,0.0868
4/9/1999,0.0927
4/16/1999,0.0645
4/23/1999,0.1055
4/30/1999,0.0748
5/7/1999,0.0619
5/14/1999,0.0567
5/21/1999,0.0567
5/28/1999,0.0569
6/4/1999,0.0495
6/11/1999,0.0536
6/18/1999,0.0485
6/25/1999,0.0401
7/2/1999,0.0422
7/9/1999,0.0272
7/16/1999,0.0342
7/23/1999,0.0868
7/30/1999,0.0875
8/6/1999,0.0823
8/13/1999,0.0832
8/20/1999,0.084
8/27/1999,0.0691
9/3/1999,0.0607
9/10/1999,0.0573
9/17/1999,0.0586
9/24/1999,0.0702
10/1/1999,0.0732
10/8/1999,0.0786
10/15/1999,0.1063
10/22/1999,0.1068
10/29/1999,0.1034
11/5/1999,0.0561
11/12/1999,0.0497
11/19/1999,0.0547
11/26/1999,0.0618
12/3/1999,0.0519
12/10/1999,0.0736
12/17/1999,0.0651
12/24/1999,0.0612
12/31/1999,0.0583
1/7/2000,0.1044
1/14/2000,0.0774
1/21/2000,0.0564
1/28/2000,0.0925
2/4/2000,0.0848
2/11/2000,0.0676
2/18/2000,0.0527
2/25/2000,0.0918
3/3/2000,0.0774
3/10/2000,0.0784
3/17/2000,0.0704
3/24/2000,0.0658
3/31/2000,0.1101
4/7/2000,0.1115
4/14/2000,0.1476
4/21/2000,0.1243
4/28/2000,0.1868
5/5/2000,0.2139
5/12/2000,0.2025
5/19/2000,0.1784
5/26/2000,0.2486
6/2/2000,0.2248
6/9/2000,0.1496
6/16/2000,0.1248
6/23/2000,0.1731
6/30/2000,0.1773
7/7/2000,0.1243
7/14/2000,0.1195
7/21/2000,0.1756
7/28/2000,0.1658
8/4/2000,0.1879
8/11/2000,0.1433
8/18/2000,0.1152
8/25/2000,0.1024
9/1/2000,0.1383
9/8/2000,0.1758
9/15/2000,0.144
9/22/2000,0.1883
9/29/2000,0.1472
10/6/2000,0.1343
10/13/2000,0.2055
10/20/2000,0.2338
10/27/2000,0.2263
11/3/2000,0.149
11/10/2000,0.1402
11/17/2000,0.1474
11/24/2000,0.1809
12/1/2000,0.2093
12/8/2000,0.1755
12/15/2000,0.1766
12/22/2000,0.2043
12/29/2000,0.1314
1/5/2001,0.243
1/12/2001,0.2395
1/19/2001,0.2078
1/26/2001,0.1205
2/2/2001,0.1516
2/9/2001,0.1403
2/16/2001,0.189
2/23/2001,0.1915
3/2/2001,0.1836
3/9/2001,0.0935
3/16/2001,0.1387
3/23/2001,0.1895
3/30/2001,0.1739
4/6/2001,0.1872
4/13/2001,0.2073
4/20/2001,0.2164
4/27/2001,0.1979
5/4/2001,0.1233
5/11/2001,0.1237
5/18/2001,0.097
5/25/2001,0.1362
6/1/2001,0.1076
6/8/2001,0.1014
6/15/2001,0.1122
6/22/2001,0.0937
6/29/2001,0.1679
7/6/2001,0.1777
7/13/2001,0.1754
7/20/2001,0.1877
7/27/2001,0.1487
8/3/2001,0.1097
8/10/2001,0.1264
8/17/2001,0.1708
8/24/2001,0.137
8/31/2001,0.1732
9/7/2001,0.2891
9/14/2001,0.3324
9/21/2001,0.3967
9/28/2001,0.3816
10/5/2001,0.3952
10/12/2001,0.3274
10/19/2001,0.3198
10/26/2001,0.3391
11/2/2001,0.3406
11/9/2001,0.3489
11/16/2001,0.363
11/23/2001,0.3202
11/30/2001,0.2851
12/7/2001,0.3234
12/14/2001,0.2777
12/21/2001,0.3032
12/28/2001,0.2353
1/4/2002,0.3101
1/11/2002,0.2448
1/18/2002,0.3003
1/25/2002,0.2791
2/1/2002,0.2515
2/8/2002,0.2859
2/15/2002,0.1929
2/22/2002,0.2447
3/1/2002,0.221
3/8/2002,0.2099
3/15/2002,0.1428
3/22/2002,0.1439
3/29/2002,0.0983
4/5/2002,0.1625
4/12/2002,0.1766
4/19/2002,0.1832
4/26/2002,0.1559
5/3/2002,0.2006
5/10/2002,0.1624
5/17/2002,0.1656
5/24/2002,0.15
5/31/2002,0.1591
6/7/2002,0.1699
6/14/2002,0.1696
6/21/2002,0.1644
6/28/2002,0.1523
7/5/2002,0.1938
7/12/2002,0.188
7/19/2002,0.1942
7/26/2002,0.2234
8/2/2002,0.2279
8/9/2002,0.239
8/16/2002,0.1926
8/23/2002,0.2302
8/30/2002,0.2237
9/6/2002,0.2153
9/13/2002,0.2346
9/20/2002,0.2314
9/27/2002,0.2388
10/4/2002,0.2615
10/11/2002,0.2762
10/18/2002,0.2686
10/25/2002,0.2586
11/1/2002,0.2192
11/8/2002,0.2377
11/15/2002,0.2056
11/22/2002,0.1835
11/29/2002,0.2171
12/6/2002,0.2083
12/13/2002,0.2073
12/20/2002,0.2505
12/27/2002,0.1397
1/3/2003,0.1921
1/10/2003,0.1678
1/17/2003,0.2087
1/24/2003,0.219
1/31/2003,0.2133
2/7/2003,0.1819
2/14/2003,0.2126
2/21/2003,0.1623
2/28/2003,0.2287
3/7/2003,0.195
3/14/2003,0.2083
3/21/2003,0.2278
3/28/2003,0.193
4/4/2003,0.2103
4/11/2003,0.1696
4/18/2003,0.1451
4/25/2003,0.1424
5/2/2003,0.1168
5/9/2003,0.1571
5/16/2003,0.1028
5/23/2003,0.2331
5/30/2003,0.1786
6/6/2003,0.212
6/13/2003,0.1835
6/20/2003,0.2103
6/27/2003,0.167
7/4/2003,0.124
7/11/2003,0.1652
7/18/2003,0.0979
7/25/2003,0.0891
8/1/2003,0.0884
8/8/2003,0.0859
8/15/2003,0.0892
8/22/2003,0.1868
8/29/2003,0.1326
9/5/2003,0.0977
9/12/2003,0.0856
9/19/2003,0.0889
9/26/2003,0.0997
10/3/2003,0.1409
10/10/2003,0.1264
10/17/2003,0.1006
10/24/2003,0.0888
10/31/2003,0.0913
11/7/2003,0.0951
11/14/2003,0.07
11/21/2003,0.0736
11/28/2003,0.0865
12/5/2003,0.078
12/12/2003,0.0626
12/19/2003,0.0481
12/26/2003,0.0469
1/2/2004,0.0677
1/9/2004,0.139
1/16/2004,0.1147
1/23/2004,0.1012
1/30/2004,0.0824
2/6/2004,0.061
2/13/2004,0.0889
2/20/2004,0.0866
2/27/2004,0.0859
3/5/2004,0.1112
3/12/2004,0.1084
3/19/2004,0.0942
3/26/2004,0.1008
4/2/2004,0.0962
4/9/2004,0.1275
4/16/2004,0.0931
4/23/2004,0.0855
4/30/2004,0.0897
5/7/2004,0.076
5/14/2004,0.1054
5/21/2004,0.0739
5/28/2004,0.062
6/4/2004,0.0586
6/11/2004,0.0559
