Date,BNP,CRAG,SANT,SOCG,DB,CRMU,INTE,INGB,UNIC,BBVA,RABO,DZ,NORD,CAIX,DANK,COMZ,ABN,KBCB,LBBW,ERST,SEB,SWEN,BAY,SWED,SAB,HESLN,VB
6/30/2023,7513,4565,5809,2273,2261,,4245,3846,4386,4144,2528,1412,2483,2138,1366.64,1139,1393,1848,488,1997.96,1623.06,1178.94,595,1413.16,564.4,241,248
3/30/2023,4533,1872,2865,1092,1322,,1963,1629,2070,1994,,,1148,855,693.7,592,523,882,,817.58,832.67,604.14,341,670.18,205,,
12/31/2022,10597,8873,10764,2947,5659,4153,4377,3777,6473,6827,2786,1073,3595,3149,-681.5,1393,1867,2743,1510,2666.3,2426.69,1930.45,1058,1967.32,869.39,431,191
9/30/2022,8345,6644,8223,1566,3680,,3295,2640,1700,5102,,,2335,2494,-1242.66,864,1513,2046,,1979.58,1794.15,1426.69,243,1382.47,723,,
6/30/2022,5140,4463,5541,-236,2438,,2351,1686,2020,3118,1276,577,1323,1575,611.76,825,770,1339,315,1344.01,1141.1,915.75,176,869.25,406.5,223,95
3/30/2022,1935,1537,2869,1020,1227,,1046,475,287,1979,,,269,708,382.5,330,295,458,,494.51,619.42,546.58,18,446.65,226,,
12/31/2021,9880,9953,9653,6338,2510,4302,4043,4905,2126,5618,3692,2176,3831,5229,1738.61,354,1234,2614,418,2408.1,2483.55,1909.14,556,2038.97,538.71,501,162
9/30/2021,7469,7388,6991,4343,2194,,3958,3926,1068,4742,,,2814,4867,1246.09,39,682,1951,,1848.53,1890.67,1407.01,363,1577.15,379,,
6/30/2021,4855,4979,4440,2562,1865,,2987,2523,1933,3083,2160,1308,1813,1345,797.72,-363,339,1350,283,1147.82,1245.27,901.39,250,1042.23,227.3,201,94
3/30/2021,1854,1922,1959,814,1037,,1533,1024,894,1447,,,788,4786,422.06,156,-54,557,,440.77,587.79,427.9,112,485.82,45,,
12/31/2020,7415,5193,-7708,196,624,3114,3285,2563,-2778,2060,1096,973,2265,1381,617.36,-2861,-45,1440,172,1025.5,1569.23,1553.48,229,1288.49,3.01,177,174
9/30/2020,5743,5286,-8291,-386,435,,6372,1820,685,631,,,1540,725,421.56,-126,-99,902,,814.2,1004.89,1061.18,180,796.4,204,,
6/30/2020,3764,2639,-10338,-1378,126,,2559,1005,-2276,-823,227,372,703,204,139.01,-75,-400,205,52,369.83,557.99,752.38,101,300.82,144.53,-185,106
3/30/2020,1384,1048,647,-326,66,,1146,687,-2651,-1620,,,460,90,-172.62,-287,-395,-5,,258.3,212.9,355.93,-152,-152.51,95,,
12/31/2019,8583,7704,8116,3946,-5265,3858,4152,4879,3491,4345,2203,1873,1542,1708,2009.68,685,2046,2489,444,1911.06,1931.4,1620.11,466,1886.6,776.88,480,275
9/30/2019,6636,5384,4972,3116,-3781,,3303,3971,4387,4315,,,792,1268,1343.53,768,1730,1787,,1545.7,1341.27,1172.79,394,1428.69,790,272,
6/30/2019,4598,3415,4082,2077,-2949,,2259,2603,3116,2916,1212,1034,1124,623.29,940.57,432,1172,1175,219,937.06,906.25,849.45,294,1004.99,538.01,255,154
3/30/2019,2016,1473,2358,631,201,,1048,1140,1235,1398,,,443,533,400.26,134,,430,,466.26,450.18,457.4,44,507.21,259.3,42,
12/31/2018,8005,7369,9315,4813,341,3578,4072,4811,4340,6151,3004,918,3081,2095,1967.79,964,2350,2570,413,2162.53,2255.91,1692.56,828,2065.17,335.23,278,268
9/30/2018,6466,5668,7177,3742,750,,3034,3510,2335,5004,,,,1850,1511.98,832,,1949,,1514.02,1800.17,1294.11,569,1608.69,253.6,255,
6/30/2018,4233,3789,4821,2340,521,,2196,2706,2247,3230,1698,731,,1341.89,1179.74,591,1283,1248,206,939.79,1341.14,883.48,347,1057.4,124.38,140,149
3/30/2018,1698,1572,2409,1004,120,,1253,1254,1168,1626,,,,737,615.93,284,,556,,402.63,388.45,389.33,181,489.58,260.8,52,
12/31/2017,8207,7010,8207,3430,-735,3054,7354,4987,5785.58,4762,2674,1098,3048,1721,2807.29,222,2791,2575,419,1667.75,1650.17,1635.74,679,1967.12,805.18,256,329
9/30/2017,6665,5924,6678,3191,1689,,5927,4022,4929,4345,,,,1526,2049.24,133,,2176,,1260.22,1353.61,1278.88,434,1515.69,655.5,249,
6/30/2017,4520,3908,4320,2097,1041,,5251,2622,2056.99,2913,1516,488,,856.11,1387.86,-361,1576,1485,201,793.76,914.75,847.21,330,1024.5,452.2,150,177
3/30/2017,2002,1695,2186,889,575,,907,1164,997,1492,,,,415,737.42,237,,630,,339.01,450.05,431.27,186,537.76,217.9,47,
12/31/2016,8115,5172,7486,4338,-1356,3278,3201,4726,-11326.31,4693,2024,1606,,1054.94,2671.11,382,1806,2428,11,1536.76,1111.55,1700.61,550,2046.8,715.85,340,349
9/30/2016,6569,4419,5942,3835,534,,2447,4096,2111.64,3722,,,,981,1914.83,177,,1742,,1424.8,662.51,1330.53,462,1601.39,650.48,266,
6/30/2016,4579,2934,3906,2613,256,,1810,2591,1561.82,2471,924,1158,,644.03,1258.58,434,866,1113,188,987.93,236.1,874.03,319,1123.5,427.39,184,181
12/31/2015,7044,6431,7334,4395,-6772,3095,2734,4413,2045.95,3328,2214,1796,,816.5,1764.84,1199,1924,2639,422,1275.14,1804.34,1778.44,496,1712.82,712.25,419,348
12/31/2014,507,5283,6935,2978,1691,3027,1310,1440,2388.03,3082,1842,2157,,619.93,531.22,372,1134,1763,438,-1249.2,2046.1,1616.52,-1320,1752.69,376.65,397,151
12/31/2013,5421,5505,5524,2394,681,2717,-4557,3810,-13583.17,2981,2007,1467,,495.44,953.16,172,1160,1029,339,199.88,1668.12,1613.6,131,1457.94,268.84,335,-1352
12/31/2012,7318,-3673,2967,1224,316,2217,1654,4270,1222.53,2327,2058,969,,228.75,632.82,56,,641,398,631.01,1357.95,1695.17,724,1683.28,96.04,318,-718
12/31/2011,6894,1127,6139,2788,4326,2227,-8127,5853,-8841.68,3485,2627,609,,1052.7,231.77,747,,47,87,-562.57,1218.13,1382.74,86,1319.35,235.87,397,38
12/31/2010,9164,4091,9101.76,4302,2330,3026,2776,2916,1644.57,4995,2772,1125,,1849.8,488.27,1489,,1888,-363,1043.31,757.81,1229.02,591,834.17,382.92,298,-431
12/31/2009,6474,3069,9412.06,1108,4958,1882,2938,-1053,2034.62,4595,2208,346,,1343.15,229.11,-4633,,-2547,-1482,976.63,114.9,999.22,-3093,-1018.53,526.31,323,-98
12/31/2008,3452,2941,9332.41,2773,-3896,442,2682,-766,4529.3,5385,2754,-1166,,1083.5,140.86,59,,-2379,-2112,1038.6,924.56,1116.01,-5353,1006.35,675.86,-44,147
12/31/2007,8311,6487,9636.15,1604,6510,2785,7356,9508,6618.23,6415,2696,897,,,1990.27,1925,,3404,326,1549.95,1444.9,1642.54,175,1285.39,787.61,353,273
12/31/2006,7808,7469,8245.75,5785,6079,3001,2669,8033,6127.86,4971.04,2345,1859,,,1816.77,1801,,3593,931.37,1182.4,1396.36,1452.23,989,1222.58,911.31,367,214
12/31/2005,6286,6313,6749.77,4916,3529,2417,3132,7515,2672.29,4070.57,2083,634,,,1700.27,,,2443,949.57,,,1209.34,853.92,,,149.35,204
