Date,BNP,CRAG,SANT,SOCG,DB,CRMU,INTE,INGB,UNIC,BBVA,RABO,DZ,NORD,CAIX,DANK,COMZ,ABN,KBCB,LBBW,ERST,SEB,SWEN,BAY,SWED,SAB,HESLN,VB
6/30/2023,2671181,2398986,1780493,1578430,1300293,,955205,1029181,843506,762456,630203,653374,602351,625597,501058.7242,501603,403384,368077,364124,343992.685,353404.9113,318110.2634,273061,258391.6885,243452.697,212354,73028
3/30/2023,2693796,,1749402,1553624,1306777,,955175,1022188,895327,739564,,,604125,618708,509015.7485,497357,403764,347355,,342921.386,337019.698,319318.2256,285700,269166.3292,248480,,
12/31/2022,2666376,2379120,1734659,1486818,1336788,1108076,975683,967817,857773,713140,628513,627041,594844,592234,506014,477438,379581,355872,324174,323865,317649,310537,259343,256693,251380,211502,73155
9/30/2022,3009340,2498100,1815792,1593541,1498067,,1023005,1058830,942803,738680,,,624849,675790,579869.6094,543368,424377,363528,,335296.87,392382.7971,342097.5561,303100,274698.9873,260407,,
6/30/2022,,2395665,1722840,,1386660,,,1020064,945756,715294,,,610960,704505,547640.7785,535049,421504,,,327093.365,383288.9695,343808.4578,285305,271389.6663,257228.89,213797,74858
3/30/2022,,,1666012,,1343066,,,1007922,949854,675842,,,624498,689217,544906.4104,525591,421495,369903,,325610.049,364340.7543,343030.1771,290000,279135.4966,253256,,
12/31/2021,2634444,2323557,1595835,1464449,1323993,1080491,1069003,951290,917227,662885,639231,627273,570353,680036,529635,467409,399113,340346,282344,307428,322787,326942,266554,268705,251947,212341,72081
9/30/2021,2725667,2332700,1578295,1526354,1326058,,,988751,948584,651834,,,614509,685738,527825.6242,541258,417026,354336,,309240.329,352538.1358,340924.5338,292900,297999.3171,249922,,
6/30/2021,,2299648,1568636,1492609,1320384,,,978246,950046,648169,650997,637870,586812,674088,534553.6221,543643,411464,368596,304140,303434.962,340694.9965,339875.3958,282448,290710.1296,250119.902,217150,70473
3/30/2021,2660266,2323600,1562879,1502982,1317126,,1000628,980870,942165,719705,,,591101,663569,547633.0967,537804,409963,351818,,304968.574,336239.9456,341037.2409,286300,276371.6219,244872,,
12/31/2020,2488491,2217512,1508250,1444404,1325259,1021610,1002614,937275,931456,736176,632258,594535,552160,451520,552816,506613,395623,320743,276444,277394,303006,312459,256226,258579,235763,219324,67484
9/30/2020,,,1514242,1472337,1387791,,996848,956481,903353,727014,,,574774,449310,540953.8273,544330,419949,321193,,271983.163,302801.5175,315748.4939,265600,255007.1715,236094,,
6/30/2020,2622988,2200200,1572881,1453372,1407296,,,984842,892735,753824,620117,604196,587287,445572,544991.2968,550628,424733,317388,289709,264691.955,306615.6483,336661.9728,258035,263451.7313,234447.29,227691,65378
3/30/2020,2673276,2128500,1540359,1507706,1491203,,847901,944685,872753,730923,,,600394,416391,536692.3606,517270,405903,301451,,262898.227,297060.0266,325141.2996,241800,241876.8423,223286,,
12/31/2019,2164713,2010966,1522695,1356495,1297674,930916,816570,891744,855647,698690,590598,559379,554848,391414,501493,463452,375054,290591,256630,245693,273446,293837,225965,230522,223754,207028,62841
9/30/2019,2510204,2023800,1517885,1411133,1500922,,848718,922391,863544,709017,,,585855,413165,530757.7686,513343,400152,294830,,252101.002,284802.2331,298085.3549,244200,234345.7423,222809,221600,
6/30/2019,2372620,1954067,1512096,1388609,1436096,,,913390,832611,697626,606834,560783,582875,406007.039,506246.8568,518030,396196,289548,265119,248260.847,275706.5531,293991.9246,240321,234781.2803,224852.38,212988,63941
3/30/2019,2284496,1893700,1506151,1363644,1437179,,,904935,848128,691200,,,590173,404136,497630.5594,503246,,292332,,243705.797,277584.6709,304884.7608,235300,236811.3009,225744,180600,
12/31/2018,2040836,1854763,1459271,1309428,1348137,852564,787790,887030,832172,676689,590437,518733,551408,386546,479384,462386,381295,283808,241197,236792,250371,290416,220227,219027,222322,162968,60948
9/30/2018,2234226,1829800,1444687,1303873,1379982,,796962,901585,834057,668985,,,,387751,492597.3719,493222,,304740,,234827.324,269412.8931,299469.7097,227400,238787.6416,217751,171700,
6/30/2018,2234485,1824385,1433833,1298022,1420960,,793718,905984,823908,689632,607845,538234,,396116.548,497339.426,487537,395365,301934,258530,229877.909,269573.7029,299851.144,226288,253135.5027,215934.528,166867,62534
3/30/2018,2150517,1784200,1438470,1271900,1477735,,792728,887020,823978,685441,,,,384420,477857.1612,470032,,304022,,230018.373,282299.4007,288163.849,221600,240086.0109,219009,166300,
12/31/2017,1952166,1763169,1444305,1275128,1474732,813198,796861,846216,836790,690059,602991,505594,581612,383136,475430,452495,393171,292342,237713,220659,260020,281087,214521,224773,221348,158235,60892
9/30/2017,2158500,1764600,1468030,1338700,1521454,,785359,861701,827099,690797,,,,379112,476707.6263,489905,,296885,,221714.803,304002.156,308948.2421,222400,254934.5977,211076,163100,
6/30/2017,2142961,1741462,1313545,1350222,1568734,,788018,862051,827128.188,702429,623197,513358,,378684.024,480421.7546,487260,403819,296479,255050,218156.05,288073.7689,307172.9726,220950,251676.8463,217457.774,163975,60956
3/30/2017,2197658,1749700,1351956,1401200,1564756,,739464,884815,881085,719193,,,,370267,472528.8874,490257,,287293,,222798.362,307049.8403,306637.239,224100,261081.777,219093,172600,
12/31/2016,2076959,1722849,1339125,1354422,1590546,793522,725138,845081,859533,731856,662593,509447,,347927,468591,480436,394482,275200,243620,208227,274342,275068,212150,225513,212508,165164,61588
9/30/2016,2173877,1765300,1329538,1404900,1688951,,714397,870542,874526.795,724627,,,,342863,476234.4547,513444,,266016,,206811.336,296326.9517,302352.5178,224999,248803.8485,205843,175000,
6/30/2016,2171989,1770663,1342906,1460243,1803290,,717292,885659,891476.677,746040,686593,521354,,353109.436,468230.6777,532602,418940,265681,259693,204504.743,284091.5717,321582.6784,224296,262730.6115,207891,175629,64408
12/31/2015,1994193,1698859,1340260,1334391,1629130,739809,676568,841769,860433,750078,670373,408341,,344255,442840,532701,407373,252356,234015,199743,271610,274458,215713,233838,208628,172256,62690
12/31/2014,2077758,1762714,1266296,1308138,1708703,706720,646427,992856,844217,631942,681086,402682,,338623,464615,558317,386867,245174,266268,196287,281193,299869,232124,225838,163346,179489,68159
12/31/2013,1810522,1688264,1115638,1214193,1611400,659959,626283,1081317,825919,582575,669095,385398,,340190,432312,549654,372022,238686,274646,200118,280485,280472,255483,205902,163441,178276,74537
12/31/2012,1907200,1783220,1269628,1250889,2022275,645216,673582,1166191,926838,637785,750710,407236,,348294,466737,636023,,256886,336326,213824,285883,278239,286864,215210,161547,199301,81341
12/31/2011,1965283,1879536,1251526,1181372,2164103,605220,639221,1279228,913567,597688,731665,405926,,270425,460626,661763,,285382,373059,210006,264742,275400,309172,208378,100437,163985,81272
12/31/2010,1998158,1730846,1217501,1132072,1905630,591309,658757,1247005,929488,552738,652536,383464,,50986,428289,754299,,320823,374474,205770,242996,240066,316354,191256,97099,166244,78918
12/31/2009,2057698,1693763,1110529,1023701,1500664,579038,624844,1163643,928760,535065,607483,388525,,49106,414409,844103,,324231,411694,201710,225148,207066,338818,175057,82823,169900,80251
12/31/2008,2075551,1783972,1049632,1130003,2202423,581709,636133,1331663,1045612,542650,612120,427127,,43501,481846,625224,,355317,447738,201441,230975,198600,421455,166669,80378,184572,76695
12/31/2007,1694454,1540863,912915,1071762,1925003,553302,572959,1312510,1021835,501726,570491,431337,,,448317,616474,,355597,443400,200519,248316,196938,415639,170311,76776,173787,70584
12/31/2006,1440343,1379904,833873,956841,1584493,482676,291781,1226307,823284,411916,556455,421684,,,367426,608278,,325400,417285,181703,213989,198012,344369,149668,72780,158983,64382
12/31/2005,1258079,1170349,809107,835134,992161,436390,273535,1158639,787284,392389,506573,401628,,,325979,,,325801,404915,,,168600,340854,,,164422,53098
