Date,BNP,CRAG,SANT,SOCG,DB,CRMU,INTE,INGB,UNIC,BBVA,RABO,DZ,NORD,CAIX,DANK,COMZ,ABN,KBCB,LBBW,ERST,SEB,SWEN,BAY,SWED,SAB,HESLN,VB
6/30/2023,128304,139468,102044,77984,72714,,62461,51463,62029,52568,48386,30877,29085,34045,22645.07733,31944,23047,22853,15658,26734.784,17733.30107,16626.86506,13953,15641.47461,13520.448,10165,3864
3/30/2023,132006,,99490,75370,73380,,61604,52274,63804,51471,,,28181,33034,22095.03406,31766,22728,23141,,26483.01,18890.86679,16388.85681,13700,15368.24879,13145,,
12/31/2022,126555,133791,97585,72782,72328,68663,61821,50413,63497,50615,46358,23076,31404,34262,21558.12874,30905,22814,20807,15442,25304.7,18389.45683,17625.81823,13540,15833.11526,13224.421,9877,3708
9/30/2022,125426,133900,99312,72073,70915,,62929,51670,63144,49897,,,31026,34274,21030.03386,30507,22725,20040,,24584,18176.78663,17615.92704,13000,15527.72744,13363,,
6/30/2022,,133228,97462,,68885,,,52042,62624,48793,,,30689,34843,23039.40302,30461,22528,,,23886.313,17967.32573,17304.6962,12824,15058.55914,13051.225,9622,3675
3/30/2022,,,99378,,68733,,,54076,62134,48258,,,30921,35916,23865.90786,29885,22333,23108,,24068.147,18044.84119,17283.01669,12400,14955.36471,12940,,
12/31/2021,122507,133715,97053,70863,68030,67068,64066,54654,62650,48760,43402,28661,33503,35425,23778.60867,29827,21999,23077,14197,23513.4,18876.27266,17753.14089,12307,15795.93943,12996.281,9222,3486
9/30/2021,120763,130900,95624,69288,65935,,,56384,62649,50567,,,36628,35124,23701.8716,29754,21927,23596,,23953.709,18840.74362,17926.53302,12200,16191.24407,12877,,
6/30/2021,,128921,95745,68637,65228,,,57209,61803,49944,42330,28503,35528,34571,23286.31311,29249,21538,23100,14306,23370.84,18164.3391,17666.16979,11963,15764.28456,12672.63,8925,3424
3/30/2021,118375,133700,92686,68311,63557,,65709,55982,61099,50711,,,34489,35552,22925.70708,29301,21166,22268,,22771.437,17077.59394,17068.70571,11900,15018.7498,12630,,
12/31/2020,117349,126474,91322,67012,62196,62227,66321,55659,59942,50020,40632,29116,33740,25278,22692.41402,28574,20989,21530,13987,22410.3,17135.63422,17088.79458,11583,15466.34921,12491.638,8842,3450
9/30/2020,,,91310,65710,62228,,68641,55230,61089,48521,,,32553,24551,22323.41799,31980,20831,20884,,21438.298,15667.46277,15844.3573,11600,14245.11729,12732,,
6/30/2020,116037,123443,91859,65679,62817,,,55327,61185,49555,39749,28175,31759,24393,22072.82896,31758,21602,20210,13901,21200.367,15266.09299,15552.04519,11618,13760.96108,12717.668,8816,3382
3/30/2020,113477,121600,106113,67518,63360,,56749,55290,61250,49174,,,31476,24217,22365.91459,30445,20737,19720,,21052.592,14209.37817,14596.40369,11100,12797.42665,12772,,
12/31/2019,111845,121534,110659,68570,62160,59700,56522,54662,61785,54926,41347,27796,31528,25151,22735.29397,30500,21471,20222,13923,20477.324,14904.03931,15299.5659,11530,13270.33835,12974.406,8710,3435
9/30/2019,111608,119000,108526,68617,64620,,55551,54410,60915,57029,,,30537,24699,22161.88571,30674,20995,19585,,20129.753,13658.40827,14546.69845,11400,12506.74439,13057,8700,
6/30/2019,108482,116986,109985,67219,64982,,,53460,59916,54690,40055,25471,31054,23983.944,21837.80599,29417,21314,19299,12978,19648.891,13519.22591,14029.4854,11431,12269.98949,12715.437,8638,3578
3/30/2019,109703,116000,110365,66716,69194,,,53623,59205,53547,,,30495,24750,21242.15022,29387,,19424,,19754.385,13311.32558,13443.27419,11300,12175.5289,12478,8500,
12/31/2018,105726,112188,107361,65809,68737,54716,54350,51735,57350,52874,42236,23512,32901,24364,21873.0339,29412,21360,19633,13163,18868.719,14509.12898,13872.55239,11255,13418.91356,12117,8462,3571
9/30/2018,104147,110600,105668,64741,68788,,52817,49737,55178,51097,,,,24353,21552.21127,29556,,19278,,18395.77,14100.6761,13697.72758,11000,12987.66905,12192,8100,
6/30/2018,104245,108889,104445,63363,68861,,51227,50717,56299,52087,40514,23825,,24099.023,21589.68579,29138,21288,19016,13095,17707.727,13352.3964,13228.60455,10892,12271.27447,12069.961,8015,3456
3/30/2018,105326,107200,105466,63500,68025,,54894,50900,57891,51823,,,,24644,21557.86293,29047,,18519,,17995.688,12659.63163,12797.41389,10800,11935.424,12870,7900,
12/31/2017,107209,107736,106833,64037,68099,53044,56604,51121,60224.7,53323,39610,23505,33316,24866,22600.19306,30022,21330,18802,13377,18288.316,14620.80217,14385.02047,10816,13569.07965,13221.781,8034,3714
9/30/2017,105206,107000,108723,64800,70609,,54039,50452,58577,54400,,,,24992,22221.7263,29727,,18403,,17969.152,14775.35067,14400.49486,10600,13375.62642,13205,8000,
6/30/2017,104424,105464,100963,64497,71210,,53521,50359,55983.314,54727,40314,22795,,24375.232,21904.82565,29375,19860,18065,13165,17515.205,14352.74873,13994.02856,10516,12881.76782,13072.543,7945,3543
3/30/2017,107282,104600,104869,66000,64852,,51091,51396,57035,54918,,,,24779,21407.64392,29810,,17905,,16893.936,14133.87575,13820.62189,11200,12549.77216,12944,7800,
12/31/2016,105220,103174,102699,65706,64819,50504,49319,50399,43188.302,55428,40524,22890,,23555.562,22411.49924,29573,18937,17357,13119,16601.996,14758.08133,14277.05347,11035,13578.17599,13082.976,7850,3561
9/30/2016,103191,102600,101122,64600,66727,,48862,50089,55142.1,55891,,,,23555,21508.71058,29398,,16535,,16529.371,14081.48151,13936.69413,11051,12907.4877,13195,7700,
6/30/2016,93471,101046,100346,62013,66809,,48173,49705,53296.869,55962,40759,22251,,22161.265,21250.4079,29682,17959,16234,13092,15976.588,13998.92089,13749.9861,10893,12677.21088,12862,7614,3432
12/31/2015,100077,97421,98753,62675,67625,47879,48593,48470,53485.523,55439,41280,19729,,25204.55,21629.0849,30125,17584,15811,18972,14807.313,15539.25923,13958.10657,11070,13422.05991,12767.661,7676,3302
12/31/2014,93689,91702,89714,58874,73223,44765,45062,59416,52835.552,51609,38871,18245,,25232.568,20503.78057,27033,14877,16521,13241,13443.457,14327.24827,13502.27319,11789,12495.78016,11215.952,7350,2963
12/31/2013,90955,81660,79902,53970,54966,41218,45058,53189,50055.685,44850,38534,14188,,24333.772,19512.89241,26933,13568,14513,13399,14784.966,13863.09299,12567.80913,14886,12383.36523,10405.591,7241,2582
12/31/2012,94017,76691,84326,53551,54240,38417,49906,55108,65247.651,43802,42080,12641,,22711.172,18482.8027,26250,,15961,10322,16338.518,12760.72353,12455.90079,14903,12377.48118,9260.772,6817,1337
12/31/2011,85626,76755,82859,51112,54660,34375,47758,50440,54797.578,40058,45001,10775,,20714.509,16929.12164,24803,,16772,9521,15180,11528.17189,10606.38044,14238,11011.34031,5934.144,5494,1879
12/31/2010,85629,77433,80914.458,50975,50368,33388,54600,46633,67703.225,37475,40757,10727,,14703.013,13958.13548,28658,,18674,9991,16558.033,11096.59629,9853.422566,13911,10594.06516,5688.543,5203,1836
12/31/2009,80344,74701,73870.642,46838,37969,30619,53771,39778,62891.912,30763,37883,10233,,14320.664,13462.73702,26576,,17177,10506,16122.764,9721.877106,8104.539275,14061,8776.210966,5297.37,4906,2434
12/31/2008,58968,69000,60001.492,40887,31914,25036,50054,28928,58240.392,26705,33459,8418,,12413.268,13357.8671,19842,,15376,6060,11095.244,7702.755014,6896.315782,11087,7954.180798,4448.065,4675,2404
12/31/2007,59393,70002,57558.151,31275,39315,26864,52349,39531,62433.782,27943,31409,11003,,,13967.36369,16132,,18487,10433,11403.276,8125.759326,7889.778776,12893,7236.489715,4604.504,4906,2211
12/31/2006,54824,62504,47072.302,33432,33475,24322,19018,41215,42742.445,22318.478,29377,10840,,,12765.25278,15258,,18453,10354,10904.207,7441.117387,7325.961319,12559,6667.879238,4195.416,4585,2097
12/31/2005,45993,55222,42626.699,27200,29936,20777,17506,38425,39436.168,17302.112,26349,8380,,,9930.745171,,,17466,11277.755,,,7004.057105,10352.579,,,4617.442,1440
