Date,BNP,CRAG,SANT,SOCG,DB,CRMU,INTE,INGB,UNIC,BBVA,RABO,DZ,NORD,CAIX,DANK,COMZ,ABN,KBCB,LBBW,ERST,SEB,SWEN,BAY,SWED,SAB,HESLN,VB
6/30/2023,13.62,17.58,12.3,12.98,13.8,,13.7,14.9,16.94,12.99,16.68,15.64,16,12.5,18.1,14.44,16,15.66,14.4,15.01,19.3,19.8,17.6,18.6,12.76,13.92,20.4
3/30/2023,13.55,17.62,12.26,13.39,13.6,,13.7,14.8,16.36,13.13,,,15.7,12.6,18,14.2,15,15.84,,14.09,19.2,19.4,17.4,18.3,12.63,,
12/31/2022,12.33,17.55,12.18,13.49,13.4,18.8,13.8,14.47,16.68,12.68,15.96,13.66,16.4,12.8,17.8,14.14,15.2,14.07,14.6,14.4,19,19.6,17.4,17.8,12.68,13.55,20.26
9/30/2022,12.11,17.2,12.24,12.81,13.3,,12.6,14.75,16.04,12.55,,,15.8,12.4,16.9,13.79,15.2,13.95,,14,18.1,19,16.1,18.5,12.27,,
6/30/2022,12.2,17.47,12.25,12.85,13,,,14.71,16.39,12.56,15.06,13.32,16.6,12.4,17.1,13.72,15.5,,14.5,14.5,18.6,18.7,15.9,18.3,12.44,13.91,20.79
3/30/2022,12.35,16.96,12.33,12.8,12.8,,13.81,14.9,14.62,12.81,,,16.3,13.4,17.6,13.54,15.7,15.2,,13.9,18.7,18.7,16.6,18.3,12.36,,
12/31/2021,12.89,17.54,12.51,13.71,13.2,19.5,14.5,15.89,15.82,12.98,17.4,15.33,17,13.1,17.7,13.6,16.3,16.77,14.8,14.8,19.7,19.4,17.3,18.3,12.5,14.33,22.74
9/30/2021,12.99,17.44,12.26,13.4,13,,14.32,15.83,16.14,14.71,,,16.9,13,18.1,13.5,17.8,16.87,,14.5,20.2,19.4,16.4,18.5,12.17,,
6/30/2021,12.9,17.3,12.11,13.37,13.2,,14.86,15.73,16.11,14.37,17.18,15.4,18,12.9,18,13.4,18.3,18.01,15.1,14.4,21.1,20.5,15.6,18.5,12.2,13.95,28.3
3/30/2021,12.8,,12.3,13.5,13.7,,14.9,15.5,16.54,12.2,,,17.5,14.1,18.1,13.4,17.4,18.13,,14.3,20.3,20.2,15.4,18,12.38,,
12/31/2020,12.76,17.25,12.34,13.44,13.6,18.7,14.7,15.45,15.96,12.15,16.8,15.3,17.1,13.6,18.3,13.2,17.7,18.1,15.1,14.5,21,20.3,15.9,17.5,12.57,14.67,31.19
9/30/2020,12.63,,11.98,13.1,13.3,,14.7,15.3,15.15,11.99,,,16.4,12.5,18.2,13.5,17.2,16.57,,14.2,19.4,19.4,15.6,16.8,12.73,,
6/30/2020,12.4,16.1,11.84,12.3,13.3,,14.6,14.96,14.54,11.63,16.6,14.18,15.8,12.3,17.6,13.4,17.3,16.6,14.4,14.3,17.8,18.7,15,16.4,12.61,13.33,33.8
