Date,BNP,CRAG,SANT,SOCG,DB,CRMU,INTE,INGB,UNIC,BBVA,RABO,DZ,NORD,CAIX,DANK,COMZ,ABN,KBCB,LBBW,ERST,SEB,SWEN,BAY,SWED,SAB,HESLN,VB
6/30/2023,143,157.3,158,152,137,,171.1,137,160,158,169,137.1,160,207,148,138.8,144,152,137.2,148.7,129,188,178.2,167,215,197.2,297
3/30/2023,139,158.4,152,171,143,,175.6,134,163,142,,,161,192,169,139.1,143,151.51,,146,137,151,181.9,165,219,,
12/31/2022,129,162.7,152,141,141.6,150.6,181.9,134,156,159,156,145.9,162,194,151,141.1,143.2,151.62,144.2,138,143,163,175.4,160,224.38,216.8,233
9/30/2022,131,167.71,170.1,143,136,,184.7,133,165,166,,,150,276,159,138,150,154.59,,145.4,120,162,203,146.4,217,,
6/30/2022,,169.3,164.77,140,133,,,136,172,166.8,199,150.24,147,312,155,141.2,158,158,,154.3,135,180,202.8,148.4,224,170.7,359
3/30/2022,135.25,171.41,157.25,134.72,135,,191.1,138,177,152,,,153,315,164,143.1,163,162.41,,161.1,122,169,245.9,151,235,,
12/31/2021,143,183,163,129,133.1,183.6,184.5,139,182,165,184,147.7,160,336,164,145.1,168,166,141.1,177.3,145,152,271.2,163,221.41,184,324
9/30/2021,136,170.34,165.62,130,137,,179.5,142,184,170,,,168,327,161,147.6,167,166.83,,181,131,158,245.9,155.2,223,,
6/30/2021,,165.6,163.75,133,143,,173.9,141,185,179,228.85,157.2,159,295.71,155,142.8,166,166.04,131.6,193.2,133,155,266,155.3,205,215.5,261
3/30/2021,136,,173,143,146,,167.2,140,180,151,,,159,274.34,151,141.5,,157,,194.6,133,148,239,154,207,,
12/31/2020,154,,168,149,144.8,172.5,159.1,137,171,149,192.77,146.3,158,276,154,135.7,149,147,135.4,189.3,163,150,211,174,198,202,233
9/30/2020,147,,171,179,151,,154.2,132,159,159,,,172,280,160,129.82,,142,,179.4,139,149,233,153,206,,
6/30/2020,133,132.9,175,180,144,,,130,148,159,160,140.25,160,198,156,127.27,133,136,142.3,161.7,138,138,238,164,214,228.4,182
3/30/2020,130,129.8,146,141,133,,152.8,127,,134,,,182,185,154,129.94,133,135,,,176,149,154,162,172,,
12/31/2019,125,135,147,119,141.2,156.7,,127,143,128,132,144.6,166,179,140,132.72,134,138,123.6,148,218,147,168,182,158,225,182
9/30/2019,121,129.4,,136,139,,161.8,126,,127,,,188,190,134,135.2,,140,,145.6,174,149,159,151,168,161,
6/30/2019,120,131.9,,145,147,,,126,,132,,135.2,178,179,129,136.02,,140,137.6,148.6,149,143,178,143,157,180,147
3/30/2019,125,132.8,150,139,141,,,125,,127,,,199,198,130,135.02,,140,,150.9,160,157,169,167,162.96,180.5,
12/31/2018,132,135,158,129,140.4,,,123,,127,135,141.4,185,200,121,135.66,,139,114.8,150.1,147,146,143,144,151,126,177
9/30/2018,110,134.2,,131,148,,165,119,,127,,,,193,135,139.13,,138,,139.4,129,161,153,148,147,152,
6/30/2018,111,,,127,147,,171,116,,127,,143.8,,218,142,140.99,,139,140,147.5,136,146,131,145,157,142,156
3/30/2018,120,135,,125,147,,176,115,,126,,,,194,144,143.42,,139,,149.4,138,142,151,140,160,164.5,
12/31/2017,121,138,142,140,140,134,,114,185.29,128,123,161.7,152,202,171,,,139,145.8,145.2,145,133,159,173,133,159,177
9/30/2017,111,132,,116,141,,,,,,,,,213,150,,,150.1,,144.7,120,126,,145,141,166,
6/30/2017,116,,,123,144,,,,227,,133,134.8,,208,163,,,141,152.9,153.8,120,120,179,128,,175,
3/30/2017,125,,,129,148,,,,,,,,,158,156,,,145,,152.6,133,148,,137,,165.4,
12/31/2016,123,,146,142,128,144.3,,,132.04,,130,151,,160,158,,,139,110.4,143,168,126,,156,,129.2,193
9/30/2016,127,,,149,122,,,,,,,,,174,137,,,137,,154.9,135,162,,131,,,
6/30/2016,112,,,148,124,,,,,,127,157.3,,159,136,,,132,96.8,115.4,129,239,,138,,,
12/31/2015,124,,,124,119,144.1,,,,,128,12570,,172,125,,,127,82,117,128,137,,159,,,
12/31/2014,113.7,,,118,119,115.6,,,,,144,,,175,12900,,,120,,,115,140,,120,,,455
12/31/2013,,,,,107,,,,,,126,120,,,127,,,131,,,129,128,,142,,,
12/31/2012,,,,,,,,,,,145,,,,,,,,,,113,136,,139,,,
12/31/2011,,,,,,,,,,,,,,,,,,,,,95,196,,139,,,
