Date,BAY
2024-10-25 00:00:00,47.54
2024-10-24 00:00:00,47.54
2024-10-23 00:00:00,49.87
2024-10-22 00:00:00,50.06
2024-10-21 00:00:00,50.07
2024-10-18 00:00:00,50.06
2024-10-17 00:00:00,50.06
2024-10-16 00:00:00,51.77
2024-10-15 00:00:00,53.34
2024-10-14 00:00:00,53.32
2024-10-11 00:00:00,53.34
2024-10-10 00:00:00,53.37
2024-10-09 00:00:00,53.34
2024-10-08 00:00:00,53.37
2024-10-07 00:00:00,53.4
2024-10-04 00:00:00,54.95
2024-10-03 00:00:00,54.93
2024-10-02 00:00:00,55.43
2024-10-01 00:00:00,53.09
2024-09-30 00:00:00,53.11
2024-09-27 00:00:00,59.93
2024-09-26 00:00:00,59.89
2024-09-25 00:00:00,59.89
2024-09-24 00:00:00,59.87
2024-09-23 00:00:00,59.89
2024-09-20 00:00:00,59.93
2024-09-19 00:00:00,56.83
2024-09-18 00:00:00,56.84
2024-09-17 00:00:00,56.8
2024-09-16 00:00:00,56.83
2024-09-13 00:00:00,56.87
2024-09-12 00:00:00,56.82
2024-09-11 00:00:00,61.48
2024-09-10 00:00:00,62.11
2024-09-09 00:00:00,61.15
2024-09-06 00:00:00,58.64
2024-09-05 00:00:00,61.92
2024-09-04 00:00:00,65.92
2024-09-03 00:00:00,65.9
2024-09-02 00:00:00,65.93
2024-08-30 00:00:00,62.99
2024-08-29 00:00:00,62.22
2024-08-28 00:00:00,61.73
2024-08-27 00:00:00,64.03
2024-08-26 00:00:00,65.44
2024-08-23 00:00:00,65.03
2024-08-22 00:00:00,64.99
2024-08-21 00:00:00,60.73
2024-08-20 00:00:00,60.94
2024-08-19 00:00:00,63.06
2024-08-16 00:00:00,62.47
2024-08-15 00:00:00,63.66
2024-08-14 00:00:00,63.65
2024-08-13 00:00:00,61.17
2024-08-12 00:00:00,65.08
2024-08-09 00:00:00,60.87
2024-08-08 00:00:00,61.91
2024-08-07 00:00:00,65.26
2024-08-06 00:00:00,62.24
2024-08-05 00:00:00,60.51
2024-08-02 00:00:00,57.72
2024-08-01 00:00:00,57.75
2024-07-31 00:00:00,57.73
2024-07-30 00:00:00,57.73
2024-07-29 00:00:00,57.75
2024-07-26 00:00:00,57.77
2024-07-25 00:00:00,57.74
2024-07-24 00:00:00,57.75
2024-07-23 00:00:00,57.76
2024-07-22 00:00:00,57.75
2024-07-19 00:00:00,53.8
2024-07-18 00:00:00,53.77
2024-07-17 00:00:00,57.15
2024-07-16 00:00:00,54.87
2024-07-15 00:00:00,53.85
2024-07-12 00:00:00,57.77
2024-07-11 00:00:00,53.79
2024-07-10 00:00:00,53.8
2024-07-09 00:00:00,57.19
2024-07-08 00:00:00,55.14
2024-07-05 00:00:00,56.35
2024-07-04 00:00:00,56.31
2024-07-03 00:00:00,53.6
2024-07-02 00:00:00,54.89
2024-07-01 00:00:00,53.52
2024-06-28 00:00:00,53.49
2024-06-27 00:00:00,53.76
2024-06-26 00:00:00,56.53
2024-06-25 00:00:00,55.19
2024-06-24 00:00:00,56.41
2024-06-21 00:00:00,53.93
2024-06-20 00:00:00,58.24
2024-06-19 00:00:00,57.95
2024-06-18 00:00:00,54.97
2024-06-17 00:00:00,54
2024-06-14 00:00:00,53.94
2024-06-13 00:00:00,53.98
2024-06-12 00:00:00,58.69
2024-06-11 00:00:00,58.68
2024-06-10 00:00:00,58.68
2024-06-07 00:00:00,54.93
2024-06-06 00:00:00,54.91
2024-06-05 00:00:00,54.94
2024-06-04 00:00:00,53.05
2024-06-03 00:00:00,56.16
2024-05-31 00:00:00,56.1
2024-05-30 00:00:00,59.81
2024-05-29 00:00:00,59.83
2024-05-28 00:00:00,57.98
2024-05-27 00:00:00,62.13
2024-05-24 00:00:00,62.12
2024-05-23 00:00:00,62.14
2024-05-22 00:00:00,58.86
2024-05-21 00:00:00,55.43
2024-05-20 00:00:00,58.76
2024-05-17 00:00:00,62.22
2024-05-16 00:00:00,59.34
2024-05-15 00:00:00,60.61
2024-05-14 00:00:00,60.59
2024-05-13 00:00:00,57.9
2024-05-10 00:00:00,60.82
