Date,COMZ
2024-10-25 00:00:00,140.43
2024-10-24 00:00:00,140.43
2024-10-23 00:00:00,143.29
2024-10-22 00:00:00,143.43
2024-10-21 00:00:00,141.3
2024-10-18 00:00:00,139.05
2024-10-17 00:00:00,140.64
2024-10-16 00:00:00,143.82
2024-10-15 00:00:00,143.48
2024-10-14 00:00:00,146.01
2024-10-11 00:00:00,148.02
2024-10-10 00:00:00,150.04
2024-10-09 00:00:00,150.57
2024-10-08 00:00:00,153.14
2024-10-07 00:00:00,153.7
2024-10-04 00:00:00,154.2
2024-10-03 00:00:00,157.57
2024-10-02 00:00:00,157.88
2024-10-01 00:00:00,158.38
2024-09-30 00:00:00,159
2024-09-27 00:00:00,157
2024-09-26 00:00:00,157.47
2024-09-25 00:00:00,159.85
2024-09-24 00:00:00,160.68
2024-09-23 00:00:00,160.75
2024-09-20 00:00:00,157.23
2024-09-19 00:00:00,141.83
2024-09-18 00:00:00,146.25
2024-09-17 00:00:00,145.56
2024-09-16 00:00:00,146.83
2024-09-13 00:00:00,147.08
2024-09-12 00:00:00,148.44
2024-09-11 00:00:00,151.84
2024-09-10 00:00:00,153.88
2024-09-09 00:00:00,152.48
2024-09-06 00:00:00,152.37
2024-09-05 00:00:00,151.72
2024-09-04 00:00:00,152.59
2024-09-03 00:00:00,151.25
2024-09-02 00:00:00,148.61
2024-08-30 00:00:00,147.89
2024-08-29 00:00:00,147.4
2024-08-28 00:00:00,146.8
2024-08-27 00:00:00,147.18
2024-08-26 00:00:00,148.45
2024-08-23 00:00:00,148.43
2024-08-22 00:00:00,148.33
2024-08-21 00:00:00,149.97
2024-08-20 00:00:00,149.9
2024-08-19 00:00:00,149.86
2024-08-16 00:00:00,151.51
2024-08-15 00:00:00,152.97
2024-08-14 00:00:00,159.15
2024-08-13 00:00:00,163.13
2024-08-12 00:00:00,161.69
2024-08-09 00:00:00,163.22
2024-08-08 00:00:00,164.52
2024-08-07 00:00:00,166.19
2024-08-06 00:00:00,175.79
2024-08-05 00:00:00,176.67
2024-08-02 00:00:00,167.45
2024-08-01 00:00:00,157.48
2024-07-31 00:00:00,150.68
2024-07-30 00:00:00,151.4
2024-07-29 00:00:00,150.14
2024-07-26 00:00:00,151.65
2024-07-25 00:00:00,153.2
2024-07-24 00:00:00,148.84
2024-07-23 00:00:00,145.77
2024-07-22 00:00:00,145.47
2024-07-19 00:00:00,146.76
2024-07-18 00:00:00,145.38
2024-07-17 00:00:00,146.02
2024-07-16 00:00:00,143.84
2024-07-15 00:00:00,142.87
2024-07-12 00:00:00,143.59
2024-07-11 00:00:00,144.31
2024-07-10 00:00:00,144.99
2024-07-09 00:00:00,146.75
2024-07-08 00:00:00,143.92
2024-07-05 00:00:00,148.02
2024-07-04 00:00:00,149.7
2024-07-03 00:00:00,157.22
2024-07-02 00:00:00,163.52
2024-07-01 00:00:00,165.13
2024-06-28 00:00:00,173.48
2024-06-27 00:00:00,174.63
2024-06-26 00:00:00,174.92
2024-06-25 00:00:00,171.38
2024-06-24 00:00:00,171.64
2024-06-21 00:00:00,175
2024-06-20 00:00:00,171
2024-06-19 00:00:00,171.6
2024-06-18 00:00:00,169.17
2024-06-17 00:00:00,172.8
2024-06-14 00:00:00,167.45
2024-06-13 00:00:00,157.07
2024-06-12 00:00:00,152.32
2024-06-11 00:00:00,153.34
2024-06-10 00:00:00,151.01
2024-06-07 00:00:00,146.32
2024-06-06 00:00:00,146.45
2024-06-05 00:00:00,146.33
2024-06-04 00:00:00,146.72
2024-06-03 00:00:00,145.98
2024-05-31 00:00:00,148.08
2024-05-30 00:00:00,148.83
2024-05-29 00:00:00,149.08
2024-05-28 00:00:00,147.25
2024-05-27 00:00:00,148.63
2024-05-24 00:00:00,148.63
2024-05-23 00:00:00,148.17
2024-05-22 00:00:00,150.42
2024-05-21 00:00:00,150.28
2024-05-20 00:00:00,151.39
