Date,CRMU
2024-10-25 00:00:00,113.88
2024-10-24 00:00:00,113.88
2024-10-23 00:00:00,115.76
2024-10-22 00:00:00,118.93
2024-10-21 00:00:00,113.69
2024-10-18 00:00:00,113.55
2024-10-17 00:00:00,113.74
2024-10-16 00:00:00,104.19
2024-10-15 00:00:00,103.97
2024-10-14 00:00:00,105
2024-10-11 00:00:00,105.42
2024-10-10 00:00:00,105.3
2024-10-09 00:00:00,105.65
2024-10-08 00:00:00,106.22
2024-10-07 00:00:00,106.36
2024-10-04 00:00:00,105.85
2024-10-03 00:00:00,104.51
2024-10-02 00:00:00,105.03
2024-10-01 00:00:00,104.69
2024-09-30 00:00:00,111.43
2024-09-27 00:00:00,111.43
2024-09-26 00:00:00,111.28
2024-09-25 00:00:00,111.85
2024-09-24 00:00:00,111.57
2024-09-23 00:00:00,118.61
2024-09-20 00:00:00,119.04
2024-09-19 00:00:00,123.67
2024-09-18 00:00:00,125.01
2024-09-17 00:00:00,124.91
2024-09-16 00:00:00,125.77
2024-09-13 00:00:00,126.9
2024-09-12 00:00:00,123.67
2024-09-11 00:00:00,124.44
2024-09-10 00:00:00,122.72
2024-09-09 00:00:00,123.67
2024-09-06 00:00:00,128.47
2024-09-05 00:00:00,129.02
2024-09-04 00:00:00,136.95
2024-09-03 00:00:00,135.02
2024-09-02 00:00:00,135.07
2024-08-30 00:00:00,134.12
2024-08-29 00:00:00,132.82
2024-08-28 00:00:00,133.44
2024-08-27 00:00:00,140.75
2024-08-26 00:00:00,137.66
2024-08-23 00:00:00,130.32
2024-08-22 00:00:00,132.3
2024-08-21 00:00:00,133.48
2024-08-20 00:00:00,128.84
2024-08-19 00:00:00,135.94
2024-08-16 00:00:00,131.31
2024-08-15 00:00:00,126.83
2024-08-14 00:00:00,127.89
2024-08-13 00:00:00,128.7
2024-08-12 00:00:00,129.34
2024-08-09 00:00:00,129.12
2024-08-08 00:00:00,128.86
2024-08-07 00:00:00,130.07
2024-08-06 00:00:00,132.75
2024-08-05 00:00:00,132.68
2024-08-02 00:00:00,128.75
2024-08-01 00:00:00,125.01
2024-07-31 00:00:00,125.24
2024-07-30 00:00:00,127.1
2024-07-29 00:00:00,126.43
2024-07-26 00:00:00,133.82
2024-07-25 00:00:00,142.39
2024-07-24 00:00:00,141.02
2024-07-23 00:00:00,139.84
2024-07-22 00:00:00,140.83
2024-07-19 00:00:00,138.78
2024-07-18 00:00:00,137.35
2024-07-17 00:00:00,141.93
2024-07-16 00:00:00,133.52
2024-07-15 00:00:00,130.71
2024-07-12 00:00:00,136.92
2024-07-11 00:00:00,126.91
2024-07-10 00:00:00,127.03
2024-07-09 00:00:00,128.52
2024-07-08 00:00:00,127.01
2024-07-05 00:00:00,127.06
2024-07-04 00:00:00,127.89
2024-07-03 00:00:00,128.94
2024-07-02 00:00:00,131.3
2024-07-01 00:00:00,131.47
2024-06-28 00:00:00,128.48
2024-06-27 00:00:00,123.4
2024-06-26 00:00:00,128.26
2024-06-25 00:00:00,121.39
2024-06-24 00:00:00,116.39
2024-06-21 00:00:00,116.38
2024-06-20 00:00:00,115.91
2024-06-19 00:00:00,116.14
2024-06-18 00:00:00,116.26
2024-06-17 00:00:00,114.45
2024-06-14 00:00:00,113.64
2024-06-13 00:00:00,106.19
2024-06-12 00:00:00,106.13
2024-06-11 00:00:00,105.9
