Date,INGB
2024-10-25 00:00:00,93.92
2024-10-24 00:00:00,93.92
2024-10-23 00:00:00,94.47
2024-10-22 00:00:00,93.56
2024-10-21 00:00:00,93.43
2024-10-18 00:00:00,92.83
2024-10-17 00:00:00,93.13
2024-10-16 00:00:00,93.72
2024-10-15 00:00:00,93.27
2024-10-14 00:00:00,93.21
2024-10-11 00:00:00,93.05
2024-10-10 00:00:00,93.96
2024-10-09 00:00:00,93.93
2024-10-08 00:00:00,95.42
2024-10-07 00:00:00,95.27
2024-10-04 00:00:00,89.92
2024-10-03 00:00:00,95.29
2024-10-02 00:00:00,93.58
2024-10-01 00:00:00,94.02
2024-09-30 00:00:00,92.17
2024-09-27 00:00:00,94.96
2024-09-26 00:00:00,95.32
2024-09-25 00:00:00,95.01
2024-09-24 00:00:00,96.45
2024-09-23 00:00:00,96.42
2024-09-20 00:00:00,95.85
2024-09-19 00:00:00,93.27
2024-09-18 00:00:00,92.79
2024-09-17 00:00:00,93.74
2024-09-16 00:00:00,95.25
2024-09-13 00:00:00,93.97
2024-09-12 00:00:00,93.82
2024-09-11 00:00:00,93.05
2024-09-10 00:00:00,93.55
2024-09-09 00:00:00,92.8
2024-09-06 00:00:00,93.05
2024-09-05 00:00:00,93.46
2024-09-04 00:00:00,94.26
2024-09-03 00:00:00,93.49
2024-09-02 00:00:00,91.94
2024-08-30 00:00:00,88.3
2024-08-29 00:00:00,92.29
2024-08-28 00:00:00,90.91
2024-08-27 00:00:00,92.14
2024-08-26 00:00:00,94.8
2024-08-23 00:00:00,94.08
2024-08-22 00:00:00,91.95
2024-08-21 00:00:00,95
2024-08-20 00:00:00,92.51
2024-08-19 00:00:00,93.78
2024-08-16 00:00:00,93.92
2024-08-15 00:00:00,92.63
2024-08-14 00:00:00,94.49
2024-08-13 00:00:00,91.27
2024-08-12 00:00:00,94.76
2024-08-09 00:00:00,95.48
2024-08-08 00:00:00,91.81
2024-08-07 00:00:00,93.38
2024-08-06 00:00:00,96.7
2024-08-05 00:00:00,96.14
2024-08-02 00:00:00,92.28
2024-08-01 00:00:00,92.4
2024-07-31 00:00:00,94.65
2024-07-30 00:00:00,92.79
2024-07-29 00:00:00,92.55
2024-07-26 00:00:00,91.96
2024-07-25 00:00:00,92.45
2024-07-24 00:00:00,92.1
2024-07-23 00:00:00,89.8
2024-07-22 00:00:00,93.03
2024-07-19 00:00:00,94.29
2024-07-18 00:00:00,92.44
2024-07-17 00:00:00,88.78
2024-07-16 00:00:00,93.88
2024-07-15 00:00:00,92.02
2024-07-12 00:00:00,92.38
2024-07-11 00:00:00,93.37
2024-07-10 00:00:00,94.05
2024-07-09 00:00:00,93.71
2024-07-08 00:00:00,94.52
2024-07-05 00:00:00,97.05
2024-07-04 00:00:00,95.82
2024-07-03 00:00:00,96.05
2024-07-02 00:00:00,96.08
2024-07-01 00:00:00,96.4
2024-06-28 00:00:00,98.46
2024-06-27 00:00:00,97.97
2024-06-26 00:00:00,99.31
2024-06-25 00:00:00,97.58
2024-06-24 00:00:00,95.3
2024-06-21 00:00:00,96.13
2024-06-20 00:00:00,96.23
2024-06-19 00:00:00,96.43
2024-06-18 00:00:00,96.7
2024-06-17 00:00:00,97
2024-06-14 00:00:00,102.24
2024-06-13 00:00:00,96.94
2024-06-12 00:00:00,95.21
2024-06-11 00:00:00,96.39
2024-06-10 00:00:00,96.11
2024-06-07 00:00:00,95.78
2024-06-06 00:00:00,95.98
2024-06-05 00:00:00,95.94
2024-06-04 00:00:00,95.9
2024-06-03 00:00:00,103.06
2024-05-31 00:00:00,104.4
2024-05-30 00:00:00,105.41
2024-05-29 00:00:00,104.25
2024-05-28 00:00:00,106.74
2024-05-27 00:00:00,104.98
2024-05-24 00:00:00,105.43
2024-05-23 00:00:00,104.85
2024-05-22 00:00:00,105.31
2024-05-21 00:00:00,105.86
2024-05-20 00:00:00,106.01
2024-05-17 00:00:00,106.29
2024-05-16 00:00:00,104.92
2024-05-15 00:00:00,104.93
2024-05-14 00:00:00,105.15
2024-05-13 00:00:00,108.58
2024-05-10 00:00:00,106.96
2024-05-09 00:00:00,108.73
2024-05-08 00:00:00,108.53
2024-05-07 00:00:00,105.93
2024-05-06 00:00:00,103.05
2024-05-03 00:00:00,103.15
2024-05-02 00:00:00,107.48
2024-05-01 00:00:00,104.89
2024-04-30 00:00:00,99.93
2024-04-29 00:00:00,107.12
2024-04-26 00:00:00,106.73
2024-04-25 00:00:00,102.04
