Date,KBCB
2024-10-25 00:00:00,121.79
2024-10-24 00:00:00,121.79
2024-10-23 00:00:00,123.68
2024-10-22 00:00:00,123.62
2024-10-21 00:00:00,122.13
2024-10-18 00:00:00,123.16
2024-10-17 00:00:00,122.98
2024-10-16 00:00:00,124
2024-10-15 00:00:00,123.55
2024-10-14 00:00:00,124.83
2024-10-11 00:00:00,132.36
2024-10-10 00:00:00,129.84
2024-10-09 00:00:00,139.94
2024-10-08 00:00:00,139.93
2024-10-07 00:00:00,149.99
2024-10-04 00:00:00,144.17
2024-10-03 00:00:00,145.15
2024-10-02 00:00:00,145.49
2024-10-01 00:00:00,145.07
2024-09-30 00:00:00,160.29
2024-09-27 00:00:00,155.2
2024-09-26 00:00:00,157.81
2024-09-25 00:00:00,173.76
2024-09-24 00:00:00,173.45
2024-09-23 00:00:00,174.02
2024-09-20 00:00:00,173.76
2024-09-19 00:00:00,158.38
2024-09-18 00:00:00,160.83
2024-09-17 00:00:00,157.94
2024-09-16 00:00:00,146.91
2024-09-13 00:00:00,153.34
2024-09-12 00:00:00,147.34
2024-09-11 00:00:00,149.24
2024-09-10 00:00:00,146.95
2024-09-09 00:00:00,146.58
2024-09-06 00:00:00,140.1
2024-09-05 00:00:00,146.31
2024-09-04 00:00:00,135.43
2024-09-03 00:00:00,143.13
2024-09-02 00:00:00,118.37
2024-08-30 00:00:00,117.46
2024-08-29 00:00:00,117.28
2024-08-28 00:00:00,117.51
2024-08-27 00:00:00,118.01
2024-08-26 00:00:00,118.85
2024-08-23 00:00:00,118.27
2024-08-22 00:00:00,119.44
2024-08-21 00:00:00,120.19
2024-08-20 00:00:00,120.06
2024-08-19 00:00:00,120.68
2024-08-16 00:00:00,121.81
2024-08-15 00:00:00,123.11
2024-08-14 00:00:00,125.38
2024-08-13 00:00:00,127.41
2024-08-12 00:00:00,127.48
2024-08-09 00:00:00,127.52
2024-08-08 00:00:00,127.37
2024-08-07 00:00:00,128.22
2024-08-06 00:00:00,132.09
2024-08-05 00:00:00,132.99
2024-08-02 00:00:00,128.03
2024-08-01 00:00:00,131.87
2024-07-31 00:00:00,130.22
2024-07-30 00:00:00,130.23
2024-07-29 00:00:00,130.39
2024-07-26 00:00:00,130.67
2024-07-25 00:00:00,144.39
2024-07-24 00:00:00,142.44
2024-07-23 00:00:00,140.7
2024-07-22 00:00:00,141.63
2024-07-19 00:00:00,147.78
2024-07-18 00:00:00,134.54
2024-07-17 00:00:00,143.34
2024-07-16 00:00:00,136.38
2024-07-15 00:00:00,133.88
2024-07-12 00:00:00,130.02
2024-07-11 00:00:00,129.88
2024-07-10 00:00:00,130.62
2024-07-09 00:00:00,146.19
2024-07-08 00:00:00,135.31
2024-07-05 00:00:00,146.32
2024-07-04 00:00:00,147.81
2024-07-03 00:00:00,163.98
2024-07-02 00:00:00,168.71
2024-07-01 00:00:00,169.26
2024-06-28 00:00:00,159.69
2024-06-27 00:00:00,155.33
2024-06-26 00:00:00,161.86
2024-06-25 00:00:00,152.77
2024-06-24 00:00:00,157.09
2024-06-21 00:00:00,150.7
2024-06-20 00:00:00,162.23
2024-06-19 00:00:00,159.07
2024-06-18 00:00:00,143.06
2024-06-17 00:00:00,144.7
2024-06-14 00:00:00,143.05
2024-06-13 00:00:00,147.51
2024-06-12 00:00:00,144.07
2024-06-11 00:00:00,146.16
2024-06-10 00:00:00,148.67
2024-06-07 00:00:00,145.98
2024-06-06 00:00:00,144.99
2024-06-05 00:00:00,145.25
2024-06-04 00:00:00,143.19
2024-06-03 00:00:00,147.62
2024-05-31 00:00:00,148.76
2024-05-30 00:00:00,164.44
2024-05-29 00:00:00,164.46
2024-05-28 00:00:00,152.22
2024-05-27 00:00:00,141
2024-05-24 00:00:00,148.75
2024-05-23 00:00:00,164.53
2024-05-22 00:00:00,152.27
2024-05-21 00:00:00,141.27
2024-05-20 00:00:00,153.34
2024-05-17 00:00:00,162.24
2024-05-16 00:00:00,153.05
2024-05-15 00:00:00,155.86
2024-05-14 00:00:00,157.24
2024-05-13 00:00:00,143.67
2024-05-10 00:00:00,152.39
2024-05-09 00:00:00,139.86
2024-05-08 00:00:00,140.76
2024-05-07 00:00:00,140.35
2024-05-06 00:00:00,143.13
2024-05-03 00:00:00,138.99
2024-05-02 00:00:00,148.99
2024-05-01 00:00:00,162.31
2024-04-30 00:00:00,147.58
2024-04-29 00:00:00,146.05
2024-04-26 00:00:00,148.18
2024-04-25 00:00:00,143.19
2024-04-24 00:00:00,141.61
2024-04-23 00:00:00,140.96
2024-04-22 00:00:00,142.84
2024-04-19 00:00:00,145.1
2024-04-18 00:00:00,145.91
2024-04-17 00:00:00,146.55
2024-04-16 00:00:00,148.21
2024-04-15 00:00:00,143.85
2024-04-12 00:00:00,141.88
2024-04-11 00:00:00,139.03
2024-04-10 00:00:00,137.96
2024-04-09 00:00:00,138.03
2024-04-08 00:00:00,150.32
2024-04-05 00:00:00,150.07
2024-04-04 00:00:00,150.11
2024-04-03 00:00:00,166.77
2024-04-02 00:00:00,173.36
2024-04-01 00:00:00,172.78
2024-03-29 00:00:00,172.51
2024-03-28 00:00:00,167.55
2024-03-27 00:00:00,161.05
2024-03-26 00:00:00,169.72
2024-03-25 00:00:00,156.04
2024-03-22 00:00:00,156.62
2024-03-21 00:00:00,162.11
2024-03-20 00:00:00,180.03
2024-03-19 00:00:00,147.18
2024-03-18 00:00:00,151.48
2024-03-15 00:00:00,152.24
2024-03-14 00:00:00,163.62
2024-03-13 00:00:00,173.03
2024-03-12 00:00:00,175.15
2024-03-11 00:00:00,180.45
2024-03-08 00:00:00,163.8
2024-03-07 00:00:00,172.03
2024-03-06 00:00:00,165.79
2024-03-05 00:00:00,166.06
2024-03-04 00:00:00,177.14
2024-03-01 00:00:00,178.55
2024-02-29 00:00:00,168.51
2024-02-28 00:00:00,179.29
2024-02-27 00:00:00,178.32
2024-02-26 00:00:00,164.79
2024-02-23 00:00:00,163.5
2024-02-22 00:00:00,178.3
2024-02-21 00:00:00,172.32
2024-02-20 00:00:00,172.04
2024-02-19 00:00:00,181.23
2024-02-16 00:00:00,189.29
2024-02-15 00:00:00,180.46
2024-02-14 00:00:00,176.91
2024-02-13 00:00:00,130.49
2024-02-12 00:00:00,125.03
2024-02-09 00:00:00,132.56
2024-02-08 00:00:00,133.49
2024-02-07 00:00:00,125.66
2024-02-06 00:00:00,120.21
2024-02-05 00:00:00,127.45
2024-02-02 00:00:00,127.96
2024-02-01 00:00:00,127.71
2024-01-31 00:00:00,130.8
2024-01-30 00:00:00,130.78
2024-01-29 00:00:00,130.55
2024-01-26 00:00:00,131.05
2024-01-25 00:00:00,122.72
2024-01-24 00:00:00,132.39
2024-01-23 00:00:00,142.14
2024-01-22 00:00:00,129.41
2024-01-19 00:00:00,142.06
2024-01-18 00:00:00,149.67
2024-01-17 00:00:00,149.74
2024-01-16 00:00:00,148.4
2024-01-15 00:00:00,134.52
2024-01-12 00:00:00,133.67
2024-01-11 00:00:00,142.96
2024-01-10 00:00:00,145.73
2024-01-09 00:00:00,147.82
2024-01-08 00:00:00,149.21
2024-01-05 00:00:00,142.64
2024-01-04 00:00:00,142.68
2024-01-03 00:00:00,142.87
2024-01-02 00:00:00,136.26
2024-01-01 00:00:00,127.77
2023-12-29 00:00:00,136.36
2023-12-28 00:00:00,129.62
2023-12-27 00:00:00,119.58
2023-12-26 00:00:00,125.58
2023-12-25 00:00:00,125.57
2023-12-22 00:00:00,125.45
2023-12-21 00:00:00,123.76
2023-12-20 00:00:00,120.66
2023-12-19 00:00:00,118.78
2023-12-18 00:00:00,112.45
2023-12-15 00:00:00,111.18
2023-12-14 00:00:00,116.28
2023-12-13 00:00:00,125.58
2023-12-12 00:00:00,130.4
2023-12-11 00:00:00,134.47
2023-12-08 00:00:00,127.61
2023-12-07 00:00:00,126.37
2023-12-06 00:00:00,114.79
2023-12-05 00:00:00,116.3
2023-12-04 00:00:00,116.96
2023-12-01 00:00:00,116.57
2023-11-30 00:00:00,121.6
2023-11-29 00:00:00,123.03
2023-11-28 00:00:00,129.75
2023-11-27 00:00:00,140.6
2023-11-24 00:00:00,141.36
2023-11-23 00:00:00,133.11
2023-11-22 00:00:00,134.29
2023-11-21 00:00:00,135.27
2023-11-20 00:00:00,135.68
2023-11-17 00:00:00,136.63
2023-11-16 00:00:00,136.4
2023-11-15 00:00:00,136.71
2023-11-14 00:00:00,139.02
2023-11-13 00:00:00,142.73
2023-11-10 00:00:00,144.01
2023-11-09 00:00:00,142.86
2023-11-08 00:00:00,143.43
2023-11-07 00:00:00,144.93
2023-11-06 00:00:00,145.03
2023-11-03 00:00:00,145.28
2023-11-02 00:00:00,147.28
2023-11-01 00:00:00,150.89
2023-10-31 00:00:00,168.98
2023-10-30 00:00:00,169.07
2023-10-27 00:00:00,169.11
2023-10-26 00:00:00,168.88
2023-10-25 00:00:00,169.14
2023-10-24 00:00:00,168.97
2023-10-23 00:00:00,169.1
2023-10-20 00:00:00,168.74
2023-10-19 00:00:00,168.7
2023-10-18 00:00:00,168.59
2023-10-17 00:00:00,168.82
2023-10-16 00:00:00,168.92
2023-10-13 00:00:00,168.69
2023-10-12 00:00:00,169.04
2023-10-11 00:00:00,169.2
2023-10-10 00:00:00,169.76
2023-10-09 00:00:00,170.05
2023-10-06 00:00:00,169.96
2023-10-05 00:00:00,168.84
2023-10-04 00:00:00,168.13
2023-10-03 00:00:00,168.13
2023-10-02 00:00:00,180.71
2023-09-29 00:00:00,179.88
2023-09-28 00:00:00,180.23
2023-09-27 00:00:00,180.31
2023-09-26 00:00:00,180.29
2023-09-25 00:00:00,189.2
2023-09-22 00:00:00,189.24
2023-09-21 00:00:00,189.23
2023-09-20 00:00:00,189.2
2023-09-19 00:00:00,171.89
2023-09-18 00:00:00,171.99
2023-09-15 00:00:00,172.32
2023-09-14 00:00:00,172
2023-09-13 00:00:00,171.95
2023-09-12 00:00:00,171.97
2023-09-11 00:00:00,172.2
2023-09-08 00:00:00,172.17
2023-09-07 00:00:00,171.99
2023-09-06 00:00:00,172.16
2023-09-05 00:00:00,172.01
2023-09-04 00:00:00,172.14
2023-09-01 00:00:00,172.56
2023-08-31 00:00:00,172.19
2023-08-30 00:00:00,172.35
2023-08-29 00:00:00,172.19
2023-08-28 00:00:00,176.95
2023-08-25 00:00:00,177
2023-08-24 00:00:00,176.57
2023-08-23 00:00:00,176.08
2023-08-22 00:00:00,175.76
2023-08-21 00:00:00,176.18
2023-08-18 00:00:00,175.91
2023-08-17 00:00:00,176.17
2023-08-16 00:00:00,175.85
2023-08-15 00:00:00,175.82
2023-08-14 00:00:00,175.65
2023-08-11 00:00:00,175.86
2023-08-10 00:00:00,175.94
2023-08-09 00:00:00,176.27
2023-08-08 00:00:00,161.31
2023-08-07 00:00:00,169.19
2023-08-04 00:00:00,175.66
2023-08-03 00:00:00,172.53
2023-08-02 00:00:00,166.45
2023-08-01 00:00:00,172.64
2023-07-31 00:00:00,182.32
2023-07-28 00:00:00,182.37
2023-07-27 00:00:00,180.05
2023-07-26 00:00:00,180.36
2023-07-25 00:00:00,181.06
2023-07-24 00:00:00,182.15
2023-07-21 00:00:00,181.84
2023-07-20 00:00:00,182.61
2023-07-19 00:00:00,183.14
2023-07-18 00:00:00,182.33
2023-07-17 00:00:00,182.22
2023-07-14 00:00:00,182.72
2023-07-13 00:00:00,182.75
2023-07-12 00:00:00,182.98
2023-07-11 00:00:00,184.36
2023-07-10 00:00:00,184.49
2023-07-07 00:00:00,183.79
2023-07-06 00:00:00,198.37
2023-07-05 00:00:00,188.43
2023-07-04 00:00:00,188.23
2023-07-03 00:00:00,188.62
2023-06-30 00:00:00,188.32
2023-06-29 00:00:00,188.7
2023-06-28 00:00:00,188.27
2023-06-27 00:00:00,188.75
2023-06-26 00:00:00,188.99
2023-06-23 00:00:00,188.31
2023-06-22 00:00:00,188.62
2023-06-21 00:00:00,188.92
2023-06-20 00:00:00,191.05
2023-06-19 00:00:00,191.11
2023-06-16 00:00:00,191.05
2023-06-15 00:00:00,191.13
2023-06-14 00:00:00,191.14
2023-06-13 00:00:00,191.14
2023-06-12 00:00:00,191.19
2023-06-09 00:00:00,191.19
2023-06-08 00:00:00,191.13
2023-06-07 00:00:00,191.17
2023-06-06 00:00:00,191.05
2023-06-05 00:00:00,188.38
2023-06-02 00:00:00,188.98
2023-06-01 00:00:00,189.25
2023-05-31 00:00:00,189.27
2023-05-30 00:00:00,188.89
2023-05-29 00:00:00,188.48
2023-05-26 00:00:00,188.22
2023-05-25 00:00:00,188.55
2023-05-24 00:00:00,188.7
2023-05-23 00:00:00,188.79
2023-05-22 00:00:00,188.68
2023-05-19 00:00:00,188.21
2023-05-18 00:00:00,188.35
2023-05-17 00:00:00,188.5
2023-05-16 00:00:00,188.63
2023-05-15 00:00:00,188.29
2023-05-12 00:00:00,188.9
2023-05-11 00:00:00,189.12
2023-05-10 00:00:00,188.7
2023-05-09 00:00:00,188.55
2023-05-08 00:00:00,188.71
2023-05-05 00:00:00,189.36
2023-05-04 00:00:00,188.99
2023-05-03 00:00:00,209.49
2023-05-02 00:00:00,208.97
2023-05-01 00:00:00,209.4
2023-04-28 00:00:00,208.59
2023-04-27 00:00:00,209.27
2023-04-26 00:00:00,209.85
2023-04-25 00:00:00,208.91
2023-04-24 00:00:00,209
2023-04-21 00:00:00,209.19
2023-04-20 00:00:00,208.63
2023-04-19 00:00:00,208.67
2023-04-18 00:00:00,208.61
2023-04-17 00:00:00,208.21
2023-04-14 00:00:00,208.46
2023-04-13 00:00:00,207.99
2023-04-12 00:00:00,207.63
2023-04-11 00:00:00,208.3
2023-04-10 00:00:00,208.25
2023-04-07 00:00:00,208.3
2023-04-06 00:00:00,208.99
2023-04-05 00:00:00,209.03
2023-04-04 00:00:00,208.68
2023-04-03 00:00:00,208.58
2023-03-31 00:00:00,200.86
2023-03-30 00:00:00,210.12
2023-03-29 00:00:00,210.05
2023-03-28 00:00:00,230.79
2023-03-27 00:00:00,230.66
2023-03-24 00:00:00,230.85
2023-03-23 00:00:00,230.93
2023-03-22 00:00:00,230.54
2023-03-21 00:00:00,230.74
2023-03-20 00:00:00,230.82
2023-03-17 00:00:00,206.8
2023-03-16 00:00:00,209.32
2023-03-15 00:00:00,206.47
2023-03-14 00:00:00,209.68
2023-03-13 00:00:00,209.03
2023-03-10 00:00:00,208.29
2023-03-09 00:00:00,207.38
2023-03-08 00:00:00,207.6
2023-03-07 00:00:00,207.48
2023-03-06 00:00:00,207.89
2023-03-03 00:00:00,207.46
2023-03-02 00:00:00,207.59
2023-03-01 00:00:00,201.98
2023-02-28 00:00:00,227.93
2023-02-27 00:00:00,228
2023-02-24 00:00:00,228.21
2023-02-23 00:00:00,228.27
2023-02-22 00:00:00,227.91
2023-02-21 00:00:00,228.23
2023-02-20 00:00:00,228.37
2023-02-17 00:00:00,228.25
2023-02-16 00:00:00,228.12
2023-02-15 00:00:00,227.83
2023-02-14 00:00:00,228.05
2023-02-13 00:00:00,227.9
2023-02-10 00:00:00,228.1
2023-02-09 00:00:00,228.29
2023-02-08 00:00:00,228
2023-02-07 00:00:00,227.81
2023-02-06 00:00:00,227.99
2023-02-03 00:00:00,228.87
2023-02-02 00:00:00,228.3
2023-02-01 00:00:00,228.22
2023-01-31 00:00:00,228.02
2023-01-30 00:00:00,228.25
2023-01-27 00:00:00,228.08
2023-01-26 00:00:00,228.4
2023-01-25 00:00:00,228.45
2023-01-24 00:00:00,228.08
2023-01-23 00:00:00,228.03
2023-01-20 00:00:00,227.93
2023-01-19 00:00:00,228.37
2023-01-18 00:00:00,228.82
2023-01-17 00:00:00,228.17
2023-01-16 00:00:00,228.17
2023-01-13 00:00:00,228.62
2023-01-12 00:00:00,228.9
2023-01-11 00:00:00,228.28
2023-01-10 00:00:00,228.51
2023-01-09 00:00:00,228.83
2023-01-06 00:00:00,228.27
2023-01-05 00:00:00,228.64
2023-01-04 00:00:00,228.47
2023-01-03 00:00:00,231.01
2023-01-02 00:00:00,230.8
2022-12-30 00:00:00,231.12
2022-12-29 00:00:00,231.13
2022-12-28 00:00:00,233.35
2022-12-27 00:00:00,233.63
2022-12-26 00:00:00,233.5
2022-12-23 00:00:00,233.64
2022-12-22 00:00:00,233.52
2022-12-21 00:00:00,233.45
2022-12-20 00:00:00,233.77
2022-12-19 00:00:00,233.63
2022-12-16 00:00:00,233
2022-12-15 00:00:00,233.56
2022-12-14 00:00:00,233.51
2022-12-13 00:00:00,233.36
2022-12-12 00:00:00,233.53
2022-12-09 00:00:00,233.58
2022-12-08 00:00:00,233.95
2022-12-07 00:00:00,234
2022-12-06 00:00:00,233.56
2022-12-05 00:00:00,233.54
2022-12-02 00:00:00,234.23
2022-12-01 00:00:00,233.93
2022-11-30 00:00:00,233.86
2022-11-29 00:00:00,233.79
2022-11-28 00:00:00,233.54
2022-11-25 00:00:00,236.48
2022-11-24 00:00:00,239.13
2022-11-23 00:00:00,241.62
2022-11-22 00:00:00,241.54
2022-11-21 00:00:00,244.29
2022-11-18 00:00:00,244.14
2022-11-17 00:00:00,244.52
2022-11-16 00:00:00,244.42
2022-11-15 00:00:00,244.27
2022-11-14 00:00:00,244.39
2022-11-11 00:00:00,244.94
2022-11-10 00:00:00,244.97
2022-11-09 00:00:00,244.58
2022-11-08 00:00:00,244.35
2022-11-07 00:00:00,244.16
2022-11-04 00:00:00,243.94
2022-11-03 00:00:00,244.35
2022-11-02 00:00:00,244.5
2022-11-01 00:00:00,244.24
2022-10-31 00:00:00,244.01
2022-10-28 00:00:00,262.43
2022-10-27 00:00:00,261.26
2022-10-26 00:00:00,261.77
2022-10-25 00:00:00,261.72
2022-10-24 00:00:00,261.61
2022-10-21 00:00:00,247.26
2022-10-20 00:00:00,247.13
2022-10-19 00:00:00,247.32
2022-10-18 00:00:00,247.12
2022-10-17 00:00:00,247.23
2022-10-14 00:00:00,247.47
2022-10-13 00:00:00,247.83
2022-10-12 00:00:00,247.72
2022-10-11 00:00:00,246.93
2022-10-10 00:00:00,246.99
2022-10-07 00:00:00,246.88
2022-10-06 00:00:00,246.92
2022-10-05 00:00:00,247.83
2022-10-04 00:00:00,248.27
2022-10-03 00:00:00,247.72
2022-09-30 00:00:00,247.82
2022-09-29 00:00:00,245.16
2022-09-28 00:00:00,244.57
2022-09-27 00:00:00,244.48
2022-09-26 00:00:00,244.46
2022-09-23 00:00:00,242.36
2022-09-22 00:00:00,223.1
2022-09-21 00:00:00,239.17
2022-09-20 00:00:00,266.6
2022-09-19 00:00:00,241.39
2022-09-16 00:00:00,241.18
2022-09-15 00:00:00,241.3
2022-09-14 00:00:00,240.94
2022-09-13 00:00:00,241.4
2022-09-12 00:00:00,241.26
2022-09-09 00:00:00,240.97
2022-09-08 00:00:00,241.68
2022-09-07 00:00:00,241.49
2022-09-06 00:00:00,241.07
2022-09-05 00:00:00,241.65
2022-09-02 00:00:00,238.9
2022-09-01 00:00:00,235.97
2022-08-31 00:00:00,236
2022-08-30 00:00:00,232.73
2022-08-29 00:00:00,232.96
2022-08-26 00:00:00,233.95
2022-08-25 00:00:00,233.6
2022-08-24 00:00:00,231.07
2022-08-23 00:00:00,225.27
