Date,SANT
2024-10-25 00:00:00,119.97
2024-10-24 00:00:00,119.97
2024-10-23 00:00:00,120.6
2024-10-22 00:00:00,120.85
2024-10-21 00:00:00,118.86
2024-10-18 00:00:00,116.7
2024-10-17 00:00:00,116.99
2024-10-16 00:00:00,118.5
2024-10-15 00:00:00,118.78
2024-10-14 00:00:00,119.78
2024-10-11 00:00:00,123.65
2024-10-10 00:00:00,125.1
2024-10-09 00:00:00,126.58
2024-10-08 00:00:00,127.61
2024-10-07 00:00:00,127.37
2024-10-04 00:00:00,127.79
2024-10-03 00:00:00,129.82
2024-10-02 00:00:00,129.68
2024-10-01 00:00:00,130.61
2024-09-30 00:00:00,129.47
2024-09-27 00:00:00,128.46
2024-09-26 00:00:00,128.46
2024-09-25 00:00:00,130.58
2024-09-24 00:00:00,130.68
2024-09-23 00:00:00,130.32
2024-09-20 00:00:00,126.41
2024-09-19 00:00:00,113.85
2024-09-18 00:00:00,117.36
2024-09-17 00:00:00,117.01
2024-09-16 00:00:00,118.15
2024-09-13 00:00:00,118.27
2024-09-12 00:00:00,120.99
2024-09-11 00:00:00,124.19
2024-09-10 00:00:00,120.72
2024-09-09 00:00:00,119.63
2024-09-06 00:00:00,119.99
2024-09-05 00:00:00,119.12
2024-09-04 00:00:00,120.05
2024-09-03 00:00:00,119.68
2024-09-02 00:00:00,116.03
2024-08-30 00:00:00,116.58
2024-08-29 00:00:00,115.63
2024-08-28 00:00:00,115.05
2024-08-27 00:00:00,115.86
2024-08-26 00:00:00,116.89
2024-08-23 00:00:00,116.31
2024-08-22 00:00:00,116.58
2024-08-21 00:00:00,117.3
2024-08-20 00:00:00,117.19
2024-08-19 00:00:00,117.46
2024-08-16 00:00:00,119.3
2024-08-15 00:00:00,120.55
2024-08-14 00:00:00,126.21
2024-08-13 00:00:00,129.45
2024-08-12 00:00:00,128.59
2024-08-09 00:00:00,129.99
2024-08-08 00:00:00,130.3
2024-08-07 00:00:00,130.13
2024-08-06 00:00:00,139.43
2024-08-05 00:00:00,142.29
2024-08-02 00:00:00,134.04
2024-08-01 00:00:00,124.12
2024-07-31 00:00:00,119.68
2024-07-30 00:00:00,119.95
2024-07-29 00:00:00,119
2024-07-26 00:00:00,119.33
2024-07-25 00:00:00,120.38
