Date,SEB
2024-10-25 00:00:00,117.44
2024-10-24 00:00:00,117.44
2024-10-23 00:00:00,118.15
2024-10-22 00:00:00,118.71
2024-10-21 00:00:00,122.29
2024-10-18 00:00:00,122.73
2024-10-17 00:00:00,117.29
2024-10-16 00:00:00,119.96
2024-10-15 00:00:00,119.89
2024-10-14 00:00:00,120.22
2024-10-11 00:00:00,122.02
2024-10-10 00:00:00,123.34
2024-10-09 00:00:00,124.98
2024-10-08 00:00:00,126.39
2024-10-07 00:00:00,124.97
2024-10-04 00:00:00,125
2024-10-03 00:00:00,125.36
2024-10-02 00:00:00,127.15
2024-10-01 00:00:00,125.34
2024-09-30 00:00:00,125
2024-09-27 00:00:00,125
2024-09-26 00:00:00,125
2024-09-25 00:00:00,137.22
2024-09-24 00:00:00,138.77
2024-09-23 00:00:00,138.2
2024-09-20 00:00:00,133.88
2024-09-19 00:00:00,119.66
2024-09-18 00:00:00,121.01
2024-09-17 00:00:00,121.06
2024-09-16 00:00:00,121.22
2024-09-13 00:00:00,121.22
2024-09-12 00:00:00,120.5
2024-09-11 00:00:00,118.61
2024-09-10 00:00:00,120.01
2024-09-09 00:00:00,120.88
2024-09-06 00:00:00,120.43
2024-09-05 00:00:00,121.01
2024-09-04 00:00:00,119.67
2024-09-03 00:00:00,121.04
2024-09-02 00:00:00,118.53
2024-08-30 00:00:00,120.11
2024-08-29 00:00:00,119.47
2024-08-28 00:00:00,118.34
2024-08-27 00:00:00,122.17
2024-08-26 00:00:00,124.06
2024-08-23 00:00:00,123.44
2024-08-22 00:00:00,119.07
2024-08-21 00:00:00,120.49
2024-08-20 00:00:00,119.77
2024-08-19 00:00:00,117.86
2024-08-16 00:00:00,119.33
2024-08-15 00:00:00,123.13
2024-08-14 00:00:00,126.09
2024-08-13 00:00:00,128.39
2024-08-12 00:00:00,124.4
2024-08-09 00:00:00,126.92
2024-08-08 00:00:00,122.48
2024-08-07 00:00:00,123
2024-08-06 00:00:00,131.06
2024-08-05 00:00:00,129.33
2024-08-02 00:00:00,124.5
2024-08-01 00:00:00,123.11
2024-07-31 00:00:00,121.56
2024-07-30 00:00:00,123.66
2024-07-29 00:00:00,123.28
2024-07-26 00:00:00,124.57
2024-07-25 00:00:00,124.83
2024-07-24 00:00:00,124.46
2024-07-23 00:00:00,125.25
2024-07-22 00:00:00,124.99
2024-07-19 00:00:00,125.02
2024-07-18 00:00:00,125.46
