Date,SOCG
2024-10-25 00:00:00,145.7
2024-10-24 00:00:00,145.7
2024-10-23 00:00:00,146.92
2024-10-22 00:00:00,146.99
2024-10-21 00:00:00,144.15
2024-10-18 00:00:00,141.99
2024-10-17 00:00:00,142.23
2024-10-16 00:00:00,144.57
2024-10-15 00:00:00,145.57
2024-10-14 00:00:00,146.78
2024-10-11 00:00:00,149.81
2024-10-10 00:00:00,151.4
2024-10-09 00:00:00,153.05
2024-10-08 00:00:00,154.43
2024-10-07 00:00:00,153.96
2024-10-04 00:00:00,154.97
2024-10-03 00:00:00,156.85
2024-10-02 00:00:00,156.64
2024-10-01 00:00:00,157.31
2024-09-30 00:00:00,158.58
2024-09-27 00:00:00,156.87
2024-09-26 00:00:00,157.21
2024-09-25 00:00:00,154.67
2024-09-24 00:00:00,154.46
2024-09-23 00:00:00,153.01
2024-09-20 00:00:00,147.22
2024-09-19 00:00:00,133.7
2024-09-18 00:00:00,136.06
2024-09-17 00:00:00,135.45
2024-09-16 00:00:00,136.51
2024-09-13 00:00:00,135.32
2024-09-12 00:00:00,136.82
2024-09-11 00:00:00,139.72
2024-09-10 00:00:00,137.46
2024-09-09 00:00:00,136.16
2024-09-06 00:00:00,136.4
2024-09-05 00:00:00,135.83
2024-09-04 00:00:00,137.68
2024-09-03 00:00:00,136.29
2024-09-02 00:00:00,133.95
2024-08-30 00:00:00,132.62
2024-08-29 00:00:00,131.9
2024-08-28 00:00:00,130.37
2024-08-27 00:00:00,130.2
2024-08-26 00:00:00,131.16
2024-08-23 00:00:00,130.51
2024-08-22 00:00:00,130.16
2024-08-21 00:00:00,131.18
2024-08-20 00:00:00,131.7
2024-08-19 00:00:00,131.63
2024-08-16 00:00:00,134.77
2024-08-15 00:00:00,137.09
2024-08-14 00:00:00,145.52
2024-08-13 00:00:00,148.42
2024-08-12 00:00:00,145.62
2024-08-09 00:00:00,147.33
2024-08-08 00:00:00,149.78
2024-08-07 00:00:00,149.54
2024-08-06 00:00:00,158.15
2024-08-05 00:00:00,161.11
2024-08-02 00:00:00,150.55
2024-08-01 00:00:00,139.22
2024-07-31 00:00:00,131.56
2024-07-30 00:00:00,131.71
2024-07-29 00:00:00,129
2024-07-26 00:00:00,128.42
2024-07-25 00:00:00,129.8
2024-07-24 00:00:00,127.43
2024-07-23 00:00:00,124.21
2024-07-22 00:00:00,122.88
2024-07-19 00:00:00,124.44
2024-07-18 00:00:00,123.06
2024-07-17 00:00:00,123.14
2024-07-16 00:00:00,119.57
2024-07-15 00:00:00,117.63
2024-07-12 00:00:00,119.09
2024-07-11 00:00:00,119.55
2024-07-10 00:00:00,120.15
2024-07-09 00:00:00,121.77
2024-07-08 00:00:00,115.33
2024-07-05 00:00:00,121.73
2024-07-04 00:00:00,119.85
2024-07-03 00:00:00,124.26
2024-07-02 00:00:00,131.63
