Date,SWEN
2024-10-25 00:00:00,115.33
2024-10-24 00:00:00,115.33
2024-10-23 00:00:00,116.07
2024-10-22 00:00:00,117.69
2024-10-21 00:00:00,115.48
2024-10-18 00:00:00,113.75
2024-10-17 00:00:00,113.89
2024-10-16 00:00:00,116.47
2024-10-15 00:00:00,116.54
2024-10-14 00:00:00,118.05
2024-10-11 00:00:00,119.66
2024-10-10 00:00:00,120.98
2024-10-09 00:00:00,121.84
2024-10-08 00:00:00,123.41
2024-10-07 00:00:00,122.94
2024-10-04 00:00:00,123.39
2024-10-03 00:00:00,125.19
2024-10-02 00:00:00,125.47
2024-10-01 00:00:00,125.67
2024-09-30 00:00:00,124.06
2024-09-27 00:00:00,122.6
2024-09-26 00:00:00,122.96
2024-09-25 00:00:00,124.04
2024-09-24 00:00:00,124.69
2024-09-23 00:00:00,124.6
2024-09-20 00:00:00,119.4
2024-09-19 00:00:00,110.91
2024-09-18 00:00:00,113.44
2024-09-17 00:00:00,113.08
2024-09-16 00:00:00,113.59
2024-09-13 00:00:00,113.28
2024-09-12 00:00:00,116.41
2024-09-11 00:00:00,119.63
2024-09-10 00:00:00,117.09
2024-09-09 00:00:00,116.56
2024-09-06 00:00:00,115.98
2024-09-05 00:00:00,115.51
2024-09-04 00:00:00,115.76
2024-09-03 00:00:00,114.83
2024-09-02 00:00:00,112.44
2024-08-30 00:00:00,112.26
2024-08-29 00:00:00,111.68
2024-08-28 00:00:00,111.35
2024-08-27 00:00:00,111.62
2024-08-26 00:00:00,114.11
2024-08-23 00:00:00,113.22
2024-08-22 00:00:00,114.07
2024-08-21 00:00:00,114.83
2024-08-20 00:00:00,114.92
2024-08-19 00:00:00,114.56
2024-08-16 00:00:00,117.72
2024-08-15 00:00:00,117.93
2024-08-14 00:00:00,124.02
2024-08-13 00:00:00,127.62
2024-08-12 00:00:00,127.31
2024-08-09 00:00:00,127.55
2024-08-08 00:00:00,128.52
2024-08-07 00:00:00,128.93
2024-08-06 00:00:00,132.62
2024-08-05 00:00:00,137.54
2024-08-02 00:00:00,126.13
2024-08-01 00:00:00,118.91
2024-07-31 00:00:00,114.6
2024-07-30 00:00:00,115.64
2024-07-29 00:00:00,115.18
2024-07-26 00:00:00,116.27
2024-07-25 00:00:00,117.72
2024-07-24 00:00:00,114.86
2024-07-23 00:00:00,112
2024-07-22 00:00:00,112.4
2024-07-19 00:00:00,115.23
2024-07-18 00:00:00,113.51
2024-07-17 00:00:00,114.8
2024-07-16 00:00:00,116.21
2024-07-15 00:00:00,114.96
2024-07-12 00:00:00,115.93
2024-07-11 00:00:00,117.87
2024-07-10 00:00:00,119.38
2024-07-09 00:00:00,119.98
2024-07-08 00:00:00,118.01
2024-07-05 00:00:00,121.52
2024-07-04 00:00:00,122.22
2024-07-03 00:00:00,124.38
2024-07-02 00:00:00,130.43
2024-07-01 00:00:00,132.08
2024-06-28 00:00:00,139.11
2024-06-27 00:00:00,139.73
2024-06-26 00:00:00,138.64
2024-06-25 00:00:00,136.96
2024-06-24 00:00:00,137.45
2024-06-21 00:00:00,139.09
2024-06-20 00:00:00,137.9
2024-06-19 00:00:00,137.66
2024-06-18 00:00:00,136.56
2024-06-17 00:00:00,138.24
2024-06-14 00:00:00,129.2
2024-06-13 00:00:00,124.64
2024-06-12 00:00:00,120.19
2024-06-11 00:00:00,122.5
2024-06-10 00:00:00,117.62
2024-06-07 00:00:00,114.82
2024-06-06 00:00:00,114.92
2024-06-05 00:00:00,115.01
2024-06-04 00:00:00,114.71
2024-06-03 00:00:00,114.17
2024-05-31 00:00:00,115.4
2024-05-30 00:00:00,115.63
2024-05-29 00:00:00,114.82
2024-05-28 00:00:00,113.49
2024-05-27 00:00:00,114.81
2024-05-24 00:00:00,115.31
2024-05-23 00:00:00,115.28
2024-05-22 00:00:00,117.01
2024-05-21 00:00:00,116.88
2024-05-20 00:00:00,117.71
2024-05-17 00:00:00,117.54
2024-05-16 00:00:00,117.77
2024-05-15 00:00:00,118.95
2024-05-14 00:00:00,123.7
2024-05-13 00:00:00,122.85
2024-05-10 00:00:00,123.95
2024-05-09 00:00:00,126.24
2024-05-08 00:00:00,128.46
2024-05-07 00:00:00,127.44
2024-05-06 00:00:00,131.4
2024-05-03 00:00:00,131.54
2024-05-02 00:00:00,132.48
2024-05-01 00:00:00,134.51
