Date,ABN
2024-10-25 00:00:00,91.61
2024-10-24 00:00:00,91.61
2024-10-23 00:00:00,91.8
2024-10-22 00:00:00,90.56
2024-10-21 00:00:00,90.59
2024-10-18 00:00:00,90.55
2024-10-17 00:00:00,91.66
2024-10-16 00:00:00,91.68
2024-10-15 00:00:00,91.61
2024-10-14 00:00:00,92.6
2024-10-11 00:00:00,93.8
2024-10-10 00:00:00,93.95
2024-10-09 00:00:00,93.81
2024-10-08 00:00:00,93.96
2024-10-07 00:00:00,94.05
2024-10-04 00:00:00,95.06
2024-10-03 00:00:00,94.95
2024-10-02 00:00:00,93.92
2024-10-01 00:00:00,94.93
2024-09-30 00:00:00,95.04
2024-09-27 00:00:00,95.13
2024-09-26 00:00:00,96.04
2024-09-25 00:00:00,97.16
2024-09-24 00:00:00,97.06
2024-09-23 00:00:00,98.78
2024-09-20 00:00:00,98.85
2024-09-19 00:00:00,89.35
2024-09-18 00:00:00,89.39
2024-09-17 00:00:00,89.76
2024-09-16 00:00:00,91.01
2024-09-13 00:00:00,92.33
2024-09-12 00:00:00,89.87
2024-09-11 00:00:00,90.87
2024-09-10 00:00:00,92.02
2024-09-09 00:00:00,92.11
2024-09-06 00:00:00,91
2024-09-05 00:00:00,92.14
2024-09-04 00:00:00,91.02
2024-09-03 00:00:00,89.81
2024-09-02 00:00:00,89.98
2024-08-30 00:00:00,88.81
2024-08-29 00:00:00,88.72
2024-08-28 00:00:00,88.7
2024-08-27 00:00:00,89.83
2024-08-26 00:00:00,89.87
2024-08-23 00:00:00,91.06
2024-08-22 00:00:00,90.86
2024-08-21 00:00:00,90.92
2024-08-20 00:00:00,90.92
2024-08-19 00:00:00,92.12
2024-08-16 00:00:00,93.3
2024-08-15 00:00:00,94.33
2024-08-14 00:00:00,95.39
2024-08-13 00:00:00,96.52
2024-08-12 00:00:00,95.47
2024-08-09 00:00:00,95.41
2024-08-08 00:00:00,99.8
2024-08-07 00:00:00,98.96
2024-08-06 00:00:00,92.9
2024-08-05 00:00:00,93.21
2024-08-02 00:00:00,93.32
2024-08-01 00:00:00,89.8
2024-07-31 00:00:00,89.74
2024-07-30 00:00:00,89.71
2024-07-29 00:00:00,89.83
2024-07-26 00:00:00,92.13
2024-07-25 00:00:00,89.76
2024-07-24 00:00:00,101.25
2024-07-23 00:00:00,101.3
2024-07-22 00:00:00,102.51
2024-07-19 00:00:00,101.33
2024-07-18 00:00:00,101.21
2024-07-17 00:00:00,99.97
2024-07-16 00:00:00,98.65
2024-07-15 00:00:00,101.27
2024-07-12 00:00:00,104.37
2024-07-11 00:00:00,104.39
2024-07-10 00:00:00,105.71
2024-07-09 00:00:00,104.41
2024-07-08 00:00:00,105.57
2024-07-05 00:00:00,107
2024-07-04 00:00:00,109.35
2024-07-03 00:00:00,110.76
2024-07-02 00:00:00,110.73
2024-07-01 00:00:00,112.08
2024-06-28 00:00:00,113.22
2024-06-27 00:00:00,113.24
2024-06-26 00:00:00,112.01
2024-06-25 00:00:00,110.66
2024-06-24 00:00:00,113.22
2024-06-21 00:00:00,111.25
2024-06-20 00:00:00,111.27
2024-06-19 00:00:00,111.24
2024-06-18 00:00:00,111.2
2024-06-17 00:00:00,108.77
2024-06-14 00:00:00,104.75
2024-06-13 00:00:00,102.37
2024-06-12 00:00:00,103.71
2024-06-11 00:00:00,101.2
2024-06-10 00:00:00,101.19
2024-06-07 00:00:00,99.99
2024-06-06 00:00:00,99.91
2024-06-05 00:00:00,100.04
2024-06-04 00:00:00,101.21
2024-06-03 00:00:00,101.39
2024-05-31 00:00:00,102.4
