Date,BAY
2024-10-25 00:00:00,38.55
2024-10-24 00:00:00,38.55
2024-10-23 00:00:00,40.46
2024-10-22 00:00:00,40.6
2024-10-21 00:00:00,40.61
2024-10-18 00:00:00,40.6
2024-10-17 00:00:00,40.6
2024-10-16 00:00:00,41.99
2024-10-15 00:00:00,43.24
2024-10-14 00:00:00,43.21
2024-10-11 00:00:00,43.23
2024-10-10 00:00:00,43.28
2024-10-09 00:00:00,43.24
2024-10-08 00:00:00,43.28
2024-10-07 00:00:00,43.31
2024-10-04 00:00:00,44.56
2024-10-03 00:00:00,44.53
2024-10-02 00:00:00,44.94
2024-10-01 00:00:00,43.03
2024-09-30 00:00:00,43.06
2024-09-27 00:00:00,48.8
2024-09-26 00:00:00,48.75
2024-09-25 00:00:00,48.75
2024-09-24 00:00:00,48.72
2024-09-23 00:00:00,48.75
2024-09-20 00:00:00,48.79
2024-09-19 00:00:00,45.78
2024-09-18 00:00:00,45.79
2024-09-17 00:00:00,45.74
2024-09-16 00:00:00,45.77
2024-09-13 00:00:00,45.83
2024-09-12 00:00:00,45.77
2024-09-11 00:00:00,48.96
2024-09-10 00:00:00,49.45
2024-09-09 00:00:00,48.71
2024-09-06 00:00:00,46.7
2024-09-05 00:00:00,49.32
2024-09-04 00:00:00,52.5
2024-09-03 00:00:00,52.48
2024-09-02 00:00:00,52.52
2024-08-30 00:00:00,50.17
2024-08-29 00:00:00,49.55
2024-08-28 00:00:00,49.16
2024-08-27 00:00:00,50.99
2024-08-26 00:00:00,52.12
2024-08-23 00:00:00,51.8
2024-08-22 00:00:00,51.75
2024-08-21 00:00:00,48.36
2024-08-20 00:00:00,48.53
2024-08-19 00:00:00,50.23
2024-08-16 00:00:00,49.77
2024-08-15 00:00:00,50.7
2024-08-14 00:00:00,50.69
2024-08-13 00:00:00,48.72
2024-08-12 00:00:00,51.84
2024-08-09 00:00:00,48.48
2024-08-08 00:00:00,49.3
2024-08-07 00:00:00,51.99
2024-08-06 00:00:00,49.61
2024-08-05 00:00:00,48.2
2024-08-02 00:00:00,45.92
2024-08-01 00:00:00,45.95
2024-07-31 00:00:00,45.93
2024-07-30 00:00:00,45.93
2024-07-29 00:00:00,45.96
2024-07-26 00:00:00,45.98
2024-07-25 00:00:00,45.94
2024-07-24 00:00:00,45.95
2024-07-23 00:00:00,45.97
2024-07-22 00:00:00,45.95
2024-07-19 00:00:00,42.83
2024-07-18 00:00:00,42.79
2024-07-17 00:00:00,45.48
2024-07-16 00:00:00,43.66
