Date,BNP
2024-10-25 00:00:00,99.29
2024-10-24 00:00:00,99.29
2024-10-23 00:00:00,99.41
2024-10-22 00:00:00,99.73
2024-10-21 00:00:00,97.69
2024-10-18 00:00:00,96.67
2024-10-17 00:00:00,96.79
2024-10-16 00:00:00,97.75
2024-10-15 00:00:00,97.6
2024-10-14 00:00:00,98.42
2024-10-11 00:00:00,100.54
2024-10-10 00:00:00,101.02
2024-10-09 00:00:00,102.84
2024-10-08 00:00:00,103.87
2024-10-07 00:00:00,103.05
2024-10-04 00:00:00,103.78
2024-10-03 00:00:00,105.56
2024-10-02 00:00:00,105.64
2024-10-01 00:00:00,106.79
2024-09-30 00:00:00,107.37
2024-09-27 00:00:00,105.49
2024-09-26 00:00:00,104.99
2024-09-25 00:00:00,103.29
2024-09-24 00:00:00,102.97
2024-09-23 00:00:00,101.62
2024-09-20 00:00:00,96.76
2024-09-19 00:00:00,86.84
2024-09-18 00:00:00,87.62
2024-09-17 00:00:00,87.6
2024-09-16 00:00:00,88.5
2024-09-13 00:00:00,88.34
2024-09-12 00:00:00,90.35
2024-09-11 00:00:00,93.41
2024-09-10 00:00:00,90.77
2024-09-09 00:00:00,90.45
2024-09-06 00:00:00,89.52
2024-09-05 00:00:00,90.4
2024-09-04 00:00:00,91.18
2024-09-03 00:00:00,88.56
2024-09-02 00:00:00,87.03
2024-08-30 00:00:00,86.78
2024-08-29 00:00:00,85.85
2024-08-28 00:00:00,85.06
2024-08-27 00:00:00,85.3
2024-08-26 00:00:00,85.88
2024-08-23 00:00:00,85.46
2024-08-22 00:00:00,87.7
2024-08-21 00:00:00,88.26
2024-08-20 00:00:00,89.42
2024-08-19 00:00:00,87.92
2024-08-16 00:00:00,90.06
2024-08-15 00:00:00,93.37
2024-08-14 00:00:00,100.23
2024-08-13 00:00:00,103.19
2024-08-12 00:00:00,102.33
2024-08-09 00:00:00,103.78
2024-08-08 00:00:00,104.83
2024-08-07 00:00:00,105.33
2024-08-06 00:00:00,112.09
2024-08-05 00:00:00,116.63
2024-08-02 00:00:00,104.25
2024-08-01 00:00:00,97.48
2024-07-31 00:00:00,92.44
2024-07-30 00:00:00,92.74
2024-07-29 00:00:00,91.7
2024-07-26 00:00:00,91.49
2024-07-25 00:00:00,92.48
2024-07-24 00:00:00,90.45
2024-07-23 00:00:00,88.68
2024-07-22 00:00:00,87.18
2024-07-19 00:00:00,88.56
2024-07-18 00:00:00,87.39
2024-07-17 00:00:00,87.95
2024-07-16 00:00:00,85.13
2024-07-15 00:00:00,83.52
2024-07-12 00:00:00,84.94
2024-07-11 00:00:00,85.49
2024-07-10 00:00:00,86.53
2024-07-09 00:00:00,88.67
2024-07-08 00:00:00,83.13
2024-07-05 00:00:00,87.87
2024-07-04 00:00:00,88.77
2024-07-03 00:00:00,90.82
2024-07-02 00:00:00,97.87
2024-07-01 00:00:00,98.35
2024-06-28 00:00:00,112.37
2024-06-27 00:00:00,110.24
2024-06-26 00:00:00,109.92
2024-06-25 00:00:00,108.37
2024-06-24 00:00:00,105.43
2024-06-21 00:00:00,110.59
2024-06-20 00:00:00,107.41
2024-06-19 00:00:00,108.19
2024-06-18 00:00:00,103.61
2024-06-17 00:00:00,112.5
2024-06-14 00:00:00,109.66
2024-06-13 00:00:00,97.83
2024-06-12 00:00:00,87.99
2024-06-11 00:00:00,94.77
2024-06-10 00:00:00,87.45
2024-06-07 00:00:00,78.7
2024-06-06 00:00:00,78.98
2024-06-05 00:00:00,80.49
2024-06-04 00:00:00,80.51
2024-06-03 00:00:00,79.56
2024-05-31 00:00:00,80.62
2024-05-30 00:00:00,80.7
2024-05-29 00:00:00,80.59
2024-05-28 00:00:00,78.82
2024-05-27 00:00:00,78.7
2024-05-24 00:00:00,79.14
2024-05-23 00:00:00,78.6
2024-05-22 00:00:00,79.29
2024-05-21 00:00:00,79.19
2024-05-20 00:00:00,80.16
2024-05-17 00:00:00,80.72
2024-05-16 00:00:00,80.47
2024-05-15 00:00:00,81.62
2024-05-14 00:00:00,83.22
2024-05-13 00:00:00,82.47
2024-05-10 00:00:00,83.12
2024-05-09 00:00:00,84.02
2024-05-08 00:00:00,84.96
2024-05-07 00:00:00,84.8
2024-05-06 00:00:00,86.25
2024-05-03 00:00:00,86
2024-05-02 00:00:00,88.22
2024-05-01 00:00:00,89.45
2024-04-30 00:00:00,87.76
2024-04-29 00:00:00,87.45
2024-04-26 00:00:00,88.56
2024-04-25 00:00:00,89.87
2024-04-24 00:00:00,89.32
2024-04-23 00:00:00,89.35
2024-04-22 00:00:00,90.62
2024-04-19 00:00:00,94.19
2024-04-18 00:00:00,93.54
2024-04-17 00:00:00,94.12
2024-04-16 00:00:00,96.43
2024-04-15 00:00:00,91.41
2024-04-12 00:00:00,90.45
2024-04-11 00:00:00,85.65
2024-04-10 00:00:00,84.11
2024-04-09 00:00:00,84.29
2024-04-08 00:00:00,84.01
2024-04-05 00:00:00,85.89
2024-04-04 00:00:00,84.49
2024-04-03 00:00:00,86.23
2024-04-02 00:00:00,84.72
2024-04-01 00:00:00,86.38
2024-03-29 00:00:00,86.26
2024-03-28 00:00:00,85.99
2024-03-27 00:00:00,86.62
2024-03-26 00:00:00,86.83
2024-03-25 00:00:00,87.34
2024-03-22 00:00:00,88.51
2024-03-21 00:00:00,84.79
2024-03-20 00:00:00,86.84
2024-03-19 00:00:00,79.5
2024-03-18 00:00:00,78.74
2024-03-15 00:00:00,79.73
2024-03-14 00:00:00,78.6
2024-03-13 00:00:00,79.87
2024-03-12 00:00:00,80.51
2024-03-11 00:00:00,81.95
2024-03-08 00:00:00,81.83
2024-03-07 00:00:00,83.39
2024-03-06 00:00:00,85.35
2024-03-05 00:00:00,87.32
2024-03-04 00:00:00,87.96
2024-03-01 00:00:00,87.74
2024-02-29 00:00:00,89.46
2024-02-28 00:00:00,89.15
2024-02-27 00:00:00,89.77
2024-02-26 00:00:00,88.66
2024-02-23 00:00:00,87.79
2024-02-22 00:00:00,89.76
2024-02-21 00:00:00,93.36
2024-02-20 00:00:00,93.41
2024-02-19 00:00:00,93.9
2024-02-16 00:00:00,94.49
2024-02-15 00:00:00,97.03
2024-02-14 00:00:00,98.44
2024-02-13 00:00:00,98.6
2024-02-12 00:00:00,97.04
2024-02-09 00:00:00,99.07
2024-02-08 00:00:00,101.05
2024-02-07 00:00:00,100.78
2024-02-06 00:00:00,100.56
2024-02-05 00:00:00,98.76
2024-02-02 00:00:00,99.28
2024-02-01 00:00:00,102.78
2024-01-31 00:00:00,97.21
2024-01-30 00:00:00,92.74
2024-01-29 00:00:00,93.23
2024-01-26 00:00:00,92.61
2024-01-25 00:00:00,94.76
2024-01-24 00:00:00,94.63
2024-01-23 00:00:00,96.34
2024-01-22 00:00:00,95.56
2024-01-19 00:00:00,97.49
2024-01-18 00:00:00,100.08
2024-01-17 00:00:00,103.89
2024-01-16 00:00:00,100.74
2024-01-15 00:00:00,100.55
2024-01-12 00:00:00,98.81
2024-01-11 00:00:00,98.39
2024-01-10 00:00:00,99.11
2024-01-09 00:00:00,101.27
2024-01-08 00:00:00,104.1
2024-01-05 00:00:00,103.96
2024-01-04 00:00:00,105.21
2024-01-03 00:00:00,104.4
2024-01-02 00:00:00,98.23
2024-01-01 00:00:00,94.8
2023-12-29 00:00:00,94.97
2023-12-28 00:00:00,97.2
2023-12-27 00:00:00,96.25
2023-12-26 00:00:00,96.75
2023-12-25 00:00:00,96.55
2023-12-22 00:00:00,96.78
2023-12-21 00:00:00,99.33
