Date,CRMU
2024-10-25 00:00:00,100.64
2024-10-24 00:00:00,100.64
2024-10-23 00:00:00,102.34
2024-10-22 00:00:00,105.13
2024-10-21 00:00:00,100.49
2024-10-18 00:00:00,100.36
2024-10-17 00:00:00,100.53
2024-10-16 00:00:00,92.09
2024-10-15 00:00:00,91.88
2024-10-14 00:00:00,92.75
2024-10-11 00:00:00,93.16
2024-10-10 00:00:00,93.09
2024-10-09 00:00:00,93.36
2024-10-08 00:00:00,93.91
2024-10-07 00:00:00,94.03
2024-10-04 00:00:00,93.57
2024-10-03 00:00:00,92.36
2024-10-02 00:00:00,92.83
2024-10-01 00:00:00,92.52
2024-09-30 00:00:00,98.49
2024-09-27 00:00:00,98.52
2024-09-26 00:00:00,98.33
2024-09-25 00:00:00,98.83
2024-09-24 00:00:00,98.55
2024-09-23 00:00:00,104.81
2024-09-20 00:00:00,105.24
2024-09-19 00:00:00,109.33
2024-09-18 00:00:00,110.52
2024-09-17 00:00:00,110.38
2024-09-16 00:00:00,111.17
2024-09-13 00:00:00,112.22
2024-09-12 00:00:00,109.33
2024-09-11 00:00:00,109.96
2024-09-10 00:00:00,108.46
2024-09-09 00:00:00,109.32
2024-09-06 00:00:00,113.56
2024-09-05 00:00:00,114.06
2024-09-04 00:00:00,121.07
2024-09-03 00:00:00,119.33
2024-09-02 00:00:00,119.44
2024-08-30 00:00:00,118.57
2024-08-29 00:00:00,117.41
2024-08-28 00:00:00,117.93
2024-08-27 00:00:00,124.4
2024-08-26 00:00:00,121.68
2024-08-23 00:00:00,115.22
2024-08-22 00:00:00,116.91
2024-08-21 00:00:00,117.97
2024-08-20 00:00:00,113.87
2024-08-19 00:00:00,120.16
2024-08-16 00:00:00,116.08
2024-08-15 00:00:00,112.11
2024-08-14 00:00:00,113.04
2024-08-13 00:00:00,113.76
2024-08-12 00:00:00,114.34
2024-08-09 00:00:00,114.14
2024-08-08 00:00:00,113.89
2024-08-07 00:00:00,115.03
2024-08-06 00:00:00,117.43
2024-08-05 00:00:00,117.31
2024-08-02 00:00:00,113.78
2024-08-01 00:00:00,110.5
2024-07-31 00:00:00,110.69
2024-07-30 00:00:00,112.34
2024-07-29 00:00:00,111.76
2024-07-26 00:00:00,118.32
2024-07-25 00:00:00,125.87
2024-07-24 00:00:00,124.65
2024-07-23 00:00:00,123.65
2024-07-22 00:00:00,124.48
2024-07-19 00:00:00,122.7
2024-07-18 00:00:00,121.4
2024-07-17 00:00:00,125.45
2024-07-16 00:00:00,118.01
2024-07-15 00:00:00,115.55
2024-07-12 00:00:00,121.02
2024-07-11 00:00:00,112.19
2024-07-10 00:00:00,112.31
2024-07-09 00:00:00,113.61
2024-07-08 00:00:00,112.24
2024-07-05 00:00:00,112.34
2024-07-04 00:00:00,113.03
2024-07-03 00:00:00,114.01
2024-07-02 00:00:00,116.11
2024-07-01 00:00:00,116.27
2024-06-28 00:00:00,113.59
2024-06-27 00:00:00,109.11
2024-06-26 00:00:00,113.41
2024-06-25 00:00:00,107.32
2024-06-24 00:00:00,102.91
2024-06-21 00:00:00,102.87
2024-06-20 00:00:00,102.47
2024-06-19 00:00:00,102.66
2024-06-18 00:00:00,102.76
2024-06-17 00:00:00,100.22
2024-06-14 00:00:00,99.45
2024-06-13 00:00:00,92.96
2024-06-12 00:00:00,92.94
2024-06-11 00:00:00,92.75
2024-06-10 00:00:00,91.79
2024-06-07 00:00:00,90.73
2024-06-06 00:00:00,90.49
2024-06-05 00:00:00,91.07
2024-06-04 00:00:00,90.02
2024-06-03 00:00:00,94.79
2024-05-31 00:00:00,94.72
2024-05-30 00:00:00,93.76
