Date,DZ
2024-10-25 00:00:00,41.95
2024-10-24 00:00:00,41.95
2024-10-23 00:00:00,44.4
2024-10-22 00:00:00,46.76
2024-10-21 00:00:00,43.78
2024-10-18 00:00:00,43.76
2024-10-17 00:00:00,44.96
2024-10-16 00:00:00,42.57
2024-10-15 00:00:00,41.95
2024-10-14 00:00:00,44.31
2024-10-11 00:00:00,45.54
2024-10-10 00:00:00,44.98
2024-10-09 00:00:00,46.14
2024-10-08 00:00:00,44.98
2024-10-07 00:00:00,41.42
2024-10-04 00:00:00,41.39
2024-10-03 00:00:00,41.36
2024-10-02 00:00:00,41.38
2024-10-01 00:00:00,41.35
2024-09-30 00:00:00,44.38
2024-09-27 00:00:00,43.21
2024-09-26 00:00:00,44.35
2024-09-25 00:00:00,47.34
2024-09-24 00:00:00,48.52
2024-09-23 00:00:00,48.55
2024-09-20 00:00:00,48.59
2024-09-19 00:00:00,44.16
2024-09-18 00:00:00,48.3
2024-09-17 00:00:00,48.25
2024-09-16 00:00:00,44.16
2024-09-13 00:00:00,45.4
2024-09-12 00:00:00,43.57
2024-09-11 00:00:00,43.53
2024-09-10 00:00:00,44.72
2024-09-09 00:00:00,44.75
2024-09-06 00:00:00,42.98
2024-09-05 00:00:00,45.35
2024-09-04 00:00:00,42.4
2024-09-03 00:00:00,43.55
2024-09-02 00:00:00,48.32
2024-08-30 00:00:00,45.36
2024-08-29 00:00:00,46.51
2024-08-28 00:00:00,44.74
2024-08-27 00:00:00,47.1
2024-08-26 00:00:00,47.7
2024-08-23 00:00:00,44.19
2024-08-22 00:00:00,48.27
2024-08-21 00:00:00,45.33
2024-08-20 00:00:00,43.57
2024-08-19 00:00:00,45.95
2024-08-16 00:00:00,45.38
2024-08-15 00:00:00,46.54
2024-08-14 00:00:00,46.52
2024-08-13 00:00:00,48.3
2024-08-12 00:00:00,48.32
2024-08-09 00:00:00,48.3
2024-08-08 00:00:00,48.28
2024-08-07 00:00:00,48.36
2024-08-06 00:00:00,48.39
2024-08-05 00:00:00,48.32
2024-08-02 00:00:00,48.27
2024-08-01 00:00:00,48.3
2024-07-31 00:00:00,48.28
2024-07-30 00:00:00,48.28
2024-07-29 00:00:00,48.31
2024-07-26 00:00:00,48.33
2024-07-25 00:00:00,48.29
2024-07-24 00:00:00,48.3
2024-07-23 00:00:00,48.31
2024-07-22 00:00:00,48.3
2024-07-19 00:00:00,49.5
2024-07-18 00:00:00,45.34
2024-07-17 00:00:00,47.12
2024-07-16 00:00:00,44.74
2024-07-15 00:00:00,45.36
2024-07-12 00:00:00,41.81
2024-07-11 00:00:00,41.81
2024-07-10 00:00:00,44.78
2024-07-09 00:00:00,48.89
2024-07-08 00:00:00,46.51
2024-07-05 00:00:00,48.91
2024-07-04 00:00:00,48.87
2024-07-03 00:00:00,51.27
2024-07-02 00:00:00,51.27
2024-07-01 00:00:00,51.3
2024-06-28 00:00:00,47.14
2024-06-27 00:00:00,47.15
2024-06-26 00:00:00,48.33
2024-06-25 00:00:00,46.54
2024-06-24 00:00:00,47.15
2024-06-21 00:00:00,45.95
2024-06-20 00:00:00,48.31
2024-06-19 00:00:00,48.3
2024-06-18 00:00:00,44.76
2024-06-17 00:00:00,42.43
2024-06-14 00:00:00,42.36
2024-06-13 00:00:00,41.81
2024-06-12 00:00:00,41.84
2024-06-11 00:00:00,44.78
2024-06-10 00:00:00,45.36
2024-06-07 00:00:00,45.38
2024-06-06 00:00:00,45.36
2024-06-05 00:00:00,45.39
2024-06-04 00:00:00,44.78
2024-06-03 00:00:00,43.07
2024-05-31 00:00:00,46.53
2024-05-30 00:00:00,50.68
2024-05-29 00:00:00,50.7
2024-05-28 00:00:00,48.32
2024-05-27 00:00:00,44.77
2024-05-24 00:00:00,46.54
2024-05-23 00:00:00,50.68
2024-05-22 00:00:00,48.33
2024-05-21 00:00:00,45.37
2024-05-20 00:00:00,47.75
2024-05-17 00:00:00,50.1
2024-05-16 00:00:00,48.29
2024-05-15 00:00:00,48.93
2024-05-14 00:00:00,48.9
2024-05-13 00:00:00,45.39
2024-05-10 00:00:00,48.32
2024-05-09 00:00:00,48.31
2024-05-08 00:00:00,44.2
2024-05-07 00:00:00,44.19
2024-05-06 00:00:00,45.39
2024-05-03 00:00:00,43.58
2024-05-02 00:00:00,45.35
2024-05-01 00:00:00,47.16
2024-04-30 00:00:00,43.61
2024-04-29 00:00:00,43.62
2024-04-26 00:00:00,43.59
2024-04-25 00:00:00,48.32
2024-04-24 00:00:00,50.7
2024-04-23 00:00:00,47.11
2024-04-22 00:00:00,45.94
2024-04-19 00:00:00,47.76
2024-04-18 00:00:00,47.71
2024-04-17 00:00:00,51.27
2024-04-16 00:00:00,51.26
2024-04-15 00:00:00,50.11
2024-04-12 00:00:00,50.12
2024-04-11 00:00:00,50.11
2024-04-10 00:00:00,50.67
2024-04-09 00:00:00,49.51
2024-04-08 00:00:00,49.53
2024-04-05 00:00:00,49.53
2024-04-04 00:00:00,45.36
2024-04-03 00:00:00,47.13
2024-04-02 00:00:00,47.74
2024-04-01 00:00:00,47.76
2024-03-29 00:00:00,47.18
2024-03-28 00:00:00,46.58
2024-03-27 00:00:00,44.21
2024-03-26 00:00:00,46.55
2024-03-25 00:00:00,43.62
2024-03-22 00:00:00,43.61
2024-03-21 00:00:00,45.38
2024-03-20 00:00:00,47.75
2024-03-19 00:00:00,44.68
2024-03-18 00:00:00,45.75
2024-03-15 00:00:00,45.77
2024-03-14 00:00:00,45.74
2024-03-13 00:00:00,45.75
2024-03-12 00:00:00,45.73
2024-03-11 00:00:00,45.76
2024-03-08 00:00:00,45.74
2024-03-07 00:00:00,45.75
2024-03-06 00:00:00,45.74
2024-03-05 00:00:00,45.75
2024-03-04 00:00:00,45.69
2024-03-01 00:00:00,45.73
2024-02-29 00:00:00,45.73
2024-02-28 00:00:00,45.76
2024-02-27 00:00:00,45.75
2024-02-26 00:00:00,45.73
2024-02-23 00:00:00,45.79
2024-02-22 00:00:00,45.77
2024-02-21 00:00:00,45.74
2024-02-20 00:00:00,45.73
2024-02-19 00:00:00,45.75
2024-02-16 00:00:00,45.76
2024-02-15 00:00:00,45.68
2024-02-14 00:00:00,45.77
2024-02-13 00:00:00,45.7
2024-02-12 00:00:00,45.74
2024-02-09 00:00:00,45.76
2024-02-08 00:00:00,45.76
2024-02-07 00:00:00,45.71
2024-02-06 00:00:00,45.74
2024-02-05 00:00:00,45.76
2024-02-02 00:00:00,45.75
2024-02-01 00:00:00,45.71
2024-01-31 00:00:00,45.76
2024-01-30 00:00:00,46.88
2024-01-29 00:00:00,46.89
2024-01-26 00:00:00,45.72
2024-01-25 00:00:00,45.73
2024-01-24 00:00:00,49.22
2024-01-23 00:00:00,50.94
2024-01-22 00:00:00,48.07
2024-01-19 00:00:00,46.91
2024-01-18 00:00:00,46.9
2024-01-17 00:00:00,46.96
2024-01-16 00:00:00,46.88
2024-01-15 00:00:00,46.91
2024-01-12 00:00:00,46.9
2024-01-11 00:00:00,49.79
2024-01-10 00:00:00,50.95
2024-01-09 00:00:00,53.77
2024-01-08 00:00:00,49.17
2024-01-05 00:00:00,45.17
2024-01-04 00:00:00,45.1
2024-01-03 00:00:00,45.19
2024-01-02 00:00:00,45.14
2024-01-01 00:00:00,45.16
2023-12-29 00:00:00,45.15
2023-12-28 00:00:00,45.14
2023-12-27 00:00:00,45.16
2023-12-26 00:00:00,49.21
2023-12-25 00:00:00,49.23
2023-12-22 00:00:00,48.07
2023-12-21 00:00:00,47.47
2023-12-20 00:00:00,48.07
2023-12-19 00:00:00,48.04
2023-12-18 00:00:00,45.14
2023-12-15 00:00:00,45.17
2023-12-14 00:00:00,43.41
2023-12-13 00:00:00,48.05
2023-12-12 00:00:00,50.93
2023-12-11 00:00:00,52.1
2023-12-08 00:00:00,49.78
2023-12-07 00:00:00,49.79
2023-12-06 00:00:00,49.76
2023-12-05 00:00:00,46.34
2023-12-04 00:00:00,43.36
2023-12-01 00:00:00,43.38
2023-11-30 00:00:00,46.89
2023-11-29 00:00:00,50.86
2023-11-28 00:00:00,50.89
2023-11-27 00:00:00,52.07
2023-11-24 00:00:00,52.07
2023-11-23 00:00:00,52.68
2023-11-22 00:00:00,54.37
2023-11-21 00:00:00,51.48
2023-11-20 00:00:00,53.24
2023-11-17 00:00:00,53.21
2023-11-16 00:00:00,50.89
2023-11-15 00:00:00,54.37
2023-11-14 00:00:00,54.93
2023-11-13 00:00:00,54.97
2023-11-10 00:00:00,57.26
2023-11-09 00:00:00,53.22
2023-11-08 00:00:00,52.65
2023-11-07 00:00:00,52.63
2023-11-06 00:00:00,50.31
2023-11-03 00:00:00,50.36
2023-11-02 00:00:00,50.89
2023-11-01 00:00:00,49.76
2023-10-31 00:00:00,49.72
2023-10-30 00:00:00,50.89
2023-10-27 00:00:00,50.3
2023-10-26 00:00:00,49.74
2023-10-25 00:00:00,52.61
2023-10-24 00:00:00,48.56
2023-10-23 00:00:00,47.99
2023-10-20 00:00:00,48
2023-10-19 00:00:00,48.01
2023-10-18 00:00:00,48.03
2023-10-17 00:00:00,48
2023-10-16 00:00:00,48.01
2023-10-13 00:00:00,48.04
2023-10-12 00:00:00,47.99
2023-10-11 00:00:00,47.98
2023-10-10 00:00:00,44.47
2023-10-09 00:00:00,44.52
2023-10-06 00:00:00,46.81
2023-10-05 00:00:00,46.79
2023-10-04 00:00:00,49.18
2023-10-03 00:00:00,49.17
2023-10-02 00:00:00,48.01
2023-09-29 00:00:00,47.98
2023-09-28 00:00:00,48.02
2023-09-27 00:00:00,48.03
2023-09-26 00:00:00,47.98
2023-09-25 00:00:00,49.17
2023-09-22 00:00:00,49.15
2023-09-21 00:00:00,45.69
2023-09-20 00:00:00,45.71
2023-09-19 00:00:00,46.48
2023-09-18 00:00:00,47.09
2023-09-15 00:00:00,45.92
2023-09-14 00:00:00,45.91
2023-09-13 00:00:00,45.94
2023-09-12 00:00:00,43.65
2023-09-11 00:00:00,46.51
2023-09-08 00:00:00,43.63
2023-09-07 00:00:00,40.82
2023-09-06 00:00:00,43.65
2023-09-05 00:00:00,43.63
2023-09-04 00:00:00,43.1
2023-09-01 00:00:00,42.48
2023-08-31 00:00:00,44.22
2023-08-30 00:00:00,44.19
2023-08-29 00:00:00,40.77
2023-08-28 00:00:00,38.57
2023-08-25 00:00:00,38.53
2023-08-24 00:00:00,38.5
2023-08-23 00:00:00,38.53
2023-08-22 00:00:00,39.66
2023-08-21 00:00:00,39.66
2023-08-18 00:00:00,39.68
2023-08-17 00:00:00,36.26
2023-08-16 00:00:00,36.26
2023-08-15 00:00:00,36.25
2023-08-14 00:00:00,36.3
2023-08-11 00:00:00,36.31
2023-08-10 00:00:00,36.26
2023-08-09 00:00:00,36.3
2023-08-08 00:00:00,36.23
2023-08-07 00:00:00,38
2023-08-04 00:00:00,37.98
2023-08-03 00:00:00,37.96
2023-08-02 00:00:00,37.99
2023-08-01 00:00:00,39.64
2023-07-31 00:00:00,38.56
2023-07-28 00:00:00,38.57
2023-07-27 00:00:00,36.86
2023-07-26 00:00:00,36.28
2023-07-25 00:00:00,36.31
2023-07-24 00:00:00,36.28
2023-07-21 00:00:00,39.69
2023-07-20 00:00:00,42.53
2023-07-19 00:00:00,41.96
2023-07-18 00:00:00,39.64
2023-07-17 00:00:00,39.68
2023-07-14 00:00:00,41.35
2023-07-13 00:00:00,41.88
2023-07-12 00:00:00,41.92
2023-07-11 00:00:00,41.91
2023-07-10 00:00:00,41.89
2023-07-07 00:00:00,40.79
2023-07-06 00:00:00,44.21
2023-07-05 00:00:00,35.72
2023-07-04 00:00:00,35.77
2023-07-03 00:00:00,35.68
2023-06-30 00:00:00,35.72
2023-06-29 00:00:00,35.66
2023-06-28 00:00:00,35.76
2023-06-27 00:00:00,35.69
2023-06-26 00:00:00,35.76
2023-06-23 00:00:00,35.74
2023-06-22 00:00:00,39.1
2023-06-21 00:00:00,39.08
2023-06-20 00:00:00,39.11
2023-06-19 00:00:00,41.37
2023-06-16 00:00:00,41.41
2023-06-15 00:00:00,45.33
2023-06-14 00:00:00,45.35
2023-06-13 00:00:00,47.58
2023-06-12 00:00:00,44.18
2023-06-09 00:00:00,41.34
2023-06-08 00:00:00,41.96
2023-06-07 00:00:00,39.65
2023-06-06 00:00:00,39.68
2023-06-05 00:00:00,38.56
2023-06-02 00:00:00,38.53
