Date,INTE
2024-10-25 00:00:00,127.7
2024-10-24 00:00:00,127.7
2024-10-23 00:00:00,129.2
2024-10-22 00:00:00,129.67
2024-10-21 00:00:00,129.45
2024-10-18 00:00:00,128.46
2024-10-17 00:00:00,128.83
2024-10-16 00:00:00,131.13
2024-10-15 00:00:00,130.99
2024-10-14 00:00:00,132.09
2024-10-11 00:00:00,135.27
2024-10-10 00:00:00,136.02
2024-10-09 00:00:00,137.9
2024-10-08 00:00:00,140.27
2024-10-07 00:00:00,140.72
2024-10-04 00:00:00,141.23
2024-10-03 00:00:00,142.97
2024-10-02 00:00:00,142.75
2024-10-01 00:00:00,143.31
2024-09-30 00:00:00,142.77
2024-09-27 00:00:00,141.6
2024-09-26 00:00:00,141.91
2024-09-25 00:00:00,143.53
2024-09-24 00:00:00,143.57
2024-09-23 00:00:00,144.25
2024-09-20 00:00:00,142.83
2024-09-19 00:00:00,127.26
2024-09-18 00:00:00,130.64
2024-09-17 00:00:00,130.08
2024-09-16 00:00:00,130.97
2024-09-13 00:00:00,131.04
2024-09-12 00:00:00,134.36
2024-09-11 00:00:00,138.96
2024-09-10 00:00:00,135.79
2024-09-09 00:00:00,134.84
2024-09-06 00:00:00,134.58
2024-09-05 00:00:00,134.17
2024-09-04 00:00:00,135.24
2024-09-03 00:00:00,133.69
2024-09-02 00:00:00,130.89
2024-08-30 00:00:00,130.66
2024-08-29 00:00:00,131.02
2024-08-28 00:00:00,130.04
2024-08-27 00:00:00,130.02
2024-08-26 00:00:00,131.07
2024-08-23 00:00:00,130.33
2024-08-22 00:00:00,131.56
2024-08-21 00:00:00,133.08
2024-08-20 00:00:00,132.86
2024-08-19 00:00:00,132.34
2024-08-16 00:00:00,134.63
2024-08-15 00:00:00,137.67
2024-08-14 00:00:00,144.97
2024-08-13 00:00:00,148.52
2024-08-12 00:00:00,148.17
2024-08-09 00:00:00,148.2
2024-08-08 00:00:00,150.25
2024-08-07 00:00:00,150.71
2024-08-06 00:00:00,158.58
2024-08-05 00:00:00,160.13
2024-08-02 00:00:00,150.82
2024-08-01 00:00:00,140.65
2024-07-31 00:00:00,134.4
2024-07-30 00:00:00,136.69
2024-07-29 00:00:00,138.44
2024-07-26 00:00:00,138.98
2024-07-25 00:00:00,140.88
2024-07-24 00:00:00,138.78
2024-07-23 00:00:00,136.75
2024-07-22 00:00:00,136.58
2024-07-19 00:00:00,138.5
2024-07-18 00:00:00,137.95
2024-07-17 00:00:00,138.49
2024-07-16 00:00:00,135.77
2024-07-15 00:00:00,135.2
2024-07-12 00:00:00,136.29
2024-07-11 00:00:00,136.02
2024-07-10 00:00:00,137.46
2024-07-09 00:00:00,139.03
2024-07-08 00:00:00,134.78
2024-07-05 00:00:00,137.31
2024-07-04 00:00:00,138.19
2024-07-03 00:00:00,140.59
2024-07-02 00:00:00,148.9
2024-07-01 00:00:00,150.04
2024-06-28 00:00:00,159.86
2024-06-27 00:00:00,158.77
2024-06-26 00:00:00,157.29
2024-06-25 00:00:00,153.19
2024-06-24 00:00:00,152.82
2024-06-21 00:00:00,158.46
2024-06-20 00:00:00,155.42
2024-06-19 00:00:00,155.55
2024-06-18 00:00:00,153.99
2024-06-17 00:00:00,163.79
2024-06-14 00:00:00,162.55
2024-06-13 00:00:00,151.13
2024-06-12 00:00:00,144.66
2024-06-11 00:00:00,150.8
2024-06-10 00:00:00,142.52
2024-06-07 00:00:00,137.87
2024-06-06 00:00:00,137.53
2024-06-05 00:00:00,137.62
2024-06-04 00:00:00,137.97
2024-06-03 00:00:00,136.56
2024-05-31 00:00:00,138.31
2024-05-30 00:00:00,138.52
2024-05-29 00:00:00,138.21
2024-05-28 00:00:00,135.77
2024-05-27 00:00:00,135.71
2024-05-24 00:00:00,136.6
2024-05-23 00:00:00,135.99
2024-05-22 00:00:00,136.72
2024-05-21 00:00:00,137.43
2024-05-20 00:00:00,138.27
2024-05-17 00:00:00,138.24
2024-05-16 00:00:00,138.19
2024-05-15 00:00:00,138.92
2024-05-14 00:00:00,142.28
2024-05-13 00:00:00,141.31
2024-05-10 00:00:00,141.79
2024-05-09 00:00:00,142.46
2024-05-08 00:00:00,143.15
2024-05-07 00:00:00,143.19
2024-05-06 00:00:00,148.27
2024-05-03 00:00:00,147.5
2024-05-02 00:00:00,148.08
2024-05-01 00:00:00,150.75
2024-04-30 00:00:00,148.22
2024-04-29 00:00:00,147.19
2024-04-26 00:00:00,149.22
2024-04-25 00:00:00,152.04
2024-04-24 00:00:00,149.01
2024-04-23 00:00:00,148.08
2024-04-22 00:00:00,150.25
2024-04-19 00:00:00,154.87
2024-04-18 00:00:00,155.18
2024-04-17 00:00:00,157.3
2024-04-16 00:00:00,159.57
2024-04-15 00:00:00,153.5
2024-04-12 00:00:00,151.43
2024-04-11 00:00:00,147.4
2024-04-10 00:00:00,144.71
2024-04-09 00:00:00,147.28
2024-04-08 00:00:00,147.89
2024-04-05 00:00:00,151.94
2024-04-04 00:00:00,149.4
2024-04-03 00:00:00,152.4
2024-04-02 00:00:00,149.89
2024-04-01 00:00:00,151.26
2024-03-29 00:00:00,150.46
2024-03-28 00:00:00,149.98
2024-03-27 00:00:00,151.09
2024-03-26 00:00:00,151.35
2024-03-25 00:00:00,151.87
2024-03-22 00:00:00,153.12
2024-03-21 00:00:00,148.11
2024-03-20 00:00:00,151.71
2024-03-19 00:00:00,138.1
2024-03-18 00:00:00,137.66
2024-03-15 00:00:00,137.16
2024-03-14 00:00:00,135.39
2024-03-13 00:00:00,136.86
2024-03-12 00:00:00,140.17
2024-03-11 00:00:00,142.73
2024-03-08 00:00:00,143.34
2024-03-07 00:00:00,144.97
2024-03-06 00:00:00,147.35
2024-03-05 00:00:00,148.86
2024-03-04 00:00:00,148.73
2024-03-01 00:00:00,148.8
