Date,RABO
2024-10-25 00:00:00,86.91
2024-10-24 00:00:00,86.91
2024-10-23 00:00:00,86.95
2024-10-22 00:00:00,86.62
2024-10-21 00:00:00,84.97
2024-10-18 00:00:00,83.88
2024-10-17 00:00:00,83.74
2024-10-16 00:00:00,85.73
2024-10-15 00:00:00,85.7
2024-10-14 00:00:00,86.59
2024-10-11 00:00:00,87.81
2024-10-10 00:00:00,87.84
2024-10-09 00:00:00,88.95
2024-10-08 00:00:00,90.05
2024-10-07 00:00:00,89.46
2024-10-04 00:00:00,90.51
2024-10-03 00:00:00,91.93
2024-10-02 00:00:00,91.9
2024-10-01 00:00:00,91.86
2024-09-30 00:00:00,90.8
2024-09-27 00:00:00,90.31
2024-09-26 00:00:00,89.82
2024-09-25 00:00:00,91.78
2024-09-24 00:00:00,92.14
2024-09-23 00:00:00,91.76
2024-09-20 00:00:00,88.98
2024-09-19 00:00:00,80.98
2024-09-18 00:00:00,82.79
2024-09-17 00:00:00,83.12
2024-09-16 00:00:00,83.5
2024-09-13 00:00:00,83.45
2024-09-12 00:00:00,86.01
2024-09-11 00:00:00,88.57
2024-09-10 00:00:00,86.53
2024-09-09 00:00:00,86.14
2024-09-06 00:00:00,85.66
2024-09-05 00:00:00,85.48
2024-09-04 00:00:00,85.63
2024-09-03 00:00:00,84.61
2024-09-02 00:00:00,81.71
2024-08-30 00:00:00,81.43
2024-08-29 00:00:00,81.11
2024-08-28 00:00:00,80.69
2024-08-27 00:00:00,80.28
2024-08-26 00:00:00,81.58
2024-08-23 00:00:00,80.95
2024-08-22 00:00:00,82.53
2024-08-21 00:00:00,82.76
2024-08-20 00:00:00,82.64
2024-08-19 00:00:00,81.09
2024-08-16 00:00:00,83.28
2024-08-15 00:00:00,83.6
2024-08-14 00:00:00,88.69
2024-08-13 00:00:00,92.18
2024-08-12 00:00:00,90.11
2024-08-09 00:00:00,90.53
2024-08-08 00:00:00,93.01
2024-08-07 00:00:00,93.57
2024-08-06 00:00:00,100.9
2024-08-05 00:00:00,102.19
2024-08-02 00:00:00,95.11
2024-08-01 00:00:00,88.46
2024-07-31 00:00:00,84.14
2024-07-30 00:00:00,84.33
2024-07-29 00:00:00,83.8
2024-07-26 00:00:00,84.03
2024-07-25 00:00:00,84.89
2024-07-24 00:00:00,82.56
2024-07-23 00:00:00,80.77
2024-07-22 00:00:00,80.32
2024-07-19 00:00:00,81.03
2024-07-18 00:00:00,80.07
2024-07-17 00:00:00,79.93
2024-07-16 00:00:00,77.05
2024-07-15 00:00:00,76.1
2024-07-12 00:00:00,76.93
2024-07-11 00:00:00,76.79
2024-07-10 00:00:00,76.99
2024-07-09 00:00:00,78.64
2024-07-08 00:00:00,75.05
2024-07-05 00:00:00,78.42
2024-07-04 00:00:00,78.71
2024-07-03 00:00:00,81.89
2024-07-02 00:00:00,85.77
2024-07-01 00:00:00,86.02
2024-06-28 00:00:00,93.31
2024-06-27 00:00:00,92.64
2024-06-26 00:00:00,92.93
2024-06-25 00:00:00,89.67
2024-06-24 00:00:00,89.53
2024-06-21 00:00:00,90.7
2024-06-20 00:00:00,88.56
2024-06-19 00:00:00,88.38
2024-06-18 00:00:00,86.96
2024-06-17 00:00:00,90.27
2024-06-14 00:00:00,83.11
2024-06-13 00:00:00,80.27
2024-06-12 00:00:00,76.22
2024-06-11 00:00:00,78.53
2024-06-10 00:00:00,75.06
2024-06-07 00:00:00,72.2
2024-06-06 00:00:00,71.89
2024-06-05 00:00:00,72.23
2024-06-04 00:00:00,72.54
2024-06-03 00:00:00,71.71
2024-05-31 00:00:00,73.32
2024-05-30 00:00:00,73.34
2024-05-29 00:00:00,73.59
2024-05-28 00:00:00,71.59
2024-05-27 00:00:00,71.78
2024-05-24 00:00:00,72.09
2024-05-23 00:00:00,71.78
2024-05-22 00:00:00,72.19
2024-05-21 00:00:00,72.42
2024-05-20 00:00:00,72.32
2024-05-17 00:00:00,72.87
2024-05-16 00:00:00,72.66
2024-05-15 00:00:00,73.71
2024-05-14 00:00:00,74.62
2024-05-13 00:00:00,74.12
2024-05-10 00:00:00,74.51
2024-05-09 00:00:00,75.19
2024-05-08 00:00:00,76.19
2024-05-07 00:00:00,76.13
2024-05-06 00:00:00,77.15
2024-05-03 00:00:00,77.21
2024-05-02 00:00:00,79.71
2024-05-01 00:00:00,81.26
