Date,SAB
2024-10-25 00:00:00,141.8
2024-10-24 00:00:00,141.8
2024-10-23 00:00:00,144.52
2024-10-22 00:00:00,144.94
2024-10-21 00:00:00,145.92
2024-10-18 00:00:00,148.8
2024-10-17 00:00:00,146.99
2024-10-16 00:00:00,147.81
2024-10-15 00:00:00,151.01
2024-10-14 00:00:00,152.68
2024-10-11 00:00:00,153.93
2024-10-10 00:00:00,152.89
2024-10-09 00:00:00,153.19
2024-10-08 00:00:00,154.06
2024-10-07 00:00:00,154.96
2024-10-04 00:00:00,155.43
2024-10-03 00:00:00,151.17
2024-10-02 00:00:00,151.61
2024-10-01 00:00:00,150.99
2024-09-30 00:00:00,151.72
2024-09-27 00:00:00,151.04
2024-09-26 00:00:00,150.92
2024-09-25 00:00:00,142.48
2024-09-24 00:00:00,141.89
2024-09-23 00:00:00,142.43
2024-09-20 00:00:00,141.6
2024-09-19 00:00:00,135.79
2024-09-18 00:00:00,138.29
2024-09-17 00:00:00,137.38
2024-09-16 00:00:00,147.54
2024-09-13 00:00:00,148.1
2024-09-12 00:00:00,144.34
2024-09-11 00:00:00,144.7
2024-09-10 00:00:00,147.46
2024-09-09 00:00:00,148.42
2024-09-06 00:00:00,146.9
2024-09-05 00:00:00,149.36
2024-09-04 00:00:00,147.76
2024-09-03 00:00:00,145.12
2024-09-02 00:00:00,143.62
2024-08-30 00:00:00,146.67
2024-08-29 00:00:00,146.8
2024-08-28 00:00:00,146.59
2024-08-27 00:00:00,144.52
2024-08-26 00:00:00,145.24
2024-08-23 00:00:00,144.56
2024-08-22 00:00:00,145.44
2024-08-21 00:00:00,146.53
2024-08-20 00:00:00,146.08
2024-08-19 00:00:00,147.08
2024-08-16 00:00:00,148.14
2024-08-15 00:00:00,149.5
2024-08-14 00:00:00,144.58
2024-08-13 00:00:00,149.96
2024-08-12 00:00:00,150.41
2024-08-09 00:00:00,149.8
2024-08-08 00:00:00,141.27
2024-08-07 00:00:00,142.66
2024-08-06 00:00:00,146.23
2024-08-05 00:00:00,146.51
2024-08-02 00:00:00,140.27
2024-08-01 00:00:00,139.39
2024-07-31 00:00:00,137.86
2024-07-30 00:00:00,142.41
2024-07-29 00:00:00,138
2024-07-26 00:00:00,151.69
2024-07-25 00:00:00,151.23
2024-07-24 00:00:00,149.7
2024-07-23 00:00:00,148.57
2024-07-22 00:00:00,147.56
2024-07-19 00:00:00,148.94
2024-07-18 00:00:00,146.26
2024-07-17 00:00:00,147.53
2024-07-16 00:00:00,145.82
2024-07-15 00:00:00,153.89
2024-07-12 00:00:00,146.07
2024-07-11 00:00:00,147.16
2024-07-10 00:00:00,148.18
2024-07-09 00:00:00,146
2024-07-08 00:00:00,147.6
