Date,SEB
2024-10-25 00:00:00,107.29
2024-10-24 00:00:00,107.29
2024-10-23 00:00:00,107.95
2024-10-22 00:00:00,108.45
2024-10-21 00:00:00,108.78
2024-10-18 00:00:00,108.83
2024-10-17 00:00:00,106.14
2024-10-16 00:00:00,107.48
2024-10-15 00:00:00,109.99
2024-10-14 00:00:00,110.29
2024-10-11 00:00:00,111.94
2024-10-10 00:00:00,113.16
2024-10-09 00:00:00,114.65
2024-10-08 00:00:00,115.96
2024-10-07 00:00:00,114.65
2024-10-04 00:00:00,114.67
2024-10-03 00:00:00,114.88
2024-10-02 00:00:00,116.53
2024-10-01 00:00:00,114.86
2024-09-30 00:00:00,114.56
2024-09-27 00:00:00,112.51
2024-09-26 00:00:00,112.9
2024-09-25 00:00:00,120.47
2024-09-24 00:00:00,121.81
2024-09-23 00:00:00,121.32
2024-09-20 00:00:00,117.54
2024-09-19 00:00:00,107.39
2024-09-18 00:00:00,108.6
2024-09-17 00:00:00,108.63
2024-09-16 00:00:00,108.78
2024-09-13 00:00:00,108.78
2024-09-12 00:00:00,109.5
2024-09-11 00:00:00,108.18
2024-09-10 00:00:00,107.78
2024-09-09 00:00:00,107.68
2024-09-06 00:00:00,107.31
2024-09-05 00:00:00,107.36
2024-09-04 00:00:00,107.24
2024-09-03 00:00:00,107.53
2024-09-02 00:00:00,105.31
2024-08-30 00:00:00,106.7
2024-08-29 00:00:00,106.36
2024-08-28 00:00:00,105.35
2024-08-27 00:00:00,108.76
2024-08-26 00:00:00,109.98
2024-08-23 00:00:00,109.44
2024-08-22 00:00:00,106.19
2024-08-21 00:00:00,107.46
2024-08-20 00:00:00,106.82
2024-08-19 00:00:00,105.12
2024-08-16 00:00:00,106.43
2024-08-15 00:00:00,109.82
2024-08-14 00:00:00,114.05
2024-08-13 00:00:00,116.13
2024-08-12 00:00:00,112.52
2024-08-09 00:00:00,114.8
2024-08-08 00:00:00,111.27
2024-08-07 00:00:00,111.75
2024-08-06 00:00:00,119.08
2024-08-05 00:00:00,117.48
2024-08-02 00:00:00,113.09
2024-08-01 00:00:00,111.83
2024-07-31 00:00:00,110.43
2024-07-30 00:00:00,112.34
2024-07-29 00:00:00,112.72
2024-07-26 00:00:00,111.43
2024-07-25 00:00:00,111.17
2024-07-24 00:00:00,111.54
2024-07-23 00:00:00,110.75
2024-07-22 00:00:00,111.01
2024-07-19 00:00:00,110.98
2024-07-18 00:00:00,110.54
2024-07-17 00:00:00,111.04
2024-07-16 00:00:00,112.88
2024-07-15 00:00:00,110.36
2024-07-12 00:00:00,110.32
2024-07-11 00:00:00,110.23
2024-07-10 00:00:00,110.36
2024-07-09 00:00:00,110.37
2024-07-08 00:00:00,110.27
2024-07-05 00:00:00,110.38
2024-07-04 00:00:00,110.29
2024-07-03 00:00:00,110.92
2024-07-02 00:00:00,112.89
2024-07-01 00:00:00,111.57
2024-06-28 00:00:00,113.64
2024-06-27 00:00:00,113.69
2024-06-26 00:00:00,111.42
2024-06-25 00:00:00,110.8
2024-06-24 00:00:00,114.43
2024-06-21 00:00:00,118.26
2024-06-20 00:00:00,118.41
2024-06-19 00:00:00,118.8
2024-06-18 00:00:00,116.01
2024-06-17 00:00:00,117.75
2024-06-14 00:00:00,114.05
2024-06-13 00:00:00,111.79
2024-06-12 00:00:00,111.51
2024-06-11 00:00:00,112.87
2024-06-10 00:00:00,111.61
2024-06-07 00:00:00,110.03
2024-06-06 00:00:00,110.19
2024-06-05 00:00:00,110.19
2024-06-04 00:00:00,110.22
2024-06-03 00:00:00,110.17
2024-05-31 00:00:00,110.15
2024-05-30 00:00:00,110.08
2024-05-29 00:00:00,110.17
2024-05-28 00:00:00,110.19
2024-05-27 00:00:00,109.72
2024-05-24 00:00:00,110.33
2024-05-23 00:00:00,110.24
2024-05-22 00:00:00,111.21
2024-05-21 00:00:00,111.23
2024-05-20 00:00:00,110.99
2024-05-17 00:00:00,110.63
2024-05-16 00:00:00,110.28
2024-05-15 00:00:00,110.15
2024-05-14 00:00:00,112.26
2024-05-13 00:00:00,112.7
2024-05-10 00:00:00,115
2024-05-09 00:00:00,115
2024-05-08 00:00:00,119.23
2024-05-07 00:00:00,118.47
2024-05-06 00:00:00,121.82
2024-05-03 00:00:00,121.48
2024-05-02 00:00:00,117.14
2024-05-01 00:00:00,121.01
2024-04-30 00:00:00,121.7
2024-04-29 00:00:00,121.04
2024-04-26 00:00:00,120.01
2024-04-25 00:00:00,119.19
2024-04-24 00:00:00,118.37
2024-04-23 00:00:00,119.25
2024-04-22 00:00:00,121.46
2024-04-19 00:00:00,116.44
2024-04-18 00:00:00,122.8
2024-04-17 00:00:00,125.53
2024-04-16 00:00:00,121.08
2024-04-15 00:00:00,119.02
2024-04-12 00:00:00,119.02
2024-04-11 00:00:00,115.59
2024-04-10 00:00:00,115.55
2024-04-09 00:00:00,115.05
2024-04-08 00:00:00,115.39
2024-04-05 00:00:00,115.52
2024-04-04 00:00:00,117.76
2024-04-03 00:00:00,117.74
2024-04-02 00:00:00,114.98
2024-04-01 00:00:00,117.3
2024-03-29 00:00:00,117.14
2024-03-28 00:00:00,116.77
2024-03-27 00:00:00,116.94
2024-03-26 00:00:00,115
2024-03-25 00:00:00,115
2024-03-22 00:00:00,115.07
2024-03-21 00:00:00,114.94
2024-03-20 00:00:00,117.66
2024-03-19 00:00:00,108.63
2024-03-18 00:00:00,112.07
2024-03-15 00:00:00,107.46
2024-03-14 00:00:00,106.46
2024-03-13 00:00:00,108.08
2024-03-12 00:00:00,116.43
2024-03-11 00:00:00,113.92
2024-03-08 00:00:00,113.39
2024-03-07 00:00:00,115.02
2024-03-06 00:00:00,117.21
2024-03-05 00:00:00,116.15
2024-03-04 00:00:00,117.94
2024-03-01 00:00:00,115.4
2024-02-29 00:00:00,112.1
2024-02-28 00:00:00,116.67
2024-02-27 00:00:00,115.68
2024-02-26 00:00:00,114.38
2024-02-23 00:00:00,114.64
2024-02-22 00:00:00,114.35
2024-02-21 00:00:00,123.1
2024-02-20 00:00:00,109.6
2024-02-19 00:00:00,116.68
2024-02-16 00:00:00,128.56
2024-02-15 00:00:00,124.37
2024-02-14 00:00:00,128.73
2024-02-13 00:00:00,129.17
2024-02-12 00:00:00,125.34
2024-02-09 00:00:00,127.24
2024-02-08 00:00:00,131.55
2024-02-07 00:00:00,131.42
2024-02-06 00:00:00,131.63
2024-02-05 00:00:00,130.32
2024-02-02 00:00:00,131.6
2024-02-01 00:00:00,131.37
2024-01-31 00:00:00,128.74
2024-01-30 00:00:00,126.1
2024-01-29 00:00:00,128.96
2024-01-26 00:00:00,129.08
2024-01-25 00:00:00,126.2
2024-01-24 00:00:00,126.34
2024-01-23 00:00:00,129.95
2024-01-22 00:00:00,127.61
2024-01-19 00:00:00,127.8
2024-01-18 00:00:00,128.83
2024-01-17 00:00:00,131.88
2024-01-16 00:00:00,131.34
2024-01-15 00:00:00,131.44
2024-01-12 00:00:00,131.07
2024-01-11 00:00:00,131.96
2024-01-10 00:00:00,131.87
2024-01-09 00:00:00,130.86
2024-01-08 00:00:00,131.08
2024-01-05 00:00:00,129.95
2024-01-04 00:00:00,127.66
2024-01-03 00:00:00,127
2024-01-02 00:00:00,128.97
2024-01-01 00:00:00,129.73
2023-12-29 00:00:00,129.97
2023-12-28 00:00:00,127.07
2023-12-27 00:00:00,131.12
2023-12-26 00:00:00,131.91
2023-12-25 00:00:00,131.63
2023-12-22 00:00:00,131.95
2023-12-21 00:00:00,128.7
2023-12-20 00:00:00,129.29
2023-12-19 00:00:00,126.08
2023-12-18 00:00:00,127.09
2023-12-15 00:00:00,127.39
2023-12-14 00:00:00,131.15
2023-12-13 00:00:00,134.24
2023-12-12 00:00:00,135.13
2023-12-11 00:00:00,134.38
2023-12-08 00:00:00,135.97
2023-12-07 00:00:00,136.95
2023-12-06 00:00:00,136.66
2023-12-05 00:00:00,135.38
2023-12-04 00:00:00,136.2
2023-12-01 00:00:00,135.98
2023-11-30 00:00:00,136.63
