Date,SOCG
2024-10-25 00:00:00,139.96
2024-10-24 00:00:00,139.96
2024-10-23 00:00:00,141.02
2024-10-22 00:00:00,141.23
2024-10-21 00:00:00,138.37
2024-10-18 00:00:00,136.58
2024-10-17 00:00:00,136.48
2024-10-16 00:00:00,138.8
2024-10-15 00:00:00,139.97
2024-10-14 00:00:00,141.05
2024-10-11 00:00:00,144.23
2024-10-10 00:00:00,145.6
2024-10-09 00:00:00,147.49
2024-10-08 00:00:00,148.81
2024-10-07 00:00:00,148.18
2024-10-04 00:00:00,148.87
2024-10-03 00:00:00,150.97
2024-10-02 00:00:00,150.71
2024-10-01 00:00:00,151.53
2024-09-30 00:00:00,152.53
2024-09-27 00:00:00,150.89
2024-09-26 00:00:00,151.31
2024-09-25 00:00:00,148.82
2024-09-24 00:00:00,148.51
2024-09-23 00:00:00,147.08
2024-09-20 00:00:00,141.06
2024-09-19 00:00:00,128
2024-09-18 00:00:00,129.74
2024-09-17 00:00:00,129.57
2024-09-16 00:00:00,130.44
2024-09-13 00:00:00,129.44
2024-09-12 00:00:00,130.83
2024-09-11 00:00:00,133.66
2024-09-10 00:00:00,131.44
2024-09-09 00:00:00,130.28
2024-09-06 00:00:00,130.39
2024-09-05 00:00:00,129.81
2024-09-04 00:00:00,131.6
2024-09-03 00:00:00,130.37
2024-09-02 00:00:00,127.85
2024-08-30 00:00:00,126.63
2024-08-29 00:00:00,125.61
2024-08-28 00:00:00,123.84
2024-08-27 00:00:00,123.03
2024-08-26 00:00:00,124.3
2024-08-23 00:00:00,123.68
2024-08-22 00:00:00,124.02
2024-08-21 00:00:00,124.54
2024-08-20 00:00:00,125.47
2024-08-19 00:00:00,125.13
2024-08-16 00:00:00,128.29
2024-08-15 00:00:00,130.62
2024-08-14 00:00:00,138.7
2024-08-13 00:00:00,142.37
2024-08-12 00:00:00,139.07
2024-08-09 00:00:00,140.62
2024-08-08 00:00:00,143.19
2024-08-07 00:00:00,143.12
2024-08-06 00:00:00,151.67
2024-08-05 00:00:00,152.75
2024-08-02 00:00:00,143.72
2024-08-01 00:00:00,132.99
2024-07-31 00:00:00,124.74
2024-07-30 00:00:00,125.19
2024-07-29 00:00:00,122.58
2024-07-26 00:00:00,121.91
2024-07-25 00:00:00,122.92
2024-07-24 00:00:00,120.75
2024-07-23 00:00:00,118.25
