Date,SWED
2024-10-25 00:00:00,119.54
2024-10-24 00:00:00,119.54
2024-10-23 00:00:00,120.13
2024-10-22 00:00:00,121.98
2024-10-21 00:00:00,119.64
2024-10-18 00:00:00,117.62
2024-10-17 00:00:00,117.97
2024-10-16 00:00:00,119.96
2024-10-15 00:00:00,121.43
2024-10-14 00:00:00,121.57
2024-10-11 00:00:00,123.18
2024-10-10 00:00:00,124.27
2024-10-09 00:00:00,125.69
2024-10-08 00:00:00,126.59
2024-10-07 00:00:00,126.37
2024-10-04 00:00:00,126.66
2024-10-03 00:00:00,128.73
2024-10-02 00:00:00,128.34
2024-10-01 00:00:00,128.49
2024-09-30 00:00:00,126.38
2024-09-27 00:00:00,125.38
2024-09-26 00:00:00,125.19
2024-09-25 00:00:00,127.26
2024-09-24 00:00:00,127.03
2024-09-23 00:00:00,126.67
2024-09-20 00:00:00,121.82
2024-09-19 00:00:00,111.53
2024-09-18 00:00:00,113.97
2024-09-17 00:00:00,113.69
2024-09-16 00:00:00,114.24
2024-09-13 00:00:00,113.83
2024-09-12 00:00:00,116.44
2024-09-11 00:00:00,119.22
2024-09-10 00:00:00,116.91
2024-09-09 00:00:00,117.31
2024-09-06 00:00:00,115.92
2024-09-05 00:00:00,116.01
2024-09-04 00:00:00,116.72
2024-09-03 00:00:00,115.15
2024-09-02 00:00:00,112.48
2024-08-30 00:00:00,111.78
2024-08-29 00:00:00,111.02
2024-08-28 00:00:00,109.94
2024-08-27 00:00:00,110.27
2024-08-26 00:00:00,112.53
2024-08-23 00:00:00,111.97
2024-08-22 00:00:00,113.18
2024-08-21 00:00:00,113.58
2024-08-20 00:00:00,114.01
2024-08-19 00:00:00,113.7
2024-08-16 00:00:00,116.2
2024-08-15 00:00:00,115.52
2024-08-14 00:00:00,121.5
2024-08-13 00:00:00,125.63
2024-08-12 00:00:00,124.07
2024-08-09 00:00:00,125.19
2024-08-08 00:00:00,126.15
2024-08-07 00:00:00,126.16
2024-08-06 00:00:00,131.99
2024-08-05 00:00:00,134.29
2024-08-02 00:00:00,124.05
2024-08-01 00:00:00,118.58
2024-07-31 00:00:00,112.98
2024-07-30 00:00:00,113.97
2024-07-29 00:00:00,113.71
2024-07-26 00:00:00,115.4
2024-07-25 00:00:00,116.97
2024-07-24 00:00:00,114.79
2024-07-23 00:00:00,112.65
2024-07-22 00:00:00,113.59
2024-07-19 00:00:00,116.04
2024-07-18 00:00:00,114.91
2024-07-17 00:00:00,114.85
2024-07-16 00:00:00,113.01
2024-07-15 00:00:00,111.69
2024-07-12 00:00:00,112.91
2024-07-11 00:00:00,112.66
2024-07-10 00:00:00,113.78
2024-07-09 00:00:00,115.52
2024-07-08 00:00:00,112.47
2024-07-05 00:00:00,116.42
2024-07-04 00:00:00,115.27
2024-07-03 00:00:00,119.61
2024-07-02 00:00:00,124.76
2024-07-01 00:00:00,125.48
2024-06-28 00:00:00,135.1
