Date,UNIC
2024-10-25 00:00:00,125.85
2024-10-24 00:00:00,125.85
2024-10-23 00:00:00,127.92
2024-10-22 00:00:00,128.87
2024-10-21 00:00:00,127.54
2024-10-18 00:00:00,126.72
2024-10-17 00:00:00,127.05
2024-10-16 00:00:00,129.17
2024-10-15 00:00:00,129.77
2024-10-14 00:00:00,131.24
2024-10-11 00:00:00,134.3
2024-10-10 00:00:00,135.02
2024-10-09 00:00:00,137.24
2024-10-08 00:00:00,139.78
2024-10-07 00:00:00,139.91
2024-10-04 00:00:00,140.3
2024-10-03 00:00:00,142.65
2024-10-02 00:00:00,142.59
2024-10-01 00:00:00,143.34
2024-09-30 00:00:00,142.93
2024-09-27 00:00:00,141.73
2024-09-26 00:00:00,142.28
2024-09-25 00:00:00,143.72
2024-09-24 00:00:00,143.94
2024-09-23 00:00:00,144.58
2024-09-20 00:00:00,142.65
2024-09-19 00:00:00,127.91
2024-09-18 00:00:00,130.1
2024-09-17 00:00:00,130
2024-09-16 00:00:00,131
2024-09-13 00:00:00,131.29
2024-09-12 00:00:00,133.88
2024-09-11 00:00:00,138.45
2024-09-10 00:00:00,135.64
2024-09-09 00:00:00,134.68
2024-09-06 00:00:00,134.53
2024-09-05 00:00:00,133.85
2024-09-04 00:00:00,134.79
2024-09-03 00:00:00,133.15
2024-09-02 00:00:00,130.96
2024-08-30 00:00:00,130.78
2024-08-29 00:00:00,130.44
2024-08-28 00:00:00,129.89
2024-08-27 00:00:00,129.82
2024-08-26 00:00:00,130.33
2024-08-23 00:00:00,130.32
2024-08-22 00:00:00,131.23
2024-08-21 00:00:00,132.11
2024-08-20 00:00:00,132.27
2024-08-19 00:00:00,132.41
2024-08-16 00:00:00,133.8
2024-08-15 00:00:00,137.64
2024-08-14 00:00:00,144.43
2024-08-13 00:00:00,147.96
2024-08-12 00:00:00,148.1
2024-08-09 00:00:00,148.55
2024-08-08 00:00:00,150.43
2024-08-07 00:00:00,150.45
2024-08-06 00:00:00,160.29
2024-08-05 00:00:00,160.14
2024-08-02 00:00:00,152.09
2024-08-01 00:00:00,141.36
2024-07-31 00:00:00,135.52
2024-07-30 00:00:00,136.81
2024-07-29 00:00:00,138.85
2024-07-26 00:00:00,140.56
2024-07-25 00:00:00,142.23
2024-07-24 00:00:00,139.65
2024-07-23 00:00:00,137.47
2024-07-22 00:00:00,137.09
2024-07-19 00:00:00,138.93
2024-07-18 00:00:00,137.77
2024-07-17 00:00:00,138.61
2024-07-16 00:00:00,136.65
2024-07-15 00:00:00,135.53
2024-07-12 00:00:00,136.65
2024-07-11 00:00:00,136.56
2024-07-10 00:00:00,138.21
2024-07-09 00:00:00,139.53
2024-07-08 00:00:00,133.11
2024-07-05 00:00:00,137.36
2024-07-04 00:00:00,138.23
2024-07-03 00:00:00,142.39
2024-07-02 00:00:00,149.64
2024-07-01 00:00:00,150.45
2024-06-28 00:00:00,160.42
2024-06-27 00:00:00,160.17
2024-06-26 00:00:00,158.99
2024-06-25 00:00:00,154.26
2024-06-24 00:00:00,154.13
2024-06-21 00:00:00,160.48
2024-06-20 00:00:00,157.21
2024-06-19 00:00:00,157.48
2024-06-18 00:00:00,155.47
2024-06-17 00:00:00,166.01
2024-06-14 00:00:00,162.55
2024-06-13 00:00:00,151.05
2024-06-12 00:00:00,144.92
2024-06-11 00:00:00,150.12
2024-06-10 00:00:00,141.43
2024-06-07 00:00:00,136.52
2024-06-06 00:00:00,136.81
2024-06-05 00:00:00,136.79
2024-06-04 00:00:00,137.53
2024-06-03 00:00:00,135.6
2024-05-31 00:00:00,137.36
2024-05-30 00:00:00,138.1
2024-05-29 00:00:00,136.67
2024-05-28 00:00:00,134.09
2024-05-27 00:00:00,135.08
2024-05-24 00:00:00,135.08
2024-05-23 00:00:00,134.71
2024-05-22 00:00:00,135.14
2024-05-21 00:00:00,135.32
2024-05-20 00:00:00,135.89
2024-05-17 00:00:00,137.13
2024-05-16 00:00:00,136.58
2024-05-15 00:00:00,137.15
2024-05-14 00:00:00,140.41
2024-05-13 00:00:00,139.48
2024-05-10 00:00:00,138.82
2024-05-09 00:00:00,139.48
2024-05-08 00:00:00,140.36
2024-05-07 00:00:00,140.02
2024-05-06 00:00:00,144.95
2024-05-03 00:00:00,144.98
2024-05-02 00:00:00,145.92
2024-05-01 00:00:00,148.03
2024-04-30 00:00:00,146.12
2024-04-29 00:00:00,145.41
2024-04-26 00:00:00,147.4
2024-04-25 00:00:00,149.88
2024-04-24 00:00:00,147.23
2024-04-23 00:00:00,146.66
2024-04-22 00:00:00,148.13
2024-04-19 00:00:00,152.69
2024-04-18 00:00:00,152.7
2024-04-17 00:00:00,154.21
2024-04-16 00:00:00,157.46
2024-04-15 00:00:00,151.4
2024-04-12 00:00:00,149.63
2024-04-11 00:00:00,145.4
2024-04-10 00:00:00,142.11
2024-04-09 00:00:00,144.7
2024-04-08 00:00:00,145.67
2024-04-05 00:00:00,149.89
2024-04-04 00:00:00,147.39
2024-04-03 00:00:00,150.35
2024-04-02 00:00:00,147.86
2024-04-01 00:00:00,147.7
2024-03-29 00:00:00,147.69
2024-03-28 00:00:00,147.7
2024-03-27 00:00:00,149.89
2024-03-26 00:00:00,149.39
2024-03-25 00:00:00,150.19
2024-03-22 00:00:00,150.75
2024-03-21 00:00:00,146.67
2024-03-20 00:00:00,150.13
2024-03-19 00:00:00,137.31
2024-03-18 00:00:00,136.92
2024-03-15 00:00:00,136.35
2024-03-14 00:00:00,134.92
2024-03-13 00:00:00,136.16
2024-03-12 00:00:00,139.39
2024-03-11 00:00:00,142.22
2024-03-08 00:00:00,141.64
2024-03-07 00:00:00,143.6
2024-03-06 00:00:00,146.24
2024-03-05 00:00:00,147.33
2024-03-04 00:00:00,147.29
2024-03-01 00:00:00,148.3
2024-02-29 00:00:00,149.77
2024-02-28 00:00:00,149.92
2024-02-27 00:00:00,149.05
2024-02-26 00:00:00,147.98
2024-02-23 00:00:00,147.55
2024-02-22 00:00:00,148.61
2024-02-21 00:00:00,151.76
2024-02-20 00:00:00,151.98
2024-02-19 00:00:00,151.24
2024-02-16 00:00:00,152.87
2024-02-15 00:00:00,155.19
2024-02-14 00:00:00,157.04
2024-02-13 00:00:00,158.06
2024-02-12 00:00:00,157.25
2024-02-09 00:00:00,159.62
2024-02-08 00:00:00,161.71
2024-02-07 00:00:00,161.02
2024-02-06 00:00:00,161.04
2024-02-05 00:00:00,160.5
2024-02-02 00:00:00,165.48
2024-02-01 00:00:00,169.03
2024-01-31 00:00:00,164.28
2024-01-30 00:00:00,159.29
2024-01-29 00:00:00,160.26
2024-01-26 00:00:00,161.13
2024-01-25 00:00:00,163.28
2024-01-24 00:00:00,161.99
2024-01-23 00:00:00,164.19
2024-01-22 00:00:00,163.65
2024-01-19 00:00:00,166.9
2024-01-18 00:00:00,171.56
2024-01-17 00:00:00,176.14
2024-01-16 00:00:00,172.45
2024-01-15 00:00:00,170.13
2024-01-12 00:00:00,170.41
2024-01-11 00:00:00,167.29
2024-01-10 00:00:00,163.52
2024-01-09 00:00:00,171.58
2024-01-08 00:00:00,173.55
2024-01-05 00:00:00,174.88
2024-01-04 00:00:00,174.2
2024-01-03 00:00:00,174.99
2024-01-02 00:00:00,166.12
2024-01-01 00:00:00,160.98
2023-12-29 00:00:00,161
2023-12-28 00:00:00,163.71
2023-12-27 00:00:00,163.01
2023-12-26 00:00:00,162.63
2023-12-25 00:00:00,162.61
2023-12-22 00:00:00,162.62
2023-12-21 00:00:00,164.64
2023-12-20 00:00:00,163.98
2023-12-19 00:00:00,163.88
2023-12-18 00:00:00,166.7
2023-12-15 00:00:00,164.81
2023-12-14 00:00:00,162.97
2023-12-13 00:00:00,171.31
2023-12-12 00:00:00,171.77
2023-12-11 00:00:00,171.5
2023-12-08 00:00:00,173.07
2023-12-07 00:00:00,174.65
2023-12-06 00:00:00,176.99
2023-12-05 00:00:00,180.8
2023-12-04 00:00:00,181.93
2023-12-01 00:00:00,181.92
2023-11-30 00:00:00,188.6
2023-11-29 00:00:00,191.16
2023-11-28 00:00:00,198.29
2023-11-27 00:00:00,196.07
2023-11-24 00:00:00,193.53
2023-11-23 00:00:00,193.86
2023-11-22 00:00:00,195.72
2023-11-21 00:00:00,198.47
2023-11-20 00:00:00,194.75
2023-11-17 00:00:00,200.71
2023-11-16 00:00:00,201.63
2023-11-15 00:00:00,201.73
2023-11-14 00:00:00,208.94
2023-11-13 00:00:00,217.3
2023-11-10 00:00:00,220.9
2023-11-09 00:00:00,219.45
2023-11-08 00:00:00,221.25
2023-11-07 00:00:00,225.9
2023-11-06 00:00:00,228.21
2023-11-03 00:00:00,231.16
2023-11-02 00:00:00,232.75
2023-11-01 00:00:00,248.05
2023-10-31 00:00:00,249.29
2023-10-30 00:00:00,258.6
2023-10-27 00:00:00,260.06
2023-10-26 00:00:00,264.37
2023-10-25 00:00:00,262.85
2023-10-24 00:00:00,259.93
2023-10-23 00:00:00,268.94
2023-10-20 00:00:00,271.55
2023-10-19 00:00:00,263.3
2023-10-18 00:00:00,259.83
2023-10-17 00:00:00,258.96
2023-10-16 00:00:00,256.01
2023-10-13 00:00:00,253.05
2023-10-12 00:00:00,248.99
2023-10-11 00:00:00,252.39
2023-10-10 00:00:00,255.1
2023-10-09 00:00:00,267.45
2023-10-06 00:00:00,268.67
2023-10-05 00:00:00,261.6
2023-10-04 00:00:00,256.34
2023-10-03 00:00:00,256.03
2023-10-02 00:00:00,246.3
2023-09-29 00:00:00,235.33
2023-09-28 00:00:00,244.11
